"","Statistic","Year","Crop.Type","value"
"171","Cereal Feeding Stuffs (000 Tonnes)","1995","Barley",746
"172","Cereal Products for Industrial Use (000 Tonnes)","1995","Barley",103
"173","Cereal Seeds (000 Tonnes)","1996","Barley",27
"174","Cereal Losses (000 Tonnes)","1996","Barley",13
"175","Cereal Feeding Stuffs (000 Tonnes)","1996","Barley",880
"176","Cereal Products for Industrial Use (000 Tonnes)","1996","Barley",148
"177","Cereal Seeds (000 Tonnes)","1997","Barley",29
"178","Cereal Losses (000 Tonnes)","1997","Barley",66
"179","Cereal Feeding Stuffs (000 Tonnes)","1997","Barley",655
"180","Cereal Products for Industrial Use (000 Tonnes)","1997","Barley",197
"181","Cereal Seeds (000 Tonnes)","1998","Barley",29
"182","Cereal Losses (000 Tonnes)","1998","Barley",63
"183","Cereal Feeding Stuffs (000 Tonnes)","1998","Barley",734
"184","Cereal Products for Industrial Use (000 Tonnes)","1998","Barley",210
"185","Cereal Seeds (000 Tonnes)","1999","Barley",29
"186","Cereal Losses (000 Tonnes)","1999","Barley",57
"187","Cereal Feeding Stuffs (000 Tonnes)","1999","Barley",572
"188","Cereal Products for Industrial Use (000 Tonnes)","1999","Barley",213
"189","Cereal Seeds (000 Tonnes)","2000","Barley",27
"190","Cereal Losses (000 Tonnes)","2000","Barley",60
"191","Cereal Feeding Stuffs (000 Tonnes)","2000","Barley",851
"192","Cereal Products for Industrial Use (000 Tonnes)","2000","Barley",247
"193","Cereal Seeds (000 Tonnes)","2001","Barley",27
"194","Cereal Losses (000 Tonnes)","2001","Barley",58
"195","Cereal Feeding Stuffs (000 Tonnes)","2001","Barley",808
"196","Cereal Products for Industrial Use (000 Tonnes)","2001","Barley",276
"197","Cereal Seeds (000 Tonnes)","2002","Barley",27
"198","Cereal Losses (000 Tonnes)","2002","Barley",54
"199","Cereal Feeding Stuffs (000 Tonnes)","2002","Barley",830
"200","Cereal Products for Industrial Use (000 Tonnes)","2002","Barley",275
"201","Cereal Seeds (000 Tonnes)","2003","Barley",28
"202","Cereal Losses (000 Tonnes)","2003","Barley",46
"203","Cereal Feeding Stuffs (000 Tonnes)","2003","Barley",679
"204","Cereal Products for Industrial Use (000 Tonnes)","2003","Barley",247
"205","Cereal Seeds (000 Tonnes)","2004","Barley",28
"206","Cereal Losses (000 Tonnes)","2004","Barley",47
"207","Cereal Feeding Stuffs (000 Tonnes)","2004","Barley",865
"208","Cereal Products for Industrial Use (000 Tonnes)","2004","Barley",216
"209","Cereal Seeds (000 Tonnes)","2005","Barley",25
"210","Cereal Losses (000 Tonnes)","2005","Barley",45
"211","Cereal Feeding Stuffs (000 Tonnes)","2005","Barley",993
"212","Cereal Products for Industrial Use (000 Tonnes)","2005","Barley",180
"213","Cereal Seeds (000 Tonnes)","2006","Barley",25
"214","Cereal Losses (000 Tonnes)","2006","Barley",27
"215","Cereal Feeding Stuffs (000 Tonnes)","2006","Barley",908
"216","Cereal Products for Industrial Use (000 Tonnes)","2006","Barley",146
"217","Cereal Seeds (000 Tonnes)","2007","Barley",25
"218","Cereal Losses (000 Tonnes)","2007","Barley",27
"219","Cereal Feeding Stuffs (000 Tonnes)","2007","Barley",1047
"220","Cereal Products for Industrial Use (000 Tonnes)","2007","Barley",173
"221","Cereal Seeds (000 Tonnes)","2008","Barley",28
"222","Cereal Losses (000 Tonnes)","2008","Barley",27
"223","Cereal Feeding Stuffs (000 Tonnes)","2008","Barley",903
"224","Cereal Products for Industrial Use (000 Tonnes)","2008","Barley",151
"225","Cereal Seeds (000 Tonnes)","2009","Barley",29
"226","Cereal Losses (000 Tonnes)","2009","Barley",31
"227","Cereal Feeding Stuffs (000 Tonnes)","2009","Barley",1242
"228","Cereal Products for Industrial Use (000 Tonnes)","2009","Barley",126
"229","Cereal Seeds (000 Tonnes)","2010","Barley",26
"230","Cereal Losses (000 Tonnes)","2010","Barley",29
"231","Cereal Feeding Stuffs (000 Tonnes)","2010","Barley",1351
"232","Cereal Products for Industrial Use (000 Tonnes)","2010","Barley",138
"233","Cereal Seeds (000 Tonnes)","2011","Barley",27
"234","Cereal Losses (000 Tonnes)","2011","Barley",29
"235","Cereal Feeding Stuffs (000 Tonnes)","2011","Barley",1287
"236","Cereal Products for Industrial Use (000 Tonnes)","2011","Barley",149
"237","Cereal Seeds (000 Tonnes)","2012","Barley",29
"238","Cereal Losses (000 Tonnes)","2012","Barley",34
"239","Cereal Feeding Stuffs (000 Tonnes)","2012","Barley",1182
"240","Cereal Products for Industrial Use (000 Tonnes)","2012","Barley",130
"241","Cereal Seeds (000 Tonnes)","1993","Oats",4
"242","Cereal Losses (000 Tonnes)","1993","Oats",5
"243","Cereal Feeding Stuffs (000 Tonnes)","1993","Oats",81
"244","Cereal Products for Industrial Use (000 Tonnes)","1993","Oats",0
"245","Cereal Seeds (000 Tonnes)","1994","Oats",4
"246","Cereal Losses (000 Tonnes)","1994","Oats",8
"247","Cereal Feeding Stuffs (000 Tonnes)","1994","Oats",88
"248","Cereal Products for Industrial Use (000 Tonnes)","1994","Oats",0
"249","Cereal Seeds (000 Tonnes)","1995","Oats",4
"250","Cereal Losses (000 Tonnes)","1995","Oats",9
"251","Cereal Feeding Stuffs (000 Tonnes)","1995","Oats",87
"252","Cereal Products for Industrial Use (000 Tonnes)","1995","Oats",0
"253","Cereal Seeds (000 Tonnes)","1996","Oats",4
"254","Cereal Losses (000 Tonnes)","1996","Oats",2
"255","Cereal Feeding Stuffs (000 Tonnes)","1996","Oats",104
"256","Cereal Products for Industrial Use (000 Tonnes)","1996","Oats",0
"257","Cereal Seeds (000 Tonnes)","1997","Oats",4
"258","Cereal Losses (000 Tonnes)","1997","Oats",8
"259","Cereal Feeding Stuffs (000 Tonnes)","1997","Oats",104
"260","Cereal Products for Industrial Use (000 Tonnes)","1997","Oats",0
"261","Cereal Seeds (000 Tonnes)","1998","Oats",4
"262","Cereal Losses (000 Tonnes)","1998","Oats",7
"263","Cereal Feeding Stuffs (000 Tonnes)","1998","Oats",94
"264","Cereal Products for Industrial Use (000 Tonnes)","1998","Oats",0
"265","Cereal Seeds (000 Tonnes)","1999","Oats",4
"266","Cereal Losses (000 Tonnes)","1999","Oats",5
"267","Cereal Feeding Stuffs (000 Tonnes)","1999","Oats",89
"268","Cereal Products for Industrial Use (000 Tonnes)","1999","Oats",0
"269","Cereal Seeds (000 Tonnes)","2000","Oats",3
"270","Cereal Losses (000 Tonnes)","2000","Oats",4
"271","Cereal Feeding Stuffs (000 Tonnes)","2000","Oats",110
"272","Cereal Products for Industrial Use (000 Tonnes)","2000","Oats",0
"273","Cereal Seeds (000 Tonnes)","2001","Oats",3
"274","Cereal Losses (000 Tonnes)","2001","Oats",5
"275","Cereal Feeding Stuffs (000 Tonnes)","2001","Oats",84
"276","Cereal Products for Industrial Use (000 Tonnes)","2001","Oats",0
"277","Cereal Seeds (000 Tonnes)","2002","Oats",4
"278","Cereal Losses (000 Tonnes)","2002","Oats",5
"279","Cereal Feeding Stuffs (000 Tonnes)","2002","Oats",84
"280","Cereal Products for Industrial Use (000 Tonnes)","2002","Oats",0
"281","Cereal Seeds (000 Tonnes)","2003","Oats",4
"282","Cereal Losses (000 Tonnes)","2003","Oats",5
"283","Cereal Feeding Stuffs (000 Tonnes)","2003","Oats",104
"284","Cereal Products for Industrial Use (000 Tonnes)","2003","Oats",0
"285","Cereal Seeds (000 Tonnes)","2004","Oats",4
"286","Cereal Losses (000 Tonnes)","2004","Oats",4
"287","Cereal Feeding Stuffs (000 Tonnes)","2004","Oats",112
"288","Cereal Products for Industrial Use (000 Tonnes)","2004","Oats",0
"289","Cereal Seeds (000 Tonnes)","2005","Oats",3
"290","Cereal Losses (000 Tonnes)","2005","Oats",5
"291","Cereal Feeding Stuffs (000 Tonnes)","2005","Oats",121
"292","Cereal Products for Industrial Use (000 Tonnes)","2005","Oats",0
"293","Cereal Seeds (000 Tonnes)","2006","Oats",4
"294","Cereal Losses (000 Tonnes)","2006","Oats",3
"295","Cereal Feeding Stuffs (000 Tonnes)","2006","Oats",48
"296","Cereal Products for Industrial Use (000 Tonnes)","2006","Oats",0
"297","Cereal Seeds (000 Tonnes)","2007","Oats",4
"298","Cereal Losses (000 Tonnes)","2007","Oats",3
"299","Cereal Feeding Stuffs (000 Tonnes)","2007","Oats",45
"300","Cereal Products for Industrial Use (000 Tonnes)","2007","Oats",0
"301","Cereal Seeds (000 Tonnes)","2008","Oats",5
"302","Cereal Losses (000 Tonnes)","2008","Oats",3
"303","Cereal Feeding Stuffs (000 Tonnes)","2008","Oats",129
"304","Cereal Products for Industrial Use (000 Tonnes)","2008","Oats",0
"305","Cereal Seeds (000 Tonnes)","2009","Oats",4
"306","Cereal Losses (000 Tonnes)","2009","Oats",4
"307","Cereal Feeding Stuffs (000 Tonnes)","2009","Oats",129
"308","Cereal Products for Industrial Use (000 Tonnes)","2009","Oats",0
"309","Cereal Seeds (000 Tonnes)","2010","Oats",4
"310","Cereal Losses (000 Tonnes)","2010","Oats",3
"311","Cereal Feeding Stuffs (000 Tonnes)","2010","Oats",130
"312","Cereal Products for Industrial Use (000 Tonnes)","2010","Oats",0
"313","Cereal Seeds (000 Tonnes)","2011","Oats",4
"314","Cereal Losses (000 Tonnes)","2011","Oats",3
"315","Cereal Feeding Stuffs (000 Tonnes)","2011","Oats",79
"316","Cereal Products for Industrial Use (000 Tonnes)","2011","Oats",0
"317","Cereal Seeds (000 Tonnes)","2012","Oats",5
"318","Cereal Losses (000 Tonnes)","2012","Oats",4
"319","Cereal Feeding Stuffs (000 Tonnes)","2012","Oats",113
"320","Cereal Products for Industrial Use (000 Tonnes)","2012","Oats",0
