"","Statistic","Year","Fish.and.Fish.Product","value"
"308","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Sardines",988
"309","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Sardines",622
"310","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Sardines",405
"311","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Sardines",1120
"312","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Sardines",573
"313","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Sardines",2011
"314","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Sardines",1610
"315","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Sardines",4819
"316","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Sardines",5333
"317","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Sardines",25992
"318","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Sardines",12055
"319","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Sardines",22194
"320","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Sardines",9272
"321","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Sardines",21448
"322","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Sardines",8498
"323","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Sardines",14655
"324","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Sardines",8623
"325","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Scallops",158
"326","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Scallops",1395
"327","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Scallops",378
"328","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Scallops",1987
"329","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Scallops",288
"330","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Scallops",2405
"331","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Scallops",624
"332","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Scallops",4543
"333","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Scallops",684
"334","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Scallops",4308
"335","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Scallops",623
"336","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Scallops",4497
"337","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Scallops",467
"338","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Scallops",4115
"339","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Scallops",551
