"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"227","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Live, Fresh, Chilled",1034
"228","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Live, Fresh, Chilled",2947
"229","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Live, Fresh, Chilled",11754
"230","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Live, Fresh, Chilled",36122
"231","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Live, Fresh, Chilled",1091
"232","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Live, Fresh, Chilled",3399
"233","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Live, Fresh, Chilled",13614
"234","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Live, Fresh, Chilled",38667
"235","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Live, Fresh, Chilled",2484
"236","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Live, Fresh, Chilled",9115
"237","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Live, Fresh, Chilled",13154
"238","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Live, Fresh, Chilled",40706
"239","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Live, Fresh, Chilled",2966
"240","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Live, Fresh, Chilled",14748
"241","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Live, Fresh, Chilled",12409
"242","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Live, Fresh, Chilled",39248
"243","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Live, Fresh, Chilled",3111
"244","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Live, Fresh, Chilled",10069
"245","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Live, Fresh, Chilled",14581
"246","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Live, Fresh, Chilled",38888
"247","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Live, Fresh, Chilled",3537
"248","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Live, Fresh, Chilled",8522
"249","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Live, Fresh, Chilled",20807
"250","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Live, Fresh, Chilled",51845
"251","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Live, Fresh, Chilled",2762
"252","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Live, Fresh, Chilled",7108
"253","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Live, Fresh, Chilled",20893
"254","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Live, Fresh, Chilled",45906
"255","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Live, Fresh, Chilled",565
"256","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Live, Fresh, Chilled",2528
"257","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Live, Fresh, Chilled",23398
"258","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Live, Fresh, Chilled",48172
"259","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Live, Fresh, Chilled",2289
"260","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Live, Fresh, Chilled",4670
"261","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Live, Fresh, Chilled",19269
"262","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Live, Fresh, Chilled",42166
"263","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Live, Fresh, Chilled",3760
"264","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Live, Fresh, Chilled",7079
"265","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Frozen",106664
"266","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Frozen",51407
"267","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Frozen",10176
"268","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Frozen",3275
"269","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Frozen",160450
"270","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Frozen",80925
"271","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Frozen",11122
"272","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Frozen",4044
"273","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Frozen",145439
"274","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Frozen",100402
"275","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Frozen",772
"276","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Frozen",1507
"277","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Frozen",120650
"278","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Frozen",73842
"279","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Frozen",2182
"280","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Frozen",2402
"281","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Frozen",110385
"282","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Frozen",62920
"283","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Frozen",2896
"284","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Frozen",2753
"285","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Frozen",96954
"286","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Frozen",56897
"287","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Frozen",850
"288","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Frozen",1990
"289","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Frozen",98653
"290","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Frozen",77151
"291","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Frozen",1462
"292","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Frozen",3850
"293","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Frozen",130427
