"","Statistic","Year","Country","value"
"333","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Italy",17
"334","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Italy",74
"335","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Italy",81
"336","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Italy",241
"337","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Italy",6
"338","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Italy",47
"339","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Italy",102
"340","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Italy",828
"341","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Italy",201
"342","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Italy",395
"343","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Italy",3
"344","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Italy",11
"345","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Italy",4
"346","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Italy",27
"347","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Italy",13
"348","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Italy",52
"349","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Italy",22
"350","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Italy",114
"351","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Italy",17
"352","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Italy",64
"353","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Latvia",NA
"354","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Latvia",NA
"355","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Latvia",NA
"356","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Latvia",NA
