"","Statistic","Year","Country","value"
"396","Value of External Trade (Exports) (Euro Thousand)","2004","Lithuania",24
"397","Weight of External Trade (Exports) (Tonnes)","1994","Malta",NA
"398","Value of External Trade (Exports) (Euro Thousand)","1994","Malta",NA
"399","Weight of External Trade (Exports) (Tonnes)","1995","Malta",NA
"400","Value of External Trade (Exports) (Euro Thousand)","1995","Malta",NA
"401","Weight of External Trade (Exports) (Tonnes)","1996","Malta",NA
"402","Value of External Trade (Exports) (Euro Thousand)","1996","Malta",NA
"403","Weight of External Trade (Exports) (Tonnes)","1997","Malta",NA
"404","Value of External Trade (Exports) (Euro Thousand)","1997","Malta",NA
"405","Weight of External Trade (Exports) (Tonnes)","1998","Malta",NA
"406","Value of External Trade (Exports) (Euro Thousand)","1998","Malta",NA
"407","Weight of External Trade (Exports) (Tonnes)","1999","Malta",NA
"408","Value of External Trade (Exports) (Euro Thousand)","1999","Malta",NA
"409","Weight of External Trade (Exports) (Tonnes)","2000","Malta",NA
"410","Value of External Trade (Exports) (Euro Thousand)","2000","Malta",NA
"411","Weight of External Trade (Exports) (Tonnes)","2001","Malta",NA
"412","Value of External Trade (Exports) (Euro Thousand)","2001","Malta",NA
"413","Weight of External Trade (Exports) (Tonnes)","2002","Malta",77
"414","Value of External Trade (Exports) (Euro Thousand)","2002","Malta",143
"415","Weight of External Trade (Exports) (Tonnes)","2003","Malta",28
"416","Value of External Trade (Exports) (Euro Thousand)","2003","Malta",31
"417","Weight of External Trade (Exports) (Tonnes)","2004","Malta",350
"418","Value of External Trade (Exports) (Euro Thousand)","2004","Malta",556
"419","Weight of External Trade (Exports) (Tonnes)","1994","Netherlands",7733
"420","Value of External Trade (Exports) (Euro Thousand)","1994","Netherlands",6304
"421","Weight of External Trade (Exports) (Tonnes)","1995","Netherlands",8738
"422","Value of External Trade (Exports) (Euro Thousand)","1995","Netherlands",6113
"423","Weight of External Trade (Exports) (Tonnes)","1996","Netherlands",13329
"424","Value of External Trade (Exports) (Euro Thousand)","1996","Netherlands",11012
"425","Weight of External Trade (Exports) (Tonnes)","1997","Netherlands",14098
"426","Value of External Trade (Exports) (Euro Thousand)","1997","Netherlands",8100
"427","Weight of External Trade (Exports) (Tonnes)","1998","Netherlands",22100
"428","Value of External Trade (Exports) (Euro Thousand)","1998","Netherlands",12595
"429","Weight of External Trade (Exports) (Tonnes)","1999","Netherlands",4122
"430","Value of External Trade (Exports) (Euro Thousand)","1999","Netherlands",4604
"431","Weight of External Trade (Exports) (Tonnes)","2000","Netherlands",5672
"432","Value of External Trade (Exports) (Euro Thousand)","2000","Netherlands",7375
"433","Weight of External Trade (Exports) (Tonnes)","2001","Netherlands",10659
"434","Value of External Trade (Exports) (Euro Thousand)","2001","Netherlands",12922
"435","Weight of External Trade (Exports) (Tonnes)","2002","Netherlands",17699
"436","Value of External Trade (Exports) (Euro Thousand)","2002","Netherlands",15103
"437","Weight of External Trade (Exports) (Tonnes)","2003","Netherlands",10749
"438","Value of External Trade (Exports) (Euro Thousand)","2003","Netherlands",11449
"439","Weight of External Trade (Exports) (Tonnes)","2004","Netherlands",12582
"440","Value of External Trade (Exports) (Euro Thousand)","2004","Netherlands",12431
"441","Weight of External Trade (Exports) (Tonnes)","1994","Northern Ireland",17268
"442","Value of External Trade (Exports) (Euro Thousand)","1994","Northern Ireland",8540
"443","Weight of External Trade (Exports) (Tonnes)","1995","Northern Ireland",21266
"444","Value of External Trade (Exports) (Euro Thousand)","1995","Northern Ireland",7291
"445","Weight of External Trade (Exports) (Tonnes)","1996","Northern Ireland",12172
"446","Value of External Trade (Exports) (Euro Thousand)","1996","Northern Ireland",8827
"447","Weight of External Trade (Exports) (Tonnes)","1997","Northern Ireland",8673
"448","Value of External Trade (Exports) (Euro Thousand)","1997","Northern Ireland",6081
"449","Weight of External Trade (Exports) (Tonnes)","1998","Northern Ireland",5366
"450","Value of External Trade (Exports) (Euro Thousand)","1998","Northern Ireland",4887
"451","Weight of External Trade (Exports) (Tonnes)","1999","Northern Ireland",4431
"452","Value of External Trade (Exports) (Euro Thousand)","1999","Northern Ireland",4552
"453","Weight of External Trade (Exports) (Tonnes)","2000","Northern Ireland",2369
"454","Value of External Trade (Exports) (Euro Thousand)","2000","Northern Ireland",4391
"455","Weight of External Trade (Exports) (Tonnes)","2001","Northern Ireland",8707
"456","Value of External Trade (Exports) (Euro Thousand)","2001","Northern Ireland",10334
"457","Weight of External Trade (Exports) (Tonnes)","2002","Northern Ireland",10575
"458","Value of External Trade (Exports) (Euro Thousand)","2002","Northern Ireland",9892
"459","Weight of External Trade (Exports) (Tonnes)","2003","Northern Ireland",10010
"460","Value of External Trade (Exports) (Euro Thousand)","2003","Northern Ireland",9959
"461","Weight of External Trade (Exports) (Tonnes)","2004","Northern Ireland",6047
"462","Value of External Trade (Exports) (Euro Thousand)","2004","Northern Ireland",8023
"463","Weight of External Trade (Exports) (Tonnes)","1994","Poland",3902
"464","Value of External Trade (Exports) (Euro Thousand)","1994","Poland",1616
"465","Weight of External Trade (Exports) (Tonnes)","1995","Poland",4126
"466","Value of External Trade (Exports) (Euro Thousand)","1995","Poland",1915
"467","Weight of External Trade (Exports) (Tonnes)","1996","Poland",8651
"468","Value of External Trade (Exports) (Euro Thousand)","1996","Poland",6097
"469","Weight of External Trade (Exports) (Tonnes)","1997","Poland",8953
"470","Value of External Trade (Exports) (Euro Thousand)","1997","Poland",7100
"471","Weight of External Trade (Exports) (Tonnes)","1998","Poland",14486
"472","Value of External Trade (Exports) (Euro Thousand)","1998","Poland",11255
"473","Weight of External Trade (Exports) (Tonnes)","1999","Poland",9855
"474","Value of External Trade (Exports) (Euro Thousand)","1999","Poland",7992
"475","Weight of External Trade (Exports) (Tonnes)","2000","Poland",8796
"476","Value of External Trade (Exports) (Euro Thousand)","2000","Poland",7685
"477","Weight of External Trade (Exports) (Tonnes)","2001","Poland",6150
"478","Value of External Trade (Exports) (Euro Thousand)","2001","Poland",7542
"479","Weight of External Trade (Exports) (Tonnes)","2002","Poland",6237
"480","Value of External Trade (Exports) (Euro Thousand)","2002","Poland",7006
"481","Weight of External Trade (Exports) (Tonnes)","2003","Poland",8432
"482","Value of External Trade (Exports) (Euro Thousand)","2003","Poland",7878
"483","Weight of External Trade (Exports) (Tonnes)","2004","Poland",11969
"484","Value of External Trade (Exports) (Euro Thousand)","2004","Poland",11702
"485","Weight of External Trade (Exports) (Tonnes)","1994","Portugal",410
"486","Value of External Trade (Exports) (Euro Thousand)","1994","Portugal",305
"487","Weight of External Trade (Exports) (Tonnes)","1995","Portugal",841
"488","Value of External Trade (Exports) (Euro Thousand)","1995","Portugal",636
"489","Weight of External Trade (Exports) (Tonnes)","1996","Portugal",919
"490","Value of External Trade (Exports) (Euro Thousand)","1996","Portugal",951
"491","Weight of External Trade (Exports) (Tonnes)","1997","Portugal",782
"492","Value of External Trade (Exports) (Euro Thousand)","1997","Portugal",879
"493","Weight of External Trade (Exports) (Tonnes)","1998","Portugal",465
"494","Value of External Trade (Exports) (Euro Thousand)","1998","Portugal",510
"495","Weight of External Trade (Exports) (Tonnes)","1999","Portugal",894
"496","Value of External Trade (Exports) (Euro Thousand)","1999","Portugal",1019
"497","Weight of External Trade (Exports) (Tonnes)","2000","Portugal",762
"498","Value of External Trade (Exports) (Euro Thousand)","2000","Portugal",1643
"499","Weight of External Trade (Exports) (Tonnes)","2001","Portugal",753
"500","Value of External Trade (Exports) (Euro Thousand)","2001","Portugal",1974
"501","Weight of External Trade (Exports) (Tonnes)","2002","Portugal",938
"502","Value of External Trade (Exports) (Euro Thousand)","2002","Portugal",2398
"503","Weight of External Trade (Exports) (Tonnes)","2003","Portugal",1792
"504","Value of External Trade (Exports) (Euro Thousand)","2003","Portugal",3094
"505","Weight of External Trade (Exports) (Tonnes)","2004","Portugal",772
"506","Value of External Trade (Exports) (Euro Thousand)","2004","Portugal",1719
"507","Weight of External Trade (Exports) (Tonnes)","1994","Slovakia",NA
"508","Value of External Trade (Exports) (Euro Thousand)","1994","Slovakia",NA
"509","Weight of External Trade (Exports) (Tonnes)","1995","Slovakia",NA
"510","Value of External Trade (Exports) (Euro Thousand)","1995","Slovakia",NA
"511","Weight of External Trade (Exports) (Tonnes)","1996","Slovakia",NA
"512","Value of External Trade (Exports) (Euro Thousand)","1996","Slovakia",NA
"513","Weight of External Trade (Exports) (Tonnes)","1997","Slovakia",NA
"514","Value of External Trade (Exports) (Euro Thousand)","1997","Slovakia",NA
"515","Weight of External Trade (Exports) (Tonnes)","1998","Slovakia",NA
"516","Value of External Trade (Exports) (Euro Thousand)","1998","Slovakia",NA
"517","Weight of External Trade (Exports) (Tonnes)","1999","Slovakia",NA
"518","Value of External Trade (Exports) (Euro Thousand)","1999","Slovakia",NA
"519","Weight of External Trade (Exports) (Tonnes)","2000","Slovakia",NA
"520","Value of External Trade (Exports) (Euro Thousand)","2000","Slovakia",NA
"521","Weight of External Trade (Exports) (Tonnes)","2001","Slovakia",NA
"522","Value of External Trade (Exports) (Euro Thousand)","2001","Slovakia",NA
"523","Weight of External Trade (Exports) (Tonnes)","2002","Slovakia",1671
"524","Value of External Trade (Exports) (Euro Thousand)","2002","Slovakia",1655
"525","Weight of External Trade (Exports) (Tonnes)","2003","Slovakia",1533
"526","Value of External Trade (Exports) (Euro Thousand)","2003","Slovakia",1399
"527","Weight of External Trade (Exports) (Tonnes)","2004","Slovakia",1152
"528","Value of External Trade (Exports) (Euro Thousand)","2004","Slovakia",927
"529","Weight of External Trade (Exports) (Tonnes)","1994","Slovenia",NA
"530","Value of External Trade (Exports) (Euro Thousand)","1994","Slovenia",NA
"531","Weight of External Trade (Exports) (Tonnes)","1995","Slovenia",NA
"532","Value of External Trade (Exports) (Euro Thousand)","1995","Slovenia",NA
"533","Weight of External Trade (Exports) (Tonnes)","1996","Slovenia",NA
"534","Value of External Trade (Exports) (Euro Thousand)","1996","Slovenia",NA
"535","Weight of External Trade (Exports) (Tonnes)","1997","Slovenia",NA
"536","Value of External Trade (Exports) (Euro Thousand)","1997","Slovenia",NA
"537","Weight of External Trade (Exports) (Tonnes)","1998","Slovenia",NA
"538","Value of External Trade (Exports) (Euro Thousand)","1998","Slovenia",NA
"539","Weight of External Trade (Exports) (Tonnes)","1999","Slovenia",NA
"540","Value of External Trade (Exports) (Euro Thousand)","1999","Slovenia",NA
"541","Weight of External Trade (Exports) (Tonnes)","2000","Slovenia",NA
"542","Value of External Trade (Exports) (Euro Thousand)","2000","Slovenia",NA
"543","Weight of External Trade (Exports) (Tonnes)","2001","Slovenia",NA
"544","Value of External Trade (Exports) (Euro Thousand)","2001","Slovenia",NA
"545","Weight of External Trade (Exports) (Tonnes)","2002","Slovenia",28
"546","Value of External Trade (Exports) (Euro Thousand)","2002","Slovenia",205
"547","Weight of External Trade (Exports) (Tonnes)","2003","Slovenia",69
"548","Value of External Trade (Exports) (Euro Thousand)","2003","Slovenia",194
"549","Weight of External Trade (Exports) (Tonnes)","2004","Slovenia",51
"550","Value of External Trade (Exports) (Euro Thousand)","2004","Slovenia",54
"551","Weight of External Trade (Exports) (Tonnes)","1994","Spain",16794
"552","Value of External Trade (Exports) (Euro Thousand)","1994","Spain",49092
"553","Weight of External Trade (Exports) (Tonnes)","1995","Spain",17497
"554","Value of External Trade (Exports) (Euro Thousand)","1995","Spain",46818
"555","Weight of External Trade (Exports) (Tonnes)","1996","Spain",17280
"556","Value of External Trade (Exports) (Euro Thousand)","1996","Spain",42468
"557","Weight of External Trade (Exports) (Tonnes)","1997","Spain",15043
"558","Value of External Trade (Exports) (Euro Thousand)","1997","Spain",42154
"559","Weight of External Trade (Exports) (Tonnes)","1998","Spain",14633
"560","Value of External Trade (Exports) (Euro Thousand)","1998","Spain",46552
"561","Weight of External Trade (Exports) (Tonnes)","1999","Spain",14859
"562","Value of External Trade (Exports) (Euro Thousand)","1999","Spain",47811
"563","Weight of External Trade (Exports) (Tonnes)","2000","Spain",13620
"564","Value of External Trade (Exports) (Euro Thousand)","2000","Spain",47997
"565","Weight of External Trade (Exports) (Tonnes)","2001","Spain",21508
"566","Value of External Trade (Exports) (Euro Thousand)","2001","Spain",62424
"567","Weight of External Trade (Exports) (Tonnes)","2002","Spain",19140
"568","Value of External Trade (Exports) (Euro Thousand)","2002","Spain",52104
"569","Weight of External Trade (Exports) (Tonnes)","2003","Spain",21413
"570","Value of External Trade (Exports) (Euro Thousand)","2003","Spain",58242
"571","Weight of External Trade (Exports) (Tonnes)","2004","Spain",16100
"572","Value of External Trade (Exports) (Euro Thousand)","2004","Spain",63480
"573","Weight of External Trade (Exports) (Tonnes)","1994","Sweden",1282
"574","Value of External Trade (Exports) (Euro Thousand)","1994","Sweden",2618
"575","Weight of External Trade (Exports) (Tonnes)","1995","Sweden",2082
"576","Value of External Trade (Exports) (Euro Thousand)","1995","Sweden",3098
"577","Weight of External Trade (Exports) (Tonnes)","1996","Sweden",2073
"578","Value of External Trade (Exports) (Euro Thousand)","1996","Sweden",3860
"579","Weight of External Trade (Exports) (Tonnes)","1997","Sweden",1904
"580","Value of External Trade (Exports) (Euro Thousand)","1997","Sweden",3587
"581","Weight of External Trade (Exports) (Tonnes)","1998","Sweden",1200
"582","Value of External Trade (Exports) (Euro Thousand)","1998","Sweden",2931
"583","Weight of External Trade (Exports) (Tonnes)","1999","Sweden",1290
"584","Value of External Trade (Exports) (Euro Thousand)","1999","Sweden",3309
"585","Weight of External Trade (Exports) (Tonnes)","2000","Sweden",1188
"586","Value of External Trade (Exports) (Euro Thousand)","2000","Sweden",3521
"587","Weight of External Trade (Exports) (Tonnes)","2001","Sweden",3231
"588","Value of External Trade (Exports) (Euro Thousand)","2001","Sweden",5335
"589","Weight of External Trade (Exports) (Tonnes)","2002","Sweden",1469
"590","Value of External Trade (Exports) (Euro Thousand)","2002","Sweden",4074
"591","Weight of External Trade (Exports) (Tonnes)","2003","Sweden",1815
"592","Value of External Trade (Exports) (Euro Thousand)","2003","Sweden",4898
"593","Weight of External Trade (Exports) (Tonnes)","2004","Sweden",1236
"594","Value of External Trade (Exports) (Euro Thousand)","2004","Sweden",4577
"595","Weight of External Trade (Exports) (Tonnes)","1994","All countries excluding EU25 countries",NA
"596","Value of External Trade (Exports) (Euro Thousand)","1994","All countries excluding EU25 countries",NA
"597","Weight of External Trade (Exports) (Tonnes)","1995","All countries excluding EU25 countries",NA
"598","Value of External Trade (Exports) (Euro Thousand)","1995","All countries excluding EU25 countries",NA
"599","Weight of External Trade (Exports) (Tonnes)","1996","All countries excluding EU25 countries",NA
"600","Value of External Trade (Exports) (Euro Thousand)","1996","All countries excluding EU25 countries",NA
"601","Weight of External Trade (Exports) (Tonnes)","1997","All countries excluding EU25 countries",NA
"602","Value of External Trade (Exports) (Euro Thousand)","1997","All countries excluding EU25 countries",NA
"603","Weight of External Trade (Exports) (Tonnes)","1998","All countries excluding EU25 countries",NA
"604","Value of External Trade (Exports) (Euro Thousand)","1998","All countries excluding EU25 countries",NA
"605","Weight of External Trade (Exports) (Tonnes)","1999","All countries excluding EU25 countries",NA
"606","Value of External Trade (Exports) (Euro Thousand)","1999","All countries excluding EU25 countries",NA
"607","Weight of External Trade (Exports) (Tonnes)","2000","All countries excluding EU25 countries",NA
"608","Value of External Trade (Exports) (Euro Thousand)","2000","All countries excluding EU25 countries",NA
"609","Weight of External Trade (Exports) (Tonnes)","2001","All countries excluding EU25 countries",NA
"610","Value of External Trade (Exports) (Euro Thousand)","2001","All countries excluding EU25 countries",NA
"611","Weight of External Trade (Exports) (Tonnes)","2002","All countries excluding EU25 countries",107111
"612","Value of External Trade (Exports) (Euro Thousand)","2002","All countries excluding EU25 countries",94657
"613","Weight of External Trade (Exports) (Tonnes)","2003","All countries excluding EU25 countries",72093
"614","Value of External Trade (Exports) (Euro Thousand)","2003","All countries excluding EU25 countries",70468
"615","Weight of External Trade (Exports) (Tonnes)","2004","All countries excluding EU25 countries",84865
"616","Value of External Trade (Exports) (Euro Thousand)","2004","All countries excluding EU25 countries",69733
"617","Weight of External Trade (Exports) (Tonnes)","1994","All countries excluding EU15 countries",89717
"618","Value of External Trade (Exports) (Euro Thousand)","1994","All countries excluding EU15 countries",54176
"619","Weight of External Trade (Exports) (Tonnes)","1995","All countries excluding EU15 countries",137467
"620","Value of External Trade (Exports) (Euro Thousand)","1995","All countries excluding EU15 countries",77151
"621","Weight of External Trade (Exports) (Tonnes)","1996","All countries excluding EU15 countries",114625
"622","Value of External Trade (Exports) (Euro Thousand)","1996","All countries excluding EU15 countries",92319
"623","Weight of External Trade (Exports) (Tonnes)","1997","All countries excluding EU15 countries",102865
"624","Value of External Trade (Exports) (Euro Thousand)","1997","All countries excluding EU15 countries",74061
"625","Weight of External Trade (Exports) (Tonnes)","1998","All countries excluding EU15 countries",89083
"626","Value of External Trade (Exports) (Euro Thousand)","1998","All countries excluding EU15 countries",62705
"627","Weight of External Trade (Exports) (Tonnes)","1999","All countries excluding EU15 countries",83610
"628","Value of External Trade (Exports) (Euro Thousand)","1999","All countries excluding EU15 countries",59239
"629","Weight of External Trade (Exports) (Tonnes)","2000","All countries excluding EU15 countries",88145
"630","Value of External Trade (Exports) (Euro Thousand)","2000","All countries excluding EU15 countries",72269
"631","Weight of External Trade (Exports) (Tonnes)","2001","All countries excluding EU15 countries",104787
"632","Value of External Trade (Exports) (Euro Thousand)","2001","All countries excluding EU15 countries",95543
"633","Weight of External Trade (Exports) (Tonnes)","2002","All countries excluding EU15 countries",NA
"634","Value of External Trade (Exports) (Euro Thousand)","2002","All countries excluding EU15 countries",NA
"635","Weight of External Trade (Exports) (Tonnes)","2003","All countries excluding EU15 countries",NA
"636","Value of External Trade (Exports) (Euro Thousand)","2003","All countries excluding EU15 countries",NA
"637","Weight of External Trade (Exports) (Tonnes)","2004","All countries excluding EU15 countries",NA
"638","Value of External Trade (Exports) (Euro Thousand)","2004","All countries excluding EU15 countries",NA
"639","Weight of External Trade (Exports) (Tonnes)","1994","Bulgaria",795
"640","Value of External Trade (Exports) (Euro Thousand)","1994","Bulgaria",427
"641","Weight of External Trade (Exports) (Tonnes)","1995","Bulgaria",7294
"642","Value of External Trade (Exports) (Euro Thousand)","1995","Bulgaria",3027
"643","Weight of External Trade (Exports) (Tonnes)","1996","Bulgaria",4342
"644","Value of External Trade (Exports) (Euro Thousand)","1996","Bulgaria",2772
"645","Weight of External Trade (Exports) (Tonnes)","1997","Bulgaria",500
"646","Value of External Trade (Exports) (Euro Thousand)","1997","Bulgaria",161
"647","Weight of External Trade (Exports) (Tonnes)","1998","Bulgaria",2140
"648","Value of External Trade (Exports) (Euro Thousand)","1998","Bulgaria",1242
"649","Weight of External Trade (Exports) (Tonnes)","1999","Bulgaria",878
"650","Value of External Trade (Exports) (Euro Thousand)","1999","Bulgaria",373
"651","Weight of External Trade (Exports) (Tonnes)","2000","Bulgaria",3031
"652","Value of External Trade (Exports) (Euro Thousand)","2000","Bulgaria",2509
"653","Weight of External Trade (Exports) (Tonnes)","2001","Bulgaria",2735
"654","Value of External Trade (Exports) (Euro Thousand)","2001","Bulgaria",2172
"655","Weight of External Trade (Exports) (Tonnes)","2002","Bulgaria",3501
"656","Value of External Trade (Exports) (Euro Thousand)","2002","Bulgaria",2464
"657","Weight of External Trade (Exports) (Tonnes)","2003","Bulgaria",2228
"658","Value of External Trade (Exports) (Euro Thousand)","2003","Bulgaria",1714
"659","Weight of External Trade (Exports) (Tonnes)","2004","Bulgaria",987
"660","Value of External Trade (Exports) (Euro Thousand)","2004","Bulgaria",559
"661","Weight of External Trade (Exports) (Tonnes)","1994","China",NA
"662","Value of External Trade (Exports) (Euro Thousand)","1994","China",NA
"663","Weight of External Trade (Exports) (Tonnes)","1995","China",NA
"664","Value of External Trade (Exports) (Euro Thousand)","1995","China",NA
"665","Weight of External Trade (Exports) (Tonnes)","1996","China",NA
"666","Value of External Trade (Exports) (Euro Thousand)","1996","China",NA
"667","Weight of External Trade (Exports) (Tonnes)","1997","China",NA
"668","Value of External Trade (Exports) (Euro Thousand)","1997","China",NA
"669","Weight of External Trade (Exports) (Tonnes)","1998","China",NA
"670","Value of External Trade (Exports) (Euro Thousand)","1998","China",NA
"671","Weight of External Trade (Exports) (Tonnes)","1999","China",NA
"672","Value of External Trade (Exports) (Euro Thousand)","1999","China",NA
"673","Weight of External Trade (Exports) (Tonnes)","2000","China",NA
"674","Value of External Trade (Exports) (Euro Thousand)","2000","China",NA
"675","Weight of External Trade (Exports) (Tonnes)","2001","China",NA
"676","Value of External Trade (Exports) (Euro Thousand)","2001","China",NA
"677","Weight of External Trade (Exports) (Tonnes)","2002","China",2438
"678","Value of External Trade (Exports) (Euro Thousand)","2002","China",2785
"679","Weight of External Trade (Exports) (Tonnes)","2003","China",2423
"680","Value of External Trade (Exports) (Euro Thousand)","2003","China",2666
"681","Weight of External Trade (Exports) (Tonnes)","2004","China",4414
"682","Value of External Trade (Exports) (Euro Thousand)","2004","China",4059
"683","Weight of External Trade (Exports) (Tonnes)","1994","Egypt",7995
"684","Value of External Trade (Exports) (Euro Thousand)","1994","Egypt",3339
"685","Weight of External Trade (Exports) (Tonnes)","1995","Egypt",14723
"686","Value of External Trade (Exports) (Euro Thousand)","1995","Egypt",5050
"687","Weight of External Trade (Exports) (Tonnes)","1996","Egypt",5734
"688","Value of External Trade (Exports) (Euro Thousand)","1996","Egypt",2334
"689","Weight of External Trade (Exports) (Tonnes)","1997","Egypt",4420
"690","Value of External Trade (Exports) (Euro Thousand)","1997","Egypt",2289
"691","Weight of External Trade (Exports) (Tonnes)","1998","Egypt",15070
"692","Value of External Trade (Exports) (Euro Thousand)","1998","Egypt",6711
"693","Weight of External Trade (Exports) (Tonnes)","1999","Egypt",17230
"694","Value of External Trade (Exports) (Euro Thousand)","1999","Egypt",7027
"695","Weight of External Trade (Exports) (Tonnes)","2000","Egypt",36849
"696","Value of External Trade (Exports) (Euro Thousand)","2000","Egypt",18540
"697","Weight of External Trade (Exports) (Tonnes)","2001","Egypt",26163
"698","Value of External Trade (Exports) (Euro Thousand)","2001","Egypt",17491
"699","Weight of External Trade (Exports) (Tonnes)","2002","Egypt",28245
"700","Value of External Trade (Exports) (Euro Thousand)","2002","Egypt",15654
"701","Weight of External Trade (Exports) (Tonnes)","2003","Egypt",7672
"702","Value of External Trade (Exports) (Euro Thousand)","2003","Egypt",3262
"703","Weight of External Trade (Exports) (Tonnes)","2004","Egypt",33680
"704","Value of External Trade (Exports) (Euro Thousand)","2004","Egypt",13896
"705","Weight of External Trade (Exports) (Tonnes)","1994","Japan",11790
"706","Value of External Trade (Exports) (Euro Thousand)","1994","Japan",15605
"707","Weight of External Trade (Exports) (Tonnes)","1995","Japan",18941
"708","Value of External Trade (Exports) (Euro Thousand)","1995","Japan",21203
"709","Weight of External Trade (Exports) (Tonnes)","1996","Japan",18659
"710","Value of External Trade (Exports) (Euro Thousand)","1996","Japan",30076
"711","Weight of External Trade (Exports) (Tonnes)","1997","Japan",23106
"712","Value of External Trade (Exports) (Euro Thousand)","1997","Japan",22568
"713","Weight of External Trade (Exports) (Tonnes)","1998","Japan",19099
"714","Value of External Trade (Exports) (Euro Thousand)","1998","Japan",16176
"715","Weight of External Trade (Exports) (Tonnes)","1999","Japan",24463
"716","Value of External Trade (Exports) (Euro Thousand)","1999","Japan",19876
"717","Weight of External Trade (Exports) (Tonnes)","2000","Japan",15451
"718","Value of External Trade (Exports) (Euro Thousand)","2000","Japan",18351
"719","Weight of External Trade (Exports) (Tonnes)","2001","Japan",20105
"720","Value of External Trade (Exports) (Euro Thousand)","2001","Japan",21375
"721","Weight of External Trade (Exports) (Tonnes)","2002","Japan",18601
"722","Value of External Trade (Exports) (Euro Thousand)","2002","Japan",20390
"723","Weight of External Trade (Exports) (Tonnes)","2003","Japan",17027
"724","Value of External Trade (Exports) (Euro Thousand)","2003","Japan",16590
"725","Weight of External Trade (Exports) (Tonnes)","2004","Japan",13983
"726","Value of External Trade (Exports) (Euro Thousand)","2004","Japan",15059
"727","Weight of External Trade (Exports) (Tonnes)","1994","Nigeria",8188
"728","Value of External Trade (Exports) (Euro Thousand)","1994","Nigeria",3219
"729","Weight of External Trade (Exports) (Tonnes)","1995","Nigeria",22271
"730","Value of External Trade (Exports) (Euro Thousand)","1995","Nigeria",7688
"731","Weight of External Trade (Exports) (Tonnes)","1996","Nigeria",2628
"732","Value of External Trade (Exports) (Euro Thousand)","1996","Nigeria",2344
"733","Weight of External Trade (Exports) (Tonnes)","1997","Nigeria",14327
"734","Value of External Trade (Exports) (Euro Thousand)","1997","Nigeria",5573
"735","Weight of External Trade (Exports) (Tonnes)","1998","Nigeria",5172
"736","Value of External Trade (Exports) (Euro Thousand)","1998","Nigeria",2646
"737","Weight of External Trade (Exports) (Tonnes)","1999","Nigeria",NA
"738","Value of External Trade (Exports) (Euro Thousand)","1999","Nigeria",NA
"739","Weight of External Trade (Exports) (Tonnes)","2000","Nigeria",2732
"740","Value of External Trade (Exports) (Euro Thousand)","2000","Nigeria",1473
"741","Weight of External Trade (Exports) (Tonnes)","2001","Nigeria",11996
"742","Value of External Trade (Exports) (Euro Thousand)","2001","Nigeria",8790
"743","Weight of External Trade (Exports) (Tonnes)","2002","Nigeria",15346
"744","Value of External Trade (Exports) (Euro Thousand)","2002","Nigeria",11427
"745","Weight of External Trade (Exports) (Tonnes)","2003","Nigeria",17421
"746","Value of External Trade (Exports) (Euro Thousand)","2003","Nigeria",9869
"747","Weight of External Trade (Exports) (Tonnes)","2004","Nigeria",9718
"748","Value of External Trade (Exports) (Euro Thousand)","2004","Nigeria",6958
"749","Weight of External Trade (Exports) (Tonnes)","1994","Romania",1300
"750","Value of External Trade (Exports) (Euro Thousand)","1994","Romania",428
"751","Weight of External Trade (Exports) (Tonnes)","1995","Romania",6730
"752","Value of External Trade (Exports) (Euro Thousand)","1995","Romania",2456
"753","Weight of External Trade (Exports) (Tonnes)","1996","Romania",6396
"754","Value of External Trade (Exports) (Euro Thousand)","1996","Romania",3030
"755","Weight of External Trade (Exports) (Tonnes)","1997","Romania",2320
"756","Value of External Trade (Exports) (Euro Thousand)","1997","Romania",1374
"757","Weight of External Trade (Exports) (Tonnes)","1998","Romania",7793
"758","Value of External Trade (Exports) (Euro Thousand)","1998","Romania",3979
"759","Weight of External Trade (Exports) (Tonnes)","1999","Romania",4807
"760","Value of External Trade (Exports) (Euro Thousand)","1999","Romania",2749
"761","Weight of External Trade (Exports) (Tonnes)","2000","Romania",2214
"762","Value of External Trade (Exports) (Euro Thousand)","2000","Romania",2147
"763","Weight of External Trade (Exports) (Tonnes)","2001","Romania",7613
"764","Value of External Trade (Exports) (Euro Thousand)","2001","Romania",5835
"765","Weight of External Trade (Exports) (Tonnes)","2002","Romania",11767
"766","Value of External Trade (Exports) (Euro Thousand)","2002","Romania",8447
"767","Weight of External Trade (Exports) (Tonnes)","2003","Romania",7167
"768","Value of External Trade (Exports) (Euro Thousand)","2003","Romania",4593
"769","Weight of External Trade (Exports) (Tonnes)","2004","Romania",6306
"770","Value of External Trade (Exports) (Euro Thousand)","2004","Romania",3737
"771","Weight of External Trade (Exports) (Tonnes)","1994","Russian Federation",36871
"772","Value of External Trade (Exports) (Euro Thousand)","1994","Russian Federation",10379
"773","Weight of External Trade (Exports) (Tonnes)","1995","Russian Federation",25440
"774","Value of External Trade (Exports) (Euro Thousand)","1995","Russian Federation",7367
"775","Weight of External Trade (Exports) (Tonnes)","1996","Russian Federation",15364
"776","Value of External Trade (Exports) (Euro Thousand)","1996","Russian Federation",6850
"777","Weight of External Trade (Exports) (Tonnes)","1997","Russian Federation",11325
"778","Value of External Trade (Exports) (Euro Thousand)","1997","Russian Federation",6670
