"","Statistic","Domestic.or.Import.Source","Month","value"
"2139","Protein Content (%)","Domestic","2004M09",3.5
"2140","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004M09",28.2
"2141","Fat Content (%)","Import","2004M09",NA
"2142","Protein Content (%)","Import","2004M09",NA
"2143","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004M10",383.5
"2144","Fat Content (%)","Domestic","2004M10",4.16
"2145","Protein Content (%)","Domestic","2004M10",3.64
"2146","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004M10",36.2
"2147","Fat Content (%)","Import","2004M10",NA
"2148","Protein Content (%)","Import","2004M10",NA
"2149","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004M11",232.8
"2150","Fat Content (%)","Domestic","2004M11",4.2
"2151","Protein Content (%)","Domestic","2004M11",3.51
"2152","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004M11",39.2
"2153","Fat Content (%)","Import","2004M11",NA
"2154","Protein Content (%)","Import","2004M11",NA
"2155","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004M12",138.7
"2156","Fat Content (%)","Domestic","2004M12",3.99
"2157","Protein Content (%)","Domestic","2004M12",3.29
"2158","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004M12",47.9
"2159","Fat Content (%)","Import","2004M12",NA
"2160","Protein Content (%)","Import","2004M12",NA
"2161","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M01",123.1
"2162","Fat Content (%)","Domestic","2005M01",3.87
"2163","Protein Content (%)","Domestic","2005M01",3.17
"2164","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M01",48.9
"2165","Fat Content (%)","Import","2005M01",NA
"2166","Protein Content (%)","Import","2005M01",NA
"2167","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M02",187.6
"2168","Fat Content (%)","Domestic","2005M02",3.87
"2169","Protein Content (%)","Domestic","2005M02",3.18
"2170","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M02",46.2
"2171","Fat Content (%)","Import","2005M02",NA
"2172","Protein Content (%)","Import","2005M02",NA
"2173","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M03",327.4
"2174","Fat Content (%)","Domestic","2005M03",3.8
"2175","Protein Content (%)","Domestic","2005M03",3.15
"2176","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M03",50.2
"2177","Fat Content (%)","Import","2005M03",NA
"2178","Protein Content (%)","Import","2005M03",NA
"2179","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M04",587
"2180","Fat Content (%)","Domestic","2005M04",3.67
"2181","Protein Content (%)","Domestic","2005M04",3.2
"2182","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M04",44.3
"2183","Fat Content (%)","Import","2005M04",NA
"2184","Protein Content (%)","Import","2005M04",NA
"2185","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M05",679.7
"2186","Fat Content (%)","Domestic","2005M05",3.6
"2187","Protein Content (%)","Domestic","2005M05",3.26
"2188","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M05",48.9
"2189","Fat Content (%)","Import","2005M05",NA
"2190","Protein Content (%)","Import","2005M05",NA
"2191","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M06",640.6
"2192","Fat Content (%)","Domestic","2005M06",3.61
"2193","Protein Content (%)","Domestic","2005M06",3.22
"2194","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M06",43.9
"2195","Fat Content (%)","Import","2005M06",NA
"2196","Protein Content (%)","Import","2005M06",NA
"2197","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M07",612.6
"2198","Fat Content (%)","Domestic","2005M07",3.64
"2199","Protein Content (%)","Domestic","2005M07",3.22
"2200","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M07",44.7
"2201","Fat Content (%)","Import","2005M07",NA
"2202","Protein Content (%)","Import","2005M07",NA
"2203","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M08",559.7
"2204","Fat Content (%)","Domestic","2005M08",3.75
"2205","Protein Content (%)","Domestic","2005M08",3.3
"2206","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M08",42.4
"2207","Fat Content (%)","Import","2005M08",NA
"2208","Protein Content (%)","Import","2005M08",NA
"2209","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M09",469.8
"2210","Fat Content (%)","Domestic","2005M09",3.96
"2211","Protein Content (%)","Domestic","2005M09",3.5
"2212","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M09",47.5
"2213","Fat Content (%)","Import","2005M09",NA
"2214","Protein Content (%)","Import","2005M09",NA
"2215","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M10",376.5
"2216","Fat Content (%)","Domestic","2005M10",4.16
"2217","Protein Content (%)","Domestic","2005M10",3.63
"2218","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M10",42.4
"2219","Fat Content (%)","Import","2005M10",NA
"2220","Protein Content (%)","Import","2005M10",NA
"2221","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M11",216.4
"2222","Fat Content (%)","Domestic","2005M11",4.18
"2223","Protein Content (%)","Domestic","2005M11",3.5
"2224","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M11",42.3
"2225","Fat Content (%)","Import","2005M11",NA
"2226","Protein Content (%)","Import","2005M11",NA
"2227","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2005M12",134.9
"2228","Fat Content (%)","Domestic","2005M12",3.96
"2229","Protein Content (%)","Domestic","2005M12",3.31
"2230","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2005M12",48.6
"2231","Fat Content (%)","Import","2005M12",NA
"2232","Protein Content (%)","Import","2005M12",NA
"2233","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M01",119.9
"2234","Fat Content (%)","Domestic","2006M01",3.81
"2235","Protein Content (%)","Domestic","2006M01",3.17
"2236","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M01",58.1
"2237","Fat Content (%)","Import","2006M01",NA
"2238","Protein Content (%)","Import","2006M01",NA
"2239","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M02",187.7
"2240","Fat Content (%)","Domestic","2006M02",3.83
"2241","Protein Content (%)","Domestic","2006M02",3.19
"2242","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M02",41.4
"2243","Fat Content (%)","Import","2006M02",NA
"2244","Protein Content (%)","Import","2006M02",NA
"2245","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M03",391.1
"2246","Fat Content (%)","Domestic","2006M03",3.79
"2247","Protein Content (%)","Domestic","2006M03",3.16
"2248","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M03",45.3
"2249","Fat Content (%)","Import","2006M03",NA
"2250","Protein Content (%)","Import","2006M03",NA
"2251","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M04",552.2
"2252","Fat Content (%)","Domestic","2006M04",3.64
"2253","Protein Content (%)","Domestic","2006M04",3.21
"2254","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M04",48.2
"2255","Fat Content (%)","Import","2006M04",NA
"2256","Protein Content (%)","Import","2006M04",NA
"2257","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M05",683.6
"2258","Fat Content (%)","Domestic","2006M05",3.59
"2259","Protein Content (%)","Domestic","2006M05",3.28
"2260","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M05",49
"2261","Fat Content (%)","Import","2006M05",NA
"2262","Protein Content (%)","Import","2006M05",NA
"2263","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M06",641.6
"2264","Fat Content (%)","Domestic","2006M06",3.57
"2265","Protein Content (%)","Domestic","2006M06",3.23
"2266","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M06",47.9
"2267","Fat Content (%)","Import","2006M06",NA
"2268","Protein Content (%)","Import","2006M06",NA
"2269","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M07",620.3
"2270","Fat Content (%)","Domestic","2006M07",3.59
"2271","Protein Content (%)","Domestic","2006M07",3.21
"2272","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M07",45.64
"2273","Fat Content (%)","Import","2006M07",NA
"2274","Protein Content (%)","Import","2006M07",NA
"2275","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M08",564.7
"2276","Fat Content (%)","Domestic","2006M08",3.73
"2277","Protein Content (%)","Domestic","2006M08",3.28
"2278","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M08",45.04
"2279","Fat Content (%)","Import","2006M08",NA
"2280","Protein Content (%)","Import","2006M08",NA
"2281","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M09",487.8
"2282","Fat Content (%)","Domestic","2006M09",3.92
"2283","Protein Content (%)","Domestic","2006M09",3.44
"2284","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M09",47.3
"2285","Fat Content (%)","Import","2006M09",NA
"2286","Protein Content (%)","Import","2006M09",NA
"2287","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M10",411.5
"2288","Fat Content (%)","Domestic","2006M10",4.1
"2289","Protein Content (%)","Domestic","2006M10",3.58
"2290","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M10",44.8
"2291","Fat Content (%)","Import","2006M10",NA
"2292","Protein Content (%)","Import","2006M10",NA
"2293","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M11",265.4
"2294","Fat Content (%)","Domestic","2006M11",4.18
"2295","Protein Content (%)","Domestic","2006M11",3.57
"2296","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M11",44
"2297","Fat Content (%)","Import","2006M11",NA
"2298","Protein Content (%)","Import","2006M11",NA
"2299","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2006M12",148
"2300","Fat Content (%)","Domestic","2006M12",4.01
"2301","Protein Content (%)","Domestic","2006M12",3.36
"2302","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2006M12",49.4
"2303","Fat Content (%)","Import","2006M12",NA
"2304","Protein Content (%)","Import","2006M12",NA
"2305","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M01",122.7
"2306","Fat Content (%)","Domestic","2007M01",3.87
"2307","Protein Content (%)","Domestic","2007M01",3.22
"2308","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M01",54.6
"2309","Fat Content (%)","Import","2007M01",NA
"2310","Protein Content (%)","Import","2007M01",NA
"2311","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M02",184.8
"2312","Fat Content (%)","Domestic","2007M02",3.87
"2313","Protein Content (%)","Domestic","2007M02",3.2
"2314","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M02",38.03
"2315","Fat Content (%)","Import","2007M02",NA
"2316","Protein Content (%)","Import","2007M02",NA
"2317","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M03",385.11
"2318","Fat Content (%)","Domestic","2007M03",3.8
"2319","Protein Content (%)","Domestic","2007M03",3.1
"2320","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M03",35.8
"2321","Fat Content (%)","Import","2007M03",NA
"2322","Protein Content (%)","Import","2007M03",NA
"2323","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M04",579.1
"2324","Fat Content (%)","Domestic","2007M04",3.59
"2325","Protein Content (%)","Domestic","2007M04",3.24
"2326","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M04",38.71
"2327","Fat Content (%)","Import","2007M04",NA
"2328","Protein Content (%)","Import","2007M04",NA
"2329","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M05",686.2
"2330","Fat Content (%)","Domestic","2007M05",3.62
"2331","Protein Content (%)","Domestic","2007M05",3.26
"2332","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M05",46.9
"2333","Fat Content (%)","Import","2007M05",NA
"2334","Protein Content (%)","Import","2007M05",NA
"2335","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M06",643.2
"2336","Fat Content (%)","Domestic","2007M06",3.66
"2337","Protein Content (%)","Domestic","2007M06",3.24
"2338","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M06",45.7
"2339","Fat Content (%)","Import","2007M06",NA
"2340","Protein Content (%)","Import","2007M06",NA
"2341","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M07",613.4
"2342","Fat Content (%)","Domestic","2007M07",3.71
"2343","Protein Content (%)","Domestic","2007M07",3.27
"2344","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M07",39.7
"2345","Fat Content (%)","Import","2007M07",NA
"2346","Protein Content (%)","Import","2007M07",NA
"2347","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M08",559.1
"2348","Fat Content (%)","Domestic","2007M08",3.79
"2349","Protein Content (%)","Domestic","2007M08",3.34
"2350","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M08",33.4
"2351","Fat Content (%)","Import","2007M08",NA
"2352","Protein Content (%)","Import","2007M08",NA
"2353","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M09",478.31
"2354","Fat Content (%)","Domestic","2007M09",3.93
"2355","Protein Content (%)","Domestic","2007M09",3.48
"2356","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M09",31.71
"2357","Fat Content (%)","Import","2007M09",NA
"2358","Protein Content (%)","Import","2007M09",NA
"2359","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M10",407.93
"2360","Fat Content (%)","Domestic","2007M10",4.12
"2361","Protein Content (%)","Domestic","2007M10",3.64
"2362","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M10",33.7
"2363","Fat Content (%)","Import","2007M10",NA
"2364","Protein Content (%)","Import","2007M10",NA
"2365","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M11",266.7
"2366","Fat Content (%)","Domestic","2007M11",4.24
"2367","Protein Content (%)","Domestic","2007M11",3.65
"2368","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M11",36.7
"2369","Fat Content (%)","Import","2007M11",NA
"2370","Protein Content (%)","Import","2007M11",NA
"2371","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2007M12",147.8
"2372","Fat Content (%)","Domestic","2007M12",4.05
"2373","Protein Content (%)","Domestic","2007M12",3.38
"2374","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2007M12",38.2
"2375","Fat Content (%)","Import","2007M12",NA
"2376","Protein Content (%)","Import","2007M12",NA
"2377","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M01",127
"2378","Fat Content (%)","Domestic","2008M01",3.88
"2379","Protein Content (%)","Domestic","2008M01",3.23
"2380","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M01",38.2
"2381","Fat Content (%)","Import","2008M01",NA
"2382","Protein Content (%)","Import","2008M01",NA
"2383","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M02",204
"2384","Fat Content (%)","Domestic","2008M02",3.87
"2385","Protein Content (%)","Domestic","2008M02",3.22
"2386","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M02",36.8
"2387","Fat Content (%)","Import","2008M02",NA
"2388","Protein Content (%)","Import","2008M02",NA
"2389","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M03",378.42
"2390","Fat Content (%)","Domestic","2008M03",3.83
"2391","Protein Content (%)","Domestic","2008M03",3.18
"2392","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M03",40.7
"2393","Fat Content (%)","Import","2008M03",NA
"2394","Protein Content (%)","Import","2008M03",NA
"2395","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M04",573.1
"2396","Fat Content (%)","Domestic","2008M04",3.66
"2397","Protein Content (%)","Domestic","2008M04",3.26
"2398","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M04",40.3
"2399","Fat Content (%)","Import","2008M04",NA
"2400","Protein Content (%)","Import","2008M04",NA
"2401","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M05",681
"2402","Fat Content (%)","Domestic","2008M05",3.62
"2403","Protein Content (%)","Domestic","2008M05",3.33
"2404","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M05",42
"2405","Fat Content (%)","Import","2008M05",NA
"2406","Protein Content (%)","Import","2008M05",NA
"2407","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M06",637.4
"2408","Fat Content (%)","Domestic","2008M06",3.66
"2409","Protein Content (%)","Domestic","2008M06",3.27
"2410","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M06",37.03
"2411","Fat Content (%)","Import","2008M06",NA
"2412","Protein Content (%)","Import","2008M06",NA
"2413","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M07",605.94
"2414","Fat Content (%)","Domestic","2008M07",3.73
"2415","Protein Content (%)","Domestic","2008M07",3.29
"2416","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M07",41.24
"2417","Fat Content (%)","Import","2008M07",NA
"2418","Protein Content (%)","Import","2008M07",NA
"2419","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M08",542.2
"2420","Fat Content (%)","Domestic","2008M08",3.85
"2421","Protein Content (%)","Domestic","2008M08",3.36
"2422","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M08",35.23
"2423","Fat Content (%)","Import","2008M08",NA
"2424","Protein Content (%)","Import","2008M08",NA
"2425","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M09",439.4
"2426","Fat Content (%)","Domestic","2008M09",4.04
"2427","Protein Content (%)","Domestic","2008M09",3.53
"2428","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M09",32.93
"2429","Fat Content (%)","Import","2008M09",NA
"2430","Protein Content (%)","Import","2008M09",NA
"2431","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M10",372.34
"2432","Fat Content (%)","Domestic","2008M10",4.23
"2433","Protein Content (%)","Domestic","2008M10",3.63
"2434","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M10",38.24
"2435","Fat Content (%)","Import","2008M10",NA
"2436","Protein Content (%)","Import","2008M10",NA
"2437","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M11",231.7
"2438","Fat Content (%)","Domestic","2008M11",4.21
"2439","Protein Content (%)","Domestic","2008M11",3.52
"2440","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M11",49.1
"2441","Fat Content (%)","Import","2008M11",NA
"2442","Protein Content (%)","Import","2008M11",NA
"2443","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2008M12",150.9
"2444","Fat Content (%)","Domestic","2008M12",4.05
"2445","Protein Content (%)","Domestic","2008M12",3.35
"2446","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2008M12",32.4
"2447","Fat Content (%)","Import","2008M12",NA
"2448","Protein Content (%)","Import","2008M12",NA
"2449","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M01",131.42
"2450","Fat Content (%)","Domestic","2009M01",3.94
"2451","Protein Content (%)","Domestic","2009M01",3.25
"2452","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M01",34.92
"2453","Fat Content (%)","Import","2009M01",NA
"2454","Protein Content (%)","Import","2009M01",NA
"2455","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M02",197.1
"2456","Fat Content (%)","Domestic","2009M02",3.94
"2457","Protein Content (%)","Domestic","2009M02",3.23
"2458","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M02",31.6
"2459","Fat Content (%)","Import","2009M02",NA
"2460","Protein Content (%)","Import","2009M02",NA
"2461","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M03",416.43
"2462","Fat Content (%)","Domestic","2009M03",3.81
"2463","Protein Content (%)","Domestic","2009M03",3.18
"2464","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M03",39.12
"2465","Fat Content (%)","Import","2009M03",NA
"2466","Protein Content (%)","Import","2009M03",NA
"2467","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M04",560.74
"2468","Fat Content (%)","Domestic","2009M04",3.67
"2469","Protein Content (%)","Domestic","2009M04",3.28
"2470","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M04",36.24
"2471","Fat Content (%)","Import","2009M04",NA
"2472","Protein Content (%)","Import","2009M04",NA
"2473","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M05",645.6
"2474","Fat Content (%)","Domestic","2009M05",3.65
"2475","Protein Content (%)","Domestic","2009M05",3.26
"2476","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M05",33.9
"2477","Fat Content (%)","Import","2009M05",NA
"2478","Protein Content (%)","Import","2009M05",NA
"2479","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M06",615.54
"2480","Fat Content (%)","Domestic","2009M06",3.65
"2481","Protein Content (%)","Domestic","2009M06",3.23
"2482","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M06",63
"2483","Fat Content (%)","Import","2009M06",NA
"2484","Protein Content (%)","Import","2009M06",NA
"2485","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M07",576.9
"2486","Fat Content (%)","Domestic","2009M07",3.73
"2487","Protein Content (%)","Domestic","2009M07",3.26
"2488","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M07",34.3
"2489","Fat Content (%)","Import","2009M07",NA
"2490","Protein Content (%)","Import","2009M07",NA
"2491","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M08",504.24
"2492","Fat Content (%)","Domestic","2009M08",3.85
"2493","Protein Content (%)","Domestic","2009M08",3.35
"2494","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M08",33.1
"2495","Fat Content (%)","Import","2009M08",NA
"2496","Protein Content (%)","Import","2009M08",NA
"2497","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M09",415.64
"2498","Fat Content (%)","Domestic","2009M09",4.04
"2499","Protein Content (%)","Domestic","2009M09",3.55
"2500","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M09",29.5
"2501","Fat Content (%)","Import","2009M09",NA
"2502","Protein Content (%)","Import","2009M09",NA
"2503","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M10",365.72
"2504","Fat Content (%)","Domestic","2009M10",4.16
"2505","Protein Content (%)","Domestic","2009M10",3.66
"2506","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M10",29.2
"2507","Fat Content (%)","Import","2009M10",NA
"2508","Protein Content (%)","Import","2009M10",NA
"2509","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M11",220.1
"2510","Fat Content (%)","Domestic","2009M11",4.28
"2511","Protein Content (%)","Domestic","2009M11",3.54
"2512","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M11",30.9
"2513","Fat Content (%)","Import","2009M11",NA
"2514","Protein Content (%)","Import","2009M11",NA
"2515","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2009M12",136.11
"2516","Fat Content (%)","Domestic","2009M12",4.1
"2517","Protein Content (%)","Domestic","2009M12",3.37
"2518","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2009M12",31.7
"2519","Fat Content (%)","Import","2009M12",NA
"2520","Protein Content (%)","Import","2009M12",NA
"2521","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M01",118.11
"2522","Fat Content (%)","Domestic","2010M01",4.01
"2523","Protein Content (%)","Domestic","2010M01",3.27
"2524","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M01",35.42
"2525","Fat Content (%)","Import","2010M01",NA
"2526","Protein Content (%)","Import","2010M01",NA
"2527","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M02",192.71
"2528","Fat Content (%)","Domestic","2010M02",3.99
"2529","Protein Content (%)","Domestic","2010M02",3.19
"2530","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M02",32.4
"2531","Fat Content (%)","Import","2010M02",NA
"2532","Protein Content (%)","Import","2010M02",NA
"2533","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M03",380.8
"2534","Fat Content (%)","Domestic","2010M03",3.89
"2535","Protein Content (%)","Domestic","2010M03",3.1
"2536","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M03",33.9
"2537","Fat Content (%)","Import","2010M03",NA
"2538","Protein Content (%)","Import","2010M03",NA
"2539","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M04",530.8
"2540","Fat Content (%)","Domestic","2010M04",3.67
"2541","Protein Content (%)","Domestic","2010M04",3.18
"2542","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M04",34.5
"2543","Fat Content (%)","Import","2010M04",NA
"2544","Protein Content (%)","Import","2010M04",NA
"2545","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M05",693.9
"2546","Fat Content (%)","Domestic","2010M05",3.57
"2547","Protein Content (%)","Domestic","2010M05",3.3
"2548","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M05",40.7
"2549","Fat Content (%)","Import","2010M05",NA
"2550","Protein Content (%)","Import","2010M05",NA
"2551","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M06",664.94
"2552","Fat Content (%)","Domestic","2010M06",3.65
"2553","Protein Content (%)","Domestic","2010M06",3.31
"2554","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M06",32.3
"2555","Fat Content (%)","Import","2010M06",NA
"2556","Protein Content (%)","Import","2010M06",NA
"2557","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M07",623.3
"2558","Fat Content (%)","Domestic","2010M07",3.75
"2559","Protein Content (%)","Domestic","2010M07",3.3
"2560","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M07",30.91
"2561","Fat Content (%)","Import","2010M07",NA
"2562","Protein Content (%)","Import","2010M07",NA
