"","Statistic","Domestic.or.Import.Source","Month","value"
"195","Protein Content (%)","Domestic","1977M09",NA
"196","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M09",NA
"197","Fat Content (%)","Import","1977M09",NA
"198","Protein Content (%)","Import","1977M09",NA
"199","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M10",273.7
"200","Fat Content (%)","Domestic","1977M10",NA
"201","Protein Content (%)","Domestic","1977M10",NA
"202","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M10",NA
"203","Fat Content (%)","Import","1977M10",NA
"204","Protein Content (%)","Import","1977M10",NA
"205","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M11",133.2
"206","Fat Content (%)","Domestic","1977M11",NA
"207","Protein Content (%)","Domestic","1977M11",NA
"208","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M11",NA
"209","Fat Content (%)","Import","1977M11",NA
"210","Protein Content (%)","Import","1977M11",NA
"211","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1977M12",81
"212","Fat Content (%)","Domestic","1977M12",NA
"213","Protein Content (%)","Domestic","1977M12",NA
"214","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1977M12",NA
"215","Fat Content (%)","Import","1977M12",NA
"216","Protein Content (%)","Import","1977M12",NA
"217","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M01",86.3
"218","Fat Content (%)","Domestic","1978M01",NA
"219","Protein Content (%)","Domestic","1978M01",NA
"220","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M01",NA
"221","Fat Content (%)","Import","1978M01",NA
"222","Protein Content (%)","Import","1978M01",NA
"223","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M02",139.2
"224","Fat Content (%)","Domestic","1978M02",NA
"225","Protein Content (%)","Domestic","1978M02",NA
"226","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M02",NA
"227","Fat Content (%)","Import","1978M02",NA
"228","Protein Content (%)","Import","1978M02",NA
"229","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M03",289.2
"230","Fat Content (%)","Domestic","1978M03",NA
"231","Protein Content (%)","Domestic","1978M03",NA
"232","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M03",NA
"233","Fat Content (%)","Import","1978M03",NA
"234","Protein Content (%)","Import","1978M03",NA
"235","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M04",459.3
"236","Fat Content (%)","Domestic","1978M04",NA
"237","Protein Content (%)","Domestic","1978M04",NA
"238","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M04",NA
"239","Fat Content (%)","Import","1978M04",NA
"240","Protein Content (%)","Import","1978M04",NA
"241","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M05",640.2
"242","Fat Content (%)","Domestic","1978M05",NA
"243","Protein Content (%)","Domestic","1978M05",NA
"244","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M05",NA
"245","Fat Content (%)","Import","1978M05",NA
"246","Protein Content (%)","Import","1978M05",NA
"247","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M06",637
"248","Fat Content (%)","Domestic","1978M06",NA
"249","Protein Content (%)","Domestic","1978M06",NA
"250","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M06",NA
"251","Fat Content (%)","Import","1978M06",NA
"252","Protein Content (%)","Import","1978M06",NA
"253","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M07",582.3
"254","Fat Content (%)","Domestic","1978M07",NA
"255","Protein Content (%)","Domestic","1978M07",NA
"256","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M07",NA
"257","Fat Content (%)","Import","1978M07",NA
"258","Protein Content (%)","Import","1978M07",NA
"259","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M08",516.2
"260","Fat Content (%)","Domestic","1978M08",NA
"261","Protein Content (%)","Domestic","1978M08",NA
"262","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M08",NA
"263","Fat Content (%)","Import","1978M08",NA
"264","Protein Content (%)","Import","1978M08",NA
"265","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M09",436.2
"266","Fat Content (%)","Domestic","1978M09",NA
"267","Protein Content (%)","Domestic","1978M09",NA
"268","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M09",NA
"269","Fat Content (%)","Import","1978M09",NA
"270","Protein Content (%)","Import","1978M09",NA
"271","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M10",320.6
"272","Fat Content (%)","Domestic","1978M10",NA
"273","Protein Content (%)","Domestic","1978M10",NA
"274","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M10",NA
"275","Fat Content (%)","Import","1978M10",NA
"276","Protein Content (%)","Import","1978M10",NA
"277","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M11",167.1
"278","Fat Content (%)","Domestic","1978M11",NA
"279","Protein Content (%)","Domestic","1978M11",NA
"280","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M11",NA
"281","Fat Content (%)","Import","1978M11",NA
"282","Protein Content (%)","Import","1978M11",NA
"283","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1978M12",89.3
"284","Fat Content (%)","Domestic","1978M12",NA
"285","Protein Content (%)","Domestic","1978M12",NA
"286","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1978M12",NA
"287","Fat Content (%)","Import","1978M12",NA
"288","Protein Content (%)","Import","1978M12",NA
"289","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M01",96.3
"290","Fat Content (%)","Domestic","1979M01",NA
"291","Protein Content (%)","Domestic","1979M01",NA
"292","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M01",NA
"293","Fat Content (%)","Import","1979M01",NA
"294","Protein Content (%)","Import","1979M01",NA
"295","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M02",168.3
"296","Fat Content (%)","Domestic","1979M02",NA
"297","Protein Content (%)","Domestic","1979M02",NA
"298","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M02",NA
"299","Fat Content (%)","Import","1979M02",NA
"300","Protein Content (%)","Import","1979M02",NA
"301","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M03",327.7
"302","Fat Content (%)","Domestic","1979M03",NA
"303","Protein Content (%)","Domestic","1979M03",NA
"304","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M03",NA
"305","Fat Content (%)","Import","1979M03",NA
"306","Protein Content (%)","Import","1979M03",NA
"307","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M04",462.5
"308","Fat Content (%)","Domestic","1979M04",NA
"309","Protein Content (%)","Domestic","1979M04",NA
"310","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M04",NA
"311","Fat Content (%)","Import","1979M04",NA
"312","Protein Content (%)","Import","1979M04",NA
"313","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M05",660.3
"314","Fat Content (%)","Domestic","1979M05",NA
"315","Protein Content (%)","Domestic","1979M05",NA
"316","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M05",NA
"317","Fat Content (%)","Import","1979M05",NA
"318","Protein Content (%)","Import","1979M05",NA
"319","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M06",659.7
"320","Fat Content (%)","Domestic","1979M06",NA
"321","Protein Content (%)","Domestic","1979M06",NA
"322","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M06",NA
"323","Fat Content (%)","Import","1979M06",NA
"324","Protein Content (%)","Import","1979M06",NA
"325","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M07",625.1
"326","Fat Content (%)","Domestic","1979M07",NA
"327","Protein Content (%)","Domestic","1979M07",NA
"328","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M07",NA
"329","Fat Content (%)","Import","1979M07",NA
"330","Protein Content (%)","Import","1979M07",NA
"331","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M08",526.9
"332","Fat Content (%)","Domestic","1979M08",NA
"333","Protein Content (%)","Domestic","1979M08",NA
"334","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M08",NA
"335","Fat Content (%)","Import","1979M08",NA
"336","Protein Content (%)","Import","1979M08",NA
"337","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M09",430
"338","Fat Content (%)","Domestic","1979M09",NA
"339","Protein Content (%)","Domestic","1979M09",NA
"340","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M09",NA
"341","Fat Content (%)","Import","1979M09",NA
"342","Protein Content (%)","Import","1979M09",NA
"343","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M10",304.5
"344","Fat Content (%)","Domestic","1979M10",NA
"345","Protein Content (%)","Domestic","1979M10",NA
"346","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M10",NA
"347","Fat Content (%)","Import","1979M10",NA
"348","Protein Content (%)","Import","1979M10",NA
"349","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M11",135.4
"350","Fat Content (%)","Domestic","1979M11",NA
"351","Protein Content (%)","Domestic","1979M11",NA
"352","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M11",NA
"353","Fat Content (%)","Import","1979M11",NA
"354","Protein Content (%)","Import","1979M11",NA
