"","Product","Month","value"
"597","Cheese","1992M06",12.9
"598","Butter","1992M06",17.7
"599","Skimmed Milk Powder","1992M06",19.2
"600","Butter and butteroil","1992M06",NA
"601","Cheese","1992M07",12.3
"602","Butter","1992M07",16.9
"603","Skimmed Milk Powder","1992M07",16.9
"604","Butter and butteroil","1992M07",NA
"605","Cheese","1992M08",11.1
"606","Butter","1992M08",14.8
"607","Skimmed Milk Powder","1992M08",14.8
"608","Butter and butteroil","1992M08",NA
"609","Cheese","1992M09",11.9
"610","Butter","1992M09",12.5
"611","Skimmed Milk Powder","1992M09",10.7
"612","Butter and butteroil","1992M09",NA
"613","Cheese","1992M10",8
"614","Butter","1992M10",10.2
"615","Skimmed Milk Powder","1992M10",5.1
"616","Butter and butteroil","1992M10",NA
"617","Cheese","1992M11",3.3
"618","Butter","1992M11",5.3
"619","Skimmed Milk Powder","1992M11",1.1
"620","Butter and butteroil","1992M11",NA
"621","Cheese","1992M12",0.8
"622","Butter","1992M12",4.5
"623","Skimmed Milk Powder","1992M12",3.7
"624","Butter and butteroil","1992M12",NA
"625","Cheese","1993M01",0.8
"626","Butter","1993M01",3
"627","Skimmed Milk Powder","1993M01",4.4
"628","Butter and butteroil","1993M01",NA
"629","Cheese","1993M02",1.6
"630","Butter","1993M02",4.7
"631","Skimmed Milk Powder","1993M02",7.3
"632","Butter and butteroil","1993M02",NA
"633","Cheese","1993M03",5.8
"634","Butter","1993M03",10.9
"635","Skimmed Milk Powder","1993M03",13.9
"636","Butter and butteroil","1993M03",NA
"637","Cheese","1993M04",11.7
"638","Butter","1993M04",13.5
"639","Skimmed Milk Powder","1993M04",14.3
"640","Butter and butteroil","1993M04",NA
"641","Cheese","1993M05",13.3
"642","Butter","1993M05",16.5
"643","Skimmed Milk Powder","1993M05",20.8
"644","Butter and butteroil","1993M05",NA
"645","Cheese","1993M06",12.9
"646","Butter","1993M06",17.5
"647","Skimmed Milk Powder","1993M06",20.7
"648","Butter and butteroil","1993M06",NA
"649","Cheese","1993M07",13.1
"650","Butter","1993M07",16.4
"651","Skimmed Milk Powder","1993M07",18.4
"652","Butter and butteroil","1993M07",NA
"653","Cheese","1993M08",11.2
"654","Butter","1993M08",14.4
"655","Skimmed Milk Powder","1993M08",13.5
"656","Butter and butteroil","1993M08",NA
"657","Cheese","1993M09",10.9
"658","Butter","1993M09",11.8
"659","Skimmed Milk Powder","1993M09",8.5
"660","Butter and butteroil","1993M09",NA
"661","Cheese","1993M10",7.7
"662","Butter","1993M10",9.2
"663","Skimmed Milk Powder","1993M10",3.7
"664","Butter and butteroil","1993M10",NA
"665","Cheese","1993M11",2.8
"666","Butter","1993M11",6
"667","Skimmed Milk Powder","1993M11",1.9
"668","Butter and butteroil","1993M11",NA
"669","Cheese","1993M12",0.9
"670","Butter","1993M12",3.8
"671","Skimmed Milk Powder","1993M12",4.6
"672","Butter and butteroil","1993M12",NA
"673","Cheese","1994M01",0.9
"674","Butter","1994M01",3
"675","Skimmed Milk Powder","1994M01",3.5
"676","Butter and butteroil","1994M01",NA
"677","Cheese","1994M02",1.9
"678","Butter","1994M02",4.4
"679","Skimmed Milk Powder","1994M02",6.3
"680","Butter and butteroil","1994M02",NA
"681","Cheese","1994M03",5.9
"682","Butter","1994M03",9.6
"683","Skimmed Milk Powder","1994M03",10.9
"684","Butter and butteroil","1994M03",NA
"685","Cheese","1994M04",9.5
"686","Butter","1994M04",13
"687","Skimmed Milk Powder","1994M04",14.4
"688","Butter and butteroil","1994M04",NA
"689","Cheese","1994M05",13.2
"690","Butter","1994M05",17.7
"691","Skimmed Milk Powder","1994M05",21.1
"692","Butter and butteroil","1994M05",NA
"693","Cheese","1994M06",13
"694","Butter","1994M06",17.7
"695","Skimmed Milk Powder","1994M06",21.1
"696","Butter and butteroil","1994M06",NA
"697","Cheese","1994M07",11
"698","Butter","1994M07",17
"699","Skimmed Milk Powder","1994M07",16.4
"700","Butter and butteroil","1994M07",NA
"701","Cheese","1994M08",8.9
"702","Butter","1994M08",15.5
"703","Skimmed Milk Powder","1994M08",15.9
"704","Butter and butteroil","1994M08",NA
"705","Cheese","1994M09",11.4
"706","Butter","1994M09",11.1
"707","Skimmed Milk Powder","1994M09",8.1
"708","Butter and butteroil","1994M09",NA
"709","Cheese","1994M10",9.3
"710","Butter","1994M10",8.5
"711","Skimmed Milk Powder","1994M10",4.3
"712","Butter and butteroil","1994M10",NA
"713","Cheese","1994M11",4.5
"714","Butter","1994M11",6
"715","Skimmed Milk Powder","1994M11",2.5
"716","Butter and butteroil","1994M11",NA
"717","Cheese","1994M12",3.2
"718","Butter","1994M12",3.5
"719","Skimmed Milk Powder","1994M12",5
"720","Butter and butteroil","1994M12",NA
"721","Cheese","1995M01",1.7
"722","Butter","1995M01",3.3
"723","Skimmed Milk Powder","1995M01",4
"724","Butter and butteroil","1995M01",NA
"725","Cheese","1995M02",2.7
"726","Butter","1995M02",4.4
"727","Skimmed Milk Powder","1995M02",5
"728","Butter and butteroil","1995M02",NA
"729","Cheese","1995M03",5.2
"730","Butter","1995M03",10
