"","Type.of.Milk","Month","value"
"1903","Skimmed and Semi-skimmed milk","2011M09",14.7
"1904","Skimmed Milk","2011M09",1.9
"1905","Semi-skimmed milk","2011M09",12.81
"1906","All Milk","2011M10",41.11
"1907","Whole Milk","2011M10",25.94
"1908","Skimmed and Semi-skimmed milk","2011M10",15.2
"1909","Skimmed Milk","2011M10",1.9
"1910","Semi-skimmed milk","2011M10",13.3
"1911","All Milk","2011M11",40.83
"1912","Whole Milk","2011M11",25.3
"1913","Skimmed and Semi-skimmed milk","2011M11",15.6
"1914","Skimmed Milk","2011M11",1.84
"1915","Semi-skimmed milk","2011M11",13.73
"1916","All Milk","2011M12",39.9
"1917","Whole Milk","2011M12",25.41
"1918","Skimmed and Semi-skimmed milk","2011M12",14.44
"1919","Skimmed Milk","2011M12",1.7
"1920","Semi-skimmed milk","2011M12",12.8
"1921","All Milk","2012M01",40.7
"1922","Whole Milk","2012M01",25.4
"1923","Skimmed and Semi-skimmed milk","2012M01",15.3
"1924","Skimmed Milk","2012M01",2
"1925","Semi-skimmed milk","2012M01",13.3
"1926","All Milk","2012M02",38.8
"1927","Whole Milk","2012M02",24.2
"1928","Skimmed and Semi-skimmed milk","2012M02",14.7
"1929","Skimmed Milk","2012M02",1.9
"1930","Semi-skimmed milk","2012M02",12.8
"1931","All Milk","2012M03",43
"1932","Whole Milk","2012M03",26.6
"1933","Skimmed and Semi-skimmed milk","2012M03",16.4
"1934","Skimmed Milk","2012M03",2.1
"1935","Semi-skimmed milk","2012M03",14.3
"1936","All Milk","2012M04",39.2
"1937","Whole Milk","2012M04",24.1
"1938","Skimmed and Semi-skimmed milk","2012M04",15.1
"1939","Skimmed Milk","2012M04",1.9
"1940","Semi-skimmed milk","2012M04",13.2
"1941","All Milk","2012M05",41.1
"1942","Whole Milk","2012M05",25.3
"1943","Skimmed and Semi-skimmed milk","2012M05",15.8
"1944","Skimmed Milk","2012M05",2.1
"1945","Semi-skimmed milk","2012M05",13.7
"1946","All Milk","2012M06",40.8
"1947","Whole Milk","2012M06",25.1
"1948","Skimmed and Semi-skimmed milk","2012M06",15.7
"1949","Skimmed Milk","2012M06",2.1
"1950","Semi-skimmed milk","2012M06",13.6
"1951","All Milk","2012M07",40.4
"1952","Whole Milk","2012M07",24.8
"1953","Skimmed and Semi-skimmed milk","2012M07",15.6
"1954","Skimmed Milk","2012M07",1.9
"1955","Semi-skimmed milk","2012M07",13.7
"1956","All Milk","2012M08",41.6
"1957","Whole Milk","2012M08",25.7
"1958","Skimmed and Semi-skimmed milk","2012M08",15.8
"1959","Skimmed Milk","2012M08",1.9
"1960","Semi-skimmed milk","2012M08",13.9
"1961","All Milk","2012M09",39.5
"1962","Whole Milk","2012M09",24.4
"1963","Skimmed and Semi-skimmed milk","2012M09",15.1
"1964","Skimmed Milk","2012M09",1.9
"1965","Semi-skimmed milk","2012M09",13.2
"1966","All Milk","2012M10",41
"1967","Whole Milk","2012M10",25.4
"1968","Skimmed and Semi-skimmed milk","2012M10",15.6
"1969","Skimmed Milk","2012M10",2
"1970","Semi-skimmed milk","2012M10",13.7
"1971","All Milk","2012M11",40.9
"1972","Whole Milk","2012M11",25.5
"1973","Skimmed and Semi-skimmed milk","2012M11",15.4
"1974","Skimmed Milk","2012M11",1.9
"1975","Semi-skimmed milk","2012M11",13.6
"1976","All Milk","2012M12",40
"1977","Whole Milk","2012M12",25.1
"1978","Skimmed and Semi-skimmed milk","2012M12",14.9
"1979","Skimmed Milk","2012M12",1.5
"1980","Semi-skimmed milk","2012M12",13.4
"1981","All Milk","2013M01",40.8
"1982","Whole Milk","2013M01",25.4
"1983","Skimmed and Semi-skimmed milk","2013M01",15.4
"1984","Skimmed Milk","2013M01",1.7
"1985","Semi-skimmed milk","2013M01",13.7
"1986","All Milk","2013M02",37.2
"1987","Whole Milk","2013M02",22.8
"1988","Skimmed and Semi-skimmed milk","2013M02",14.3
"1989","Skimmed Milk","2013M02",1.6
"1990","Semi-skimmed milk","2013M02",12.8
"1991","All Milk","2013M03",41.2
"1992","Whole Milk","2013M03",25.3
"1993","Skimmed and Semi-skimmed milk","2013M03",15.9
"1994","Skimmed Milk","2013M03",1.8
"1995","Semi-skimmed milk","2013M03",14.1
"1996","All Milk","2013M04",40.2
"1997","Whole Milk","2013M04",24.7
"1998","Skimmed and Semi-skimmed milk","2013M04",15.4
"1999","Skimmed Milk","2013M04",1.7
"2000","Semi-skimmed milk","2013M04",13.7
"2001","All Milk","2013M05",41
"2002","Whole Milk","2013M05",25.4
"2003","Skimmed and Semi-skimmed milk","2013M05",15.6
"2004","Skimmed Milk","2013M05",1.7
"2005","Semi-skimmed milk","2013M05",13.9
"2006","All Milk","2013M06",39.1
"2007","Whole Milk","2013M06",24.3
"2008","Skimmed and Semi-skimmed milk","2013M06",14.7
"2009","Skimmed Milk","2013M06",1.6
"2010","Semi-skimmed milk","2013M06",13.1
"2011","All Milk","2013M07",39.5
"2012","Whole Milk","2013M07",24.6
"2013","Skimmed and Semi-skimmed milk","2013M07",15
"2014","Skimmed Milk","2013M07",1.6
"2015","Semi-skimmed milk","2013M07",13.4
"2016","All Milk","2013M08",40.7
"2017","Whole Milk","2013M08",24.1
"2018","Skimmed and Semi-skimmed milk","2013M08",16.6
"2019","Skimmed Milk","2013M08",1.6
"2020","Semi-skimmed milk","2013M08",15
"2021","All Milk","2013M09",39.1
"2022","Whole Milk","2013M09",23
"2023","Skimmed and Semi-skimmed milk","2013M09",16.2
"2024","Skimmed Milk","2013M09",1.6
"2025","Semi-skimmed milk","2013M09",14.6
"2026","All Milk","2013M10",40.4
"2027","Whole Milk","2013M10",23.6
"2028","Skimmed and Semi-skimmed milk","2013M10",16.9
"2029","Skimmed Milk","2013M10",1.7
"2030","Semi-skimmed milk","2013M10",15.2
"2031","All Milk","2013M11",40.5
"2032","Whole Milk","2013M11",23.9
"2033","Skimmed and Semi-skimmed milk","2013M11",16.6
"2034","Skimmed Milk","2013M11",1.6
"2035","Semi-skimmed milk","2013M11",15
"2036","All Milk","2013M12",39.4
"2037","Whole Milk","2013M12",23.4
"2038","Skimmed and Semi-skimmed milk","2013M12",16.1
"2039","Skimmed Milk","2013M12",1.5
"2040","Semi-skimmed milk","2013M12",14.6
"2041","All Milk","2014M01",40.4
"2042","Whole Milk","2014M01",23.5
"2043","Skimmed and Semi-skimmed milk","2014M01",16.9
"2044","Skimmed Milk","2014M01",1.7
"2045","Semi-skimmed milk","2014M01",15.2
"2046","All Milk","2014M02",36.6
"2047","Whole Milk","2014M02",21.3
"2048","Skimmed and Semi-skimmed milk","2014M02",15.4
"2049","Skimmed Milk","2014M02",1.6
"2050","Semi-skimmed milk","2014M02",13.8
"2051","All Milk","2014M03",44.1
"2052","Whole Milk","2014M03",25.4
"2053","Skimmed and Semi-skimmed milk","2014M03",18.7
"2054","Skimmed Milk","2014M03",2.1
"2055","Semi-skimmed milk","2014M03",16.7
"2056","All Milk","2014M04",36.9
"2057","Whole Milk","2014M04",21.9
"2058","Skimmed and Semi-skimmed milk","2014M04",15
"2059","Skimmed Milk","2014M04",1.6
"2060","Semi-skimmed milk","2014M04",13.4
"2061","All Milk","2014M05",43.4
"2062","Whole Milk","2014M05",24.5
"2063","Skimmed and Semi-skimmed milk","2014M05",18.9
"2064","Skimmed Milk","2014M05",1.9
"2065","Semi-skimmed milk","2014M05",17
