"","Type.of.Milk","Month","value"
"452","Whole Milk","1987M07",40.3
"453","Skimmed and Semi-skimmed milk","1987M07",NA
"454","Skimmed Milk","1987M07",0.5
"455","Semi-skimmed milk","1987M07",2
"456","All Milk","1987M08",41.9
"457","Whole Milk","1987M08",39.3
"458","Skimmed and Semi-skimmed milk","1987M08",NA
"459","Skimmed Milk","1987M08",0.5
"460","Semi-skimmed milk","1987M08",2
"461","All Milk","1987M09",41.4
"462","Whole Milk","1987M09",38.9
"463","Skimmed and Semi-skimmed milk","1987M09",NA
"464","Skimmed Milk","1987M09",0.4
"465","Semi-skimmed milk","1987M09",2.1
"466","All Milk","1987M10",42.3
"467","Whole Milk","1987M10",39.8
"468","Skimmed and Semi-skimmed milk","1987M10",NA
"469","Skimmed Milk","1987M10",0.4
"470","Semi-skimmed milk","1987M10",2.2
"471","All Milk","1987M11",40.6
"472","Whole Milk","1987M11",38.1
"473","Skimmed and Semi-skimmed milk","1987M11",NA
"474","Skimmed Milk","1987M11",0.4
"475","Semi-skimmed milk","1987M11",2.1
"476","All Milk","1987M12",41.2
"477","Whole Milk","1987M12",38.8
"478","Skimmed and Semi-skimmed milk","1987M12",NA
"479","Skimmed Milk","1987M12",0.4
"480","Semi-skimmed milk","1987M12",2.1
"481","All Milk","1988M01",41.3
"482","Whole Milk","1988M01",38.7
"483","Skimmed and Semi-skimmed milk","1988M01",NA
"484","Skimmed Milk","1988M01",0.4
"485","Semi-skimmed milk","1988M01",2.2
"486","All Milk","1988M02",39.6
"487","Whole Milk","1988M02",36.9
"488","Skimmed and Semi-skimmed milk","1988M02",NA
"489","Skimmed Milk","1988M02",0.4
"490","Semi-skimmed milk","1988M02",2.4
"491","All Milk","1988M03",42.4
"492","Whole Milk","1988M03",39.3
"493","Skimmed and Semi-skimmed milk","1988M03",NA
"494","Skimmed Milk","1988M03",0.4
"495","Semi-skimmed milk","1988M03",2.6
"496","All Milk","1988M04",40.8
"497","Whole Milk","1988M04",37.9
"498","Skimmed and Semi-skimmed milk","1988M04",NA
"499","Skimmed Milk","1988M04",0.4
"500","Semi-skimmed milk","1988M04",2.5
"501","All Milk","1988M05",41.7
"502","Whole Milk","1988M05",38.6
"503","Skimmed and Semi-skimmed milk","1988M05",NA
"504","Skimmed Milk","1988M05",0.4
"505","Semi-skimmed milk","1988M05",2.7
"506","All Milk","1988M06",40.8
"507","Whole Milk","1988M06",37.8
"508","Skimmed and Semi-skimmed milk","1988M06",NA
"509","Skimmed Milk","1988M06",0.4
"510","Semi-skimmed milk","1988M06",2.6
"511","All Milk","1988M07",41
"512","Whole Milk","1988M07",38
"513","Skimmed and Semi-skimmed milk","1988M07",NA
"514","Skimmed Milk","1988M07",0.4
"515","Semi-skimmed milk","1988M07",2.6
"516","All Milk","1988M08",40.9
"517","Whole Milk","1988M08",37.9
"518","Skimmed and Semi-skimmed milk","1988M08",NA
"519","Skimmed Milk","1988M08",0.4
"520","Semi-skimmed milk","1988M08",2.7
