"","Region","Year","Type.of.Land.Use","value"
"3041","South-East (IRL)","1986","Other crops",1.6
"3042","South-West (IRL)","1986","Other crops",1.3
"3043","State","1987","Other crops",8.6
"3044","Midlands and East","1987","Other crops",4.3
"3045","North West","1987","Other crops",0.5
"3046","West","1987","Other crops",0.8
"3047","South-East (IRL)","1987","Other crops",1.8
"3048","South-West (IRL)","1987","Other crops",1.2
"3049","State","1988","Other crops",4
"3050","Midlands and East","1988","Other crops",0.5
"3051","North West","1988","Other crops",0.5
"3052","West","1988","Other crops",0.8
"3053","South-East (IRL)","1988","Other crops",1.3
"3054","South-West (IRL)","1988","Other crops",0.9
"3055","State","1989","Other crops",4.6
"3056","Midlands and East","1989","Other crops",1.2
"3057","North West","1989","Other crops",0.5
"3058","West","1989","Other crops",0.9
"3059","South-East (IRL)","1989","Other crops",1.3
"3060","South-West (IRL)","1989","Other crops",0.8
"3061","State","1990","Other crops",5.3
"3062","Midlands and East","1990","Other crops",1.4
"3063","North West","1990","Other crops",0.6
"3064","West","1990","Other crops",1.1
"3065","South-East (IRL)","1990","Other crops",1.3
"3066","South-West (IRL)","1990","Other crops",1
"3067","State","1991","Other crops",3.6
"3068","Midlands and East","1991","Other crops",0.9
"3069","North West","1991","Other crops",0.3
"3070","West","1991","Other crops",1
"3071","South-East (IRL)","1991","Other crops",0.8
"3072","South-West (IRL)","1991","Other crops",0.5
"3073","State","1992","Other crops",5.3
"3074","Midlands and East","1992","Other crops",1.4
"3075","North West","1992","Other crops",0.8
"3076","West","1992","Other crops",1.1
"3077","South-East (IRL)","1992","Other crops",1.1
"3078","South-West (IRL)","1992","Other crops",0.8
"3079","State","1993","Other crops",30.5
"3080","Midlands and East","1993","Other crops",13.4
"3081","North West","1993","Other crops",1
"3082","West","1993","Other crops",0.9
"3083","South-East (IRL)","1993","Other crops",10.5
"3084","South-West (IRL)","1993","Other crops",4.7
"3085","State","1994","Other crops",36.6
"3086","Midlands and East","1994","Other crops",16
"3087","North West","1994","Other crops",1.1
"3088","West","1994","Other crops",0.9
"3089","South-East (IRL)","1994","Other crops",12.5
"3090","South-West (IRL)","1994","Other crops",6.1
"3091","State","1995","Other crops",36
"3092","Midlands and East","1995","Other crops",14.1
"3093","North West","1995","Other crops",1.4
"3094","West","1995","Other crops",2.3
"3095","South-East (IRL)","1995","Other crops",12
"3096","South-West (IRL)","1995","Other crops",6.1
"3097","State","1996","Other crops",24
"3098","Midlands and East","1996","Other crops",10
"3099","North West","1996","Other crops",0.8
"3100","West","1996","Other crops",1
"3101","South-East (IRL)","1996","Other crops",8.8
"3102","South-West (IRL)","1996","Other crops",3.5
"3103","State","1997","Other crops",21
"3104","Midlands and East","1997","Other crops",7.2
"3105","North West","1997","Other crops",1.5
"3106","West","1997","Other crops",2.3
"3107","South-East (IRL)","1997","Other crops",6.1
"3108","South-West (IRL)","1997","Other crops",3.9
"3109","State","1998","Other crops",23
"3110","Midlands and East","1998","Other crops",8.4
"3111","North West","1998","Other crops",1
"3112","West","1998","Other crops",2
"3113","South-East (IRL)","1998","Other crops",7.6
"3114","South-West (IRL)","1998","Other crops",4
"3115","State","1999","Other crops",33.4
"3116","Midlands and East","1999","Other crops",14.2
"3117","North West","1999","Other crops",1
"3118","West","1999","Other crops",1.6
"3119","South-East (IRL)","1999","Other crops",10.9
"3120","South-West (IRL)","1999","Other crops",5.8
"3121","State","1980","Total crops, fruit and horticulture",553.9
"3122","Midlands and East","1980","Total crops, fruit and horticulture",174.6
"3123","North West","1980","Total crops, fruit and horticulture",31.4
"3124","West","1980","Total crops, fruit and horticulture",33.3
"3125","South-East (IRL)","1980","Total crops, fruit and horticulture",208.9
"3126","South-West (IRL)","1980","Total crops, fruit and horticulture",105.6
"3127","State","1981","Total crops, fruit and horticulture",528.9
"3128","Midlands and East","1981","Total crops, fruit and horticulture",173
"3129","North West","1981","Total crops, fruit and horticulture",28.5
"3130","West","1981","Total crops, fruit and horticulture",28.9
"3131","South-East (IRL)","1981","Total crops, fruit and horticulture",198.9
"3132","South-West (IRL)","1981","Total crops, fruit and horticulture",99.7
"3133","State","1982","Total crops, fruit and horticulture",512.3
"3134","Midlands and East","1982","Total crops, fruit and horticulture",166.8
"3135","North West","1982","Total crops, fruit and horticulture",27.6
"3136","West","1982","Total crops, fruit and horticulture",27.4
"3137","South-East (IRL)","1982","Total crops, fruit and horticulture",195
"3138","South-West (IRL)","1982","Total crops, fruit and horticulture",95.5
"3139","State","1983","Total crops, fruit and horticulture",490.6
"3140","Midlands and East","1983","Total crops, fruit and horticulture",163
"3141","North West","1983","Total crops, fruit and horticulture",26.8
"3142","West","1983","Total crops, fruit and horticulture",26.7
"3143","South-East (IRL)","1983","Total crops, fruit and horticulture",184.4
"3144","South-West (IRL)","1983","Total crops, fruit and horticulture",89.6
"3145","State","1984","Total crops, fruit and horticulture",500.3
"3146","Midlands and East","1984","Total crops, fruit and horticulture",171.6
"3147","North West","1984","Total crops, fruit and horticulture",27.1
"3148","West","1984","Total crops, fruit and horticulture",26.9
"3149","South-East (IRL)","1984","Total crops, fruit and horticulture",185.1
"3150","South-West (IRL)","1984","Total crops, fruit and horticulture",89.7
"3151","State","1985","Total crops, fruit and horticulture",487.7
"3152","Midlands and East","1985","Total crops, fruit and horticulture",169.2
"3153","North West","1985","Total crops, fruit and horticulture",25.8
"3154","West","1985","Total crops, fruit and horticulture",25.2
"3155","South-East (IRL)","1985","Total crops, fruit and horticulture",178.4
"3156","South-West (IRL)","1985","Total crops, fruit and horticulture",89.1
"3157","State","1986","Total crops, fruit and horticulture",465.9
"3158","Midlands and East","1986","Total crops, fruit and horticulture",162.4
"3159","North West","1986","Total crops, fruit and horticulture",23.8
"3160","West","1986","Total crops, fruit and horticulture",22.9
"3161","South-East (IRL)","1986","Total crops, fruit and horticulture",171.4
"3162","South-West (IRL)","1986","Total crops, fruit and horticulture",85.4
"3163","State","1987","Total crops, fruit and horticulture",437.9
"3164","Midlands and East","1987","Total crops, fruit and horticulture",151.2
"3165","North West","1987","Total crops, fruit and horticulture",21.7
"3166","West","1987","Total crops, fruit and horticulture",21.1
"3167","South-East (IRL)","1987","Total crops, fruit and horticulture",164.7
"3168","South-West (IRL)","1987","Total crops, fruit and horticulture",79.4
"3169","State","1988","Total crops, fruit and horticulture",421.1
"3170","Midlands and East","1988","Total crops, fruit and horticulture",145.7
"3171","North West","1988","Total crops, fruit and horticulture",20.9
"3172","West","1988","Total crops, fruit and horticulture",19
"3173","South-East (IRL)","1988","Total crops, fruit and horticulture",159
"3174","South-West (IRL)","1988","Total crops, fruit and horticulture",76.6
"3175","State","1989","Total crops, fruit and horticulture",414.4
"3176","Midlands and East","1989","Total crops, fruit and horticulture",145.5
"3177","North West","1989","Total crops, fruit and horticulture",19.8
"3178","West","1989","Total crops, fruit and horticulture",15.7
"3179","South-East (IRL)","1989","Total crops, fruit and horticulture",158.9
"3180","South-West (IRL)","1989","Total crops, fruit and horticulture",74.5
"3181","State","1990","Total crops, fruit and horticulture",394.6
"3182","Midlands and East","1990","Total crops, fruit and horticulture",140
"3183","North West","1990","Total crops, fruit and horticulture",17.5
"3184","West","1990","Total crops, fruit and horticulture",14.3
"3185","South-East (IRL)","1990","Total crops, fruit and horticulture",151.2
"3186","South-West (IRL)","1990","Total crops, fruit and horticulture",71.6
"3187","State","1991","Total crops, fruit and horticulture",391.7
"3188","Midlands and East","1991","Total crops, fruit and horticulture",142.2
"3189","North West","1991","Total crops, fruit and horticulture",13.3
"3190","West","1991","Total crops, fruit and horticulture",10.8
"3191","South-East (IRL)","1991","Total crops, fruit and horticulture",152.6
"3192","South-West (IRL)","1991","Total crops, fruit and horticulture",72.7
"3193","State","1992","Total crops, fruit and horticulture",392.9
"3194","Midlands and East","1992","Total crops, fruit and horticulture",147
"3195","North West","1992","Total crops, fruit and horticulture",13.5
"3196","West","1992","Total crops, fruit and horticulture",11
"3197","South-East (IRL)","1992","Total crops, fruit and horticulture",149.4
"3198","South-West (IRL)","1992","Total crops, fruit and horticulture",72
"3199","State","1993","Total crops, fruit and horticulture",403.9
"3200","Midlands and East","1993","Total crops, fruit and horticulture",150.8
"3201","North West","1993","Total crops, fruit and horticulture",13
"3202","West","1993","Total crops, fruit and horticulture",9.6
"3203","South-East (IRL)","1993","Total crops, fruit and horticulture",155.4
"3204","South-West (IRL)","1993","Total crops, fruit and horticulture",74.9
"3205","State","1994","Total crops, fruit and horticulture",400.3
"3206","Midlands and East","1994","Total crops, fruit and horticulture",149.9
"3207","North West","1994","Total crops, fruit and horticulture",13.3
"3208","West","1994","Total crops, fruit and horticulture",8.8
"3209","South-East (IRL)","1994","Total crops, fruit and horticulture",154.9
"3210","South-West (IRL)","1994","Total crops, fruit and horticulture",73.3
"3211","State","1995","Total crops, fruit and horticulture",399.4
"3212","Midlands and East","1995","Total crops, fruit and horticulture",152.1
"3213","North West","1995","Total crops, fruit and horticulture",12.8
"3214","West","1995","Total crops, fruit and horticulture",10.7
"3215","South-East (IRL)","1995","Total crops, fruit and horticulture",152.1
"3216","South-West (IRL)","1995","Total crops, fruit and horticulture",71.7
"3217","State","1996","Total crops, fruit and horticulture",406.3
"3218","Midlands and East","1996","Total crops, fruit and horticulture",154.9
"3219","North West","1996","Total crops, fruit and horticulture",12.6
"3220","West","1996","Total crops, fruit and horticulture",9.5
"3221","South-East (IRL)","1996","Total crops, fruit and horticulture",157.1
"3222","South-West (IRL)","1996","Total crops, fruit and horticulture",72.2
"3223","State","1997","Total crops, fruit and horticulture",414.3
"3224","Midlands and East","1997","Total crops, fruit and horticulture",155.5
"3225","North West","1997","Total crops, fruit and horticulture",14
"3226","West","1997","Total crops, fruit and horticulture",11.4
"3227","South-East (IRL)","1997","Total crops, fruit and horticulture",157.1
"3228","South-West (IRL)","1997","Total crops, fruit and horticulture",76.3
"3229","State","1998","Total crops, fruit and horticulture",408.1
"3230","Midlands and East","1998","Total crops, fruit and horticulture",154.3
"3231","North West","1998","Total crops, fruit and horticulture",12
"3232","West","1998","Total crops, fruit and horticulture",10.4
"3233","South-East (IRL)","1998","Total crops, fruit and horticulture",157.2
"3234","South-West (IRL)","1998","Total crops, fruit and horticulture",74.1
"3235","State","1999","Total crops, fruit and horticulture",401
"3236","Midlands and East","1999","Total crops, fruit and horticulture",153.9
"3237","North West","1999","Total crops, fruit and horticulture",12.3
"3238","West","1999","Total crops, fruit and horticulture",9.5
"3239","South-East (IRL)","1999","Total crops, fruit and horticulture",153.1
"3240","South-West (IRL)","1999","Total crops, fruit and horticulture",72.3
"3241","State","1980","Grass silage",0
"3242","Midlands and East","1980","Grass silage",0
"3243","North West","1980","Grass silage",0
"3244","West","1980","Grass silage",0
"3245","South-East (IRL)","1980","Grass silage",0
"3246","South-West (IRL)","1980","Grass silage",0
"3247","State","1981","Grass silage",NA
"3248","Midlands and East","1981","Grass silage",NA
"3249","North West","1981","Grass silage",NA
"3250","West","1981","Grass silage",NA
"3251","South-East (IRL)","1981","Grass silage",NA
"3252","South-West (IRL)","1981","Grass silage",NA
"3253","State","1982","Grass silage",NA
"3254","Midlands and East","1982","Grass silage",NA
"3255","North West","1982","Grass silage",NA
"3256","West","1982","Grass silage",NA
"3257","South-East (IRL)","1982","Grass silage",NA
"3258","South-West (IRL)","1982","Grass silage",NA
"3259","State","1983","Grass silage",NA
"3260","Midlands and East","1983","Grass silage",NA
"3261","North West","1983","Grass silage",NA
"3262","West","1983","Grass silage",NA
"3263","South-East (IRL)","1983","Grass silage",NA
"3264","South-West (IRL)","1983","Grass silage",NA
"3265","State","1984","Grass silage",NA
"3266","Midlands and East","1984","Grass silage",NA
"3267","North West","1984","Grass silage",NA
"3268","West","1984","Grass silage",NA
"3269","South-East (IRL)","1984","Grass silage",NA
"3270","South-West (IRL)","1984","Grass silage",NA
"3271","State","1985","Grass silage",NA
"3272","Midlands and East","1985","Grass silage",NA
"3273","North West","1985","Grass silage",NA
"3274","West","1985","Grass silage",NA
"3275","South-East (IRL)","1985","Grass silage",NA
"3276","South-West (IRL)","1985","Grass silage",NA
"3277","State","1986","Grass silage",NA
"3278","Midlands and East","1986","Grass silage",NA
"3279","North West","1986","Grass silage",NA
"3280","West","1986","Grass silage",NA
"3281","South-East (IRL)","1986","Grass silage",NA
"3282","South-West (IRL)","1986","Grass silage",NA
"3283","State","1987","Grass silage",NA
"3284","Midlands and East","1987","Grass silage",NA
"3285","North West","1987","Grass silage",NA
"3286","West","1987","Grass silage",NA
"3287","South-East (IRL)","1987","Grass silage",NA
"3288","South-West (IRL)","1987","Grass silage",NA
"3289","State","1988","Grass silage",NA
"3290","Midlands and East","1988","Grass silage",NA
"3291","North West","1988","Grass silage",NA
"3292","West","1988","Grass silage",NA
"3293","South-East (IRL)","1988","Grass silage",NA
"3294","South-West (IRL)","1988","Grass silage",NA
"3295","State","1989","Grass silage",NA
"3296","Midlands and East","1989","Grass silage",NA
"3297","North West","1989","Grass silage",NA
"3298","West","1989","Grass silage",NA
"3299","South-East (IRL)","1989","Grass silage",NA
"3300","South-West (IRL)","1989","Grass silage",NA
"3301","State","1990","Grass silage",NA
"3302","Midlands and East","1990","Grass silage",NA
"3303","North West","1990","Grass silage",NA
"3304","West","1990","Grass silage",NA
"3305","South-East (IRL)","1990","Grass silage",NA
"3306","South-West (IRL)","1990","Grass silage",NA
"3307","State","1991","Grass silage",764.7
"3308","Midlands and East","1991","Grass silage",120.9
"3309","North West","1991","Grass silage",99.8
"3310","West","1991","Grass silage",129.1
"3311","South-East (IRL)","1991","Grass silage",189.7
"3312","South-West (IRL)","1991","Grass silage",225.1
"3313","State","1992","Grass silage",813.7
"3314","Midlands and East","1992","Grass silage",129.4
"3315","North West","1992","Grass silage",105.7
"3316","West","1992","Grass silage",145
"3317","South-East (IRL)","1992","Grass silage",195.6
"3318","South-West (IRL)","1992","Grass silage",238
"3319","State","1993","Grass silage",872.3
"3320","Midlands and East","1993","Grass silage",134.9
"3321","North West","1993","Grass silage",121.9
"3322","West","1993","Grass silage",162
"3323","South-East (IRL)","1993","Grass silage",206.2
"3324","South-West (IRL)","1993","Grass silage",247.3
"3325","State","1994","Grass silage",917.4
"3326","Midlands and East","1994","Grass silage",141.4
"3327","North West","1994","Grass silage",129.3
"3328","West","1994","Grass silage",173
"3329","South-East (IRL)","1994","Grass silage",215.1
"3330","South-West (IRL)","1994","Grass silage",258.5
"3331","State","1995","Grass silage",933.6
"3332","Midlands and East","1995","Grass silage",144.3
"3333","North West","1995","Grass silage",132
"3334","West","1995","Grass silage",174.7
"3335","South-East (IRL)","1995","Grass silage",221.2
"3336","South-West (IRL)","1995","Grass silage",261.4
"3337","State","1996","Grass silage",956.1
"3338","Midlands and East","1996","Grass silage",148.6
"3339","North West","1996","Grass silage",134.6
"3340","West","1996","Grass silage",180
"3341","South-East (IRL)","1996","Grass silage",225.1
"3342","South-West (IRL)","1996","Grass silage",267.7
"3343","State","1997","Grass silage",931.5
"3344","Midlands and East","1997","Grass silage",144.7
"3345","North West","1997","Grass silage",134.2
"3346","West","1997","Grass silage",179.5
"3347","South-East (IRL)","1997","Grass silage",220.6
"3348","South-West (IRL)","1997","Grass silage",252.5
"3349","State","1998","Grass silage",950.4
"3350","Midlands and East","1998","Grass silage",143.8
"3351","North West","1998","Grass silage",141
"3352","West","1998","Grass silage",185.1
"3353","South-East (IRL)","1998","Grass silage",217.6
"3354","South-West (IRL)","1998","Grass silage",262.9
"3355","State","1999","Grass silage",977.4
"3356","Midlands and East","1999","Grass silage",147.8
"3357","North West","1999","Grass silage",148.2
"3358","West","1999","Grass silage",195.2
"3359","South-East (IRL)","1999","Grass silage",223.2
"3360","South-West (IRL)","1999","Grass silage",262.9
"3361","State","1980","Hay",1212.8
"3362","Midlands and East","1980","Hay",203.9
"3363","North West","1980","Hay",202.7
"3364","West","1980","Hay",250.3
"3365","South-East (IRL)","1980","Hay",264.3
"3366","South-West (IRL)","1980","Hay",291.6
"3367","State","1981","Hay",NA
"3368","Midlands and East","1981","Hay",NA
"3369","North West","1981","Hay",NA
"3370","West","1981","Hay",NA
"3371","South-East (IRL)","1981","Hay",NA
"3372","South-West (IRL)","1981","Hay",NA
"3373","State","1982","Hay",NA
"3374","Midlands and East","1982","Hay",NA
"3375","North West","1982","Hay",NA
"3376","West","1982","Hay",NA
"3377","South-East (IRL)","1982","Hay",NA
"3378","South-West (IRL)","1982","Hay",NA
"3379","State","1983","Hay",NA
"3380","Midlands and East","1983","Hay",NA
"3381","North West","1983","Hay",NA
"3382","West","1983","Hay",NA
"3383","South-East (IRL)","1983","Hay",NA
"3384","South-West (IRL)","1983","Hay",NA
"3385","State","1984","Hay",NA
"3386","Midlands and East","1984","Hay",NA
"3387","North West","1984","Hay",NA
"3388","West","1984","Hay",NA
"3389","South-East (IRL)","1984","Hay",NA
"3390","South-West (IRL)","1984","Hay",NA
"3391","State","1985","Hay",NA
"3392","Midlands and East","1985","Hay",NA
"3393","North West","1985","Hay",NA
"3394","West","1985","Hay",NA
"3395","South-East (IRL)","1985","Hay",NA
"3396","South-West (IRL)","1985","Hay",NA
"3397","State","1986","Hay",1257.6
"3398","Midlands and East","1986","Hay",203.2
"3399","North West","1986","Hay",200.4
"3400","West","1986","Hay",250.7
"3401","South-East (IRL)","1986","Hay",297.6
"3402","South-West (IRL)","1986","Hay",305.7
"3403","State","1987","Hay",NA
"3404","Midlands and East","1987","Hay",NA
"3405","North West","1987","Hay",NA
"3406","West","1987","Hay",NA
"3407","South-East (IRL)","1987","Hay",NA
"3408","South-West (IRL)","1987","Hay",NA
"3409","State","1988","Hay",NA
"3410","Midlands and East","1988","Hay",NA
"3411","North West","1988","Hay",NA
"3412","West","1988","Hay",NA
"3413","South-East (IRL)","1988","Hay",NA
"3414","South-West (IRL)","1988","Hay",NA
"3415","State","1989","Hay",NA
"3416","Midlands and East","1989","Hay",NA
"3417","North West","1989","Hay",NA
"3418","West","1989","Hay",NA
"3419","South-East (IRL)","1989","Hay",NA
"3420","South-West (IRL)","1989","Hay",NA
"3421","State","1990","Hay",NA
"3422","Midlands and East","1990","Hay",NA
"3423","North West","1990","Hay",NA
"3424","West","1990","Hay",NA
"3425","South-East (IRL)","1990","Hay",NA
"3426","South-West (IRL)","1990","Hay",NA
"3427","State","1991","Hay",394.1
"3428","Midlands and East","1991","Hay",71.6
"3429","North West","1991","Hay",70.5
"3430","West","1991","Hay",105.8
"3431","South-East (IRL)","1991","Hay",82.7
"3432","South-West (IRL)","1991","Hay",63.6
"3433","State","1992","Hay",415.1
"3434","Midlands and East","1992","Hay",74.3
"3435","North West","1992","Hay",73.6
"3436","West","1992","Hay",105.3
"3437","South-East (IRL)","1992","Hay",86.6
"3438","South-West (IRL)","1992","Hay",75.3
"3439","State","1993","Hay",425.9
"3440","Midlands and East","1993","Hay",78.1
"3441","North West","1993","Hay",70.7
"3442","West","1993","Hay",108.8
"3443","South-East (IRL)","1993","Hay",91.8
"3444","South-West (IRL)","1993","Hay",76.6
"3445","State","1994","Hay",410.1
"3446","Midlands and East","1994","Hay",72.4
"3447","North West","1994","Hay",70.9
"3448","West","1994","Hay",103.2
"3449","South-East (IRL)","1994","Hay",88.7
"3450","South-West (IRL)","1994","Hay",74.9
"3451","State","1995","Hay",357.2
"3452","Midlands and East","1995","Hay",65.7
"3453","North West","1995","Hay",60.8
"3454","West","1995","Hay",90.7
"3455","South-East (IRL)","1995","Hay",74.5
"3456","South-West (IRL)","1995","Hay",65.4
"3457","State","1996","Hay",371.5
"3458","Midlands and East","1996","Hay",68.1
"3459","North West","1996","Hay",63
"3460","West","1996","Hay",96.5
"3461","South-East (IRL)","1996","Hay",76.2
"3462","South-West (IRL)","1996","Hay",67.8
"3463","State","1997","Hay",338.8
"3464","Midlands and East","1997","Hay",63.3
"3465","North West","1997","Hay",56.8
"3466","West","1997","Hay",83.8
"3467","South-East (IRL)","1997","Hay",71.9
"3468","South-West (IRL)","1997","Hay",63.1
"3469","State","1998","Hay",282.7
"3470","Midlands and East","1998","Hay",54.8
"3471","North West","1998","Hay",46.8
"3472","West","1998","Hay",67.9
"3473","South-East (IRL)","1998","Hay",61.3
"3474","South-West (IRL)","1998","Hay",51.9
"3475","State","1999","Hay",250.4
"3476","Midlands and East","1999","Hay",51.3
"3477","North West","1999","Hay",36
"3478","West","1999","Hay",55.4
"3479","South-East (IRL)","1999","Hay",59
"3480","South-West (IRL)","1999","Hay",48.8
"3481","State","1980","Pasture",2929
"3482","Midlands and East","1980","Pasture",537.5
"3483","North West","1980","Pasture",516.5
"3484","West","1980","Pasture",694.6
"3485","South-East (IRL)","1980","Pasture",576.2
"3486","South-West (IRL)","1980","Pasture",604.3
"3487","State","1981","Pasture",NA
"3488","Midlands and East","1981","Pasture",NA
"3489","North West","1981","Pasture",NA
"3490","West","1981","Pasture",NA
"3491","South-East (IRL)","1981","Pasture",NA
"3492","South-West (IRL)","1981","Pasture",NA
"3493","State","1982","Pasture",NA
"3494","Midlands and East","1982","Pasture",NA
"3495","North West","1982","Pasture",NA
"3496","West","1982","Pasture",NA
"3497","South-East (IRL)","1982","Pasture",NA
"3498","South-West (IRL)","1982","Pasture",NA
"3499","State","1983","Pasture",NA
"3500","Midlands and East","1983","Pasture",NA
"3501","North West","1983","Pasture",NA
"3502","West","1983","Pasture",NA
"3503","South-East (IRL)","1983","Pasture",NA
"3504","South-West (IRL)","1983","Pasture",NA
"3505","State","1984","Pasture",NA
"3506","Midlands and East","1984","Pasture",NA
"3507","North West","1984","Pasture",NA
"3508","West","1984","Pasture",NA
"3509","South-East (IRL)","1984","Pasture",NA
"3510","South-West (IRL)","1984","Pasture",NA
"3511","State","1985","Pasture",NA
"3512","Midlands and East","1985","Pasture",NA
"3513","North West","1985","Pasture",NA
"3514","West","1985","Pasture",NA
"3515","South-East (IRL)","1985","Pasture",NA
"3516","South-West (IRL)","1985","Pasture",NA
"3517","State","1986","Pasture",2951.7
"3518","Midlands and East","1986","Pasture",540.9
"3519","North West","1986","Pasture",523.1
"3520","West","1986","Pasture",693.1
"3521","South-East (IRL)","1986","Pasture",579.4
"3522","South-West (IRL)","1986","Pasture",615.1
"3523","State","1987","Pasture",NA
"3524","Midlands and East","1987","Pasture",NA
"3525","North West","1987","Pasture",NA
"3526","West","1987","Pasture",NA
"3527","South-East (IRL)","1987","Pasture",NA
"3528","South-West (IRL)","1987","Pasture",NA
"3529","State","1988","Pasture",NA
"3530","Midlands and East","1988","Pasture",NA
"3531","North West","1988","Pasture",NA
"3532","West","1988","Pasture",NA
"3533","South-East (IRL)","1988","Pasture",NA
"3534","South-West (IRL)","1988","Pasture",NA
"3535","State","1989","Pasture",NA
"3536","Midlands and East","1989","Pasture",NA
"3537","North West","1989","Pasture",NA
"3538","West","1989","Pasture",NA
"3539","South-East (IRL)","1989","Pasture",NA
"3540","South-West (IRL)","1989","Pasture",NA
"3541","State","1990","Pasture",NA
"3542","Midlands and East","1990","Pasture",NA
"3543","North West","1990","Pasture",NA
"3544","West","1990","Pasture",NA
"3545","South-East (IRL)","1990","Pasture",NA
"3546","South-West (IRL)","1990","Pasture",NA
"3547","State","1991","Pasture",2249.4
"3548","Midlands and East","1991","Pasture",415
"3549","North West","1991","Pasture",353.1
"3550","West","1991","Pasture",503.1
"3551","South-East (IRL)","1991","Pasture",495.7
"3552","South-West (IRL)","1991","Pasture",482.6
"3553","State","1992","Pasture",2195.6
"3554","Midlands and East","1992","Pasture",398.1
"3555","North West","1992","Pasture",343.5
"3556","West","1992","Pasture",495.9
"3557","South-East (IRL)","1992","Pasture",485.1
"3558","South-West (IRL)","1992","Pasture",473
"3559","State","1993","Pasture",2202.5
"3560","Midlands and East","1993","Pasture",388.8
"3561","North West","1993","Pasture",357.2
"3562","West","1993","Pasture",511.2
"3563","South-East (IRL)","1993","Pasture",476.7
"3564","South-West (IRL)","1993","Pasture",468.6
"3565","State","1994","Pasture",2201.3
"3566","Midlands and East","1994","Pasture",389.7
"3567","North West","1994","Pasture",365
"3568","West","1994","Pasture",503.1
"3569","South-East (IRL)","1994","Pasture",469.9
"3570","South-West (IRL)","1994","Pasture",473.6
"3571","State","1995","Pasture",2238.9
"3572","Midlands and East","1995","Pasture",398.1
"3573","North West","1995","Pasture",364.7
"3574","West","1995","Pasture",516.6
"3575","South-East (IRL)","1995","Pasture",482.6
"3576","South-West (IRL)","1995","Pasture",476.9
"3577","State","1996","Pasture",2178.4
"3578","Midlands and East","1996","Pasture",383.5
"3579","North West","1996","Pasture",355.1
"3580","West","1996","Pasture",498.2
"3581","South-East (IRL)","1996","Pasture",472.3
"3582","South-West (IRL)","1996","Pasture",469.4
"3583","State","1997","Pasture",2273
"3584","Midlands and East","1997","Pasture",399.2
"3585","North West","1997","Pasture",372.6
"3586","West","1997","Pasture",532.1
"3587","South-East (IRL)","1997","Pasture",485.6
"3588","South-West (IRL)","1997","Pasture",483.5
"3589","State","1998","Pasture",2327.3
"3590","Midlands and East","1998","Pasture",408.7
"3591","North West","1998","Pasture",382.9
"3592","West","1998","Pasture",543.5
"3593","South-East (IRL)","1998","Pasture",496.8
"3594","South-West (IRL)","1998","Pasture",495.2
"3595","State","1999","Pasture",2325.1
"3596","Midlands and East","1999","Pasture",408.6
"3597","North West","1999","Pasture",384.3
"3598","West","1999","Pasture",541.2
"3599","South-East (IRL)","1999","Pasture",497.3
"3600","South-West (IRL)","1999","Pasture",493.7
"3601","State","1980","Crops and pasture",4695.7
"3602","Midlands and East","1980","Crops and pasture",915.9
"3603","North West","1980","Crops and pasture",750.6
"3604","West","1980","Crops and pasture",978.2
"3605","South-East (IRL)","1980","Crops and pasture",1049.4
"3606","South-West (IRL)","1980","Crops and pasture",1001.5
"3607","State","1981","Crops and pasture",NA
"3608","Midlands and East","1981","Crops and pasture",NA
"3609","North West","1981","Crops and pasture",NA
"3610","West","1981","Crops and pasture",NA
"3611","South-East (IRL)","1981","Crops and pasture",NA
"3612","South-West (IRL)","1981","Crops and pasture",NA
"3613","State","1982","Crops and pasture",NA
"3614","Midlands and East","1982","Crops and pasture",NA
"3615","North West","1982","Crops and pasture",NA
"3616","West","1982","Crops and pasture",NA
"3617","South-East (IRL)","1982","Crops and pasture",NA
"3618","South-West (IRL)","1982","Crops and pasture",NA
"3619","State","1983","Crops and pasture",NA
"3620","Midlands and East","1983","Crops and pasture",NA
"3621","North West","1983","Crops and pasture",NA
"3622","West","1983","Crops and pasture",NA
"3623","South-East (IRL)","1983","Crops and pasture",NA
"3624","South-West (IRL)","1983","Crops and pasture",NA
"3625","State","1984","Crops and pasture",NA
"3626","Midlands and East","1984","Crops and pasture",NA
"3627","North West","1984","Crops and pasture",NA
"3628","West","1984","Crops and pasture",NA
"3629","South-East (IRL)","1984","Crops and pasture",NA
"3630","South-West (IRL)","1984","Crops and pasture",NA
"3631","State","1985","Crops and pasture",NA
"3632","Midlands and East","1985","Crops and pasture",NA
"3633","North West","1985","Crops and pasture",NA
"3634","West","1985","Crops and pasture",NA
"3635","South-East (IRL)","1985","Crops and pasture",NA
"3636","South-West (IRL)","1985","Crops and pasture",NA
"3637","State","1986","Crops and pasture",4688.2
"3638","Midlands and East","1986","Crops and pasture",905.8
"3639","North West","1986","Crops and pasture",749.1
"3640","West","1986","Crops and pasture",969
"3641","South-East (IRL)","1986","Crops and pasture",1053.7
"3642","South-West (IRL)","1986","Crops and pasture",1010.6
"3643","State","1987","Crops and pasture",NA
"3644","Midlands and East","1987","Crops and pasture",NA
"3645","North West","1987","Crops and pasture",NA
"3646","West","1987","Crops and pasture",NA
"3647","South-East (IRL)","1987","Crops and pasture",NA
"3648","South-West (IRL)","1987","Crops and pasture",NA
"3649","State","1988","Crops and pasture",NA
"3650","Midlands and East","1988","Crops and pasture",NA
