"","Region","Year","Type.of.Land.Use","value"
"349","State","1998","Spring wheat",18.4
"350","Midlands and East","1998","Spring wheat",4.7
"351","North West","1998","Spring wheat",0.3
"352","West","1998","Spring wheat",0
"353","South-East (IRL)","1998","Spring wheat",9.5
"354","South-West (IRL)","1998","Spring wheat",3.9
"355","State","1999","Spring wheat",27.4
"356","Midlands and East","1999","Spring wheat",10.6
"357","North West","1999","Spring wheat",0.2
"358","West","1999","Spring wheat",0.1
"359","South-East (IRL)","1999","Spring wheat",10.5
"360","South-West (IRL)","1999","Spring wheat",6.1
"361","State","1980","Total oats",24.5
"362","Midlands and East","1980","Total oats",3.8
"363","North West","1980","Total oats",5.5
"364","West","1980","Total oats",6.7
"365","South-East (IRL)","1980","Total oats",4.4
"366","South-West (IRL)","1980","Total oats",4.2
"367","State","1981","Total oats",23.1
"368","Midlands and East","1981","Total oats",4.1
"369","North West","1981","Total oats",4.8
"370","West","1981","Total oats",5.5
"371","South-East (IRL)","1981","Total oats",5
"372","South-West (IRL)","1981","Total oats",3.7
"373","State","1982","Total oats",23.3
"374","Midlands and East","1982","Total oats",5
"375","North West","1982","Total oats",4.3
"376","West","1982","Total oats",5.3
"377","South-East (IRL)","1982","Total oats",5.3
"378","South-West (IRL)","1982","Total oats",3.4
"379","State","1983","Total oats",23.3
"380","Midlands and East","1983","Total oats",4.6
"381","North West","1983","Total oats",4.3
"382","West","1983","Total oats",5.2
"383","South-East (IRL)","1983","Total oats",5.5
"384","South-West (IRL)","1983","Total oats",3.7
"385","State","1984","Total oats",26.1
"386","Midlands and East","1984","Total oats",5.4
"387","North West","1984","Total oats",4.3
"388","West","1984","Total oats",5.6
"389","South-East (IRL)","1984","Total oats",6.4
"390","South-West (IRL)","1984","Total oats",4.4
"391","State","1985","Total oats",24.9
"392","Midlands and East","1985","Total oats",5.4
"393","North West","1985","Total oats",3.9
"394","West","1985","Total oats",5.3
"395","South-East (IRL)","1985","Total oats",6.3
"396","South-West (IRL)","1985","Total oats",4.1
"397","State","1986","Total oats",23
"398","Midlands and East","1986","Total oats",5
"399","North West","1986","Total oats",3.5
"400","West","1986","Total oats",4.6
"401","South-East (IRL)","1986","Total oats",6
"402","South-West (IRL)","1986","Total oats",3.9
"403","State","1987","Total oats",22.9
"404","Midlands and East","1987","Total oats",4.9
