"","Statistic","Year","Type.of.Crop","value"
"273","Crop Yield (000 Tonnes)","2006","Total oats",145.2
"274","Area under Crops (000 Hectares)","2007","Total oats",21.3
"275","Crop Yield per Hectare (Tonnes)","2007","Total oats",7.5
"276","Crop Yield (000 Tonnes)","2007","Total oats",159.1
"277","Area under Crops (000 Hectares)","1985","Winter oats",9.1
"278","Crop Yield per Hectare (Tonnes)","1985","Winter oats",6.2
"279","Crop Yield (000 Tonnes)","1985","Winter oats",56
"280","Area under Crops (000 Hectares)","1986","Winter oats",8.8
"281","Crop Yield per Hectare (Tonnes)","1986","Winter oats",6.4
"282","Crop Yield (000 Tonnes)","1986","Winter oats",56
"283","Area under Crops (000 Hectares)","1987","Winter oats",9
"284","Crop Yield per Hectare (Tonnes)","1987","Winter oats",7
"285","Crop Yield (000 Tonnes)","1987","Winter oats",63
"286","Area under Crops (000 Hectares)","1988","Winter oats",9.6
"287","Crop Yield per Hectare (Tonnes)","1988","Winter oats",7.7
"288","Crop Yield (000 Tonnes)","1988","Winter oats",74
"289","Area under Crops (000 Hectares)","1989","Winter oats",10.1
"290","Crop Yield per Hectare (Tonnes)","1989","Winter oats",7.4
"291","Crop Yield (000 Tonnes)","1989","Winter oats",74
"292","Area under Crops (000 Hectares)","1990","Winter oats",10.6
"293","Crop Yield per Hectare (Tonnes)","1990","Winter oats",7.6
"294","Crop Yield (000 Tonnes)","1990","Winter oats",81
"295","Area under Crops (000 Hectares)","1991","Winter oats",11.4
"296","Crop Yield per Hectare (Tonnes)","1991","Winter oats",7.8
"297","Crop Yield (000 Tonnes)","1991","Winter oats",89
"298","Area under Crops (000 Hectares)","1992","Winter oats",11.6
"299","Crop Yield per Hectare (Tonnes)","1992","Winter oats",7.4
"300","Crop Yield (000 Tonnes)","1992","Winter oats",86
"301","Area under Crops (000 Hectares)","1993","Winter oats",11.4
"302","Crop Yield per Hectare (Tonnes)","1993","Winter oats",7
"303","Crop Yield (000 Tonnes)","1993","Winter oats",80
"304","Area under Crops (000 Hectares)","1994","Winter oats",13.3
"305","Crop Yield per Hectare (Tonnes)","1994","Winter oats",6.9
"306","Crop Yield (000 Tonnes)","1994","Winter oats",92
"307","Area under Crops (000 Hectares)","1995","Winter oats",10.5
"308","Crop Yield per Hectare (Tonnes)","1995","Winter oats",7.2
"309","Crop Yield (000 Tonnes)","1995","Winter oats",75
"310","Area under Crops (000 Hectares)","1996","Winter oats",12.5
"311","Crop Yield per Hectare (Tonnes)","1996","Winter oats",7.6
"312","Crop Yield (000 Tonnes)","1996","Winter oats",95.1
