"","Statistic","Agricultural.Product","Month","value"
"143","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2000M02",97.999
"144","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2000M02",NA
"145","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2000M02",84.247
"146","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2000M02",NA
"147","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2000M02",90.686
"148","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2000M02",NA
"149","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2000M02",88.69
"150","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2000M02",NA
"151","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2000M02",90.909
"152","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2000M02",NA
"153","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2000M02",92.976
"154","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2000M02",NA
"155","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M02",90.9
"156","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M02",NA
"157","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2000M02",90.371
"158","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2000M02",NA
"159","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2000M02",91.052
"160","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2000M02",NA
"161","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2000M02",90.909
"162","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2000M02",NA
"163","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2000M02",75.6
"164","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2000M02",NA
"165","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2000M02",76.777
"166","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2000M02",NA
"167","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2000M02",90.841
"168","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2000M02",NA
"169","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2000M03",95.832
"170","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2000M03",94.907
"171","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2000M03",85.292
"172","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2000M03",NA
"173","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2000M03",108.355
"174","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2000M03",NA
"175","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2000M03",84.472
"176","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2000M03",83.728
"177","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2000M03",43.209
"178","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2000M03",45.938
"179","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2000M03",97.777
"180","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2000M03",NA
"181","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2000M03",93.582
"182","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2000M03",NA
