"","Statistic","Agricultural.Product","Month","value"
"5089","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2005M01",98.498
"5090","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2005M01",NA
"5091","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2005M01",96.991
"5092","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2005M01",NA
"5093","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2005M01",98.739
"5094","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2005M01",NA
"5095","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2005M01",96.93
"5096","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2005M01",NA
"5097","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2005M01",98.087
"5098","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2005M01",NA
"5099","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2005M01",101.018
"5100","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2005M01",NA
"5101","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2005M01",100
"5102","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2005M01",NA
"5103","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2005M01",100.026
"5104","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2005M01",NA
"5105","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2005M01",97.978
"5106","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2005M01",NA
"5107","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2005M01",100.344
"5108","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2005M01",NA
"5109","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2005M01",99.916
"5110","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2005M01",NA
"5111","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M01",100.128
"5112","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M01",NA
"5113","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2005M01",101.448
"5114","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2005M01",NA
"5115","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2005M01",100.03
"5116","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2005M01",NA
"5117","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2005M01",100.114
"5118","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2005M01",NA
"5119","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2005M01",97
"5120","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2005M01",NA
"5121","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2005M01",98.393
"5122","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2005M01",NA
"5123","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2005M01",99.837
"5124","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2005M01",NA
"5125","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2005M02",104.168
"5126","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2005M02",102.603
"5127","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2005M02",97.401
"5128","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2005M02",NA
"5129","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2005M02",99.781
"5130","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2005M02",NA
"5131","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2005M02",100
"5132","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2005M02",100.015
"5133","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2005M02",86.93
"5134","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2005M02",85.605
"5135","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2005M02",105.038
"5136","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2005M02",NA
"5137","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2005M02",104.287
"5138","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2005M02",NA
"5139","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2005M02",106.309
"5140","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2005M02",103.439
"5141","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2005M02",106.328
"5142","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2005M02",NA
"5143","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2005M02",104.5
"5144","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2005M02",NA
"5145","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2005M02",98.297
"5146","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2005M02",102.134
"5147","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2005M02",101.09
"5148","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2005M02",101.399
"5149","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2005M02",101.362
"5150","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2005M02",NA
"5151","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2005M02",106.177
"5152","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2005M02",NA
"5153","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2005M02",106.307
"5154","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2005M02",103.795
"5155","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2005M02",101.111
"5156","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2005M02",NA
"5157","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2005M02",100
"5158","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2005M02",NA
"5159","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2005M02",99.131
"5160","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2005M02",NA
"5161","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2005M02",100
"5162","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2005M02",NA
"5163","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2005M02",90.038
"5164","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2005M02",NA
"5165","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2005M02",97.076
"5166","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2005M02",NA
"5167","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2005M02",87.631
"5168","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2005M02",NA
"5169","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2005M02",98.076
"5170","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2005M02",NA
"5171","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2005M02",102.061
"5172","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2005M02",NA
"5173","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2005M02",103.423
"5174","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2005M02",NA
"5175","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2005M02",101.553
"5176","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2005M02",NA
"5177","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2005M02",100.061
"5178","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2005M02",NA
"5179","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2005M02",101.605
"5180","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2005M02",NA
"5181","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2005M02",98.087
"5182","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2005M02",NA
"5183","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2005M02",101.018
"5184","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2005M02",NA
"5185","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2005M02",100
"5186","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2005M02",NA
"5187","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2005M02",99.923
"5188","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2005M02",NA
"5189","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2005M02",98.059
"5190","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2005M02",NA
"5191","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2005M02",100.212
"5192","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2005M02",NA
"5193","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2005M02",99.839
"5194","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2005M02",NA
"5195","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M02",100.112
"5196","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M02",NA
"5197","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2005M02",100.571
"5198","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2005M02",NA
"5199","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2005M02",100.254
"5200","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2005M02",NA
"5201","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2005M02",100.061
"5202","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2005M02",NA
"5203","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2005M02",99.4
"5204","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2005M02",NA
"5205","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2005M02",98.793
"5206","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2005M02",NA
"5207","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2005M02",100.106
"5208","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2005M02",NA
"5209","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2005M03",103.662
"5210","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2005M03",102.389
"5211","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2005M03",96.003
"5212","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2005M03",NA
"5213","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2005M03",99.781
"5214","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2005M03",NA
"5215","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2005M03",100
"5216","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2005M03",100.05
"5217","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2005M03",79.66
"5218","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2005M03",75.572
"5219","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2005M03",104.646
"5220","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2005M03",NA
"5221","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2005M03",105.813
"5222","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2005M03",NA
"5223","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2005M03",107.499
"5224","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2005M03",104.206
"5225","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2005M03",107.586
"5226","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2005M03",NA
"5227","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2005M03",99.3
"5228","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2005M03",NA
"5229","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2005M03",100.644
"5230","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2005M03",104.097
"5231","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2005M03",103.96
"5232","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2005M03",99.285
"5233","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2005M03",102.564
"5234","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2005M03",NA
"5235","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2005M03",102.876
"5236","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2005M03",NA
"5237","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2005M03",102.925
"5238","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2005M03",104.266
"5239","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2005M03",101.111
"5240","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2005M03",NA
"5241","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2005M03",100
"5242","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2005M03",NA
"5243","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2005M03",99.245
"5244","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2005M03",NA
"5245","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2005M03",100
"5246","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2005M03",NA
"5247","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2005M03",91.237
"5248","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2005M03",NA
"5249","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2005M03",97.076
"5250","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2005M03",NA
"5251","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2005M03",89.231
"5252","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2005M03",NA
"5253","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2005M03",98.076
"5254","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2005M03",NA
"5255","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2005M03",102.294
"5256","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2005M03",NA
"5257","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2005M03",103.348
"5258","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2005M03",NA
"5259","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2005M03",101.964
"5260","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2005M03",NA
"5261","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2005M03",100.603
"5262","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2005M03",NA
"5263","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2005M03",102.012
"5264","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2005M03",NA
"5265","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2005M03",98.087
"5266","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2005M03",NA
"5267","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2005M03",101.016
"5268","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2005M03",NA
"5269","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2005M03",100
"5270","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2005M03",NA
"5271","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2005M03",99.915
"5272","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2005M03",NA
"5273","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2005M03",97.889
"5274","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2005M03",NA
"5275","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2005M03",100.23
"5276","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2005M03",NA
"5277","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2005M03",99.73
"5278","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2005M03",NA
"5279","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M03",100.105
"5280","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2005M03",NA
"5281","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2005M03",101.177
"5282","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2005M03",NA
"5283","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2005M03",99.895
"5284","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2005M03",NA
"5285","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2005M03",99.899
"5286","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2005M03",NA
"5287","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2005M03",99.4
"5288","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2005M03",NA
"5289","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2005M03",98.927
"5290","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2005M03",NA
"5291","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2005M03",99.731
"5292","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2005M03",NA
"5293","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2005M04",102.358
"5294","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2005M04",102.57
"5295","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2005M04",96.385
"5296","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2005M04",NA
"5297","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2005M04",99.781
"5298","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2005M04",NA
"5299","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2005M04",100
"5300","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2005M04",100.092
"5301","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2005M04",81.65
"5302","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2005M04",73.847
"5303","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2005M04",103.125
"5304","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2005M04",NA
"5305","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2005M04",106.423
"5306","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2005M04",NA
"5307","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2005M04",108.299
"5308","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2005M04",103.991
"5309","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2005M04",108.339
"5310","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2005M04",NA
"5311","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2005M04",104.55
"5312","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2005M04",NA
"5313","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2005M04",97.5
"5314","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2005M04",100.557
"5315","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2005M04",109.89
"5316","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2005M04",98.086
"5317","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2005M04",101.405
"5318","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2005M04",NA
"5319","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2005M04",98.124
"5320","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2005M04",NA
"5321","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2005M04",98.137
"5322","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2005M04",105.745
"5323","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2005M04",96.907
"5324","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2005M04",NA
"5325","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2005M04",100
"5326","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2005M04",NA
"5327","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2005M04",99.721
"5328","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2005M04",NA
"5329","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2005M04",100
"5330","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2005M04",NA
"5331","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2005M04",98.115
"5332","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2005M04",NA
"5333","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2005M04",100.975
"5334","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2005M04",NA
"5335","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2005M04",97.231
"5336","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2005M04",NA
"5337","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2005M04",99.375
"5338","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2005M04",NA
"5339","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2005M04",100.895
"5340","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2005M04",NA
"5341","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2005M04",101.166
"5342","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2005M04",NA
"5343","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2005M04",100.905
"5344","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2005M04",NA
"5345","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2005M04",100.019
"5346","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2005M04",NA
"5347","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2005M04",100.936
"5348","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2005M04",NA
"5349","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2005M04",98.087
"5350","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2005M04",NA
"5351","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2005M04",99.566
"5352","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2005M04",NA
"5353","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2005M04",100
"5354","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2005M04",NA
"5355","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2005M04",99.817
"5356","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2005M04",NA
"5357","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2005M04",97.964
"5358","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2005M04",NA
