"","Statistic","Month","Agricultural.Product","value"
"6257","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M09","Vegetables (Output)",96.8
"6258","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M09","Vegetables (Output)",96.8
"6259","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M10","Vegetables (Output)",97.2
"6260","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M10","Vegetables (Output)",98.9
"6261","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M11","Vegetables (Output)",95.5
"6262","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M11","Vegetables (Output)",98.7
"6263","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M12","Vegetables (Output)",94
"6264","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M12","Vegetables (Output)",97.7
"6265","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M01","Vegetables (Output)",96.39
"6266","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M01","Vegetables (Output)",97.2
"6267","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M02","Vegetables (Output)",98.37
"6268","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M02","Vegetables (Output)",97.4
"6269","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M03","Vegetables (Output)",98.08
"6270","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M03","Vegetables (Output)",97.3
"6271","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M04","Vegetables (Output)",98.31
"6272","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M04","Vegetables (Output)",98.7
"6273","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M05","Vegetables (Output)",101.52
"6274","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M05","Vegetables (Output)",100.1
"6275","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M06","Vegetables (Output)",101.08
"6276","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M06","Vegetables (Output)",99.6
"6277","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M07","Vegetables (Output)",101.57
"6278","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M07","Vegetables (Output)",101.1
"6279","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M08","Vegetables (Output)",103.69
"6280","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M08","Vegetables (Output)",100.2
"6281","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M09","Vegetables (Output)",102.02
"6282","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M09","Vegetables (Output)",101.1
"6283","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M10","Vegetables (Output)",99.04
"6284","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M10","Vegetables (Output)",99.9
"6285","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M11","Vegetables (Output)",99.84
"6286","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M11","Vegetables (Output)",102.6
"6287","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M12","Vegetables (Output)",99.55
"6288","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M12","Vegetables (Output)",103.3
"6289","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M01","Vegetables (Output)",101.9
"6290","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M01","Vegetables (Output)",103.4
"6291","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M02","Vegetables (Output)",104.9
"6292","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M02","Vegetables (Output)",104.3
"6293","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M03","Vegetables (Output)",106.83
"6294","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M03","Vegetables (Output)",105.9
"6295","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M04","Vegetables (Output)",105.71
"6296","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M04","Vegetables (Output)",106
"6297","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M05","Vegetables (Output)",122.77
"6298","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M05","Vegetables (Output)",121.9
"6299","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M06","Vegetables (Output)",113.54
"6300","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M06","Vegetables (Output)",112.8
"6301","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M07","Vegetables (Output)",106.47
"6302","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M07","Vegetables (Output)",106.4
"6303","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M08","Vegetables (Output)",102.48
"6304","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M08","Vegetables (Output)",98.9
"6305","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M09","Vegetables (Output)",104.96
"6306","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M09","Vegetables (Output)",103.1
"6307","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M10","Vegetables (Output)",100.47
"6308","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M10","Vegetables (Output)",100.5
"6309","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M11","Vegetables (Output)",98.98
"6310","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M11","Vegetables (Output)",101
"6311","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M12","Vegetables (Output)",100.58
"6312","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M12","Vegetables (Output)",103.8
"6313","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M01","Vegetables (Output)",104.36
"6314","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M01","Vegetables (Output)",106.5
"6315","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M02","Vegetables (Output)",109.43
"6316","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M02","Vegetables (Output)",109.5
"6317","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M03","Vegetables (Output)",113.83
"6318","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M03","Vegetables (Output)",112.9
"6319","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M04","Vegetables (Output)",111.41
"6320","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M04","Vegetables (Output)",111.8
"6321","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M05","Vegetables (Output)",109.89
"6322","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M05","Vegetables (Output)",109.5
"6323","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M06","Vegetables (Output)",106.98
"6324","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M06","Vegetables (Output)",107.1
"6325","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M07","Vegetables (Output)",116.77
"6326","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M07","Vegetables (Output)",116.7
"6327","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M08","Vegetables (Output)",131.21
"6328","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M08","Vegetables (Output)",126.7
"6329","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M09","Vegetables (Output)",125.18
"6330","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M09","Vegetables (Output)",122.3
"6331","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M10","Vegetables (Output)",123.43
"6332","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M10","Vegetables (Output)",122.7
"6333","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M11","Vegetables (Output)",110.24
"6334","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M11","Vegetables (Output)",111.7
"6335","Agricultural Input and Output Prices Indices (Base 2000=100)","2002M12","Vegetables (Output)",111.15
"6336","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2002M12","Vegetables (Output)",113.9
"6337","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M01","Vegetables (Output)",110.67
"6338","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M01","Vegetables (Output)",113.2
"6339","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M02","Vegetables (Output)",111.52
"6340","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M02","Vegetables (Output)",112.3
"6341","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M03","Vegetables (Output)",111.35
"6342","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M03","Vegetables (Output)",110.9
"6343","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M04","Vegetables (Output)",109.84
"6344","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M04","Vegetables (Output)",110.4
"6345","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M05","Vegetables (Output)",107.14
"6346","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M05","Vegetables (Output)",107.2
"6347","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M06","Vegetables (Output)",103.33
"6348","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M06","Vegetables (Output)",104.3
"6349","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M07","Vegetables (Output)",104.64
"6350","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M07","Vegetables (Output)",104.3
"6351","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M08","Vegetables (Output)",113.11
"6352","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M08","Vegetables (Output)",109.4
"6353","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M09","Vegetables (Output)",119.21
"6354","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M09","Vegetables (Output)",116.1
"6355","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M10","Vegetables (Output)",110.26
"6356","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M10","Vegetables (Output)",109
"6357","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M11","Vegetables (Output)",109.76
"6358","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M11","Vegetables (Output)",110.5
"6359","Agricultural Input and Output Prices Indices (Base 2000=100)","2003M12","Vegetables (Output)",108.03
"6360","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2003M12","Vegetables (Output)",109.8
"6361","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M01","Vegetables (Output)",106.16
"6362","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M01","Vegetables (Output)",108.5
"6363","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M02","Vegetables (Output)",107.03
"6364","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M02","Vegetables (Output)",108.4
"6365","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M03","Vegetables (Output)",110
"6366","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M03","Vegetables (Output)",110.2
"6367","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M04","Vegetables (Output)",109.6
"6368","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M04","Vegetables (Output)",110.5
"6369","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M05","Vegetables (Output)",111.15
"6370","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M05","Vegetables (Output)",111.5
"6371","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M06","Vegetables (Output)",109.33
"6372","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M06","Vegetables (Output)",111
"6373","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M07","Vegetables (Output)",110.37
"6374","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M07","Vegetables (Output)",109.5
"6375","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M08","Vegetables (Output)",112.75
"6376","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M08","Vegetables (Output)",109.2
"6377","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M09","Vegetables (Output)",113.08
"6378","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M09","Vegetables (Output)",110.1
"6379","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M10","Vegetables (Output)",113.23
"6380","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M10","Vegetables (Output)",111.6
"6381","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M11","Vegetables (Output)",111.84
"6382","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M11","Vegetables (Output)",111.8
"6383","Agricultural Input and Output Prices Indices (Base 2000=100)","2004M12","Vegetables (Output)",112.18
"6384","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2004M12","Vegetables (Output)",113.1
"6385","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M01","Vegetables (Output)",110.24
"6386","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M01","Vegetables (Output)",112.5
"6387","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M02","Vegetables (Output)",111.16
"6388","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M02","Vegetables (Output)",113.2
"6389","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M03","Vegetables (Output)",112.72
"6390","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M03","Vegetables (Output)",113.7
"6391","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M04","Vegetables (Output)",113.1
"6392","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M04","Vegetables (Output)",114.5
"6393","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M05","Vegetables (Output)",116.09
"6394","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M05","Vegetables (Output)",116.6
"6395","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M06","Vegetables (Output)",113.83
"6396","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M06","Vegetables (Output)",116.1
"6397","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M07","Vegetables (Output)",120.15
"6398","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M07","Vegetables (Output)",118.5
"6399","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M08","Vegetables (Output)",119.77
"6400","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M08","Vegetables (Output)",116.3
"6401","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M09","Vegetables (Output)",115.82
"6402","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M09","Vegetables (Output)",112.8
"6403","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M10","Vegetables (Output)",119.67
"6404","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M10","Vegetables (Output)",117.9
"6405","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M11","Vegetables (Output)",118.28
"6406","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M11","Vegetables (Output)",117.7
"6407","Agricultural Input and Output Prices Indices (Base 2000=100)","2005M12","Vegetables (Output)",119.78
"6408","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2005M12","Vegetables (Output)",120.2
"6409","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M01","Vegetables (Output)",118.38
"6410","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M01","Vegetables (Output)",120.5
"6411","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M02","Vegetables (Output)",117.52
"6412","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M02","Vegetables (Output)",119.9
"6413","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M03","Vegetables (Output)",118.19
"6414","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M03","Vegetables (Output)",119.8
"6415","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M04","Vegetables (Output)",117.95
"6416","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M04","Vegetables (Output)",119.6
"6417","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M05","Vegetables (Output)",120.86
"6418","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M05","Vegetables (Output)",121.3
"6419","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M06","Vegetables (Output)",119.4
"6420","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M06","Vegetables (Output)",122.1
"6421","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M07","Vegetables (Output)",132.45
"6422","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M07","Vegetables (Output)",130
"6423","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M08","Vegetables (Output)",131.18
"6424","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M08","Vegetables (Output)",127.7
"6425","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M09","Vegetables (Output)",126.78
"6426","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M09","Vegetables (Output)",123.9
"6427","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M10","Vegetables (Output)",124.61
"6428","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M10","Vegetables (Output)",123
"6429","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M11","Vegetables (Output)",126
"6430","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M11","Vegetables (Output)",125.2
"6431","Agricultural Input and Output Prices Indices (Base 2000=100)","2006M12","Vegetables (Output)",126.29
"6432","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2006M12","Vegetables (Output)",126.4
"6433","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M01","Vegetables (Output)",125.48
"6434","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M01","Vegetables (Output)",127.3
"6435","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M02","Vegetables (Output)",124.35
"6436","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M02","Vegetables (Output)",126.6
"6437","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M03","Vegetables (Output)",126.43
"6438","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M03","Vegetables (Output)",128.2
"6439","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M04","Vegetables (Output)",129.44
"6440","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M04","Vegetables (Output)",130.9
"6441","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M05","Vegetables (Output)",131.18
"6442","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M05","Vegetables (Output)",131.7
"6443","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M06","Vegetables (Output)",135.77
"6444","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M06","Vegetables (Output)",139.6
"6445","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M07","Vegetables (Output)",147
"6446","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M07","Vegetables (Output)",143.9
"6447","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M08","Vegetables (Output)",145.36
"6448","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M08","Vegetables (Output)",141.9
"6449","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M09","Vegetables (Output)",148.34
"6450","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M09","Vegetables (Output)",145.6
"6451","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M10","Vegetables (Output)",146.23
"6452","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M10","Vegetables (Output)",144.6
"6453","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M11","Vegetables (Output)",146.1
"6454","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M11","Vegetables (Output)",145.2
"6455","Agricultural Input and Output Prices Indices (Base 2000=100)","2007M12","Vegetables (Output)",142.97
"6456","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2007M12","Vegetables (Output)",143.2
"6457","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M01","Vegetables (Output)",140.87
"6458","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M01","Vegetables (Output)",142.5
"6459","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M02","Vegetables (Output)",140.12
"6460","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M02","Vegetables (Output)",142.2
"6461","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M03","Vegetables (Output)",138.46
"6462","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M03","Vegetables (Output)",140
"6463","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M04","Vegetables (Output)",138.14
"6464","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M04","Vegetables (Output)",138.9
"6465","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M05","Vegetables (Output)",136.81
"6466","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M05","Vegetables (Output)",137.3
"6467","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M06","Vegetables (Output)",133.43
"6468","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M06","Vegetables (Output)",137.9
"6469","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M07","Vegetables (Output)",134.77
"6470","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M07","Vegetables (Output)",131.9
"6471","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M08","Vegetables (Output)",141.77
"6472","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M08","Vegetables (Output)",138.6
"6473","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M09","Vegetables (Output)",141.24
"6474","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M09","Vegetables (Output)",139.1
"6475","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M10","Vegetables (Output)",144.59
"6476","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M10","Vegetables (Output)",143.1
"6477","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M11","Vegetables (Output)",139.24
"6478","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M11","Vegetables (Output)",138.2
"6479","Agricultural Input and Output Prices Indices (Base 2000=100)","2008M12","Vegetables (Output)",136.64
"6480","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2008M12","Vegetables (Output)",136.8
"6481","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M01","Vegetables (Output)",135.51
"6482","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M01","Vegetables (Output)",137.1
"6483","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M02","Vegetables (Output)",135.74
"6484","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M02","Vegetables (Output)",137.4
"6485","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M03","Vegetables (Output)",135.74
"6486","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M03","Vegetables (Output)",136.9
"6487","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M04","Vegetables (Output)",135.63
"6488","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M04","Vegetables (Output)",135.7
"6489","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M05","Vegetables (Output)",133.68
"6490","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M05","Vegetables (Output)",134.2
"6491","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M06","Vegetables (Output)",125.08
"6492","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M06","Vegetables (Output)",129.9
"6493","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M07","Vegetables (Output)",129.86
"6494","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M07","Vegetables (Output)",127.3
"6495","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M08","Vegetables (Output)",130.75
"6496","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M08","Vegetables (Output)",128
"6497","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M09","Vegetables (Output)",125.71
"6498","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M09","Vegetables (Output)",124.2
"6499","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M10","Vegetables (Output)",129.75
"6500","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M10","Vegetables (Output)",128.4
"6501","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M11","Vegetables (Output)",129.34
"6502","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M11","Vegetables (Output)",128.3
"6503","Agricultural Input and Output Prices Indices (Base 2000=100)","2009M12","Vegetables (Output)",126.34
"6504","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2009M12","Vegetables (Output)",126.5
"6505","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M01","Vegetables (Output)",136.78
"6506","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M01","Vegetables (Output)",138.4
"6507","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M02","Vegetables (Output)",131.24
"6508","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M02","Vegetables (Output)",132.6
"6509","Agricultural Input and Output Prices Indices (Base 2000=100)","2010M03","Vegetables (Output)",132.93
"6510","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2010M03","Vegetables (Output)",133.7
