"","Statistic","Month","Meat.Usage","value"
"2062","Pigs Slaughtered (Number)","1987M02","Pigs for Pork",42157
"2063","Weight of Pigs Slaughtered (Tonnes)","1987M02","Pigs for Pork",3123
"2064","Average Pig Carcass Weight (Kg)","1987M02","Pigs for Pork",74.1
"2065","Pigs Slaughtered (Number)","1987M03","Pigs for Pork",46059
"2066","Weight of Pigs Slaughtered (Tonnes)","1987M03","Pigs for Pork",3453
"2067","Average Pig Carcass Weight (Kg)","1987M03","Pigs for Pork",75
"2068","Pigs Slaughtered (Number)","1987M04","Pigs for Pork",50512
"2069","Weight of Pigs Slaughtered (Tonnes)","1987M04","Pigs for Pork",3636
"2070","Average Pig Carcass Weight (Kg)","1987M04","Pigs for Pork",72
"2071","Pigs Slaughtered (Number)","1987M05","Pigs for Pork",47824
"2072","Weight of Pigs Slaughtered (Tonnes)","1987M05","Pigs for Pork",3412
"2073","Average Pig Carcass Weight (Kg)","1987M05","Pigs for Pork",71.3
"2074","Pigs Slaughtered (Number)","1987M06","Pigs for Pork",52044
"2075","Weight of Pigs Slaughtered (Tonnes)","1987M06","Pigs for Pork",3638
"2076","Average Pig Carcass Weight (Kg)","1987M06","Pigs for Pork",69.9
"2077","Pigs Slaughtered (Number)","1987M07","Pigs for Pork",52505
"2078","Weight of Pigs Slaughtered (Tonnes)","1987M07","Pigs for Pork",3637
"2079","Average Pig Carcass Weight (Kg)","1987M07","Pigs for Pork",69.3
"2080","Pigs Slaughtered (Number)","1987M08","Pigs for Pork",47362
"2081","Weight of Pigs Slaughtered (Tonnes)","1987M08","Pigs for Pork",3332
"2082","Average Pig Carcass Weight (Kg)","1987M08","Pigs for Pork",70.4
"2083","Pigs Slaughtered (Number)","1987M09","Pigs for Pork",49064
"2084","Weight of Pigs Slaughtered (Tonnes)","1987M09","Pigs for Pork",3568
"2085","Average Pig Carcass Weight (Kg)","1987M09","Pigs for Pork",72.7
"2086","Pigs Slaughtered (Number)","1987M10","Pigs for Pork",55391
"2087","Weight of Pigs Slaughtered (Tonnes)","1987M10","Pigs for Pork",3899
"2088","Average Pig Carcass Weight (Kg)","1987M10","Pigs for Pork",70.4
"2089","Pigs Slaughtered (Number)","1987M11","Pigs for Pork",57887
"2090","Weight of Pigs Slaughtered (Tonnes)","1987M11","Pigs for Pork",4102
"2091","Average Pig Carcass Weight (Kg)","1987M11","Pigs for Pork",70.9
"2092","Pigs Slaughtered (Number)","1987M12","Pigs for Pork",51914
"2093","Weight of Pigs Slaughtered (Tonnes)","1987M12","Pigs for Pork",3480
"2094","Average Pig Carcass Weight (Kg)","1987M12","Pigs for Pork",67
"2095","Pigs Slaughtered (Number)","1988M01","Pigs for Pork",54198
"2096","Weight of Pigs Slaughtered (Tonnes)","1988M01","Pigs for Pork",3853
"2097","Average Pig Carcass Weight (Kg)","1988M01","Pigs for Pork",71.1
"2098","Pigs Slaughtered (Number)","1988M02","Pigs for Pork",52323
"2099","Weight of Pigs Slaughtered (Tonnes)","1988M02","Pigs for Pork",3688
"2100","Average Pig Carcass Weight (Kg)","1988M02","Pigs for Pork",70.5
"2101","Pigs Slaughtered (Number)","1988M03","Pigs for Pork",62416
"2102","Weight of Pigs Slaughtered (Tonnes)","1988M03","Pigs for Pork",4389
"2103","Average Pig Carcass Weight (Kg)","1988M03","Pigs for Pork",70.3
"2104","Pigs Slaughtered (Number)","1988M04","Pigs for Pork",50353
"2105","Weight of Pigs Slaughtered (Tonnes)","1988M04","Pigs for Pork",3492
"2106","Average Pig Carcass Weight (Kg)","1988M04","Pigs for Pork",69.3
"2107","Pigs Slaughtered (Number)","1988M05","Pigs for Pork",56181
"2108","Weight of Pigs Slaughtered (Tonnes)","1988M05","Pigs for Pork",3897
"2109","Average Pig Carcass Weight (Kg)","1988M05","Pigs for Pork",69.4
"2110","Pigs Slaughtered (Number)","1988M06","Pigs for Pork",56806
"2111","Weight of Pigs Slaughtered (Tonnes)","1988M06","Pigs for Pork",3919
"2112","Average Pig Carcass Weight (Kg)","1988M06","Pigs for Pork",69
"2113","Pigs Slaughtered (Number)","1988M07","Pigs for Pork",57908
"2114","Weight of Pigs Slaughtered (Tonnes)","1988M07","Pigs for Pork",4017
"2115","Average Pig Carcass Weight (Kg)","1988M07","Pigs for Pork",69.4
"2116","Pigs Slaughtered (Number)","1988M08","Pigs for Pork",62996
"2117","Weight of Pigs Slaughtered (Tonnes)","1988M08","Pigs for Pork",4391
"2118","Average Pig Carcass Weight (Kg)","1988M08","Pigs for Pork",69.7
"2119","Pigs Slaughtered (Number)","1988M09","Pigs for Pork",65420
"2120","Weight of Pigs Slaughtered (Tonnes)","1988M09","Pigs for Pork",4715
"2121","Average Pig Carcass Weight (Kg)","1988M09","Pigs for Pork",72.1
"2122","Pigs Slaughtered (Number)","1988M10","Pigs for Pork",56966
"2123","Weight of Pigs Slaughtered (Tonnes)","1988M10","Pigs for Pork",4089
"2124","Average Pig Carcass Weight (Kg)","1988M10","Pigs for Pork",71.8
"2125","Pigs Slaughtered (Number)","1988M11","Pigs for Pork",62031
"2126","Weight of Pigs Slaughtered (Tonnes)","1988M11","Pigs for Pork",4424
"2127","Average Pig Carcass Weight (Kg)","1988M11","Pigs for Pork",71.3
"2128","Pigs Slaughtered (Number)","1988M12","Pigs for Pork",51569
"2129","Weight of Pigs Slaughtered (Tonnes)","1988M12","Pigs for Pork",3581
"2130","Average Pig Carcass Weight (Kg)","1988M12","Pigs for Pork",69.4
"2131","Pigs Slaughtered (Number)","1989M01","Pigs for Pork",54827
"2132","Weight of Pigs Slaughtered (Tonnes)","1989M01","Pigs for Pork",3866
"2133","Average Pig Carcass Weight (Kg)","1989M01","Pigs for Pork",70.5
"2134","Pigs Slaughtered (Number)","1989M02","Pigs for Pork",55158
"2135","Weight of Pigs Slaughtered (Tonnes)","1989M02","Pigs for Pork",3934
"2136","Average Pig Carcass Weight (Kg)","1989M02","Pigs for Pork",71.3
"2137","Pigs Slaughtered (Number)","1989M03","Pigs for Pork",60603
"2138","Weight of Pigs Slaughtered (Tonnes)","1989M03","Pigs for Pork",4269
"2139","Average Pig Carcass Weight (Kg)","1989M03","Pigs for Pork",70.4
"2140","Pigs Slaughtered (Number)","1989M04","Pigs for Pork",61326
"2141","Weight of Pigs Slaughtered (Tonnes)","1989M04","Pigs for Pork",4241
"2142","Average Pig Carcass Weight (Kg)","1989M04","Pigs for Pork",69.2
"2143","Pigs Slaughtered (Number)","1989M05","Pigs for Pork",71857
"2144","Weight of Pigs Slaughtered (Tonnes)","1989M05","Pigs for Pork",4838
"2145","Average Pig Carcass Weight (Kg)","1989M05","Pigs for Pork",67.3
"2146","Pigs Slaughtered (Number)","1989M06","Pigs for Pork",64806
"2147","Weight of Pigs Slaughtered (Tonnes)","1989M06","Pigs for Pork",4440
"2148","Average Pig Carcass Weight (Kg)","1989M06","Pigs for Pork",68.5
"2149","Pigs Slaughtered (Number)","1989M07","Pigs for Pork",62470
"2150","Weight of Pigs Slaughtered (Tonnes)","1989M07","Pigs for Pork",4157
"2151","Average Pig Carcass Weight (Kg)","1989M07","Pigs for Pork",66.5
"2152","Pigs Slaughtered (Number)","1989M08","Pigs for Pork",73618
"2153","Weight of Pigs Slaughtered (Tonnes)","1989M08","Pigs for Pork",4962
"2154","Average Pig Carcass Weight (Kg)","1989M08","Pigs for Pork",67.4
"2155","Pigs Slaughtered (Number)","1989M09","Pigs for Pork",55220
"2156","Weight of Pigs Slaughtered (Tonnes)","1989M09","Pigs for Pork",3895
"2157","Average Pig Carcass Weight (Kg)","1989M09","Pigs for Pork",70.5
"2158","Pigs Slaughtered (Number)","1989M10","Pigs for Pork",64217
"2159","Weight of Pigs Slaughtered (Tonnes)","1989M10","Pigs for Pork",4501
"2160","Average Pig Carcass Weight (Kg)","1989M10","Pigs for Pork",70.1
"2161","Pigs Slaughtered (Number)","1989M11","Pigs for Pork",74973
"2162","Weight of Pigs Slaughtered (Tonnes)","1989M11","Pigs for Pork",5204
"2163","Average Pig Carcass Weight (Kg)","1989M11","Pigs for Pork",69.4
"2164","Pigs Slaughtered (Number)","1989M12","Pigs for Pork",59657
"2165","Weight of Pigs Slaughtered (Tonnes)","1989M12","Pigs for Pork",3961
"2166","Average Pig Carcass Weight (Kg)","1989M12","Pigs for Pork",66.4
"2167","Pigs Slaughtered (Number)","1990M01","Pigs for Pork",88812
"2168","Weight of Pigs Slaughtered (Tonnes)","1990M01","Pigs for Pork",6144
"2169","Average Pig Carcass Weight (Kg)","1990M01","Pigs for Pork",69.2
"2170","Pigs Slaughtered (Number)","1990M02","Pigs for Pork",71483
"2171","Weight of Pigs Slaughtered (Tonnes)","1990M02","Pigs for Pork",4928
"2172","Average Pig Carcass Weight (Kg)","1990M02","Pigs for Pork",68.9
"2173","Pigs Slaughtered (Number)","1990M03","Pigs for Pork",81447
"2174","Weight of Pigs Slaughtered (Tonnes)","1990M03","Pigs for Pork",6041
"2175","Average Pig Carcass Weight (Kg)","1990M03","Pigs for Pork",74.2
"2176","Pigs Slaughtered (Number)","1990M04","Pigs for Pork",74623
"2177","Weight of Pigs Slaughtered (Tonnes)","1990M04","Pigs for Pork",5502
"2178","Average Pig Carcass Weight (Kg)","1990M04","Pigs for Pork",73.7
"2179","Pigs Slaughtered (Number)","1990M05","Pigs for Pork",85296
"2180","Weight of Pigs Slaughtered (Tonnes)","1990M05","Pigs for Pork",5966
"2181","Average Pig Carcass Weight (Kg)","1990M05","Pigs for Pork",69.9
"2182","Pigs Slaughtered (Number)","1990M06","Pigs for Pork",79448
"2183","Weight of Pigs Slaughtered (Tonnes)","1990M06","Pigs for Pork",5561
"2184","Average Pig Carcass Weight (Kg)","1990M06","Pigs for Pork",70
"2185","Pigs Slaughtered (Number)","1990M07","Pigs for Pork",88479
"2186","Weight of Pigs Slaughtered (Tonnes)","1990M07","Pigs for Pork",6063
"2187","Average Pig Carcass Weight (Kg)","1990M07","Pigs for Pork",68.5
"2188","Pigs Slaughtered (Number)","1990M08","Pigs for Pork",92838
"2189","Weight of Pigs Slaughtered (Tonnes)","1990M08","Pigs for Pork",6285
"2190","Average Pig Carcass Weight (Kg)","1990M08","Pigs for Pork",67.7
"2191","Pigs Slaughtered (Number)","1990M09","Pigs for Pork",90529
"2192","Weight of Pigs Slaughtered (Tonnes)","1990M09","Pigs for Pork",6174
"2193","Average Pig Carcass Weight (Kg)","1990M09","Pigs for Pork",68.2
"2194","Pigs Slaughtered (Number)","1990M10","Pigs for Pork",105921
"2195","Weight of Pigs Slaughtered (Tonnes)","1990M10","Pigs for Pork",7382
"2196","Average Pig Carcass Weight (Kg)","1990M10","Pigs for Pork",69.7
"2197","Pigs Slaughtered (Number)","1990M11","Pigs for Pork",108143
"2198","Weight of Pigs Slaughtered (Tonnes)","1990M11","Pigs for Pork",7640
"2199","Average Pig Carcass Weight (Kg)","1990M11","Pigs for Pork",70.6
"2200","Pigs Slaughtered (Number)","1990M12","Pigs for Pork",84270
"2201","Weight of Pigs Slaughtered (Tonnes)","1990M12","Pigs for Pork",5905
"2202","Average Pig Carcass Weight (Kg)","1990M12","Pigs for Pork",70.1
"2203","Pigs Slaughtered (Number)","1991M01","Pigs for Pork",107635
"2204","Weight of Pigs Slaughtered (Tonnes)","1991M01","Pigs for Pork",7620
"2205","Average Pig Carcass Weight (Kg)","1991M01","Pigs for Pork",70.8
"2206","Pigs Slaughtered (Number)","1991M02","Pigs for Pork",92754
"2207","Weight of Pigs Slaughtered (Tonnes)","1991M02","Pigs for Pork",6529
"2208","Average Pig Carcass Weight (Kg)","1991M02","Pigs for Pork",70.4
"2209","Pigs Slaughtered (Number)","1991M03","Pigs for Pork",105876
"2210","Weight of Pigs Slaughtered (Tonnes)","1991M03","Pigs for Pork",7251
"2211","Average Pig Carcass Weight (Kg)","1991M03","Pigs for Pork",68.5
"2212","Pigs Slaughtered (Number)","1991M04","Pigs for Pork",109050
"2213","Weight of Pigs Slaughtered (Tonnes)","1991M04","Pigs for Pork",7685
"2214","Average Pig Carcass Weight (Kg)","1991M04","Pigs for Pork",70.5
"2215","Pigs Slaughtered (Number)","1991M05","Pigs for Pork",107997
"2216","Weight of Pigs Slaughtered (Tonnes)","1991M05","Pigs for Pork",7575
"2217","Average Pig Carcass Weight (Kg)","1991M05","Pigs for Pork",70.1
"2218","Pigs Slaughtered (Number)","1991M06","Pigs for Pork",100335
"2219","Weight of Pigs Slaughtered (Tonnes)","1991M06","Pigs for Pork",7011
"2220","Average Pig Carcass Weight (Kg)","1991M06","Pigs for Pork",69.9
"2221","Pigs Slaughtered (Number)","1991M07","Pigs for Pork",128922
"2222","Weight of Pigs Slaughtered (Tonnes)","1991M07","Pigs for Pork",8920
"2223","Average Pig Carcass Weight (Kg)","1991M07","Pigs for Pork",69.2
"2224","Pigs Slaughtered (Number)","1991M08","Pigs for Pork",129930
"2225","Weight of Pigs Slaughtered (Tonnes)","1991M08","Pigs for Pork",9037
"2226","Average Pig Carcass Weight (Kg)","1991M08","Pigs for Pork",69.6
"2227","Pigs Slaughtered (Number)","1991M09","Pigs for Pork",134629
"2228","Weight of Pigs Slaughtered (Tonnes)","1991M09","Pigs for Pork",9078
"2229","Average Pig Carcass Weight (Kg)","1991M09","Pigs for Pork",67.4
"2230","Pigs Slaughtered (Number)","1991M10","Pigs for Pork",140642
"2231","Weight of Pigs Slaughtered (Tonnes)","1991M10","Pigs for Pork",9864
"2232","Average Pig Carcass Weight (Kg)","1991M10","Pigs for Pork",70.1
"2233","Pigs Slaughtered (Number)","1991M11","Pigs for Pork",134558
"2234","Weight of Pigs Slaughtered (Tonnes)","1991M11","Pigs for Pork",9560
"2235","Average Pig Carcass Weight (Kg)","1991M11","Pigs for Pork",71
"2236","Pigs Slaughtered (Number)","1991M12","Pigs for Pork",120472
"2237","Weight of Pigs Slaughtered (Tonnes)","1991M12","Pigs for Pork",8435
"2238","Average Pig Carcass Weight (Kg)","1991M12","Pigs for Pork",70
"2239","Pigs Slaughtered (Number)","1992M01","Pigs for Pork",145601
"2240","Weight of Pigs Slaughtered (Tonnes)","1992M01","Pigs for Pork",10504
"2241","Average Pig Carcass Weight (Kg)","1992M01","Pigs for Pork",72.1
"2242","Pigs Slaughtered (Number)","1992M02","Pigs for Pork",118184
"2243","Weight of Pigs Slaughtered (Tonnes)","1992M02","Pigs for Pork",8506
"2244","Average Pig Carcass Weight (Kg)","1992M02","Pigs for Pork",72
"2245","Pigs Slaughtered (Number)","1992M03","Pigs for Pork",128680
"2246","Weight of Pigs Slaughtered (Tonnes)","1992M03","Pigs for Pork",9232
"2247","Average Pig Carcass Weight (Kg)","1992M03","Pigs for Pork",71.7
"2248","Pigs Slaughtered (Number)","1992M04","Pigs for Pork",125796
"2249","Weight of Pigs Slaughtered (Tonnes)","1992M04","Pigs for Pork",9024
"2250","Average Pig Carcass Weight (Kg)","1992M04","Pigs for Pork",71.7
"2251","Pigs Slaughtered (Number)","1992M05","Pigs for Pork",124301
"2252","Weight of Pigs Slaughtered (Tonnes)","1992M05","Pigs for Pork",8864
"2253","Average Pig Carcass Weight (Kg)","1992M05","Pigs for Pork",71.3
"2254","Pigs Slaughtered (Number)","1992M06","Pigs for Pork",126716
"2255","Weight of Pigs Slaughtered (Tonnes)","1992M06","Pigs for Pork",8905
"2256","Average Pig Carcass Weight (Kg)","1992M06","Pigs for Pork",70.3
"2257","Pigs Slaughtered (Number)","1992M07","Pigs for Pork",145843
"2258","Weight of Pigs Slaughtered (Tonnes)","1992M07","Pigs for Pork",10317
"2259","Average Pig Carcass Weight (Kg)","1992M07","Pigs for Pork",70.7
"2260","Pigs Slaughtered (Number)","1992M08","Pigs for Pork",130840
"2261","Weight of Pigs Slaughtered (Tonnes)","1992M08","Pigs for Pork",9228
"2262","Average Pig Carcass Weight (Kg)","1992M08","Pigs for Pork",70.5
"2263","Pigs Slaughtered (Number)","1992M09","Pigs for Pork",148627
"2264","Weight of Pigs Slaughtered (Tonnes)","1992M09","Pigs for Pork",10500
"2265","Average Pig Carcass Weight (Kg)","1992M09","Pigs for Pork",70.6
"2266","Pigs Slaughtered (Number)","1992M10","Pigs for Pork",136193
"2267","Weight of Pigs Slaughtered (Tonnes)","1992M10","Pigs for Pork",9721
"2268","Average Pig Carcass Weight (Kg)","1992M10","Pigs for Pork",71.4
"2269","Pigs Slaughtered (Number)","1992M11","Pigs for Pork",146658
"2270","Weight of Pigs Slaughtered (Tonnes)","1992M11","Pigs for Pork",10479
"2271","Average Pig Carcass Weight (Kg)","1992M11","Pigs for Pork",71.5
"2272","Pigs Slaughtered (Number)","1992M12","Pigs for Pork",131889
"2273","Weight of Pigs Slaughtered (Tonnes)","1992M12","Pigs for Pork",9211
"2274","Average Pig Carcass Weight (Kg)","1992M12","Pigs for Pork",69.8
"2275","Pigs Slaughtered (Number)","1993M01","Pigs for Pork",134874
"2276","Weight of Pigs Slaughtered (Tonnes)","1993M01","Pigs for Pork",9701
"2277","Average Pig Carcass Weight (Kg)","1993M01","Pigs for Pork",71.9
"2278","Pigs Slaughtered (Number)","1993M02","Pigs for Pork",122499
"2279","Weight of Pigs Slaughtered (Tonnes)","1993M02","Pigs for Pork",8841
"2280","Average Pig Carcass Weight (Kg)","1993M02","Pigs for Pork",72.2
"2281","Pigs Slaughtered (Number)","1993M03","Pigs for Pork",145131
"2282","Weight of Pigs Slaughtered (Tonnes)","1993M03","Pigs for Pork",10472
"2283","Average Pig Carcass Weight (Kg)","1993M03","Pigs for Pork",72.2
"2284","Pigs Slaughtered (Number)","1993M04","Pigs for Pork",137048
"2285","Weight of Pigs Slaughtered (Tonnes)","1993M04","Pigs for Pork",9686
"2286","Average Pig Carcass Weight (Kg)","1993M04","Pigs for Pork",70.7
"2287","Pigs Slaughtered (Number)","1993M05","Pigs for Pork",135716
"2288","Weight of Pigs Slaughtered (Tonnes)","1993M05","Pigs for Pork",9819
"2289","Average Pig Carcass Weight (Kg)","1993M05","Pigs for Pork",72.3
"2290","Pigs Slaughtered (Number)","1993M06","Pigs for Pork",139637
"2291","Weight of Pigs Slaughtered (Tonnes)","1993M06","Pigs for Pork",9887
"2292","Average Pig Carcass Weight (Kg)","1993M06","Pigs for Pork",70.8
"2293","Pigs Slaughtered (Number)","1993M07","Pigs for Pork",139109
"2294","Weight of Pigs Slaughtered (Tonnes)","1993M07","Pigs for Pork",9752
"2295","Average Pig Carcass Weight (Kg)","1993M07","Pigs for Pork",70.1
"2296","Pigs Slaughtered (Number)","1993M08","Pigs for Pork",136287
"2297","Weight of Pigs Slaughtered (Tonnes)","1993M08","Pigs for Pork",9739
"2298","Average Pig Carcass Weight (Kg)","1993M08","Pigs for Pork",71.5
"2299","Pigs Slaughtered (Number)","1993M09","Pigs for Pork",148383
"2300","Weight of Pigs Slaughtered (Tonnes)","1993M09","Pigs for Pork",10613
"2301","Average Pig Carcass Weight (Kg)","1993M09","Pigs for Pork",71.5
"2302","Pigs Slaughtered (Number)","1993M10","Pigs for Pork",126164
"2303","Weight of Pigs Slaughtered (Tonnes)","1993M10","Pigs for Pork",9138
"2304","Average Pig Carcass Weight (Kg)","1993M10","Pigs for Pork",72.4
"2305","Pigs Slaughtered (Number)","1993M11","Pigs for Pork",135729
"2306","Weight of Pigs Slaughtered (Tonnes)","1993M11","Pigs for Pork",9808
"2307","Average Pig Carcass Weight (Kg)","1993M11","Pigs for Pork",72.3
"2308","Pigs Slaughtered (Number)","1993M12","Pigs for Pork",122572
"2309","Weight of Pigs Slaughtered (Tonnes)","1993M12","Pigs for Pork",8731
"2310","Average Pig Carcass Weight (Kg)","1993M12","Pigs for Pork",71.2
"2311","Pigs Slaughtered (Number)","1994M01","Pigs for Pork",118248
"2312","Weight of Pigs Slaughtered (Tonnes)","1994M01","Pigs for Pork",8747
"2313","Average Pig Carcass Weight (Kg)","1994M01","Pigs for Pork",74
"2314","Pigs Slaughtered (Number)","1994M02","Pigs for Pork",104308
"2315","Weight of Pigs Slaughtered (Tonnes)","1994M02","Pigs for Pork",7632
"2316","Average Pig Carcass Weight (Kg)","1994M02","Pigs for Pork",73.2
"2317","Pigs Slaughtered (Number)","1994M03","Pigs for Pork",138796
"2318","Weight of Pigs Slaughtered (Tonnes)","1994M03","Pigs for Pork",10335
"2319","Average Pig Carcass Weight (Kg)","1994M03","Pigs for Pork",74.5
"2320","Pigs Slaughtered (Number)","1994M04","Pigs for Pork",127929
"2321","Weight of Pigs Slaughtered (Tonnes)","1994M04","Pigs for Pork",9424
"2322","Average Pig Carcass Weight (Kg)","1994M04","Pigs for Pork",73.7
"2323","Pigs Slaughtered (Number)","1994M05","Pigs for Pork",122356
"2324","Weight of Pigs Slaughtered (Tonnes)","1994M05","Pigs for Pork",8929
"2325","Average Pig Carcass Weight (Kg)","1994M05","Pigs for Pork",73
"2326","Pigs Slaughtered (Number)","1994M06","Pigs for Pork",136550
"2327","Weight of Pigs Slaughtered (Tonnes)","1994M06","Pigs for Pork",9973
"2328","Average Pig Carcass Weight (Kg)","1994M06","Pigs for Pork",73
"2329","Pigs Slaughtered (Number)","1994M07","Pigs for Pork",131998
"2330","Weight of Pigs Slaughtered (Tonnes)","1994M07","Pigs for Pork",9517
"2331","Average Pig Carcass Weight (Kg)","1994M07","Pigs for Pork",72.1
"2332","Pigs Slaughtered (Number)","1994M08","Pigs for Pork",137411
"2333","Weight of Pigs Slaughtered (Tonnes)","1994M08","Pigs for Pork",9941
"2334","Average Pig Carcass Weight (Kg)","1994M08","Pigs for Pork",72.3
"2335","Pigs Slaughtered (Number)","1994M09","Pigs for Pork",135785
"2336","Weight of Pigs Slaughtered (Tonnes)","1994M09","Pigs for Pork",9369
"2337","Average Pig Carcass Weight (Kg)","1994M09","Pigs for Pork",69
"2338","Pigs Slaughtered (Number)","1994M10","Pigs for Pork",122922
"2339","Weight of Pigs Slaughtered (Tonnes)","1994M10","Pigs for Pork",8907
"2340","Average Pig Carcass Weight (Kg)","1994M10","Pigs for Pork",72.5
"2341","Pigs Slaughtered (Number)","1994M11","Pigs for Pork",135114
"2342","Weight of Pigs Slaughtered (Tonnes)","1994M11","Pigs for Pork",9940
"2343","Average Pig Carcass Weight (Kg)","1994M11","Pigs for Pork",73.6
"2344","Pigs Slaughtered (Number)","1994M12","Pigs for Pork",133849
"2345","Weight of Pigs Slaughtered (Tonnes)","1994M12","Pigs for Pork",9604
"2346","Average Pig Carcass Weight (Kg)","1994M12","Pigs for Pork",71.7
"2347","Pigs Slaughtered (Number)","1995M01","Pigs for Pork",122264
"2348","Weight of Pigs Slaughtered (Tonnes)","1995M01","Pigs for Pork",9269
"2349","Average Pig Carcass Weight (Kg)","1995M01","Pigs for Pork",75.8
"2350","Pigs Slaughtered (Number)","1995M02","Pigs for Pork",109718
"2351","Weight of Pigs Slaughtered (Tonnes)","1995M02","Pigs for Pork",8143
"2352","Average Pig Carcass Weight (Kg)","1995M02","Pigs for Pork",74.2
"2353","Pigs Slaughtered (Number)","1995M03","Pigs for Pork",123635
"2354","Weight of Pigs Slaughtered (Tonnes)","1995M03","Pigs for Pork",9244
"2355","Average Pig Carcass Weight (Kg)","1995M03","Pigs for Pork",74.8
"2356","Pigs Slaughtered (Number)","1995M04","Pigs for Pork",110143
"2357","Weight of Pigs Slaughtered (Tonnes)","1995M04","Pigs for Pork",8095
"2358","Average Pig Carcass Weight (Kg)","1995M04","Pigs for Pork",73.5
"2359","Pigs Slaughtered (Number)","1995M05","Pigs for Pork",113867
"2360","Weight of Pigs Slaughtered (Tonnes)","1995M05","Pigs for Pork",8382
"2361","Average Pig Carcass Weight (Kg)","1995M05","Pigs for Pork",73.6
"2362","Pigs Slaughtered (Number)","1995M06","Pigs for Pork",123638
"2363","Weight of Pigs Slaughtered (Tonnes)","1995M06","Pigs for Pork",8975
"2364","Average Pig Carcass Weight (Kg)","1995M06","Pigs for Pork",72.6
"2365","Pigs Slaughtered (Number)","1995M07","Pigs for Pork",109949
"2366","Weight of Pigs Slaughtered (Tonnes)","1995M07","Pigs for Pork",7928
"2367","Average Pig Carcass Weight (Kg)","1995M07","Pigs for Pork",72.1
"2368","Pigs Slaughtered (Number)","1995M08","Pigs for Pork",117946
"2369","Weight of Pigs Slaughtered (Tonnes)","1995M08","Pigs for Pork",8553
"2370","Average Pig Carcass Weight (Kg)","1995M08","Pigs for Pork",72.5
"2371","Pigs Slaughtered (Number)","1995M09","Pigs for Pork",117611
"2372","Weight of Pigs Slaughtered (Tonnes)","1995M09","Pigs for Pork",8622
"2373","Average Pig Carcass Weight (Kg)","1995M09","Pigs for Pork",73.3
"2374","Pigs Slaughtered (Number)","1995M10","Pigs for Pork",124448
"2375","Weight of Pigs Slaughtered (Tonnes)","1995M10","Pigs for Pork",9241
"2376","Average Pig Carcass Weight (Kg)","1995M10","Pigs for Pork",74.3
"2377","Pigs Slaughtered (Number)","1995M11","Pigs for Pork",117065
"2378","Weight of Pigs Slaughtered (Tonnes)","1995M11","Pigs for Pork",8778
"2379","Average Pig Carcass Weight (Kg)","1995M11","Pigs for Pork",75
"2380","Pigs Slaughtered (Number)","1995M12","Pigs for Pork",105325
"2381","Weight of Pigs Slaughtered (Tonnes)","1995M12","Pigs for Pork",7883
"2382","Average Pig Carcass Weight (Kg)","1995M12","Pigs for Pork",74.8
"2383","Pigs Slaughtered (Number)","1996M01","Pigs for Pork",126183
"2384","Weight of Pigs Slaughtered (Tonnes)","1996M01","Pigs for Pork",9784
"2385","Average Pig Carcass Weight (Kg)","1996M01","Pigs for Pork",77.5
"2386","Pigs Slaughtered (Number)","1996M02","Pigs for Pork",118934
"2387","Weight of Pigs Slaughtered (Tonnes)","1996M02","Pigs for Pork",9050
"2388","Average Pig Carcass Weight (Kg)","1996M02","Pigs for Pork",76.1
"2389","Pigs Slaughtered (Number)","1996M03","Pigs for Pork",115296
"2390","Weight of Pigs Slaughtered (Tonnes)","1996M03","Pigs for Pork",8808
"2391","Average Pig Carcass Weight (Kg)","1996M03","Pigs for Pork",76.4
"2392","Pigs Slaughtered (Number)","1996M04","Pigs for Pork",117962
"2393","Weight of Pigs Slaughtered (Tonnes)","1996M04","Pigs for Pork",9045
"2394","Average Pig Carcass Weight (Kg)","1996M04","Pigs for Pork",76.7
"2395","Pigs Slaughtered (Number)","1996M05","Pigs for Pork",125553
"2396","Weight of Pigs Slaughtered (Tonnes)","1996M05","Pigs for Pork",9510
"2397","Average Pig Carcass Weight (Kg)","1996M05","Pigs for Pork",75.7
"2398","Pigs Slaughtered (Number)","1996M06","Pigs for Pork",105702
"2399","Weight of Pigs Slaughtered (Tonnes)","1996M06","Pigs for Pork",8013
"2400","Average Pig Carcass Weight (Kg)","1996M06","Pigs for Pork",75.8
"2401","Pigs Slaughtered (Number)","1996M07","Pigs for Pork",132308
"2402","Weight of Pigs Slaughtered (Tonnes)","1996M07","Pigs for Pork",9900
"2403","Average Pig Carcass Weight (Kg)","1996M07","Pigs for Pork",74.8
"2404","Pigs Slaughtered (Number)","1996M08","Pigs for Pork",121608
"2405","Weight of Pigs Slaughtered (Tonnes)","1996M08","Pigs for Pork",9052
"2406","Average Pig Carcass Weight (Kg)","1996M08","Pigs for Pork",74.4
"2407","Pigs Slaughtered (Number)","1996M09","Pigs for Pork",123264
"2408","Weight of Pigs Slaughtered (Tonnes)","1996M09","Pigs for Pork",9377
"2409","Average Pig Carcass Weight (Kg)","1996M09","Pigs for Pork",76.1
"2410","Pigs Slaughtered (Number)","1996M10","Pigs for Pork",151107
"2411","Weight of Pigs Slaughtered (Tonnes)","1996M10","Pigs for Pork",11534
"2412","Average Pig Carcass Weight (Kg)","1996M10","Pigs for Pork",76.3
"2413","Pigs Slaughtered (Number)","1996M11","Pigs for Pork",131809
"2414","Weight of Pigs Slaughtered (Tonnes)","1996M11","Pigs for Pork",9897
