"","Statistic","Year","Type.of.Animal","value"
"288","Weight of Animals Slaughtered (000 Tonnes)","1985","Cattle (Including Calves)",NA
"289","Number of Animals Slaughtered (000 Head)","1986","Cattle (Including Calves)",1700.1
"290","Weight of Animals Slaughtered (000 Tonnes)","1986","Cattle (Including Calves)",NA
"291","Number of Animals Slaughtered (000 Head)","1987","Cattle (Including Calves)",1591.8
"292","Weight of Animals Slaughtered (000 Tonnes)","1987","Cattle (Including Calves)",NA
"293","Number of Animals Slaughtered (000 Head)","1988","Cattle (Including Calves)",1456.4
"294","Weight of Animals Slaughtered (000 Tonnes)","1988","Cattle (Including Calves)",NA
"295","Number of Animals Slaughtered (000 Head)","1989","Cattle (Including Calves)",1372
"296","Weight of Animals Slaughtered (000 Tonnes)","1989","Cattle (Including Calves)",NA
"297","Number of Animals Slaughtered (000 Head)","1990","Cattle (Including Calves)",1581.3
"298","Weight of Animals Slaughtered (000 Tonnes)","1990","Cattle (Including Calves)",NA
"299","Number of Animals Slaughtered (000 Head)","1991","Cattle (Including Calves)",1713.3
"300","Weight of Animals Slaughtered (000 Tonnes)","1991","Cattle (Including Calves)",554.6
"301","Number of Animals Slaughtered (000 Head)","1992","Cattle (Including Calves)",1713.5
"302","Weight of Animals Slaughtered (000 Tonnes)","1992","Cattle (Including Calves)",566
"303","Number of Animals Slaughtered (000 Head)","1993","Cattle (Including Calves)",1600.4
"304","Weight of Animals Slaughtered (000 Tonnes)","1993","Cattle (Including Calves)",526.3
"305","Number of Animals Slaughtered (000 Head)","1994","Cattle (Including Calves)",1436.5
"306","Weight of Animals Slaughtered (000 Tonnes)","1994","Cattle (Including Calves)",446
"307","Number of Animals Slaughtered (000 Head)","1995","Cattle (Including Calves)",1514.2
"308","Weight of Animals Slaughtered (000 Tonnes)","1995","Cattle (Including Calves)",488.2
"309","Number of Animals Slaughtered (000 Head)","1996","Cattle (Including Calves)",1649.8
"310","Weight of Animals Slaughtered (000 Tonnes)","1996","Cattle (Including Calves)",544.6
"311","Number of Animals Slaughtered (000 Head)","1997","Cattle (Including Calves)",1800.1
"312","Weight of Animals Slaughtered (000 Tonnes)","1997","Cattle (Including Calves)",576.3
"313","Number of Animals Slaughtered (000 Head)","1998","Cattle (Including Calves)",1921.9
"314","Weight of Animals Slaughtered (000 Tonnes)","1998","Cattle (Including Calves)",601.7
"315","Number of Animals Slaughtered (000 Head)","1999","Cattle (Including Calves)",2132.9
"316","Weight of Animals Slaughtered (000 Tonnes)","1999","Cattle (Including Calves)",643.8
"317","Number of Animals Slaughtered (000 Head)","2000","Cattle (Including Calves)",1885.8
"318","Weight of Animals Slaughtered (000 Tonnes)","2000","Cattle (Including Calves)",576.9
