"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"139","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M06","Cattle without Calves",8.9
"140","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M06","Cattle without Calves",2.3
"141","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M06","Cattle without Calves",8.9
"142","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M06","Cattle without Calves",2.3
"143","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M06","Cattle without Calves",54.6
"144","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M06","Cattle without Calves",14.5
"145","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M07","Cattle without Calves",99.5
"146","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M07","Cattle without Calves",27.2
"147","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M07","Cattle without Calves",5.9
"148","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M07","Cattle without Calves",1.6
"149","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M07","Cattle without Calves",5.9
"150","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M07","Cattle without Calves",1.6
"151","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M07","Cattle without Calves",37.3
"152","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M07","Cattle without Calves",10.5
"153","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M08","Cattle without Calves",108.9
"154","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M08","Cattle without Calves",30.1
"155","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M08","Cattle without Calves",6.9
"156","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M08","Cattle without Calves",2
"157","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M08","Cattle without Calves",6.9
"158","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M08","Cattle without Calves",2
"159","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M08","Cattle without Calves",44.5
"160","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M08","Cattle without Calves",12.4
"161","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M09","Cattle without Calves",140
"162","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M09","Cattle without Calves",39.5
"163","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M09","Cattle without Calves",10.9
"164","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M09","Cattle without Calves",3.2
"165","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M09","Cattle without Calves",10.9
"166","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M09","Cattle without Calves",3.2
"167","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M09","Cattle without Calves",36.1
