"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"14103","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M02","Lambs",0
"14104","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M02","Lambs",0
"14105","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M03","Lambs",230
"14106","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M03","Lambs",4.5
"14107","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M03","Lambs",0
"14108","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M03","Lambs",0
"14109","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M03","Lambs",NA
"14110","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M03","Lambs",NA
"14111","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M03","Lambs",0
"14112","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M03","Lambs",0
"14113","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M04","Lambs",232
"14114","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M04","Lambs",4.5
"14115","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M04","Lambs",0
"14116","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M04","Lambs",0
"14117","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M04","Lambs",NA
"14118","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M04","Lambs",NA
"14119","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M04","Lambs",0
"14120","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M04","Lambs",0
"14121","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M05","Lambs",357.4
"14122","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M05","Lambs",6.9
"14123","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M05","Lambs",0
"14124","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M05","Lambs",0
"14125","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M05","Lambs",NA
"14126","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M05","Lambs",NA
"14127","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M05","Lambs",0
"14128","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M05","Lambs",0
"14129","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M06","Lambs",359.6
"14130","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M06","Lambs",7
"14131","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M06","Lambs",0
"14132","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M06","Lambs",0
"14133","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M06","Lambs",NA
"14134","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M06","Lambs",NA
"14135","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M06","Lambs",0
"14136","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M06","Lambs",0
"14137","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M07","Lambs",375.7
"14138","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M07","Lambs",7.3
"14139","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M07","Lambs",0
"14140","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M07","Lambs",0
"14141","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M07","Lambs",NA
"14142","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M07","Lambs",NA
"14143","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M07","Lambs",0
"14144","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M07","Lambs",0
"14145","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M08","Lambs",377.7
"14146","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M08","Lambs",7.3
"14147","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M08","Lambs",0
"14148","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M08","Lambs",0
"14149","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M08","Lambs",NA
"14150","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M08","Lambs",NA
"14151","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M08","Lambs",0
"14152","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M08","Lambs",0
"14153","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1994M09","Lambs",373.5
"14154","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1994M09","Lambs",7.2
"14155","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1994M09","Lambs",0
"14156","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1994M09","Lambs",0
"14157","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1994M09","Lambs",NA
"14158","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1994M09","Lambs",NA
"14159","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1994M09","Lambs",0
"14160","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1994M09","Lambs",0
"14161","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M01","Horses and Asses",0.6
"14162","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M01","Horses and Asses",0.2
"14163","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M01","Horses and Asses",0.3
"14164","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M01","Horses and Asses",0.1
"14165","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M01","Horses and Asses",0.3
"14166","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M01","Horses and Asses",0.1
"14167","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M01","Horses and Asses",0.1
"14168","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M01","Horses and Asses",0
"14169","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M02","Horses and Asses",0.8
"14170","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M02","Horses and Asses",0.2
"14171","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M02","Horses and Asses",0.2
"14172","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M02","Horses and Asses",0
"14173","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M02","Horses and Asses",0.1
"14174","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M02","Horses and Asses",0
"14175","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M02","Horses and Asses",0.2
"14176","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M02","Horses and Asses",0
"14177","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M03","Horses and Asses",0.9
"14178","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M03","Horses and Asses",0.3
"14179","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M03","Horses and Asses",0.1
"14180","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M03","Horses and Asses",0
"14181","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M03","Horses and Asses",0.1
"14182","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M03","Horses and Asses",0
"14183","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M03","Horses and Asses",0.1
"14184","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M03","Horses and Asses",0
"14185","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M04","Horses and Asses",0.8
"14186","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M04","Horses and Asses",0.2
"14187","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M04","Horses and Asses",0.1
"14188","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M04","Horses and Asses",0
"14189","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M04","Horses and Asses",0.1
"14190","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M04","Horses and Asses",0
"14191","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M04","Horses and Asses",0.1
"14192","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M04","Horses and Asses",0
"14193","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M05","Horses and Asses",0.9
"14194","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M05","Horses and Asses",0.2
"14195","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M05","Horses and Asses",0.1
"14196","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M05","Horses and Asses",0
"14197","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M05","Horses and Asses",0.1
"14198","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M05","Horses and Asses",0
"14199","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M05","Horses and Asses",0.2
"14200","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M05","Horses and Asses",0
"14201","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M06","Horses and Asses",0.9
"14202","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M06","Horses and Asses",0.3
"14203","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M06","Horses and Asses",0.2
"14204","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M06","Horses and Asses",0
"14205","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M06","Horses and Asses",0.2
"14206","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M06","Horses and Asses",0
"14207","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M06","Horses and Asses",0.2
"14208","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M06","Horses and Asses",0.1
"14209","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M07","Horses and Asses",0.7
"14210","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M07","Horses and Asses",0.2
"14211","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M07","Horses and Asses",0.1
"14212","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M07","Horses and Asses",0
"14213","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M07","Horses and Asses",0.1
"14214","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M07","Horses and Asses",0
"14215","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M07","Horses and Asses",0.2
"14216","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M07","Horses and Asses",0.1
"14217","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M08","Horses and Asses",0.6
"14218","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M08","Horses and Asses",0.2
"14219","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M08","Horses and Asses",0.2
"14220","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M08","Horses and Asses",0
"14221","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M08","Horses and Asses",0.1
"14222","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M08","Horses and Asses",0
"14223","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M08","Horses and Asses",0.2
"14224","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M08","Horses and Asses",0.1
"14225","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M09","Horses and Asses",1
"14226","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M09","Horses and Asses",0.3
"14227","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M09","Horses and Asses",0.2
"14228","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M09","Horses and Asses",0
"14229","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M09","Horses and Asses",0.1
"14230","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M09","Horses and Asses",0
"14231","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M09","Horses and Asses",0.6
"14232","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M09","Horses and Asses",0.1
"14233","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M10","Horses and Asses",0.8
"14234","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M10","Horses and Asses",0.2
"14235","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M10","Horses and Asses",0.2
"14236","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M10","Horses and Asses",0.1
"14237","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M10","Horses and Asses",0.2
"14238","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M10","Horses and Asses",0.1
"14239","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M10","Horses and Asses",1
"14240","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M10","Horses and Asses",0.2
"14241","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M11","Horses and Asses",0.9
"14242","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M11","Horses and Asses",0.3
"14243","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M11","Horses and Asses",0.2
"14244","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M11","Horses and Asses",0
"14245","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M11","Horses and Asses",0.2
"14246","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M11","Horses and Asses",0
"14247","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M11","Horses and Asses",0.9
"14248","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M11","Horses and Asses",0.2
"14249","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M12","Horses and Asses",0.6
"14250","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M12","Horses and Asses",0.2
"14251","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M12","Horses and Asses",0.5
"14252","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M12","Horses and Asses",0.1
"14253","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M12","Horses and Asses",0.5
"14254","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M12","Horses and Asses",0.1
"14255","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M12","Horses and Asses",0.4
"14256","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M12","Horses and Asses",0.1
"14257","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M01","Horses and Asses",1.2
"14258","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M01","Horses and Asses",0.3
"14259","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M01","Horses and Asses",0.1
"14260","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M01","Horses and Asses",0
"14261","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M01","Horses and Asses",0.1
"14262","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M01","Horses and Asses",0
"14263","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M01","Horses and Asses",0.1
"14264","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M01","Horses and Asses",0
"14265","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M02","Horses and Asses",0.9
"14266","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M02","Horses and Asses",0.2
"14267","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M02","Horses and Asses",0.2
"14268","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M02","Horses and Asses",0
"14269","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M02","Horses and Asses",0.2
"14270","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M02","Horses and Asses",0
"14271","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M02","Horses and Asses",0.2
"14272","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M02","Horses and Asses",0.1
"14273","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M03","Horses and Asses",0.9
"14274","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M03","Horses and Asses",0.2
"14275","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M03","Horses and Asses",0.2
"14276","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M03","Horses and Asses",0
"14277","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M03","Horses and Asses",0.2
"14278","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M03","Horses and Asses",0
"14279","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M03","Horses and Asses",0.2
"14280","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M03","Horses and Asses",0
"14281","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M04","Horses and Asses",0.8
"14282","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M04","Horses and Asses",0.2
"14283","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M04","Horses and Asses",0.1
"14284","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M04","Horses and Asses",0
"14285","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M04","Horses and Asses",0.1
"14286","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M04","Horses and Asses",0
"14287","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M04","Horses and Asses",0.2
"14288","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M04","Horses and Asses",0
"14289","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M05","Horses and Asses",0.8
"14290","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M05","Horses and Asses",0.2
"14291","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M05","Horses and Asses",0.2
"14292","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M05","Horses and Asses",0
"14293","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M05","Horses and Asses",0.2
"14294","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M05","Horses and Asses",0
"14295","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M05","Horses and Asses",0.3
"14296","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M05","Horses and Asses",0.1
"14297","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M06","Horses and Asses",0.9
"14298","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M06","Horses and Asses",0.2
"14299","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M06","Horses and Asses",0.1
"14300","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M06","Horses and Asses",0
"14301","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M06","Horses and Asses",0.1
"14302","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M06","Horses and Asses",0
"14303","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M06","Horses and Asses",0.2
"14304","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M06","Horses and Asses",0.1
"14305","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M07","Horses and Asses",0.8
"14306","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M07","Horses and Asses",0.2
"14307","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M07","Horses and Asses",0.1
"14308","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M07","Horses and Asses",0
"14309","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M07","Horses and Asses",0.1
"14310","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M07","Horses and Asses",0
"14311","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M07","Horses and Asses",0.3
"14312","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M07","Horses and Asses",0.1
"14313","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M08","Horses and Asses",0.7
"14314","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M08","Horses and Asses",0.2
"14315","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M08","Horses and Asses",0.2
"14316","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M08","Horses and Asses",0
"14317","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M08","Horses and Asses",0.2
"14318","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M08","Horses and Asses",0
"14319","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M08","Horses and Asses",0.4
"14320","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M08","Horses and Asses",0.1
"14321","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M09","Horses and Asses",1
"14322","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M09","Horses and Asses",0.3
"14323","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M09","Horses and Asses",0.2
"14324","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M09","Horses and Asses",0.1
"14325","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M09","Horses and Asses",0.2
"14326","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M09","Horses and Asses",0
"14327","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M09","Horses and Asses",0.6
"14328","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M09","Horses and Asses",0.1
"14329","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M10","Horses and Asses",1.3
"14330","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M10","Horses and Asses",0.3
"14331","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M10","Horses and Asses",0.4
"14332","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M10","Horses and Asses",0.1
"14333","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M10","Horses and Asses",0.4
"14334","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M10","Horses and Asses",0.1
"14335","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M10","Horses and Asses",0.8
"14336","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M10","Horses and Asses",0.2
"14337","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M11","Horses and Asses",0.9
"14338","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M11","Horses and Asses",0.2
"14339","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M11","Horses and Asses",0.3
"14340","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M11","Horses and Asses",0.1
"14341","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M11","Horses and Asses",0.3
"14342","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M11","Horses and Asses",0.1
"14343","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M11","Horses and Asses",0.9
"14344","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M11","Horses and Asses",0.2
"14345","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M12","Horses and Asses",0.8
"14346","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M12","Horses and Asses",0.2
"14347","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M12","Horses and Asses",0.5
"14348","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M12","Horses and Asses",0.1
"14349","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M12","Horses and Asses",0.4
"14350","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M12","Horses and Asses",0.1
