"","Statistic","Month","Type.of.Animal","value"
"329","Number of Livestock Slaughtered (000 Head)","1988M09","Cattle without Calves",158.7
"330","Weight of Livestock Slaughtered (000 Tonnes)","1988M09","Cattle without Calves",51.9
"331","Number of Livestock Slaughtered (000 Head)","1988M10","Cattle without Calves",252.9
"332","Weight of Livestock Slaughtered (000 Tonnes)","1988M10","Cattle without Calves",83.8
"333","Number of Livestock Slaughtered (000 Head)","1988M11","Cattle without Calves",208.6
"334","Weight of Livestock Slaughtered (000 Tonnes)","1988M11","Cattle without Calves",67.4
"335","Number of Livestock Slaughtered (000 Head)","1988M12","Cattle without Calves",101.2
"336","Weight of Livestock Slaughtered (000 Tonnes)","1988M12","Cattle without Calves",31.6
"337","Number of Livestock Slaughtered (000 Head)","1989M01","Cattle without Calves",61.9
"338","Weight of Livestock Slaughtered (000 Tonnes)","1989M01","Cattle without Calves",17.9
"339","Number of Livestock Slaughtered (000 Head)","1989M02","Cattle without Calves",63
"340","Weight of Livestock Slaughtered (000 Tonnes)","1989M02","Cattle without Calves",18.4
"341","Number of Livestock Slaughtered (000 Head)","1989M03","Cattle without Calves",128.2
"342","Weight of Livestock Slaughtered (000 Tonnes)","1989M03","Cattle without Calves",41.7
"343","Number of Livestock Slaughtered (000 Head)","1989M04","Cattle without Calves",62.3
"344","Weight of Livestock Slaughtered (000 Tonnes)","1989M04","Cattle without Calves",17.7
"345","Number of Livestock Slaughtered (000 Head)","1989M05","Cattle without Calves",67.6
"346","Weight of Livestock Slaughtered (000 Tonnes)","1989M05","Cattle without Calves",19.9
"347","Number of Livestock Slaughtered (000 Head)","1989M06","Cattle without Calves",76
"348","Weight of Livestock Slaughtered (000 Tonnes)","1989M06","Cattle without Calves",23
"349","Number of Livestock Slaughtered (000 Head)","1989M07","Cattle without Calves",95.8
"350","Weight of Livestock Slaughtered (000 Tonnes)","1989M07","Cattle without Calves",29.4
"351","Number of Livestock Slaughtered (000 Head)","1989M08","Cattle without Calves",105.7
"352","Weight of Livestock Slaughtered (000 Tonnes)","1989M08","Cattle without Calves",32.4
"353","Number of Livestock Slaughtered (000 Head)","1989M09","Cattle without Calves",108.2
"354","Weight of Livestock Slaughtered (000 Tonnes)","1989M09","Cattle without Calves",33.6
"355","Number of Livestock Slaughtered (000 Head)","1989M10","Cattle without Calves",208.9
"356","Weight of Livestock Slaughtered (000 Tonnes)","1989M10","Cattle without Calves",69.3
"357","Number of Livestock Slaughtered (000 Head)","1989M11","Cattle without Calves",277.6
"358","Weight of Livestock Slaughtered (000 Tonnes)","1989M11","Cattle without Calves",92.5
"359","Number of Livestock Slaughtered (000 Head)","1989M12","Cattle without Calves",114.5
"360","Weight of Livestock Slaughtered (000 Tonnes)","1989M12","Cattle without Calves",36.6
"361","Number of Livestock Slaughtered (000 Head)","1990M01","Cattle without Calves",96.1
"362","Weight of Livestock Slaughtered (000 Tonnes)","1990M01","Cattle without Calves",30.3
"363","Number of Livestock Slaughtered (000 Head)","1990M02","Cattle without Calves",88.6
"364","Weight of Livestock Slaughtered (000 Tonnes)","1990M02","Cattle without Calves",28
"365","Number of Livestock Slaughtered (000 Head)","1990M03","Cattle without Calves",105.2
"366","Weight of Livestock Slaughtered (000 Tonnes)","1990M03","Cattle without Calves",33.8
"367","Number of Livestock Slaughtered (000 Head)","1990M04","Cattle without Calves",87.9
"368","Weight of Livestock Slaughtered (000 Tonnes)","1990M04","Cattle without Calves",27.8
"369","Number of Livestock Slaughtered (000 Head)","1990M05","Cattle without Calves",95.4
"370","Weight of Livestock Slaughtered (000 Tonnes)","1990M05","Cattle without Calves",30.4
"371","Number of Livestock Slaughtered (000 Head)","1990M06","Cattle without Calves",101.2
"372","Weight of Livestock Slaughtered (000 Tonnes)","1990M06","Cattle without Calves",32.8
"373","Number of Livestock Slaughtered (000 Head)","1990M07","Cattle without Calves",112.7
"374","Weight of Livestock Slaughtered (000 Tonnes)","1990M07","Cattle without Calves",36.8
"375","Number of Livestock Slaughtered (000 Head)","1990M08","Cattle without Calves",135
"376","Weight of Livestock Slaughtered (000 Tonnes)","1990M08","Cattle without Calves",44.2
"377","Number of Livestock Slaughtered (000 Head)","1990M09","Cattle without Calves",159.8
"378","Weight of Livestock Slaughtered (000 Tonnes)","1990M09","Cattle without Calves",53.6
"379","Number of Livestock Slaughtered (000 Head)","1990M10","Cattle without Calves",251.2
"380","Weight of Livestock Slaughtered (000 Tonnes)","1990M10","Cattle without Calves",86.3
"381","Number of Livestock Slaughtered (000 Head)","1990M11","Cattle without Calves",224.8
"382","Weight of Livestock Slaughtered (000 Tonnes)","1990M11","Cattle without Calves",75.6
"383","Number of Livestock Slaughtered (000 Head)","1990M12","Cattle without Calves",117.8
"384","Weight of Livestock Slaughtered (000 Tonnes)","1990M12","Cattle without Calves",38.5
"385","Number of Livestock Slaughtered (000 Head)","1991M01","Cattle without Calves",110.5
"386","Weight of Livestock Slaughtered (000 Tonnes)","1991M01","Cattle without Calves",35.4
"387","Number of Livestock Slaughtered (000 Head)","1991M02","Cattle without Calves",103.4
"388","Weight of Livestock Slaughtered (000 Tonnes)","1991M02","Cattle without Calves",33.5
"389","Number of Livestock Slaughtered (000 Head)","1991M03","Cattle without Calves",124
"390","Weight of Livestock Slaughtered (000 Tonnes)","1991M03","Cattle without Calves",40.9
"391","Number of Livestock Slaughtered (000 Head)","1991M04","Cattle without Calves",135.6
"392","Weight of Livestock Slaughtered (000 Tonnes)","1991M04","Cattle without Calves",44.3
"393","Number of Livestock Slaughtered (000 Head)","1991M05","Cattle without Calves",104.7
"394","Weight of Livestock Slaughtered (000 Tonnes)","1991M05","Cattle without Calves",32.5
"395","Number of Livestock Slaughtered (000 Head)","1991M06","Cattle without Calves",115
"396","Weight of Livestock Slaughtered (000 Tonnes)","1991M06","Cattle without Calves",36.8
"397","Number of Livestock Slaughtered (000 Head)","1991M07","Cattle without Calves",103.4
"398","Weight of Livestock Slaughtered (000 Tonnes)","1991M07","Cattle without Calves",32
"399","Number of Livestock Slaughtered (000 Head)","1991M08","Cattle without Calves",142.1
"400","Weight of Livestock Slaughtered (000 Tonnes)","1991M08","Cattle without Calves",46.6
"401","Number of Livestock Slaughtered (000 Head)","1991M09","Cattle without Calves",184.2
"402","Weight of Livestock Slaughtered (000 Tonnes)","1991M09","Cattle without Calves",61.4
"403","Number of Livestock Slaughtered (000 Head)","1991M10","Cattle without Calves",247.4
"404","Weight of Livestock Slaughtered (000 Tonnes)","1991M10","Cattle without Calves",82.7
"405","Number of Livestock Slaughtered (000 Head)","1991M11","Cattle without Calves",229.3
"406","Weight of Livestock Slaughtered (000 Tonnes)","1991M11","Cattle without Calves",75.4
"407","Number of Livestock Slaughtered (000 Head)","1991M12","Cattle without Calves",111.1
"408","Weight of Livestock Slaughtered (000 Tonnes)","1991M12","Cattle without Calves",35.2
"409","Number of Livestock Slaughtered (000 Head)","1992M01","Cattle without Calves",109.3
"410","Weight of Livestock Slaughtered (000 Tonnes)","1992M01","Cattle without Calves",35
"411","Number of Livestock Slaughtered (000 Head)","1992M02","Cattle without Calves",98.6
"412","Weight of Livestock Slaughtered (000 Tonnes)","1992M02","Cattle without Calves",31.9
"413","Number of Livestock Slaughtered (000 Head)","1992M03","Cattle without Calves",140
"414","Weight of Livestock Slaughtered (000 Tonnes)","1992M03","Cattle without Calves",46.7
"415","Number of Livestock Slaughtered (000 Head)","1992M04","Cattle without Calves",122.5
"416","Weight of Livestock Slaughtered (000 Tonnes)","1992M04","Cattle without Calves",40
"417","Number of Livestock Slaughtered (000 Head)","1992M05","Cattle without Calves",105.5
"418","Weight of Livestock Slaughtered (000 Tonnes)","1992M05","Cattle without Calves",33.8
"419","Number of Livestock Slaughtered (000 Head)","1992M06","Cattle without Calves",104.3
"420","Weight of Livestock Slaughtered (000 Tonnes)","1992M06","Cattle without Calves",33.8
"421","Number of Livestock Slaughtered (000 Head)","1992M07","Cattle without Calves",119.1
"422","Weight of Livestock Slaughtered (000 Tonnes)","1992M07","Cattle without Calves",38.7
"423","Number of Livestock Slaughtered (000 Head)","1992M08","Cattle without Calves",121.8
"424","Weight of Livestock Slaughtered (000 Tonnes)","1992M08","Cattle without Calves",40.4
"425","Number of Livestock Slaughtered (000 Head)","1992M09","Cattle without Calves",212.3
"426","Weight of Livestock Slaughtered (000 Tonnes)","1992M09","Cattle without Calves",72.1
"427","Number of Livestock Slaughtered (000 Head)","1992M10","Cattle without Calves",260.7
"428","Weight of Livestock Slaughtered (000 Tonnes)","1992M10","Cattle without Calves",90
"429","Number of Livestock Slaughtered (000 Head)","1992M11","Cattle without Calves",201
"430","Weight of Livestock Slaughtered (000 Tonnes)","1992M11","Cattle without Calves",67.3
"431","Number of Livestock Slaughtered (000 Head)","1992M12","Cattle without Calves",117.4
"432","Weight of Livestock Slaughtered (000 Tonnes)","1992M12","Cattle without Calves",38.3
"433","Number of Livestock Slaughtered (000 Head)","1993M01","Cattle without Calves",114.9
"434","Weight of Livestock Slaughtered (000 Tonnes)","1993M01","Cattle without Calves",38.3
"435","Number of Livestock Slaughtered (000 Head)","1993M02","Cattle without Calves",111.7
"436","Weight of Livestock Slaughtered (000 Tonnes)","1993M02","Cattle without Calves",37.1
"437","Number of Livestock Slaughtered (000 Head)","1993M03","Cattle without Calves",126.4
"438","Weight of Livestock Slaughtered (000 Tonnes)","1993M03","Cattle without Calves",41.3
"439","Number of Livestock Slaughtered (000 Head)","1993M04","Cattle without Calves",148.5
"440","Weight of Livestock Slaughtered (000 Tonnes)","1993M04","Cattle without Calves",49.9
"441","Number of Livestock Slaughtered (000 Head)","1993M05","Cattle without Calves",97.9
"442","Weight of Livestock Slaughtered (000 Tonnes)","1993M05","Cattle without Calves",30.5
"443","Number of Livestock Slaughtered (000 Head)","1993M06","Cattle without Calves",107.8
"444","Weight of Livestock Slaughtered (000 Tonnes)","1993M06","Cattle without Calves",34.1
"445","Number of Livestock Slaughtered (000 Head)","1993M07","Cattle without Calves",114.7
"446","Weight of Livestock Slaughtered (000 Tonnes)","1993M07","Cattle without Calves",36.3
"447","Number of Livestock Slaughtered (000 Head)","1993M08","Cattle without Calves",127
"448","Weight of Livestock Slaughtered (000 Tonnes)","1993M08","Cattle without Calves",41.8
"449","Number of Livestock Slaughtered (000 Head)","1993M09","Cattle without Calves",154.5
"450","Weight of Livestock Slaughtered (000 Tonnes)","1993M09","Cattle without Calves",51.8
"451","Number of Livestock Slaughtered (000 Head)","1993M10","Cattle without Calves",171
"452","Weight of Livestock Slaughtered (000 Tonnes)","1993M10","Cattle without Calves",57.8
"453","Number of Livestock Slaughtered (000 Head)","1993M11","Cattle without Calves",215.3
"454","Weight of Livestock Slaughtered (000 Tonnes)","1993M11","Cattle without Calves",73.6
"455","Number of Livestock Slaughtered (000 Head)","1993M12","Cattle without Calves",110.5
"456","Weight of Livestock Slaughtered (000 Tonnes)","1993M12","Cattle without Calves",35.9
"457","Number of Livestock Slaughtered (000 Head)","1994M01","Cattle without Calves",92.5
"458","Weight of Livestock Slaughtered (000 Tonnes)","1994M01","Cattle without Calves",28.7
"459","Number of Livestock Slaughtered (000 Head)","1994M02","Cattle without Calves",84.8
"460","Weight of Livestock Slaughtered (000 Tonnes)","1994M02","Cattle without Calves",26.3
"461","Number of Livestock Slaughtered (000 Head)","1994M03","Cattle without Calves",143.2
"462","Weight of Livestock Slaughtered (000 Tonnes)","1994M03","Cattle without Calves",45.1
"463","Number of Livestock Slaughtered (000 Head)","1994M04","Cattle without Calves",142
"464","Weight of Livestock Slaughtered (000 Tonnes)","1994M04","Cattle without Calves",45.2
"465","Number of Livestock Slaughtered (000 Head)","1994M05","Cattle without Calves",72.5
"466","Weight of Livestock Slaughtered (000 Tonnes)","1994M05","Cattle without Calves",20.8
"467","Number of Livestock Slaughtered (000 Head)","1994M06","Cattle without Calves",87.1
"468","Weight of Livestock Slaughtered (000 Tonnes)","1994M06","Cattle without Calves",26.1
"469","Number of Livestock Slaughtered (000 Head)","1994M07","Cattle without Calves",84
"470","Weight of Livestock Slaughtered (000 Tonnes)","1994M07","Cattle without Calves",25.2
"471","Number of Livestock Slaughtered (000 Head)","1994M08","Cattle without Calves",123.7
"472","Weight of Livestock Slaughtered (000 Tonnes)","1994M08","Cattle without Calves",38.2
"473","Number of Livestock Slaughtered (000 Head)","1994M09","Cattle without Calves",158.5
"474","Weight of Livestock Slaughtered (000 Tonnes)","1994M09","Cattle without Calves",50.6
"475","Number of Livestock Slaughtered (000 Head)","1994M10","Cattle without Calves",160.5
"476","Weight of Livestock Slaughtered (000 Tonnes)","1994M10","Cattle without Calves",50.9
"477","Number of Livestock Slaughtered (000 Head)","1994M11","Cattle without Calves",181.6
"478","Weight of Livestock Slaughtered (000 Tonnes)","1994M11","Cattle without Calves",57.7
"479","Number of Livestock Slaughtered (000 Head)","1994M12","Cattle without Calves",105.3
"480","Weight of Livestock Slaughtered (000 Tonnes)","1994M12","Cattle without Calves",32.9
"481","Number of Livestock Slaughtered (000 Head)","1995M01","Cattle without Calves",122.4
"482","Weight of Livestock Slaughtered (000 Tonnes)","1995M01","Cattle without Calves",39.6
"483","Number of Livestock Slaughtered (000 Head)","1995M02","Cattle without Calves",123.2
"484","Weight of Livestock Slaughtered (000 Tonnes)","1995M02","Cattle without Calves",39.3
"485","Number of Livestock Slaughtered (000 Head)","1995M03","Cattle without Calves",152
"486","Weight of Livestock Slaughtered (000 Tonnes)","1995M03","Cattle without Calves",48.7
"487","Number of Livestock Slaughtered (000 Head)","1995M04","Cattle without Calves",142.2
"488","Weight of Livestock Slaughtered (000 Tonnes)","1995M04","Cattle without Calves",46.2
"489","Number of Livestock Slaughtered (000 Head)","1995M05","Cattle without Calves",118.2
"490","Weight of Livestock Slaughtered (000 Tonnes)","1995M05","Cattle without Calves",36.7
"491","Number of Livestock Slaughtered (000 Head)","1995M06","Cattle without Calves",88.9
"492","Weight of Livestock Slaughtered (000 Tonnes)","1995M06","Cattle without Calves",27
"493","Number of Livestock Slaughtered (000 Head)","1995M07","Cattle without Calves",83.6
"494","Weight of Livestock Slaughtered (000 Tonnes)","1995M07","Cattle without Calves",25.7
"495","Number of Livestock Slaughtered (000 Head)","1995M08","Cattle without Calves",129
"496","Weight of Livestock Slaughtered (000 Tonnes)","1995M08","Cattle without Calves",40.8
"497","Number of Livestock Slaughtered (000 Head)","1995M09","Cattle without Calves",139.3
