"","Statistic","Year","Fish.Species","value"
"296","Value of Sea Fish Landings (Euro Thousand)","1998","Plaice",2996
"297","Live Weight of Sea Fish Landings (Tonnes)","1999","Plaice",1424
"298","Value of Sea Fish Landings (Euro Thousand)","1999","Plaice",2945
"299","Live Weight of Sea Fish Landings (Tonnes)","2000","Plaice",1029
"300","Value of Sea Fish Landings (Euro Thousand)","2000","Plaice",2301
"301","Live Weight of Sea Fish Landings (Tonnes)","2001","Plaice",841
"302","Value of Sea Fish Landings (Euro Thousand)","2001","Plaice",2582
"303","Live Weight of Sea Fish Landings (Tonnes)","2002","Plaice",801
"304","Value of Sea Fish Landings (Euro Thousand)","2002","Plaice",2126
"305","Live Weight of Sea Fish Landings (Tonnes)","2003","Plaice",876
"306","Value of Sea Fish Landings (Euro Thousand)","2003","Plaice",1678
"307","Live Weight of Sea Fish Landings (Tonnes)","2004","Plaice",564
"308","Value of Sea Fish Landings (Euro Thousand)","2004","Plaice",1087
"309","Live Weight of Sea Fish Landings (Tonnes)","1994","Ray/Skate",1525
"310","Value of Sea Fish Landings (Euro Thousand)","1994","Ray/Skate",1271
"311","Live Weight of Sea Fish Landings (Tonnes)","1995","Ray/Skate",2098
"312","Value of Sea Fish Landings (Euro Thousand)","1995","Ray/Skate",1831
"313","Live Weight of Sea Fish Landings (Tonnes)","1996","Ray/Skate",2212
"314","Value of Sea Fish Landings (Euro Thousand)","1996","Ray/Skate",1839
"315","Live Weight of Sea Fish Landings (Tonnes)","1997","Ray/Skate",2714
"316","Value of Sea Fish Landings (Euro Thousand)","1997","Ray/Skate",2284
"317","Live Weight of Sea Fish Landings (Tonnes)","1998","Ray/Skate",2120
"318","Value of Sea Fish Landings (Euro Thousand)","1998","Ray/Skate",1999
"319","Live Weight of Sea Fish Landings (Tonnes)","1999","Ray/Skate",2283
"320","Value of Sea Fish Landings (Euro Thousand)","1999","Ray/Skate",2439
"321","Live Weight of Sea Fish Landings (Tonnes)","2000","Ray/Skate",2077
"322","Value of Sea Fish Landings (Euro Thousand)","2000","Ray/Skate",2546
"323","Live Weight of Sea Fish Landings (Tonnes)","2001","Ray/Skate",2141
"324","Value of Sea Fish Landings (Euro Thousand)","2001","Ray/Skate",4165
"325","Live Weight of Sea Fish Landings (Tonnes)","2002","Ray/Skate",2503
"326","Value of Sea Fish Landings (Euro Thousand)","2002","Ray/Skate",2778
"327","Live Weight of Sea Fish Landings (Tonnes)","2003","Ray/Skate",2890
"328","Value of Sea Fish Landings (Euro Thousand)","2003","Ray/Skate",2315
"329","Live Weight of Sea Fish Landings (Tonnes)","2004","Ray/Skate",2705
"330","Value of Sea Fish Landings (Euro Thousand)","2004","Ray/Skate",2408
"331","Live Weight of Sea Fish Landings (Tonnes)","1994","Saithe",2206
"332","Value of Sea Fish Landings (Euro Thousand)","1994","Saithe",1597
"333","Live Weight of Sea Fish Landings (Tonnes)","1995","Saithe",2929
"334","Value of Sea Fish Landings (Euro Thousand)","1995","Saithe",2136
"335","Live Weight of Sea Fish Landings (Tonnes)","1996","Saithe",2579
"336","Value of Sea Fish Landings (Euro Thousand)","1996","Saithe",1924
"337","Live Weight of Sea Fish Landings (Tonnes)","1997","Saithe",1840
"338","Value of Sea Fish Landings (Euro Thousand)","1997","Saithe",1310
"339","Live Weight of Sea Fish Landings (Tonnes)","1998","Saithe",1687
"340","Value of Sea Fish Landings (Euro Thousand)","1998","Saithe",1280
"341","Live Weight of Sea Fish Landings (Tonnes)","1999","Saithe",1704
"342","Value of Sea Fish Landings (Euro Thousand)","1999","Saithe",1574
"343","Live Weight of Sea Fish Landings (Tonnes)","2000","Saithe",1741
"344","Value of Sea Fish Landings (Euro Thousand)","2000","Saithe",1379
"345","Live Weight of Sea Fish Landings (Tonnes)","2001","Saithe",2046
"346","Value of Sea Fish Landings (Euro Thousand)","2001","Saithe",2013
"347","Live Weight of Sea Fish Landings (Tonnes)","2002","Saithe",1354
"348","Value of Sea Fish Landings (Euro Thousand)","2002","Saithe",1772
"349","Live Weight of Sea Fish Landings (Tonnes)","2003","Saithe",924
"350","Value of Sea Fish Landings (Euro Thousand)","2003","Saithe",667
"351","Live Weight of Sea Fish Landings (Tonnes)","2004","Saithe",724
"352","Value of Sea Fish Landings (Euro Thousand)","2004","Saithe",496
"353","Live Weight of Sea Fish Landings (Tonnes)","1994","Turbot",193
"354","Value of Sea Fish Landings (Euro Thousand)","1994","Turbot",1470
"355","Live Weight of Sea Fish Landings (Tonnes)","1995","Turbot",233
"356","Value of Sea Fish Landings (Euro Thousand)","1995","Turbot",1795
"357","Live Weight of Sea Fish Landings (Tonnes)","1996","Turbot",262
"358","Value of Sea Fish Landings (Euro Thousand)","1996","Turbot",2048
"359","Live Weight of Sea Fish Landings (Tonnes)","1997","Turbot",257
"360","Value of Sea Fish Landings (Euro Thousand)","1997","Turbot",2112
"361","Live Weight of Sea Fish Landings (Tonnes)","1998","Turbot",234
"362","Value of Sea Fish Landings (Euro Thousand)","1998","Turbot",2042
"363","Live Weight of Sea Fish Landings (Tonnes)","1999","Turbot",261
"364","Value of Sea Fish Landings (Euro Thousand)","1999","Turbot",2124
"365","Live Weight of Sea Fish Landings (Tonnes)","2000","Turbot",236
"366","Value of Sea Fish Landings (Euro Thousand)","2000","Turbot",2226
"367","Live Weight of Sea Fish Landings (Tonnes)","2001","Turbot",185
"368","Value of Sea Fish Landings (Euro Thousand)","2001","Turbot",2249
"369","Live Weight of Sea Fish Landings (Tonnes)","2002","Turbot",184
"370","Value of Sea Fish Landings (Euro Thousand)","2002","Turbot",1950
"371","Live Weight of Sea Fish Landings (Tonnes)","2003","Turbot",231
"372","Value of Sea Fish Landings (Euro Thousand)","2003","Turbot",1557
"373","Live Weight of Sea Fish Landings (Tonnes)","2004","Turbot",321
"374","Value of Sea Fish Landings (Euro Thousand)","2004","Turbot",2161
"375","Live Weight of Sea Fish Landings (Tonnes)","1994","White pollock",1145
"376","Value of Sea Fish Landings (Euro Thousand)","1994","White pollock",1275
"377","Live Weight of Sea Fish Landings (Tonnes)","1995","White pollock",1190
"378","Value of Sea Fish Landings (Euro Thousand)","1995","White pollock",1383
"379","Live Weight of Sea Fish Landings (Tonnes)","1996","White pollock",1289
"380","Value of Sea Fish Landings (Euro Thousand)","1996","White pollock",1456
