"","Statistic","Year","Port","value"
"159","Live Weight of Sea Fish Landings (Tonnes)","1996","Baltimore",3056
"160","Value of Sea Fish Landings (Euro Thousand)","1996","Baltimore",2509
"161","Live Weight of Sea Fish Landings (Tonnes)","1997","Baltimore",2440
"162","Value of Sea Fish Landings (Euro Thousand)","1997","Baltimore",2406
"163","Live Weight of Sea Fish Landings (Tonnes)","1998","Baltimore",1744
"164","Value of Sea Fish Landings (Euro Thousand)","1998","Baltimore",2703
"165","Live Weight of Sea Fish Landings (Tonnes)","1999","Baltimore",2220
"166","Value of Sea Fish Landings (Euro Thousand)","1999","Baltimore",3532
"167","Live Weight of Sea Fish Landings (Tonnes)","2000","Baltimore",1324
"168","Value of Sea Fish Landings (Euro Thousand)","2000","Baltimore",2573
"169","Live Weight of Sea Fish Landings (Tonnes)","2001","Baltimore",1861
"170","Value of Sea Fish Landings (Euro Thousand)","2001","Baltimore",1448
"171","Live Weight of Sea Fish Landings (Tonnes)","2002","Baltimore",1500
"172","Value of Sea Fish Landings (Euro Thousand)","2002","Baltimore",1744
"173","Live Weight of Sea Fish Landings (Tonnes)","2003","Baltimore",1336
"174","Value of Sea Fish Landings (Euro Thousand)","2003","Baltimore",1210
"175","Live Weight of Sea Fish Landings (Tonnes)","2004","Baltimore",1932
"176","Value of Sea Fish Landings (Euro Thousand)","2004","Baltimore",1481
"177","Live Weight of Sea Fish Landings (Tonnes)","1994","Bantry",NA
"178","Value of Sea Fish Landings (Euro Thousand)","1994","Bantry",NA
"179","Live Weight of Sea Fish Landings (Tonnes)","1995","Bantry",NA
"180","Value of Sea Fish Landings (Euro Thousand)","1995","Bantry",NA
"181","Live Weight of Sea Fish Landings (Tonnes)","1996","Bantry",NA
"182","Value of Sea Fish Landings (Euro Thousand)","1996","Bantry",NA
"183","Live Weight of Sea Fish Landings (Tonnes)","1997","Bantry",329
"184","Value of Sea Fish Landings (Euro Thousand)","1997","Bantry",640
"185","Live Weight of Sea Fish Landings (Tonnes)","1998","Bantry",203
"186","Value of Sea Fish Landings (Euro Thousand)","1998","Bantry",549
"187","Live Weight of Sea Fish Landings (Tonnes)","1999","Bantry",208
"188","Value of Sea Fish Landings (Euro Thousand)","1999","Bantry",584
"189","Live Weight of Sea Fish Landings (Tonnes)","2000","Bantry",166
"190","Value of Sea Fish Landings (Euro Thousand)","2000","Bantry",565
"191","Live Weight of Sea Fish Landings (Tonnes)","2001","Bantry",0
"192","Value of Sea Fish Landings (Euro Thousand)","2001","Bantry",0
"193","Live Weight of Sea Fish Landings (Tonnes)","2002","Bantry",22
"194","Value of Sea Fish Landings (Euro Thousand)","2002","Bantry",46
"195","Live Weight of Sea Fish Landings (Tonnes)","2003","Bantry",11
"196","Value of Sea Fish Landings (Euro Thousand)","2003","Bantry",20
"197","Live Weight of Sea Fish Landings (Tonnes)","2004","Bantry",46
"198","Value of Sea Fish Landings (Euro Thousand)","2004","Bantry",286
"199","Live Weight of Sea Fish Landings (Tonnes)","1994","Bunbeg",NA
"200","Value of Sea Fish Landings (Euro Thousand)","1994","Bunbeg",NA
"201","Live Weight of Sea Fish Landings (Tonnes)","1995","Bunbeg",NA
"202","Value of Sea Fish Landings (Euro Thousand)","1995","Bunbeg",NA
"203","Live Weight of Sea Fish Landings (Tonnes)","1996","Bunbeg",NA
"204","Value of Sea Fish Landings (Euro Thousand)","1996","Bunbeg",NA
"205","Live Weight of Sea Fish Landings (Tonnes)","1997","Bunbeg",325
"206","Value of Sea Fish Landings (Euro Thousand)","1997","Bunbeg",429
"207","Live Weight of Sea Fish Landings (Tonnes)","1998","Bunbeg",209
"208","Value of Sea Fish Landings (Euro Thousand)","1998","Bunbeg",366
"209","Live Weight of Sea Fish Landings (Tonnes)","1999","Bunbeg",194
"210","Value of Sea Fish Landings (Euro Thousand)","1999","Bunbeg",284
"211","Live Weight of Sea Fish Landings (Tonnes)","2000","Bunbeg",0
"212","Value of Sea Fish Landings (Euro Thousand)","2000","Bunbeg",0
"213","Live Weight of Sea Fish Landings (Tonnes)","2001","Bunbeg",0
"214","Value of Sea Fish Landings (Euro Thousand)","2001","Bunbeg",0
"215","Live Weight of Sea Fish Landings (Tonnes)","2002","Bunbeg",0
"216","Value of Sea Fish Landings (Euro Thousand)","2002","Bunbeg",0
"217","Live Weight of Sea Fish Landings (Tonnes)","2003","Bunbeg",NA
"218","Value of Sea Fish Landings (Euro Thousand)","2003","Bunbeg",NA
"219","Live Weight of Sea Fish Landings (Tonnes)","2004","Bunbeg",NA
"220","Value of Sea Fish Landings (Euro Thousand)","2004","Bunbeg",NA
"221","Live Weight of Sea Fish Landings (Tonnes)","1994","Burtonport",1451
"222","Value of Sea Fish Landings (Euro Thousand)","1994","Burtonport",1767
"223","Live Weight of Sea Fish Landings (Tonnes)","1995","Burtonport",1549
"224","Value of Sea Fish Landings (Euro Thousand)","1995","Burtonport",1754
"225","Live Weight of Sea Fish Landings (Tonnes)","1996","Burtonport",2331
"226","Value of Sea Fish Landings (Euro Thousand)","1996","Burtonport",1742
"227","Live Weight of Sea Fish Landings (Tonnes)","1997","Burtonport",1272
"228","Value of Sea Fish Landings (Euro Thousand)","1997","Burtonport",1519
"229","Live Weight of Sea Fish Landings (Tonnes)","1998","Burtonport",1000
"230","Value of Sea Fish Landings (Euro Thousand)","1998","Burtonport",1944
"231","Live Weight of Sea Fish Landings (Tonnes)","1999","Burtonport",1050
"232","Value of Sea Fish Landings (Euro Thousand)","1999","Burtonport",1892
"233","Live Weight of Sea Fish Landings (Tonnes)","2000","Burtonport",1033
"234","Value of Sea Fish Landings (Euro Thousand)","2000","Burtonport",2202
"235","Live Weight of Sea Fish Landings (Tonnes)","2001","Burtonport",711
"236","Value of Sea Fish Landings (Euro Thousand)","2001","Burtonport",2037
"237","Live Weight of Sea Fish Landings (Tonnes)","2002","Burtonport",545
"238","Value of Sea Fish Landings (Euro Thousand)","2002","Burtonport",1215
"239","Live Weight of Sea Fish Landings (Tonnes)","2003","Burtonport",414
"240","Value of Sea Fish Landings (Euro Thousand)","2003","Burtonport",903
"241","Live Weight of Sea Fish Landings (Tonnes)","2004","Burtonport",300
"242","Value of Sea Fish Landings (Euro Thousand)","2004","Burtonport",823
