"","Year","Fish.Species","value"
"430","2000","Dublin bay prawns",3972
"431","2001","Dublin bay prawns",4548
"432","2002","Dublin bay prawns",4790
"433","2003","Dublin bay prawns",2750
"434","2004","Dublin bay prawns",2873
"435","1991","Escallop",1950
"436","1992","Escallop",1660
"437","1993","Escallop",2259
"438","1994","Escallop",2169
"439","1995","Escallop",2729
"440","1996","Escallop",2659
"441","1997","Escallop",2611
"442","1998","Escallop",2786
"443","1999","Escallop",2827
"444","2000","Escallop",2540
"445","2001","Escallop",3258
"446","2002","Escallop",2955
"447","2003","Escallop",2083
"448","2004","Escallop",1968
"449","1991","Lobster",9551
"450","1992","Lobster",10842
"451","1993","Lobster",11501
"452","1994","Lobster",11265
"453","1995","Lobster",11535
"454","1996","Lobster",11737
"455","1997","Lobster",11037
"456","1998","Lobster",11856
"457","1999","Lobster",13069
"458","2000","Lobster",13837
"459","2001","Lobster",19751
"460","2002","Lobster",12916
"461","2003","Lobster",12545
"462","2004","Lobster",12547
"463","1991","Periwinkle",722
"464","1992","Periwinkle",710
"465","1993","Periwinkle",802
"466","1994","Periwinkle",735
"467","1995","Periwinkle",887
"468","1996","Periwinkle",1001
"469","1997","Periwinkle",846
"470","1998","Periwinkle",1057
"471","1999","Periwinkle",950
"472","2000","Periwinkle",1322
"473","2001","Periwinkle",1208
"474","2002","Periwinkle",997
"475","2003","Periwinkle",1352
"476","2004","Periwinkle",1497
"477","1991","Prawn tails",1008
"478","1992","Prawn tails",957
"479","1993","Prawn tails",1114
"480","1994","Prawn tails",1288
"481","1995","Prawn tails",1253
"482","1996","Prawn tails",1226
"483","1997","Prawn tails",1541
"484","1998","Prawn tails",1316
"485","1999","Prawn tails",1333
"486","2000","Prawn tails",1280
"487","2001","Prawn tails",1731
"488","2002","Prawn tails",1499
"489","2003","Prawn tails",NA
"490","2004","Prawn tails",NA
"491","1991","Shrimp",6297
"492","1992","Shrimp",6631
"493","1993","Shrimp",6292
"494","1994","Shrimp",6769
"495","1995","Shrimp",7063
"496","1996","Shrimp",6480
"497","1997","Shrimp",5916
"498","1998","Shrimp",6199
"499","1999","Shrimp",6481
"500","2000","Shrimp",6800
"501","2001","Shrimp",7810
"502","2002","Shrimp",6905
"503","2003","Shrimp",6976
"504","2004","Shrimp",6166
"505","1991","Squid",2048
"506","1992","Squid",2284
"507","1993","Squid",2518
"508","1994","Squid",2482
"509","1995","Squid",2384
"510","1996","Squid",2321
"511","1997","Squid",2506
"512","1998","Squid",2276
"513","1999","Squid",2524
"514","2000","Squid",1608
"515","2001","Squid",2276
"516","2002","Squid",2080
"517","2003","Squid",2859
"518","2004","Squid",2839
"519","1991","Whelk",483
"520","1992","Whelk",448
"521","1993","Whelk",451
"522","1994","Whelk",430
"523","1995","Whelk",582
"524","1996","Whelk",657
"525","1997","Whelk",559
"526","1998","Whelk",546
"527","1999","Whelk",564
"528","2000","Whelk",624
"529","2001","Whelk",806
"530","2002","Whelk",637
"531","2003","Whelk",662
"532","2004","Whelk",441
"533","1991","Deepwater",NA
"534","1992","Deepwater",NA
"535","1993","Deepwater",NA
"536","1994","Deepwater",NA
"537","1995","Deepwater",NA
"538","1996","Deepwater",NA
"539","1997","Deepwater",NA
"540","1998","Deepwater",NA
"541","1999","Deepwater",NA
"542","2000","Deepwater",NA
"543","2001","Deepwater",NA
"544","2002","Deepwater",NA
"545","2003","Deepwater",NA
"546","2004","Deepwater",NA
"547","1991","Siki",NA
"548","1992","Siki",NA
"549","1993","Siki",NA
"550","1994","Siki",NA
"551","1995","Siki",NA
"552","1996","Siki",NA
"553","1997","Siki",NA
"554","1998","Siki",NA
"555","1999","Siki",NA
"556","2000","Siki",1481
"557","2001","Siki",1442
"558","2002","Siki",2103
"559","2003","Siki",2896
"560","2004","Siki",2912
