"","Statistic","Year","Key.Fish.Species","value"
"150","Value of Sea Fish Landings (Euro Thousand)","1983","Deepwater",NA
"151","Live Weight of Sea Fish Landings (Tonnes)","1984","Deepwater",NA
"152","Value of Sea Fish Landings (Euro Thousand)","1984","Deepwater",NA
"153","Live Weight of Sea Fish Landings (Tonnes)","1985","Deepwater",NA
"154","Value of Sea Fish Landings (Euro Thousand)","1985","Deepwater",NA
"155","Live Weight of Sea Fish Landings (Tonnes)","1986","Deepwater",NA
"156","Value of Sea Fish Landings (Euro Thousand)","1986","Deepwater",NA
"157","Live Weight of Sea Fish Landings (Tonnes)","1987","Deepwater",NA
"158","Value of Sea Fish Landings (Euro Thousand)","1987","Deepwater",NA
"159","Live Weight of Sea Fish Landings (Tonnes)","1988","Deepwater",NA
"160","Value of Sea Fish Landings (Euro Thousand)","1988","Deepwater",NA
"161","Live Weight of Sea Fish Landings (Tonnes)","1989","Deepwater",NA
"162","Value of Sea Fish Landings (Euro Thousand)","1989","Deepwater",NA
"163","Live Weight of Sea Fish Landings (Tonnes)","1990","Deepwater",NA
"164","Value of Sea Fish Landings (Euro Thousand)","1990","Deepwater",NA
"165","Live Weight of Sea Fish Landings (Tonnes)","1991","Deepwater",NA
"166","Value of Sea Fish Landings (Euro Thousand)","1991","Deepwater",NA
"167","Live Weight of Sea Fish Landings (Tonnes)","1992","Deepwater",NA
"168","Value of Sea Fish Landings (Euro Thousand)","1992","Deepwater",NA
"169","Live Weight of Sea Fish Landings (Tonnes)","1993","Deepwater",NA
"170","Value of Sea Fish Landings (Euro Thousand)","1993","Deepwater",NA
"171","Live Weight of Sea Fish Landings (Tonnes)","1994","Deepwater",NA
"172","Value of Sea Fish Landings (Euro Thousand)","1994","Deepwater",NA
"173","Live Weight of Sea Fish Landings (Tonnes)","1995","Deepwater",NA
"174","Value of Sea Fish Landings (Euro Thousand)","1995","Deepwater",NA
"175","Live Weight of Sea Fish Landings (Tonnes)","1996","Deepwater",NA
"176","Value of Sea Fish Landings (Euro Thousand)","1996","Deepwater",NA
"177","Live Weight of Sea Fish Landings (Tonnes)","1997","Deepwater",NA
"178","Value of Sea Fish Landings (Euro Thousand)","1997","Deepwater",NA
"179","Live Weight of Sea Fish Landings (Tonnes)","1998","Deepwater",NA
"180","Value of Sea Fish Landings (Euro Thousand)","1998","Deepwater",NA
"181","Live Weight of Sea Fish Landings (Tonnes)","1999","Deepwater",NA
"182","Value of Sea Fish Landings (Euro Thousand)","1999","Deepwater",NA
"183","Live Weight of Sea Fish Landings (Tonnes)","2000","Deepwater",NA
"184","Value of Sea Fish Landings (Euro Thousand)","2000","Deepwater",NA
"185","Live Weight of Sea Fish Landings (Tonnes)","2001","Deepwater",NA
"186","Value of Sea Fish Landings (Euro Thousand)","2001","Deepwater",NA
"187","Live Weight of Sea Fish Landings (Tonnes)","2002","Deepwater",7905
"188","Value of Sea Fish Landings (Euro Thousand)","2002","Deepwater",17577
"189","Live Weight of Sea Fish Landings (Tonnes)","2003","Deepwater",3442
"190","Value of Sea Fish Landings (Euro Thousand)","2003","Deepwater",11512
"191","Live Weight of Sea Fish Landings (Tonnes)","2004","Deepwater",2949
"192","Value of Sea Fish Landings (Euro Thousand)","2004","Deepwater",3646
"193","Live Weight of Sea Fish Landings (Tonnes)","1973","Pelagic",54826
"194","Value of Sea Fish Landings (Euro Thousand)","1973","Pelagic",4212
"195","Live Weight of Sea Fish Landings (Tonnes)","1974","Pelagic",55498
"196","Value of Sea Fish Landings (Euro Thousand)","1974","Pelagic",5655
"197","Live Weight of Sea Fish Landings (Tonnes)","1975","Pelagic",45769
"198","Value of Sea Fish Landings (Euro Thousand)","1975","Pelagic",4925
"199","Live Weight of Sea Fish Landings (Tonnes)","1976","Pelagic",50722
"200","Value of Sea Fish Landings (Euro Thousand)","1976","Pelagic",5705
"201","Live Weight of Sea Fish Landings (Tonnes)","1977","Pelagic",56653
"202","Value of Sea Fish Landings (Euro Thousand)","1977","Pelagic",10466
"203","Live Weight of Sea Fish Landings (Tonnes)","1978","Pelagic",75393
"204","Value of Sea Fish Landings (Euro Thousand)","1978","Pelagic",13717
"205","Live Weight of Sea Fish Landings (Tonnes)","1979","Pelagic",61442
"206","Value of Sea Fish Landings (Euro Thousand)","1979","Pelagic",12945
"207","Live Weight of Sea Fish Landings (Tonnes)","1980","Pelagic",101410
"208","Value of Sea Fish Landings (Euro Thousand)","1980","Pelagic",18487
"209","Live Weight of Sea Fish Landings (Tonnes)","1981","Pelagic",135147
"210","Value of Sea Fish Landings (Euro Thousand)","1981","Pelagic",20128
"211","Live Weight of Sea Fish Landings (Tonnes)","1982","Pelagic",157081
"212","Value of Sea Fish Landings (Euro Thousand)","1982","Pelagic",24348
"213","Live Weight of Sea Fish Landings (Tonnes)","1983","Pelagic",130311
"214","Value of Sea Fish Landings (Euro Thousand)","1983","Pelagic",21980
"215","Live Weight of Sea Fish Landings (Tonnes)","1984","Pelagic",114928
"216","Value of Sea Fish Landings (Euro Thousand)","1984","Pelagic",17106
"217","Live Weight of Sea Fish Landings (Tonnes)","1985","Pelagic",128473
"218","Value of Sea Fish Landings (Euro Thousand)","1985","Pelagic",18253
"219","Live Weight of Sea Fish Landings (Tonnes)","1986","Pelagic",162332
"220","Value of Sea Fish Landings (Euro Thousand)","1986","Pelagic",22594
"221","Live Weight of Sea Fish Landings (Tonnes)","1987","Pelagic",167099
"222","Value of Sea Fish Landings (Euro Thousand)","1987","Pelagic",26692
"223","Live Weight of Sea Fish Landings (Tonnes)","1988","Pelagic",180058
"224","Value of Sea Fish Landings (Euro Thousand)","1988","Pelagic",29154
"225","Live Weight of Sea Fish Landings (Tonnes)","1989","Pelagic",148580
"226","Value of Sea Fish Landings (Euro Thousand)","1989","Pelagic",31372
"227","Live Weight of Sea Fish Landings (Tonnes)","1990","Pelagic",167663
"228","Value of Sea Fish Landings (Euro Thousand)","1990","Pelagic",31820
"229","Live Weight of Sea Fish Landings (Tonnes)","1991","Pelagic",181189
"230","Value of Sea Fish Landings (Euro Thousand)","1991","Pelagic",31030
"231","Live Weight of Sea Fish Landings (Tonnes)","1992","Pelagic",194759
"232","Value of Sea Fish Landings (Euro Thousand)","1992","Pelagic",31897
"233","Live Weight of Sea Fish Landings (Tonnes)","1993","Pelagic",219302
"234","Value of Sea Fish Landings (Euro Thousand)","1993","Pelagic",39590
"235","Live Weight of Sea Fish Landings (Tonnes)","1994","Pelagic",225853
"236","Value of Sea Fish Landings (Euro Thousand)","1994","Pelagic",41724
"237","Live Weight of Sea Fish Landings (Tonnes)","1995","Pelagic",305485
"238","Value of Sea Fish Landings (Euro Thousand)","1995","Pelagic",49958
"239","Live Weight of Sea Fish Landings (Tonnes)","1996","Pelagic",256916
"240","Value of Sea Fish Landings (Euro Thousand)","1996","Pelagic",64012
"241","Live Weight of Sea Fish Landings (Tonnes)","1997","Pelagic",216343
"242","Value of Sea Fish Landings (Euro Thousand)","1997","Pelagic",59261
"243","Live Weight of Sea Fish Landings (Tonnes)","1998","Pelagic",251235
"244","Value of Sea Fish Landings (Euro Thousand)","1998","Pelagic",78188
"245","Live Weight of Sea Fish Landings (Tonnes)","1999","Pelagic",211264
"246","Value of Sea Fish Landings (Euro Thousand)","1999","Pelagic",68063
"247","Live Weight of Sea Fish Landings (Tonnes)","2000","Pelagic",206576
"248","Value of Sea Fish Landings (Euro Thousand)","2000","Pelagic",65912
"249","Live Weight of Sea Fish Landings (Tonnes)","2001","Pelagic",223740
"250","Value of Sea Fish Landings (Euro Thousand)","2001","Pelagic",79375
"251","Live Weight of Sea Fish Landings (Tonnes)","2002","Pelagic",173085
"252","Value of Sea Fish Landings (Euro Thousand)","2002","Pelagic",63973
"253","Live Weight of Sea Fish Landings (Tonnes)","2003","Pelagic",197660
"254","Value of Sea Fish Landings (Euro Thousand)","2003","Pelagic",60734
"255","Live Weight of Sea Fish Landings (Tonnes)","2004","Pelagic",243935
"256","Value of Sea Fish Landings (Euro Thousand)","2004","Pelagic",66125
"257","Live Weight of Sea Fish Landings (Tonnes)","1973","Shellfish",10098
"258","Value of Sea Fish Landings (Euro Thousand)","1973","Shellfish",2120
"259","Live Weight of Sea Fish Landings (Tonnes)","1974","Shellfish",9380
"260","Value of Sea Fish Landings (Euro Thousand)","1974","Shellfish",2124
"261","Live Weight of Sea Fish Landings (Tonnes)","1975","Shellfish",9528
"262","Value of Sea Fish Landings (Euro Thousand)","1975","Shellfish",2702
"263","Live Weight of Sea Fish Landings (Tonnes)","1976","Shellfish",10985
