"","Statistic","Month","Liveweight","value"
"283","Sheep Price per Head (Euro)","1987M10","Mart Sheep 30-39kg",51.82
"284","Sheep Price per Kg (Euro)","1987M10","Mart Sheep 30-39kg",1.45
"285","Sheep Price per Head (Euro)","1987M11","Mart Sheep 30-39kg",51.81
"286","Sheep Price per Kg (Euro)","1987M11","Mart Sheep 30-39kg",1.43
"287","Sheep Price per Head (Euro)","1987M12","Mart Sheep 30-39kg",54.87
"288","Sheep Price per Kg (Euro)","1987M12","Mart Sheep 30-39kg",1.52
"289","Sheep Price per Head (Euro)","1988M01","Mart Sheep 30-39kg",54.21
"290","Sheep Price per Kg (Euro)","1988M01","Mart Sheep 30-39kg",1.5
"291","Sheep Price per Head (Euro)","1988M02","Mart Sheep 30-39kg",53.53
"292","Sheep Price per Kg (Euro)","1988M02","Mart Sheep 30-39kg",1.49
"293","Sheep Price per Head (Euro)","1988M03","Mart Sheep 30-39kg",61.37
"294","Sheep Price per Kg (Euro)","1988M03","Mart Sheep 30-39kg",1.7
"295","Sheep Price per Head (Euro)","1988M04","Mart Sheep 30-39kg",65.18
"296","Sheep Price per Kg (Euro)","1988M04","Mart Sheep 30-39kg",1.74
"297","Sheep Price per Head (Euro)","1988M05","Mart Sheep 30-39kg",61.63
"298","Sheep Price per Kg (Euro)","1988M05","Mart Sheep 30-39kg",1.64
"299","Sheep Price per Head (Euro)","1988M06","Mart Sheep 30-39kg",56.2
"300","Sheep Price per Kg (Euro)","1988M06","Mart Sheep 30-39kg",1.49
"301","Sheep Price per Head (Euro)","1988M07","Mart Sheep 30-39kg",57.1
"302","Sheep Price per Kg (Euro)","1988M07","Mart Sheep 30-39kg",1.55
"303","Sheep Price per Head (Euro)","1988M08","Mart Sheep 30-39kg",56.21
"304","Sheep Price per Kg (Euro)","1988M08","Mart Sheep 30-39kg",1.55
"305","Sheep Price per Head (Euro)","1988M09","Mart Sheep 30-39kg",53.89
"306","Sheep Price per Kg (Euro)","1988M09","Mart Sheep 30-39kg",1.49
"307","Sheep Price per Head (Euro)","1988M10","Mart Sheep 30-39kg",51.16
"308","Sheep Price per Kg (Euro)","1988M10","Mart Sheep 30-39kg",1.41
"309","Sheep Price per Head (Euro)","1988M11","Mart Sheep 30-39kg",51.55
"310","Sheep Price per Kg (Euro)","1988M11","Mart Sheep 30-39kg",1.45
"311","Sheep Price per Head (Euro)","1988M12","Mart Sheep 30-39kg",51.61
"312","Sheep Price per Kg (Euro)","1988M12","Mart Sheep 30-39kg",1.4
"313","Sheep Price per Head (Euro)","1989M01","Mart Sheep 30-39kg",51.56
"314","Sheep Price per Kg (Euro)","1989M01","Mart Sheep 30-39kg",1.43
"315","Sheep Price per Head (Euro)","1989M02","Mart Sheep 30-39kg",57.28
"316","Sheep Price per Kg (Euro)","1989M02","Mart Sheep 30-39kg",1.57
"317","Sheep Price per Head (Euro)","1989M03","Mart Sheep 30-39kg",62.13
"318","Sheep Price per Kg (Euro)","1989M03","Mart Sheep 30-39kg",1.7
"319","Sheep Price per Head (Euro)","1989M04","Mart Sheep 30-39kg",68.9
"320","Sheep Price per Kg (Euro)","1989M04","Mart Sheep 30-39kg",1.85
"321","Sheep Price per Head (Euro)","1989M05","Mart Sheep 30-39kg",62.97
"322","Sheep Price per Kg (Euro)","1989M05","Mart Sheep 30-39kg",1.68
"323","Sheep Price per Head (Euro)","1989M06","Mart Sheep 30-39kg",56.39
"324","Sheep Price per Kg (Euro)","1989M06","Mart Sheep 30-39kg",1.5
"325","Sheep Price per Head (Euro)","1989M07","Mart Sheep 30-39kg",49.82
"326","Sheep Price per Kg (Euro)","1989M07","Mart Sheep 30-39kg",1.35
"327","Sheep Price per Head (Euro)","1989M08","Mart Sheep 30-39kg",48.39
"328","Sheep Price per Kg (Euro)","1989M08","Mart Sheep 30-39kg",1.31
"329","Sheep Price per Head (Euro)","1989M09","Mart Sheep 30-39kg",46.85
"330","Sheep Price per Kg (Euro)","1989M09","Mart Sheep 30-39kg",1.28
