"","Statistic","Month","Liveweight","value"
"1895","Sheep Price per Head (Euro)","1984M12","Mart Sheep 50-59kg",70.48
"1896","Sheep Price per Kg (Euro)","1984M12","Mart Sheep 50-59kg",1.33
"1897","Sheep Price per Head (Euro)","1985M01","Mart Sheep 50-59kg",72.5
"1898","Sheep Price per Kg (Euro)","1985M01","Mart Sheep 50-59kg",1.36
"1899","Sheep Price per Head (Euro)","1985M02","Mart Sheep 50-59kg",71.47
"1900","Sheep Price per Kg (Euro)","1985M02","Mart Sheep 50-59kg",1.33
"1901","Sheep Price per Head (Euro)","1985M03","Mart Sheep 50-59kg",68.77
"1902","Sheep Price per Kg (Euro)","1985M03","Mart Sheep 50-59kg",1.28
"1903","Sheep Price per Head (Euro)","1985M04","Mart Sheep 50-59kg",70.64
"1904","Sheep Price per Kg (Euro)","1985M04","Mart Sheep 50-59kg",1.32
"1905","Sheep Price per Head (Euro)","1985M05","Mart Sheep 50-59kg",74.11
"1906","Sheep Price per Kg (Euro)","1985M05","Mart Sheep 50-59kg",1.4
"1907","Sheep Price per Head (Euro)","1985M06","Mart Sheep 50-59kg",69.1
"1908","Sheep Price per Kg (Euro)","1985M06","Mart Sheep 50-59kg",1.32
"1909","Sheep Price per Head (Euro)","1985M07","Mart Sheep 50-59kg",64.32
"1910","Sheep Price per Kg (Euro)","1985M07","Mart Sheep 50-59kg",1.24
"1911","Sheep Price per Head (Euro)","1985M08","Mart Sheep 50-59kg",65.05
"1912","Sheep Price per Kg (Euro)","1985M08","Mart Sheep 50-59kg",1.23
"1913","Sheep Price per Head (Euro)","1985M09","Mart Sheep 50-59kg",66.74
"1914","Sheep Price per Kg (Euro)","1985M09","Mart Sheep 50-59kg",1.27
"1915","Sheep Price per Head (Euro)","1985M10","Mart Sheep 50-59kg",66.95
"1916","Sheep Price per Kg (Euro)","1985M10","Mart Sheep 50-59kg",1.27
"1917","Sheep Price per Head (Euro)","1985M11","Mart Sheep 50-59kg",68.63
"1918","Sheep Price per Kg (Euro)","1985M11","Mart Sheep 50-59kg",1.3
"1919","Sheep Price per Head (Euro)","1985M12","Mart Sheep 50-59kg",73.51
"1920","Sheep Price per Kg (Euro)","1985M12","Mart Sheep 50-59kg",1.38
"1921","Sheep Price per Head (Euro)","1986M01","Mart Sheep 50-59kg",83.27
"1922","Sheep Price per Kg (Euro)","1986M01","Mart Sheep 50-59kg",1.56
"1923","Sheep Price per Head (Euro)","1986M02","Mart Sheep 50-59kg",87.17
"1924","Sheep Price per Kg (Euro)","1986M02","Mart Sheep 50-59kg",1.64
"1925","Sheep Price per Head (Euro)","1986M03","Mart Sheep 50-59kg",88.26
"1926","Sheep Price per Kg (Euro)","1986M03","Mart Sheep 50-59kg",1.65
"1927","Sheep Price per Head (Euro)","1986M04","Mart Sheep 50-59kg",88.07
"1928","Sheep Price per Kg (Euro)","1986M04","Mart Sheep 50-59kg",1.66
"1929","Sheep Price per Head (Euro)","1986M05","Mart Sheep 50-59kg",78.89
"1930","Sheep Price per Kg (Euro)","1986M05","Mart Sheep 50-59kg",1.52
"1931","Sheep Price per Head (Euro)","1986M06","Mart Sheep 50-59kg",70.56
"1932","Sheep Price per Kg (Euro)","1986M06","Mart Sheep 50-59kg",1.36
"1933","Sheep Price per Head (Euro)","1986M07","Mart Sheep 50-59kg",66.46
"1934","Sheep Price per Kg (Euro)","1986M07","Mart Sheep 50-59kg",1.28
"1935","Sheep Price per Head (Euro)","1986M08","Mart Sheep 50-59kg",66.85
"1936","Sheep Price per Kg (Euro)","1986M08","Mart Sheep 50-59kg",1.3
"1937","Sheep Price per Head (Euro)","1986M09","Mart Sheep 50-59kg",66.28
"1938","Sheep Price per Kg (Euro)","1986M09","Mart Sheep 50-59kg",1.27
"1939","Sheep Price per Head (Euro)","1986M10","Mart Sheep 50-59kg",64.25
"1940","Sheep Price per Kg (Euro)","1986M10","Mart Sheep 50-59kg",1.22
"1941","Sheep Price per Head (Euro)","1986M11","Mart Sheep 50-59kg",66.19
"1942","Sheep Price per Kg (Euro)","1986M11","Mart Sheep 50-59kg",1.26
"1943","Sheep Price per Head (Euro)","1986M12","Mart Sheep 50-59kg",69.73
"1944","Sheep Price per Kg (Euro)","1986M12","Mart Sheep 50-59kg",1.32
"1945","Sheep Price per Head (Euro)","1987M01","Mart Sheep 50-59kg",78.88
"1946","Sheep Price per Kg (Euro)","1987M01","Mart Sheep 50-59kg",1.47
"1947","Sheep Price per Head (Euro)","1987M02","Mart Sheep 50-59kg",79.4
"1948","Sheep Price per Kg (Euro)","1987M02","Mart Sheep 50-59kg",1.49
"1949","Sheep Price per Head (Euro)","1987M03","Mart Sheep 50-59kg",85.69
"1950","Sheep Price per Kg (Euro)","1987M03","Mart Sheep 50-59kg",1.56
"1951","Sheep Price per Head (Euro)","1987M04","Mart Sheep 50-59kg",83.35
"1952","Sheep Price per Kg (Euro)","1987M04","Mart Sheep 50-59kg",1.57
"1953","Sheep Price per Head (Euro)","1987M05","Mart Sheep 50-59kg",77.89
"1954","Sheep Price per Kg (Euro)","1987M05","Mart Sheep 50-59kg",1.47
"1955","Sheep Price per Head (Euro)","1987M06","Mart Sheep 50-59kg",70.61
"1956","Sheep Price per Kg (Euro)","1987M06","Mart Sheep 50-59kg",1.36
"1957","Sheep Price per Head (Euro)","1987M07","Mart Sheep 50-59kg",69.49
"1958","Sheep Price per Kg (Euro)","1987M07","Mart Sheep 50-59kg",1.35
"1959","Sheep Price per Head (Euro)","1987M08","Mart Sheep 50-59kg",69.09
"1960","Sheep Price per Kg (Euro)","1987M08","Mart Sheep 50-59kg",1.33
"1961","Sheep Price per Head (Euro)","1987M09","Mart Sheep 50-59kg",72.2
"1962","Sheep Price per Kg (Euro)","1987M09","Mart Sheep 50-59kg",1.4
"1963","Sheep Price per Head (Euro)","1987M10","Mart Sheep 50-59kg",71.6
"1964","Sheep Price per Kg (Euro)","1987M10","Mart Sheep 50-59kg",1.36
"1965","Sheep Price per Head (Euro)","1987M11","Mart Sheep 50-59kg",72.43
"1966","Sheep Price per Kg (Euro)","1987M11","Mart Sheep 50-59kg",1.38
"1967","Sheep Price per Head (Euro)","1987M12","Mart Sheep 50-59kg",78.71
"1968","Sheep Price per Kg (Euro)","1987M12","Mart Sheep 50-59kg",1.5
"1969","Sheep Price per Head (Euro)","1988M01","Mart Sheep 50-59kg",79.09
"1970","Sheep Price per Kg (Euro)","1988M01","Mart Sheep 50-59kg",1.5
"1971","Sheep Price per Head (Euro)","1988M02","Mart Sheep 50-59kg",79.46
"1972","Sheep Price per Kg (Euro)","1988M02","Mart Sheep 50-59kg",1.47
"1973","Sheep Price per Head (Euro)","1988M03","Mart Sheep 50-59kg",80.62
"1974","Sheep Price per Kg (Euro)","1988M03","Mart Sheep 50-59kg",1.51
"1975","Sheep Price per Head (Euro)","1988M04","Mart Sheep 50-59kg",78.34
"1976","Sheep Price per Kg (Euro)","1988M04","Mart Sheep 50-59kg",1.46
"1977","Sheep Price per Head (Euro)","1988M05","Mart Sheep 50-59kg",76.59
"1978","Sheep Price per Kg (Euro)","1988M05","Mart Sheep 50-59kg",1.45
"1979","Sheep Price per Head (Euro)","1988M06","Mart Sheep 50-59kg",71.13
"1980","Sheep Price per Kg (Euro)","1988M06","Mart Sheep 50-59kg",1.36
"1981","Sheep Price per Head (Euro)","1988M07","Mart Sheep 50-59kg",71.84
"1982","Sheep Price per Kg (Euro)","1988M07","Mart Sheep 50-59kg",1.36
"1983","Sheep Price per Head (Euro)","1988M08","Mart Sheep 50-59kg",74.19
"1984","Sheep Price per Kg (Euro)","1988M08","Mart Sheep 50-59kg",1.42
"1985","Sheep Price per Head (Euro)","1988M09","Mart Sheep 50-59kg",72.67
"1986","Sheep Price per Kg (Euro)","1988M09","Mart Sheep 50-59kg",1.38
"1987","Sheep Price per Head (Euro)","1988M10","Mart Sheep 50-59kg",71.71
"1988","Sheep Price per Kg (Euro)","1988M10","Mart Sheep 50-59kg",1.36
"1989","Sheep Price per Head (Euro)","1988M11","Mart Sheep 50-59kg",74.69
"1990","Sheep Price per Kg (Euro)","1988M11","Mart Sheep 50-59kg",1.42
"1991","Sheep Price per Head (Euro)","1988M12","Mart Sheep 50-59kg",72.83
"1992","Sheep Price per Kg (Euro)","1988M12","Mart Sheep 50-59kg",1.4
"1993","Sheep Price per Head (Euro)","1989M01","Mart Sheep 50-59kg",73.91
"1994","Sheep Price per Kg (Euro)","1989M01","Mart Sheep 50-59kg",1.47
"1995","Sheep Price per Head (Euro)","1989M02","Mart Sheep 50-59kg",79.38
"1996","Sheep Price per Kg (Euro)","1989M02","Mart Sheep 50-59kg",1.5
"1997","Sheep Price per Head (Euro)","1989M03","Mart Sheep 50-59kg",84.49
"1998","Sheep Price per Kg (Euro)","1989M03","Mart Sheep 50-59kg",1.59
"1999","Sheep Price per Head (Euro)","1989M04","Mart Sheep 50-59kg",88.31
"2000","Sheep Price per Kg (Euro)","1989M04","Mart Sheep 50-59kg",1.64
"2001","Sheep Price per Head (Euro)","1989M05","Mart Sheep 50-59kg",80.53
"2002","Sheep Price per Kg (Euro)","1989M05","Mart Sheep 50-59kg",1.52
"2003","Sheep Price per Head (Euro)","1989M06","Mart Sheep 50-59kg",72.15
"2004","Sheep Price per Kg (Euro)","1989M06","Mart Sheep 50-59kg",1.38
"2005","Sheep Price per Head (Euro)","1989M07","Mart Sheep 50-59kg",66.14
"2006","Sheep Price per Kg (Euro)","1989M07","Mart Sheep 50-59kg",1.27
"2007","Sheep Price per Head (Euro)","1989M08","Mart Sheep 50-59kg",67.77
"2008","Sheep Price per Kg (Euro)","1989M08","Mart Sheep 50-59kg",1.3
"2009","Sheep Price per Head (Euro)","1989M09","Mart Sheep 50-59kg",65.02
"2010","Sheep Price per Kg (Euro)","1989M09","Mart Sheep 50-59kg",1.24
"2011","Sheep Price per Head (Euro)","1989M10","Mart Sheep 50-59kg",64.77
"2012","Sheep Price per Kg (Euro)","1989M10","Mart Sheep 50-59kg",1.23
"2013","Sheep Price per Head (Euro)","1989M11","Mart Sheep 50-59kg",65.81
"2014","Sheep Price per Kg (Euro)","1989M11","Mart Sheep 50-59kg",1.24
"2015","Sheep Price per Head (Euro)","1989M12","Mart Sheep 50-59kg",63.51
"2016","Sheep Price per Kg (Euro)","1989M12","Mart Sheep 50-59kg",1.21
"2017","Sheep Price per Head (Euro)","1990M01","Mart Sheep 50-59kg",61.86
"2018","Sheep Price per Kg (Euro)","1990M01","Mart Sheep 50-59kg",1.18
"2019","Sheep Price per Head (Euro)","1990M02","Mart Sheep 50-59kg",61.85
"2020","Sheep Price per Kg (Euro)","1990M02","Mart Sheep 50-59kg",1.18
"2021","Sheep Price per Head (Euro)","1990M03","Mart Sheep 50-59kg",69.18
"2022","Sheep Price per Kg (Euro)","1990M03","Mart Sheep 50-59kg",1.3
"2023","Sheep Price per Head (Euro)","1990M04","Mart Sheep 50-59kg",66.97
"2024","Sheep Price per Kg (Euro)","1990M04","Mart Sheep 50-59kg",1.24
"2025","Sheep Price per Head (Euro)","1990M05","Mart Sheep 50-59kg",64.4
"2026","Sheep Price per Kg (Euro)","1990M05","Mart Sheep 50-59kg",1.23
"2027","Sheep Price per Head (Euro)","1990M06","Mart Sheep 50-59kg",57.94
"2028","Sheep Price per Kg (Euro)","1990M06","Mart Sheep 50-59kg",1.1
"2029","Sheep Price per Head (Euro)","1990M07","Mart Sheep 50-59kg",51.04
"2030","Sheep Price per Kg (Euro)","1990M07","Mart Sheep 50-59kg",0.98
"2031","Sheep Price per Head (Euro)","1990M08","Mart Sheep 50-59kg",49.8
"2032","Sheep Price per Kg (Euro)","1990M08","Mart Sheep 50-59kg",0.95
"2033","Sheep Price per Head (Euro)","1990M09","Mart Sheep 50-59kg",52.34
"2034","Sheep Price per Kg (Euro)","1990M09","Mart Sheep 50-59kg",1
"2035","Sheep Price per Head (Euro)","1990M10","Mart Sheep 50-59kg",50.93
"2036","Sheep Price per Kg (Euro)","1990M10","Mart Sheep 50-59kg",0.98
"2037","Sheep Price per Head (Euro)","1990M11","Mart Sheep 50-59kg",57.32
"2038","Sheep Price per Kg (Euro)","1990M11","Mart Sheep 50-59kg",1.09
"2039","Sheep Price per Head (Euro)","1990M12","Mart Sheep 50-59kg",62.52
"2040","Sheep Price per Kg (Euro)","1990M12","Mart Sheep 50-59kg",1.19
"2041","Sheep Price per Head (Euro)","1991M01","Mart Sheep 50-59kg",66.72
"2042","Sheep Price per Kg (Euro)","1991M01","Mart Sheep 50-59kg",1.27
"2043","Sheep Price per Head (Euro)","1991M02","Mart Sheep 50-59kg",70.99
"2044","Sheep Price per Kg (Euro)","1991M02","Mart Sheep 50-59kg",1.36
"2045","Sheep Price per Head (Euro)","1991M03","Mart Sheep 50-59kg",73.15
"2046","Sheep Price per Kg (Euro)","1991M03","Mart Sheep 50-59kg",1.41
"2047","Sheep Price per Head (Euro)","1991M04","Mart Sheep 50-59kg",70.93
"2048","Sheep Price per Kg (Euro)","1991M04","Mart Sheep 50-59kg",1.36
"2049","Sheep Price per Head (Euro)","1991M05","Mart Sheep 50-59kg",63.93
"2050","Sheep Price per Kg (Euro)","1991M05","Mart Sheep 50-59kg",1.22
"2051","Sheep Price per Head (Euro)","1991M06","Mart Sheep 50-59kg",55.14
"2052","Sheep Price per Kg (Euro)","1991M06","Mart Sheep 50-59kg",1.05
"2053","Sheep Price per Head (Euro)","1991M07","Mart Sheep 50-59kg",53.72
"2054","Sheep Price per Kg (Euro)","1991M07","Mart Sheep 50-59kg",1.04
"2055","Sheep Price per Head (Euro)","1991M08","Mart Sheep 50-59kg",51.75
"2056","Sheep Price per Kg (Euro)","1991M08","Mart Sheep 50-59kg",1
"2057","Sheep Price per Head (Euro)","1991M09","Mart Sheep 50-59kg",51.34
"2058","Sheep Price per Kg (Euro)","1991M09","Mart Sheep 50-59kg",0.99
"2059","Sheep Price per Head (Euro)","1991M10","Mart Sheep 50-59kg",51.56
"2060","Sheep Price per Kg (Euro)","1991M10","Mart Sheep 50-59kg",0.99
"2061","Sheep Price per Head (Euro)","1991M11","Mart Sheep 50-59kg",56.69
"2062","Sheep Price per Kg (Euro)","1991M11","Mart Sheep 50-59kg",1.09
"2063","Sheep Price per Head (Euro)","1991M12","Mart Sheep 50-59kg",60.59
"2064","Sheep Price per Kg (Euro)","1991M12","Mart Sheep 50-59kg",1.16
"2065","Sheep Price per Head (Euro)","1992M01","Mart Sheep 50-59kg",62.64
"2066","Sheep Price per Kg (Euro)","1992M01","Mart Sheep 50-59kg",1.19
"2067","Sheep Price per Head (Euro)","1992M02","Mart Sheep 50-59kg",64.87
"2068","Sheep Price per Kg (Euro)","1992M02","Mart Sheep 50-59kg",1.22
"2069","Sheep Price per Head (Euro)","1992M03","Mart Sheep 50-59kg",66.48
"2070","Sheep Price per Kg (Euro)","1992M03","Mart Sheep 50-59kg",1.24
"2071","Sheep Price per Head (Euro)","1992M04","Mart Sheep 50-59kg",60.39
"2072","Sheep Price per Kg (Euro)","1992M04","Mart Sheep 50-59kg",1.14
"2073","Sheep Price per Head (Euro)","1992M05","Mart Sheep 50-59kg",58.29
"2074","Sheep Price per Kg (Euro)","1992M05","Mart Sheep 50-59kg",1.12
"2075","Sheep Price per Head (Euro)","1992M06","Mart Sheep 50-59kg",54.04
"2076","Sheep Price per Kg (Euro)","1992M06","Mart Sheep 50-59kg",1.04
"2077","Sheep Price per Head (Euro)","1992M07","Mart Sheep 50-59kg",53.77
"2078","Sheep Price per Kg (Euro)","1992M07","Mart Sheep 50-59kg",1.03
"2079","Sheep Price per Head (Euro)","1992M08","Mart Sheep 50-59kg",52.02
"2080","Sheep Price per Kg (Euro)","1992M08","Mart Sheep 50-59kg",1
"2081","Sheep Price per Head (Euro)","1992M09","Mart Sheep 50-59kg",50.66
"2082","Sheep Price per Kg (Euro)","1992M09","Mart Sheep 50-59kg",0.98
"2083","Sheep Price per Head (Euro)","1992M10","Mart Sheep 50-59kg",47.45
"2084","Sheep Price per Kg (Euro)","1992M10","Mart Sheep 50-59kg",0.91
"2085","Sheep Price per Head (Euro)","1992M11","Mart Sheep 50-59kg",46.45
"2086","Sheep Price per Kg (Euro)","1992M11","Mart Sheep 50-59kg",0.89
"2087","Sheep Price per Head (Euro)","1992M12","Mart Sheep 50-59kg",43.86
"2088","Sheep Price per Kg (Euro)","1992M12","Mart Sheep 50-59kg",0.84
"2089","Sheep Price per Head (Euro)","1993M01","Mart Sheep 50-59kg",45.16
"2090","Sheep Price per Kg (Euro)","1993M01","Mart Sheep 50-59kg",0.85
"2091","Sheep Price per Head (Euro)","1993M02","Mart Sheep 50-59kg",50.47
"2092","Sheep Price per Kg (Euro)","1993M02","Mart Sheep 50-59kg",0.95
"2093","Sheep Price per Head (Euro)","1993M03","Mart Sheep 50-59kg",64.46
"2094","Sheep Price per Kg (Euro)","1993M03","Mart Sheep 50-59kg",1.21
"2095","Sheep Price per Head (Euro)","1993M04","Mart Sheep 50-59kg",64.16
"2096","Sheep Price per Kg (Euro)","1993M04","Mart Sheep 50-59kg",1.21
"2097","Sheep Price per Head (Euro)","1993M05","Mart Sheep 50-59kg",71.69
"2098","Sheep Price per Kg (Euro)","1993M05","Mart Sheep 50-59kg",1.36
"2099","Sheep Price per Head (Euro)","1993M06","Mart Sheep 50-59kg",66.7
"2100","Sheep Price per Kg (Euro)","1993M06","Mart Sheep 50-59kg",1.28
"2101","Sheep Price per Head (Euro)","1993M07","Mart Sheep 50-59kg",61.09
"2102","Sheep Price per Kg (Euro)","1993M07","Mart Sheep 50-59kg",1.18
"2103","Sheep Price per Head (Euro)","1993M08","Mart Sheep 50-59kg",61.87
"2104","Sheep Price per Kg (Euro)","1993M08","Mart Sheep 50-59kg",1.19
"2105","Sheep Price per Head (Euro)","1993M09","Mart Sheep 50-59kg",56.59
"2106","Sheep Price per Kg (Euro)","1993M09","Mart Sheep 50-59kg",1.09
"2107","Sheep Price per Head (Euro)","1993M10","Mart Sheep 50-59kg",53.81
"2108","Sheep Price per Kg (Euro)","1993M10","Mart Sheep 50-59kg",1.04
"2109","Sheep Price per Head (Euro)","1993M11","Mart Sheep 50-59kg",60.16
"2110","Sheep Price per Kg (Euro)","1993M11","Mart Sheep 50-59kg",1.16
"2111","Sheep Price per Head (Euro)","1993M12","Mart Sheep 50-59kg",59.42
"2112","Sheep Price per Kg (Euro)","1993M12","Mart Sheep 50-59kg",1.14
"2113","Sheep Price per Head (Euro)","1994M01","Mart Sheep 50-59kg",64.62
"2114","Sheep Price per Kg (Euro)","1994M01","Mart Sheep 50-59kg",1.22
"2115","Sheep Price per Head (Euro)","1994M02","Mart Sheep 50-59kg",73.48
"2116","Sheep Price per Kg (Euro)","1994M02","Mart Sheep 50-59kg",1.4
"2117","Sheep Price per Head (Euro)","1994M03","Mart Sheep 50-59kg",83.05
"2118","Sheep Price per Kg (Euro)","1994M03","Mart Sheep 50-59kg",1.59
"2119","Sheep Price per Head (Euro)","1994M04","Mart Sheep 50-59kg",80.01
"2120","Sheep Price per Kg (Euro)","1994M04","Mart Sheep 50-59kg",1.52
"2121","Sheep Price per Head (Euro)","1994M05","Mart Sheep 50-59kg",78.47
"2122","Sheep Price per Kg (Euro)","1994M05","Mart Sheep 50-59kg",1.46
"2123","Sheep Price per Head (Euro)","1994M06","Mart Sheep 50-59kg",64.72
"2124","Sheep Price per Kg (Euro)","1994M06","Mart Sheep 50-59kg",1.26
"2125","Sheep Price per Head (Euro)","1994M07","Mart Sheep 50-59kg",61.67
"2126","Sheep Price per Kg (Euro)","1994M07","Mart Sheep 50-59kg",1.19
"2127","Sheep Price per Head (Euro)","1994M08","Mart Sheep 50-59kg",58.75
"2128","Sheep Price per Kg (Euro)","1994M08","Mart Sheep 50-59kg",1.13
"2129","Sheep Price per Head (Euro)","1994M09","Mart Sheep 50-59kg",56.64
"2130","Sheep Price per Kg (Euro)","1994M09","Mart Sheep 50-59kg",1.09
"2131","Sheep Price per Head (Euro)","1994M10","Mart Sheep 50-59kg",56.36
"2132","Sheep Price per Kg (Euro)","1994M10","Mart Sheep 50-59kg",1.08
"2133","Sheep Price per Head (Euro)","1994M11","Mart Sheep 50-59kg",61.56
"2134","Sheep Price per Kg (Euro)","1994M11","Mart Sheep 50-59kg",1.18
"2135","Sheep Price per Head (Euro)","1994M12","Mart Sheep 50-59kg",68.46
"2136","Sheep Price per Kg (Euro)","1994M12","Mart Sheep 50-59kg",1.3
"2137","Sheep Price per Head (Euro)","1995M01","Mart Sheep 50-59kg",79.02
"2138","Sheep Price per Kg (Euro)","1995M01","Mart Sheep 50-59kg",1.5
"2139","Sheep Price per Head (Euro)","1995M02","Mart Sheep 50-59kg",78.05
"2140","Sheep Price per Kg (Euro)","1995M02","Mart Sheep 50-59kg",1.49
"2141","Sheep Price per Head (Euro)","1995M03","Mart Sheep 50-59kg",79.53
"2142","Sheep Price per Kg (Euro)","1995M03","Mart Sheep 50-59kg",1.49
"2143","Sheep Price per Head (Euro)","1995M04","Mart Sheep 50-59kg",67.18
"2144","Sheep Price per Kg (Euro)","1995M04","Mart Sheep 50-59kg",1.26
"2145","Sheep Price per Head (Euro)","1995M05","Mart Sheep 50-59kg",60.48
"2146","Sheep Price per Kg (Euro)","1995M05","Mart Sheep 50-59kg",1.15
"2147","Sheep Price per Head (Euro)","1995M06","Mart Sheep 50-59kg",59.16
"2148","Sheep Price per Kg (Euro)","1995M06","Mart Sheep 50-59kg",1.13
"2149","Sheep Price per Head (Euro)","1995M07","Mart Sheep 50-59kg",56.46
"2150","Sheep Price per Kg (Euro)","1995M07","Mart Sheep 50-59kg",1.1
"2151","Sheep Price per Head (Euro)","1995M08","Mart Sheep 50-59kg",55.26
"2152","Sheep Price per Kg (Euro)","1995M08","Mart Sheep 50-59kg",1.07
"2153","Sheep Price per Head (Euro)","1995M09","Mart Sheep 50-59kg",57.5
"2154","Sheep Price per Kg (Euro)","1995M09","Mart Sheep 50-59kg",1.11
"2155","Sheep Price per Head (Euro)","1995M10","Mart Sheep 50-59kg",63.21
"2156","Sheep Price per Kg (Euro)","1995M10","Mart Sheep 50-59kg",1.21
"2157","Sheep Price per Head (Euro)","1995M11","Mart Sheep 50-59kg",66.14
"2158","Sheep Price per Kg (Euro)","1995M11","Mart Sheep 50-59kg",1.26
"2159","Sheep Price per Head (Euro)","1995M12","Mart Sheep 50-59kg",66.58
"2160","Sheep Price per Kg (Euro)","1995M12","Mart Sheep 50-59kg",1.26
"2161","Sheep Price per Head (Euro)","1996M01","Mart Sheep 50-59kg",69.32
"2162","Sheep Price per Kg (Euro)","1996M01","Mart Sheep 50-59kg",1.33
"2163","Sheep Price per Head (Euro)","1996M02","Mart Sheep 50-59kg",76.92
"2164","Sheep Price per Kg (Euro)","1996M02","Mart Sheep 50-59kg",1.47
"2165","Sheep Price per Head (Euro)","1996M03","Mart Sheep 50-59kg",88.6
"2166","Sheep Price per Kg (Euro)","1996M03","Mart Sheep 50-59kg",1.64
"2167","Sheep Price per Head (Euro)","1996M04","Mart Sheep 50-59kg",86.17
"2168","Sheep Price per Kg (Euro)","1996M04","Mart Sheep 50-59kg",1.55
"2169","Sheep Price per Head (Euro)","1996M05","Mart Sheep 50-59kg",80.62
"2170","Sheep Price per Kg (Euro)","1996M05","Mart Sheep 50-59kg",1.54
"2171","Sheep Price per Head (Euro)","1996M06","Mart Sheep 50-59kg",73.04
"2172","Sheep Price per Kg (Euro)","1996M06","Mart Sheep 50-59kg",1.4
"2173","Sheep Price per Head (Euro)","1996M07","Mart Sheep 50-59kg",69.82
"2174","Sheep Price per Kg (Euro)","1996M07","Mart Sheep 50-59kg",1.34
"2175","Sheep Price per Head (Euro)","1996M08","Mart Sheep 50-59kg",69.98
"2176","Sheep Price per Kg (Euro)","1996M08","Mart Sheep 50-59kg",1.35
"2177","Sheep Price per Head (Euro)","1996M09","Mart Sheep 50-59kg",75.06
"2178","Sheep Price per Kg (Euro)","1996M09","Mart Sheep 50-59kg",1.45
"2179","Sheep Price per Head (Euro)","1996M10","Mart Sheep 50-59kg",74.08
"2180","Sheep Price per Kg (Euro)","1996M10","Mart Sheep 50-59kg",1.42
"2181","Sheep Price per Head (Euro)","1996M11","Mart Sheep 50-59kg",88.81
"2182","Sheep Price per Kg (Euro)","1996M11","Mart Sheep 50-59kg",1.7
"2183","Sheep Price per Head (Euro)","1996M12","Mart Sheep 50-59kg",92.52
"2184","Sheep Price per Kg (Euro)","1996M12","Mart Sheep 50-59kg",1.78
"2185","Sheep Price per Head (Euro)","1997M01","Mart Sheep 50-59kg",97.98
"2186","Sheep Price per Kg (Euro)","1997M01","Mart Sheep 50-59kg",1.89
"2187","Sheep Price per Head (Euro)","1997M02","Mart Sheep 50-59kg",87.13
"2188","Sheep Price per Kg (Euro)","1997M02","Mart Sheep 50-59kg",1.66
"2189","Sheep Price per Head (Euro)","1997M03","Mart Sheep 50-59kg",84.61
"2190","Sheep Price per Kg (Euro)","1997M03","Mart Sheep 50-59kg",1.6
"2191","Sheep Price per Head (Euro)","1997M04","Mart Sheep 50-59kg",78.48
"2192","Sheep Price per Kg (Euro)","1997M04","Mart Sheep 50-59kg",1.48
"2193","Sheep Price per Head (Euro)","1997M05","Mart Sheep 50-59kg",81.35
"2194","Sheep Price per Kg (Euro)","1997M05","Mart Sheep 50-59kg",1.55
"2195","Sheep Price per Head (Euro)","1997M06","Mart Sheep 50-59kg",83.04
"2196","Sheep Price per Kg (Euro)","1997M06","Mart Sheep 50-59kg",1.52
"2197","Sheep Price per Head (Euro)","1997M07","Mart Sheep 50-59kg",76.49
"2198","Sheep Price per Kg (Euro)","1997M07","Mart Sheep 50-59kg",1.48
"2199","Sheep Price per Head (Euro)","1997M08","Mart Sheep 50-59kg",79.7
"2200","Sheep Price per Kg (Euro)","1997M08","Mart Sheep 50-59kg",1.55
"2201","Sheep Price per Head (Euro)","1997M09","Mart Sheep 50-59kg",83.78
"2202","Sheep Price per Kg (Euro)","1997M09","Mart Sheep 50-59kg",1.6
"2203","Sheep Price per Head (Euro)","1997M10","Mart Sheep 50-59kg",81.12
"2204","Sheep Price per Kg (Euro)","1997M10","Mart Sheep 50-59kg",1.57
"2205","Sheep Price per Head (Euro)","1997M11","Mart Sheep 50-59kg",77.04
"2206","Sheep Price per Kg (Euro)","1997M11","Mart Sheep 50-59kg",1.48
"2207","Sheep Price per Head (Euro)","1997M12","Mart Sheep 50-59kg",74.7
"2208","Sheep Price per Kg (Euro)","1997M12","Mart Sheep 50-59kg",1.42
"2209","Sheep Price per Head (Euro)","1998M01","Mart Sheep 50-59kg",71.59
"2210","Sheep Price per Kg (Euro)","1998M01","Mart Sheep 50-59kg",1.36
"2211","Sheep Price per Head (Euro)","1998M02","Mart Sheep 50-59kg",67.44
"2212","Sheep Price per Kg (Euro)","1998M02","Mart Sheep 50-59kg",1.3
"2213","Sheep Price per Head (Euro)","1998M03","Mart Sheep 50-59kg",68.93
"2214","Sheep Price per Kg (Euro)","1998M03","Mart Sheep 50-59kg",1.28
"2215","Sheep Price per Head (Euro)","1998M04","Mart Sheep 50-59kg",62.1
"2216","Sheep Price per Kg (Euro)","1998M04","Mart Sheep 50-59kg",1.16
"2217","Sheep Price per Head (Euro)","1998M05","Mart Sheep 50-59kg",71.46
"2218","Sheep Price per Kg (Euro)","1998M05","Mart Sheep 50-59kg",1.36
"2219","Sheep Price per Head (Euro)","1998M06","Mart Sheep 50-59kg",79.04
"2220","Sheep Price per Kg (Euro)","1998M06","Mart Sheep 50-59kg",1.5
"2221","Sheep Price per Head (Euro)","1998M07","Mart Sheep 50-59kg",79.88
"2222","Sheep Price per Kg (Euro)","1998M07","Mart Sheep 50-59kg",1.52
"2223","Sheep Price per Head (Euro)","1998M08","Mart Sheep 50-59kg",80.46
