"","Year","Type.of.Fertiliser","value"
"172","1981","Compound 0-7-30",159
"173","1982","Compound 0-7-30",166
"174","1983","Compound 0-7-30",166
"175","1984","Compound 0-7-30",185
"176","1985","Compound 0-7-30",199
"177","1986","Compound 0-7-30",178
"178","1987","Compound 0-7-30",146
"179","1988","Compound 0-7-30",159
"180","1989","Compound 0-7-30",174
"181","1990","Compound 0-7-30",172
"182","1991","Compound 0-7-30",162
"183","1992","Compound 0-7-30",163
"184","1993","Compound 0-7-30",152
"185","1994","Compound 0-7-30",162
"186","1995","Compound 0-7-30",173
"187","1996","Compound 0-7-30",181
"188","1997","Compound 0-7-30",173
"189","1998","Compound 0-7-30",170
"190","1999","Compound 0-7-30",186
"191","2000","Compound 0-7-30",192
"192","2001","Compound 0-7-30",204
"193","2002","Compound 0-7-30",201
"194","2003","Compound 0-7-30",206
"195","2004","Compound 0-7-30",208
"196","2005","Compound 0-7-30",213
"197","2006","Compound 0-7-30",225
"198","2007","Compound 0-7-30",238
"199","2008","Compound 0-7-30",417
"200","2009","Compound 0-7-30",514
"201","2010","Compound 0-7-30",401
"202","2011","Compound 0-7-30",433
"203","2012","Compound 0-7-30",454
"204","2013","Compound 0-7-30",451
"205","1980","Compound 7-6-17",161
"206","1981","Compound 7-6-17",189
"207","1982","Compound 7-6-17",215
"208","1983","Compound 7-6-17",217
"209","1984","Compound 7-6-17",235
"210","1985","Compound 7-6-17",259
"211","1986","Compound 7-6-17",247
"212","1987","Compound 7-6-17",208
"213","1988","Compound 7-6-17",NA
"214","1989","Compound 7-6-17",NA
"215","1990","Compound 7-6-17",NA
"216","1991","Compound 7-6-17",NA
"217","1992","Compound 7-6-17",234
"218","1993","Compound 7-6-17",227
"219","1994","Compound 7-6-17",NA
"220","1995","Compound 7-6-17",NA
"221","1996","Compound 7-6-17",NA
"222","1997","Compound 7-6-17",NA
"223","1998","Compound 7-6-17",NA
"224","1999","Compound 7-6-17",NA
"225","2000","Compound 7-6-17",NA
"226","2001","Compound 7-6-17",NA
"227","2002","Compound 7-6-17",NA
"228","2003","Compound 7-6-17",NA
"229","2004","Compound 7-6-17",NA
"230","2005","Compound 7-6-17",NA
"231","2006","Compound 7-6-17",NA
"232","2007","Compound 7-6-17",NA
"233","2008","Compound 7-6-17",NA
