"","Year","Type.of.Feedstuff","value"
"461","1980","Calf nuts and cubes (16-18% protein)",199
"462","1981","Calf nuts and cubes (16-18% protein)",217
"463","1982","Calf nuts and cubes (16-18% protein)",232
"464","1983","Calf nuts and cubes (16-18% protein)",254
"465","1984","Calf nuts and cubes (16-18% protein)",273
"466","1985","Calf nuts and cubes (16-18% protein)",252
"467","1986","Calf nuts and cubes (16-18% protein)",246
"468","1987","Calf nuts and cubes (16-18% protein)",239
"469","1988","Calf nuts and cubes (16-18% protein)",239
"470","1989","Calf nuts and cubes (16-18% protein)",253
"471","1990","Calf nuts and cubes (16-18% protein)",243
"472","1991","Calf nuts and cubes (16-18% protein)",233
"473","1992","Calf nuts and cubes (16-18% protein)",235
"474","1993","Calf nuts and cubes (16-18% protein)",235
"475","1994","Calf nuts and cubes (16-18% protein)",236
"476","1995","Calf nuts and cubes (16-18% protein)",233
"477","1996","Calf nuts and cubes (16-18% protein)",248
"478","1997","Calf nuts and cubes (16-18% protein)",240
"479","1998","Calf nuts and cubes (16-18% protein)",227
"480","1999","Calf nuts and cubes (16-18% protein)",221
"481","2000","Calf nuts and cubes (16-18% protein)",227
"482","2001","Calf nuts and cubes (16-18% protein)",238
"483","2002","Calf nuts and cubes (16-18% protein)",243
"484","2003","Calf nuts and cubes (16-18% protein)",244
"485","2004","Calf nuts and cubes (16-18% protein)",249
"486","2005","Calf nuts and cubes (16-18% protein)",240
"487","2006","Calf nuts and cubes (16-18% protein)",244
"488","2007","Calf nuts and cubes (16-18% protein)",279
"489","2008","Calf nuts and cubes (16-18% protein)",319
"490","2009","Calf nuts and cubes (16-18% protein)",287
"491","2010","Calf nuts and cubes (16-18% protein)",278
"492","2011","Calf nuts and cubes (16-18% protein)",318
"493","2012","Calf nuts and cubes (16-18% protein)",345
"494","2013","Calf nuts and cubes (16-18% protein)",369
"495","1976","Calf meal (16-18% protein)",139
"496","1977","Calf meal (16-18% protein)",176
"497","1978","Calf meal (16-18% protein)",175
"498","1979","Calf meal (16-18% protein)",192
"499","1980","Calf meal (16-18% protein)",199
"500","1981","Calf meal (16-18% protein)",220
"501","1982","Calf meal (16-18% protein)",239
"502","1983","Calf meal (16-18% protein)",260
"503","1984","Calf meal (16-18% protein)",282
"504","1985","Calf meal (16-18% protein)",264
"505","1986","Calf meal (16-18% protein)",253
"506","1987","Calf meal (16-18% protein)",253
"507","1988","Calf meal (16-18% protein)",258
"508","1989","Calf meal (16-18% protein)",268
"509","1990","Calf meal (16-18% protein)",247
"510","1991","Calf meal (16-18% protein)",231
"511","1992","Calf meal (16-18% protein)",240
"512","1993","Calf meal (16-18% protein)",259
"513","1994","Calf meal (16-18% protein)",259
"514","1995","Calf meal (16-18% protein)",253
"515","1996","Calf meal (16-18% protein)",270
"516","1997","Calf meal (16-18% protein)",269
"517","1998","Calf meal (16-18% protein)",262
"518","1999","Calf meal (16-18% protein)",239
"519","2000","Calf meal (16-18% protein)",232
"520","2001","Calf meal (16-18% protein)",242
"521","2002","Calf meal (16-18% protein)",251
"522","2003","Calf meal (16-18% protein)",250
"523","2004","Calf meal (16-18% protein)",259
"524","2005","Calf meal (16-18% protein)",251
"525","2006","Calf meal (16-18% protein)",255
"526","2007","Calf meal (16-18% protein)",294
"527","2008","Calf meal (16-18% protein)",336
"528","2009","Calf meal (16-18% protein)",290
"529","2010","Calf meal (16-18% protein)",NA
"530","2011","Calf meal (16-18% protein)",NA
"531","2012","Calf meal (16-18% protein)",NA
"532","2013","Calf meal (16-18% protein)",NA
"533","1976","Calf nuts and cubes (14-15% protein)",NA
"534","1977","Calf nuts and cubes (14-15% protein)",NA
"535","1978","Calf nuts and cubes (14-15% protein)",NA
"536","1979","Calf nuts and cubes (14-15% protein)",NA
"537","1980","Calf nuts and cubes (14-15% protein)",195
"538","1981","Calf nuts and cubes (14-15% protein)",212
"539","1982","Calf nuts and cubes (14-15% protein)",228
"540","1983","Calf nuts and cubes (14-15% protein)",248
"541","1984","Calf nuts and cubes (14-15% protein)",269
