"","Month","Type.of.Feedstuff","value"
"2075","1995M07","Barley meal",209
"2076","1995M08","Barley meal",207
"2077","1995M09","Barley meal",208
"2078","1995M10","Barley meal",209
"2079","1995M11","Barley meal",210
"2080","1995M12","Barley meal",212
"2081","1996M01","Barley meal",214
"2082","1996M02","Barley meal",213
"2083","1996M03","Barley meal",213
"2084","1996M04","Barley meal",214
"2085","1996M05","Barley meal",214
"2086","1996M06","Barley meal",215
"2087","1996M07","Barley meal",215
"2088","1996M08","Barley meal",210
"2089","1996M09","Barley meal",201
"2090","1996M10","Barley meal",207
"2091","1996M11","Barley meal",202
"2092","1996M12","Barley meal",208
"2093","1997M01","Barley meal",208
"2094","1997M02","Barley meal",209
"2095","1997M03","Barley meal",201
"2096","1997M04","Barley meal",197
"2097","1997M05","Barley meal",196
"2098","1997M06","Barley meal",198
"2099","1997M07","Barley meal",197
"2100","1997M08","Barley meal",195
"2101","1997M09","Barley meal",190
"2102","1997M10","Barley meal",189
"2103","1997M11","Barley meal",186
"2104","1997M12","Barley meal",190
"2105","1998M01","Barley meal",182
"2106","1998M02","Barley meal",178
"2107","1998M03","Barley meal",178
"2108","1998M04","Barley meal",179
"2109","1998M05","Barley meal",184
"2110","1998M06","Barley meal",184
"2111","1998M07","Barley meal",183
"2112","1998M08","Barley meal",185
"2113","1998M09","Barley meal",183
"2114","1998M10","Barley meal",183
"2115","1998M11","Barley meal",185
"2116","1998M12","Barley meal",187
"2117","1999M01","Barley meal",176
"2118","1999M02","Barley meal",181
"2119","1999M03","Barley meal",185
"2120","1999M04","Barley meal",186
"2121","1999M05","Barley meal",181
"2122","1999M06","Barley meal",181
"2123","1999M07","Barley meal",185
"2124","1999M08","Barley meal",180
"2125","1999M09","Barley meal",179
"2126","1999M10","Barley meal",179
"2127","1999M11","Barley meal",179
"2128","1999M12","Barley meal",180
"2129","2000M01","Barley meal",180
"2130","2000M02","Barley meal",180
"2131","2000M03","Barley meal",182
"2132","2000M04","Barley meal",180
"2133","2000M05","Barley meal",183
"2134","2000M06","Barley meal",183
"2135","2000M07","Barley meal",182
"2136","2000M08","Barley meal",185
"2137","2000M09","Barley meal",182
"2138","2000M10","Barley meal",181
"2139","2000M11","Barley meal",178
"2140","2000M12","Barley meal",179
"2141","2001M01","Barley meal",177
"2142","2001M02","Barley meal",177
"2143","2001M03","Barley meal",178
"2144","2001M04","Barley meal",178
"2145","2001M05","Barley meal",178
"2146","2001M06","Barley meal",178
"2147","2001M07","Barley meal",176
"2148","2001M08","Barley meal",181
"2149","2001M09","Barley meal",177
"2150","2001M10","Barley meal",179
"2151","2001M11","Barley meal",180
"2152","2001M12","Barley meal",180
"2153","2002M01","Barley meal",183
"2154","2002M02","Barley meal",182
"2155","2002M03","Barley meal",182
"2156","2002M04","Barley meal",182
"2157","2002M05","Barley meal",182
"2158","2002M06","Barley meal",182
"2159","2002M07","Barley meal",182
"2160","2002M08","Barley meal",180
"2161","2002M09","Barley meal",178
"2162","2002M10","Barley meal",179
"2163","2002M11","Barley meal",181
"2164","2002M12","Barley meal",182
"2165","2003M01","Barley meal",183
"2166","2003M02","Barley meal",183
"2167","2003M03","Barley meal",183
"2168","2003M04","Barley meal",184
"2169","2003M05","Barley meal",184
"2170","2003M06","Barley meal",184
"2171","2003M07","Barley meal",184
"2172","2003M08","Barley meal",184
"2173","2003M09","Barley meal",190
"2174","2003M10","Barley meal",192
"2175","2003M11","Barley meal",202
"2176","2003M12","Barley meal",206
"2177","2004M01","Barley meal",205
"2178","2004M02","Barley meal",207
"2179","2004M03","Barley meal",210
"2180","2004M04","Barley meal",212
"2181","2004M05","Barley meal",213
"2182","2004M06","Barley meal",207
"2183","2004M07","Barley meal",199
"2184","2004M08","Barley meal",203
"2185","2004M09","Barley meal",204
"2186","2004M10","Barley meal",196
"2187","2004M11","Barley meal",194
"2188","2004M12","Barley meal",194
"2189","2005M01","Barley meal",195
"2190","2005M02","Barley meal",197
"2191","2005M03","Barley meal",192
"2192","2005M04","Barley meal",185
"2193","2005M05","Barley meal",189
"2194","2005M06","Barley meal",189
"2195","2005M07","Barley meal",197
"2196","2005M08","Barley meal",197
"2197","2005M09","Barley meal",197
"2198","2005M10","Barley meal",198
"2199","2005M11","Barley meal",198
"2200","2005M12","Barley meal",200
"2201","2006M01","Barley meal",202
"2202","2006M02","Barley meal",204
"2203","2006M03","Barley meal",206
"2204","2006M04","Barley meal",206
"2205","2006M05","Barley meal",207
"2206","2006M06","Barley meal",212
"2207","2006M07","Barley meal",206
"2208","2006M08","Barley meal",206
"2209","2006M09","Barley meal",207
"2210","2006M10","Barley meal",226
"2211","2006M11","Barley meal",209
"2212","2006M12","Barley meal",221
"2213","2007M01","Barley meal",230
"2214","2007M02","Barley meal",238
"2215","2007M03","Barley meal",240
"2216","2007M04","Barley meal",242
"2217","2007M05","Barley meal",242
"2218","2007M06","Barley meal",245
"2219","2007M07","Barley meal",253
"2220","2007M08","Barley meal",264
"2221","2007M09","Barley meal",288
"2222","2007M10","Barley meal",298
"2223","2007M11","Barley meal",306
"2224","2007M12","Barley meal",311
"2225","2008M01","Barley meal",316
"2226","2008M02","Barley meal",316
"2227","2008M03","Barley meal",318
"2228","2008M04","Barley meal",318
"2229","2008M05","Barley meal",319
"2230","2008M06","Barley meal",319
"2231","2008M07","Barley meal",317
"2232","2008M08","Barley meal",317
"2233","2008M09","Barley meal",299
"2234","2008M10","Barley meal",292
"2235","2008M11","Barley meal",273
"2236","2008M12","Barley meal",264
"2237","2009M01","Barley meal",256
"2238","2009M02","Barley meal",253
"2239","2009M03","Barley meal",251
"2240","2009M04","Barley meal",245
"2241","2009M05","Barley meal",245
"2242","2009M06","Barley meal",245
"2243","2009M07","Barley meal",245
"2244","2009M08","Barley meal",232
"2245","2009M09","Barley meal",212
"2246","2009M10","Barley meal",209
"2247","2009M11","Barley meal",208
"2248","2009M12","Barley meal",203
"2249","2010M01","Barley meal",203
"2250","2010M02","Barley meal",204
"2251","2010M03","Barley meal",205
"2252","2010M04","Barley meal",206
"2253","2010M05","Barley meal",207
"2254","2010M06","Barley meal",209
"2255","2010M07","Barley meal",216
"2256","2010M08","Barley meal",243
"2257","2010M09","Barley meal",260
"2258","2010M10","Barley meal",261
"2259","2010M11","Barley meal",262
"2260","2010M12","Barley meal",267
"2261","2011M01","Barley meal",260
"2262","2011M02","Barley meal",267
"2263","2011M03","Barley meal",280
"2264","2011M04","Barley meal",280
"2265","2011M05","Barley meal",279
"2266","2011M06","Barley meal",279
"2267","2011M07","Barley meal",282
"2268","2011M08","Barley meal",282
"2269","2011M09","Barley meal",261
"2270","2011M10","Barley meal",262
"2271","2011M11","Barley meal",262
"2272","2011M12","Barley meal",262
"2273","2012M01","Barley meal",267
"2274","2012M02","Barley meal",271
"2275","2012M03","Barley meal",271
"2276","2012M04","Barley meal",280
"2277","2012M05","Barley meal",285
"2278","2012M06","Barley meal",286
"2279","2012M07","Barley meal",288
"2280","2012M08","Barley meal",297
"2281","2012M09","Barley meal",309
"2282","2012M10","Barley meal",310
"2283","2012M11","Barley meal",312
"2284","2012M12","Barley meal",312
"2285","2013M01","Barley meal",320
"2286","2013M02","Barley meal",320
"2287","2013M03","Barley meal",320
"2288","2013M04","Barley meal",320
"2289","2013M05","Barley meal",320
"2290","2013M06","Barley meal",318
"2291","2013M07","Barley meal",318
"2292","2013M08","Barley meal",316
"2293","2013M09","Barley meal",268
"2294","2013M10","Barley meal",266
"2295","2013M11","Barley meal",261
"2296","2013M12","Barley meal",261
"2297","2014M01","Barley meal",261
"2298","2014M02","Barley meal",261
"2299","2014M03","Barley meal",261
"2300","2014M04","Barley meal",250
"2301","1976M01","Maize meal",116
"2302","1976M02","Maize meal",118
"2303","1976M03","Maize meal",120
"2304","1976M04","Maize meal",121
"2305","1976M05","Maize meal",123
"2306","1976M06","Maize meal",126
"2307","1976M07","Maize meal",129
"2308","1976M08","Maize meal",128
"2309","1976M09","Maize meal",131
"2310","1976M10","Maize meal",136
"2311","1976M11","Maize meal",142
"2312","1976M12","Maize meal",146
"2313","1977M01","Maize meal",149
"2314","1977M02","Maize meal",154
"2315","1977M03","Maize meal",157
"2316","1977M04","Maize meal",160
"2317","1977M05","Maize meal",163
"2318","1977M06","Maize meal",164
"2319","1977M07","Maize meal",163
"2320","1977M08","Maize meal",162
"2321","1977M09","Maize meal",165
"2322","1977M10","Maize meal",166
"2323","1977M11","Maize meal",168
"2324","1977M12","Maize meal",169
"2325","1978M01","Maize meal",168
"2326","1978M02","Maize meal",171
"2327","1978M03","Maize meal",171
"2328","1978M04","Maize meal",175
"2329","1978M05","Maize meal",181
"2330","1978M06","Maize meal",181
"2331","1978M07","Maize meal",181
"2332","1978M08","Maize meal",179
"2333","1978M09","Maize meal",180
"2334","1978M10","Maize meal",183
"2335","1978M11","Maize meal",183
"2336","1978M12","Maize meal",183
"2337","1979M01","Maize meal",184
"2338","1979M02","Maize meal",185
"2339","1979M03","Maize meal",191
"2340","1979M04","Maize meal",196
"2341","1979M05","Maize meal",199
"2342","1979M06","Maize meal",200
"2343","1979M07","Maize meal",201
"2344","1979M08","Maize meal",200
"2345","1979M09","Maize meal",202
"2346","1979M10","Maize meal",200
"2347","1979M11","Maize meal",201
"2348","1979M12","Maize meal",202
"2349","1980M01","Maize meal",203
"2350","1980M02","Maize meal",204
"2351","1980M03","Maize meal",203
"2352","1980M04","Maize meal",205
"2353","1980M05","Maize meal",205
"2354","1980M06","Maize meal",204
"2355","1980M07","Maize meal",205
"2356","1980M08","Maize meal",206
"2357","1980M09","Maize meal",206
"2358","1980M10","Maize meal",207
"2359","1980M11","Maize meal",209
"2360","1980M12","Maize meal",211
"2361","1981M01","Maize meal",212
"2362","1981M02","Maize meal",217
"2363","1981M03","Maize meal",218
"2364","1981M04","Maize meal",220
"2365","1981M05","Maize meal",223
"2366","1981M06","Maize meal",227
"2367","1981M07","Maize meal",228
"2368","1981M08","Maize meal",229
"2369","1981M09","Maize meal",230
"2370","1981M10","Maize meal",231
"2371","1981M11","Maize meal",230
"2372","1981M12","Maize meal",229
"2373","1982M01","Maize meal",235
"2374","1982M02","Maize meal",241
"2375","1982M03","Maize meal",243
"2376","1982M04","Maize meal",246
"2377","1982M05","Maize meal",244
"2378","1982M06","Maize meal",247
"2379","1982M07","Maize meal",248
"2380","1982M08","Maize meal",248
"2381","1982M09","Maize meal",250
"2382","1982M10","Maize meal",250
"2383","1982M11","Maize meal",250
"2384","1982M12","Maize meal",252
"2385","1983M01","Maize meal",255
"2386","1983M02","Maize meal",259
"2387","1983M03","Maize meal",261
"2388","1983M04","Maize meal",264
"2389","1983M05","Maize meal",267
"2390","1983M06","Maize meal",270
"2391","1983M07","Maize meal",268
"2392","1983M08","Maize meal",272
"2393","1983M09","Maize meal",277
"2394","1983M10","Maize meal",279
"2395","1983M11","Maize meal",285
"2396","1983M12","Maize meal",285
"2397","1984M01","Maize meal",285
"2398","1984M02","Maize meal",287
"2399","1984M03","Maize meal",287
"2400","1984M04","Maize meal",286
"2401","1984M05","Maize meal",287
"2402","1984M06","Maize meal",285
"2403","1984M07","Maize meal",285
"2404","1984M08","Maize meal",285
"2405","1984M09","Maize meal",286
"2406","1984M10","Maize meal",288
"2407","1984M11","Maize meal",285
"2408","1984M12","Maize meal",284
"2409","1985M01","Maize meal",285
"2410","1985M02","Maize meal",286
"2411","1985M03","Maize meal",289
"2412","1985M04","Maize meal",291
"2413","1985M05","Maize meal",291
"2414","1985M06","Maize meal",293
"2415","1985M07","Maize meal",291
"2416","1985M08","Maize meal",286
"2417","1985M09","Maize meal",286
"2418","1985M10","Maize meal",280
"2419","1985M11","Maize meal",274
"2420","1985M12","Maize meal",273
"2421","1986M01","Maize meal",276
"2422","1986M02","Maize meal",277
"2423","1986M03","Maize meal",270
"2424","1986M04","Maize meal",270
"2425","1986M05","Maize meal",270
"2426","1986M06","Maize meal",270
"2427","1986M07","Maize meal",268
"2428","1986M08","Maize meal",265
"2429","1986M09","Maize meal",269
"2430","1986M10","Maize meal",272
"2431","1986M11","Maize meal",275
"2432","1986M12","Maize meal",274
"2433","1987M01","Maize meal",272
"2434","1987M02","Maize meal",268
"2435","1987M03","Maize meal",270
"2436","1987M04","Maize meal",272
"2437","1987M05","Maize meal",272
"2438","1987M06","Maize meal",275
"2439","1987M07","Maize meal",276
"2440","1987M08","Maize meal",275
"2441","1987M09","Maize meal",279
"2442","1987M10","Maize meal",278
"2443","1987M11","Maize meal",277
"2444","1987M12","Maize meal",274
"2445","1988M01","Maize meal",275
"2446","1988M02","Maize meal",275
"2447","1988M03","Maize meal",276
"2448","1988M04","Maize meal",277
"2449","1988M05","Maize meal",277
"2450","1988M06","Maize meal",277
"2451","1988M07","Maize meal",280
"2452","1988M08","Maize meal",283
"2453","1988M09","Maize meal",283
"2454","1988M10","Maize meal",282
"2455","1988M11","Maize meal",276
"2456","1988M12","Maize meal",276
"2457","1989M01","Maize meal",277
"2458","1989M02","Maize meal",275
"2459","1989M03","Maize meal",274
"2460","1989M04","Maize meal",278
"2461","1989M05","Maize meal",273
"2462","1989M06","Maize meal",273
"2463","1989M07","Maize meal",278
"2464","1989M08","Maize meal",277
"2465","1989M09","Maize meal",278
"2466","1989M10","Maize meal",274
"2467","1989M11","Maize meal",275
"2468","1989M12","Maize meal",274
"2469","1990M01","Maize meal",275
"2470","1990M02","Maize meal",273
"2471","1990M03","Maize meal",273
"2472","1990M04","Maize meal",272
"2473","1990M05","Maize meal",273
"2474","1990M06","Maize meal",277
"2475","1990M07","Maize meal",277
"2476","1990M08","Maize meal",277
"2477","1990M09","Maize meal",279
"2478","1990M10","Maize meal",280
"2479","1990M11","Maize meal",280
"2480","1990M12","Maize meal",284
"2481","1991M01","Maize meal",283
"2482","1991M02","Maize meal",284
"2483","1991M03","Maize meal",286
"2484","1991M04","Maize meal",294
"2485","1991M05","Maize meal",293
"2486","1991M06","Maize meal",296
"2487","1991M07","Maize meal",298
"2488","1991M08","Maize meal",302
"2489","1991M09","Maize meal",306
"2490","1991M10","Maize meal",299
"2491","1991M11","Maize meal",292
"2492","1991M12","Maize meal",292
"2493","1992M01","Maize meal",293
"2494","1992M02","Maize meal",290
"2495","1992M03","Maize meal",288
"2496","1992M04","Maize meal",288
"2497","1992M05","Maize meal",287
"2498","1992M06","Maize meal",294
"2499","1992M07","Maize meal",291
"2500","1992M08","Maize meal",291
"2501","1992M09","Maize meal",288
"2502","1992M10","Maize meal",284
"2503","1992M11","Maize meal",280
"2504","1992M12","Maize meal",280
"2505","1993M01","Maize meal",279
"2506","1993M02","Maize meal",281
"2507","1993M03","Maize meal",284
"2508","1993M04","Maize meal",288
"2509","1993M05","Maize meal",288
"2510","1993M06","Maize meal",286
"2511","1993M07","Maize meal",289
"2512","1993M08","Maize meal",289
"2513","1993M09","Maize meal",290
"2514","1993M10","Maize meal",288
"2515","1993M11","Maize meal",267
"2516","1993M12","Maize meal",266
"2517","1994M01","Maize meal",263
"2518","1994M02","Maize meal",256
"2519","1994M03","Maize meal",258
"2520","1994M04","Maize meal",254
"2521","1994M05","Maize meal",257
"2522","1994M06","Maize meal",257
"2523","1994M07","Maize meal",254
"2524","1994M08","Maize meal",254
"2525","1994M09","Maize meal",254
"2526","1994M10","Maize meal",248
"2527","1994M11","Maize meal",242
"2528","1994M12","Maize meal",248
"2529","1995M01","Maize meal",252
"2530","1995M02","Maize meal",257
"2531","1995M03","Maize meal",258
"2532","1995M04","Maize meal",259
"2533","1995M05","Maize meal",253
"2534","1995M06","Maize meal",259
"2535","1995M07","Maize meal",267
"2536","1995M08","Maize meal",270
"2537","1995M09","Maize meal",272
"2538","1995M10","Maize meal",269
"2539","1995M11","Maize meal",263
"2540","1995M12","Maize meal",266
"2541","1996M01","Maize meal",267
"2542","1996M02","Maize meal",269
"2543","1996M03","Maize meal",269
"2544","1996M04","Maize meal",268
"2545","1996M05","Maize meal",252
"2546","1996M06","Maize meal",262
"2547","1996M07","Maize meal",274
"2548","1996M08","Maize meal",273
"2549","1996M09","Maize meal",262
"2550","1996M10","Maize meal",261
"2551","1996M11","Maize meal",247
"2552","1996M12","Maize meal",254
"2553","1997M01","Maize meal",253
"2554","1997M02","Maize meal",260
"2555","1997M03","Maize meal",254
"2556","1997M04","Maize meal",254
"2557","1997M05","Maize meal",243
"2558","1997M06","Maize meal",248
"2559","1997M07","Maize meal",248
"2560","1997M08","Maize meal",244
"2561","1997M09","Maize meal",230
"2562","1997M10","Maize meal",226
"2563","1997M11","Maize meal",219
"2564","1997M12","Maize meal",221
"2565","1998M01","Maize meal",215
"2566","1998M02","Maize meal",213
"2567","1998M03","Maize meal",213
"2568","1998M04","Maize meal",213
"2569","1998M05","Maize meal",213
"2570","1998M06","Maize meal",213
"2571","1998M07","Maize meal",215
"2572","1998M08","Maize meal",216
"2573","1998M09","Maize meal",212
"2574","1998M10","Maize meal",209
"2575","1998M11","Maize meal",208
"2576","1998M12","Maize meal",213
"2577","1999M01","Maize meal",219
"2578","1999M02","Maize meal",229
"2579","1999M03","Maize meal",230
"2580","1999M04","Maize meal",229
"2581","1999M05","Maize meal",229
"2582","1999M06","Maize meal",227
"2583","1999M07","Maize meal",228
"2584","1999M08","Maize meal",229
"2585","1999M09","Maize meal",227
"2586","1999M10","Maize meal",227
"2587","1999M11","Maize meal",226
"2588","1999M12","Maize meal",226
"2589","2000M01","Maize meal",226
"2590","2000M02","Maize meal",226
"2591","2000M03","Maize meal",226
"2592","2000M04","Maize meal",227
"2593","2000M05","Maize meal",227
"2594","2000M06","Maize meal",224
"2595","2000M07","Maize meal",226
"2596","2000M08","Maize meal",231
"2597","2000M09","Maize meal",230
"2598","2000M10","Maize meal",229
"2599","2000M11","Maize meal",225
"2600","2000M12","Maize meal",226
"2601","2001M01","Maize meal",226
"2602","2001M02","Maize meal",226
"2603","2001M03","Maize meal",226
"2604","2001M04","Maize meal",226
"2605","2001M05","Maize meal",226
"2606","2001M06","Maize meal",227
"2607","2001M07","Maize meal",228
"2608","2001M08","Maize meal",230
"2609","2001M09","Maize meal",229
"2610","2001M10","Maize meal",247
"2611","2001M11","Maize meal",247
"2612","2001M12","Maize meal",247
"2613","2002M01","Maize meal",247
"2614","2002M02","Maize meal",247
"2615","2002M03","Maize meal",247
"2616","2002M04","Maize meal",247
"2617","2002M05","Maize meal",247
"2618","2002M06","Maize meal",247
"2619","2002M07","Maize meal",247
"2620","2002M08","Maize meal",248
"2621","2002M09","Maize meal",251
"2622","2002M10","Maize meal",250
"2623","2002M11","Maize meal",249
"2624","2002M12","Maize meal",249
"2625","2003M01","Maize meal",249
"2626","2003M02","Maize meal",248
"2627","2003M03","Maize meal",248
"2628","2003M04","Maize meal",248
"2629","2003M05","Maize meal",248
"2630","2003M06","Maize meal",248
"2631","2003M07","Maize meal",248
"2632","2003M08","Maize meal",248
"2633","2003M09","Maize meal",249
"2634","2003M10","Maize meal",259
"2635","2003M11","Maize meal",266
"2636","2003M12","Maize meal",267
"2637","2004M01","Maize meal",267
"2638","2004M02","Maize meal",268
"2639","2004M03","Maize meal",269
"2640","2004M04","Maize meal",273
"2641","2004M05","Maize meal",274
"2642","2004M06","Maize meal",275
"2643","2004M07","Maize meal",270
"2644","2004M08","Maize meal",268
"2645","2004M09","Maize meal",257
"2646","2004M10","Maize meal",248
"2647","2004M11","Maize meal",247
"2648","2004M12","Maize meal",244
"2649","2005M01","Maize meal",244
"2650","2005M02","Maize meal",237
"2651","2005M03","Maize meal",237
"2652","2005M04","Maize meal",239
"2653","2005M05","Maize meal",242
"2654","2005M06","Maize meal",233
"2655","2005M07","Maize meal",237
"2656","2005M08","Maize meal",239
"2657","2005M09","Maize meal",241
"2658","2005M10","Maize meal",238
"2659","2005M11","Maize meal",238
"2660","2005M12","Maize meal",240
"2661","2006M01","Maize meal",241
"2662","2006M02","Maize meal",240
"2663","2006M03","Maize meal",243
"2664","2006M04","Maize meal",246
"2665","2006M05","Maize meal",247
"2666","2006M06","Maize meal",247
"2667","2006M07","Maize meal",247
"2668","2006M08","Maize meal",247
"2669","2006M09","Maize meal",249
"2670","2006M10","Maize meal",267
"2671","2006M11","Maize meal",269
"2672","2006M12","Maize meal",275
"2673","2007M01","Maize meal",277
"2674","2007M02","Maize meal",281
"2675","2007M03","Maize meal",283
"2676","2007M04","Maize meal",285
"2677","2007M05","Maize meal",285
"2678","2007M06","Maize meal",287
"2679","2007M07","Maize meal",302
"2680","2007M08","Maize meal",311
"2681","2007M09","Maize meal",327
"2682","2007M10","Maize meal",330
"2683","2007M11","Maize meal",333
"2684","2007M12","Maize meal",335
"2685","2008M01","Maize meal",339
"2686","2008M02","Maize meal",342
"2687","2008M03","Maize meal",342
"2688","2008M04","Maize meal",343
"2689","2008M05","Maize meal",343
"2690","2008M06","Maize meal",344
"2691","2008M07","Maize meal",345
"2692","2008M08","Maize meal",347
"2693","2008M09","Maize meal",341
"2694","2008M10","Maize meal",327
"2695","2008M11","Maize meal",305
"2696","2008M12","Maize meal",302
"2697","2009M01","Maize meal",290
"2698","2009M02","Maize meal",280
"2699","2009M03","Maize meal",272
"2700","2009M04","Maize meal",275
"2701","2009M05","Maize meal",274
"2702","2009M06","Maize meal",275
"2703","2009M07","Maize meal",280
"2704","2009M08","Maize meal",278
"2705","2009M09","Maize meal",267
"2706","2009M10","Maize meal",247
"2707","2009M11","Maize meal",249
"2708","2009M12","Maize meal",249
"2709","2010M01","Maize meal",243
"2710","2010M02","Maize meal",245
"2711","2010M03","Maize meal",241
"2712","2010M04","Maize meal",244
"2713","2010M05","Maize meal",244
"2714","2010M06","Maize meal",244
"2715","2010M07","Maize meal",245
"2716","2010M08","Maize meal",265
"2717","2010M09","Maize meal",294
"2718","2010M10","Maize meal",299
"2719","2010M11","Maize meal",302
"2720","2010M12","Maize meal",303
"2721","2011M01","Maize meal",314
"2722","2011M02","Maize meal",321
"2723","2011M03","Maize meal",327
"2724","2011M04","Maize meal",330
"2725","2011M05","Maize meal",330
"2726","2011M06","Maize meal",331
"2727","2011M07","Maize meal",333
"2728","2011M08","Maize meal",334
"2729","2011M09","Maize meal",334
"2730","2011M10","Maize meal",328
"2731","2011M11","Maize meal",323
"2732","2011M12","Maize meal",315
"2733","2012M01","Maize meal",311
"2734","2012M02","Maize meal",314
"2735","2012M03","Maize meal",311
"2736","2012M04","Maize meal",313
"2737","2012M05","Maize meal",319
"2738","2012M06","Maize meal",320
"2739","2012M07","Maize meal",329
"2740","2012M08","Maize meal",341
"2741","2012M09","Maize meal",353
"2742","2012M10","Maize meal",361
"2743","2012M11","Maize meal",363
"2744","2012M12","Maize meal",362
"2745","2013M01","Maize meal",368
"2746","2013M02","Maize meal",369
"2747","2013M03","Maize meal",352
"2748","2013M04","Maize meal",350
"2749","2013M05","Maize meal",349
"2750","2013M06","Maize meal",348
"2751","2013M07","Maize meal",344
"2752","2013M08","Maize meal",336
"2753","2013M09","Maize meal",320
"2754","2013M10","Maize meal",317
"2755","2013M11","Maize meal",296
"2756","2013M12","Maize meal",296
"2757","2014M01","Maize meal",290
"2758","2014M02","Maize meal",287
"2759","2014M03","Maize meal",287
"2760","2014M04","Maize meal",286
"2761","1976M01","Flaked maize",131
"2762","1976M02","Flaked maize",134
"2763","1976M03","Flaked maize",136
"2764","1976M04","Flaked maize",139
"2765","1976M05","Flaked maize",142
"2766","1976M06","Flaked maize",145
"2767","1976M07","Flaked maize",146
"2768","1976M08","Flaked maize",148
"2769","1976M09","Flaked maize",149
"2770","1976M10","Flaked maize",158
"2771","1976M11","Flaked maize",165
"2772","1976M12","Flaked maize",166
"2773","1977M01","Flaked maize",169
"2774","1977M02","Flaked maize",179
"2775","1977M03","Flaked maize",184
"2776","1977M04","Flaked maize",188
"2777","1977M05","Flaked maize",190
"2778","1977M06","Flaked maize",191
"2779","1977M07","Flaked maize",190
"2780","1977M08","Flaked maize",188
"2781","1977M09","Flaked maize",191
"2782","1977M10","Flaked maize",191
"2783","1977M11","Flaked maize",192
"2784","1977M12","Flaked maize",191
"2785","1978M01","Flaked maize",194
"2786","1978M02","Flaked maize",198
"2787","1978M03","Flaked maize",199
"2788","1978M04","Flaked maize",200
"2789","1978M05","Flaked maize",205
"2790","1978M06","Flaked maize",207
"2791","1978M07","Flaked maize",208
"2792","1978M08","Flaked maize",208
"2793","1978M09","Flaked maize",212
"2794","1978M10","Flaked maize",212
"2795","1978M11","Flaked maize",214
"2796","1978M12","Flaked maize",219
"2797","1979M01","Flaked maize",215
"2798","1979M02","Flaked maize",220
"2799","1979M03","Flaked maize",223
"2800","1979M04","Flaked maize",223
"2801","1979M05","Flaked maize",228
"2802","1979M06","Flaked maize",242
"2803","1979M07","Flaked maize",242
"2804","1979M08","Flaked maize",230
"2805","1979M09","Flaked maize",230
"2806","1979M10","Flaked maize",227
"2807","1979M11","Flaked maize",230
"2808","1979M12","Flaked maize",229
"2809","1980M01","Flaked maize",231
"2810","1980M02","Flaked maize",235
"2811","1980M03","Flaked maize",238
"2812","1980M04","Flaked maize",238
"2813","1980M05","Flaked maize",235
"2814","1980M06","Flaked maize",237
"2815","1980M07","Flaked maize",240
"2816","1980M08","Flaked maize",242
"2817","1980M09","Flaked maize",243
"2818","1980M10","Flaked maize",244
"2819","1980M11","Flaked maize",243
"2820","1980M12","Flaked maize",244
"2821","1981M01","Flaked maize",246
"2822","1981M02","Flaked maize",253
"2823","1981M03","Flaked maize",255
"2824","1981M04","Flaked maize",259
"2825","1981M05","Flaked maize",262
"2826","1981M06","Flaked maize",262
"2827","1981M07","Flaked maize",267
"2828","1981M08","Flaked maize",267
"2829","1981M09","Flaked maize",267
"2830","1981M10","Flaked maize",268
"2831","1981M11","Flaked maize",270
"2832","1981M12","Flaked maize",267
"2833","1982M01","Flaked maize",272
"2834","1982M02","Flaked maize",282
"2835","1982M03","Flaked maize",284
"2836","1982M04","Flaked maize",285
"2837","1982M05","Flaked maize",288
"2838","1982M06","Flaked maize",292
"2839","1982M07","Flaked maize",294
"2840","1982M08","Flaked maize",297
"2841","1982M09","Flaked maize",298
"2842","1982M10","Flaked maize",299
"2843","1982M11","Flaked maize",300
"2844","1982M12","Flaked maize",304
"2845","1983M01","Flaked maize",308
"2846","1983M02","Flaked maize",309
"2847","1983M03","Flaked maize",310
"2848","1983M04","Flaked maize",315
"2849","1983M05","Flaked maize",319
"2850","1983M06","Flaked maize",322
"2851","1983M07","Flaked maize",322
"2852","1983M08","Flaked maize",331
"2853","1983M09","Flaked maize",331
"2854","1983M10","Flaked maize",338
"2855","1983M11","Flaked maize",341
"2856","1983M12","Flaked maize",341
"2857","1984M01","Flaked maize",339
"2858","1984M02","Flaked maize",342
"2859","1984M03","Flaked maize",343
"2860","1984M04","Flaked maize",343
"2861","1984M05","Flaked maize",348
"2862","1984M06","Flaked maize",346
"2863","1984M07","Flaked maize",345
"2864","1984M08","Flaked maize",351
"2865","1984M09","Flaked maize",349
"2866","1984M10","Flaked maize",353
"2867","1984M11","Flaked maize",352
"2868","1984M12","Flaked maize",349
"2869","1985M01","Flaked maize",354
"2870","1985M02","Flaked maize",355
"2871","1985M03","Flaked maize",353
"2872","1985M04","Flaked maize",358
"2873","1985M05","Flaked maize",358
"2874","1985M06","Flaked maize",360
"2875","1985M07","Flaked maize",356
"2876","1985M08","Flaked maize",352
"2877","1985M09","Flaked maize",354
"2878","1985M10","Flaked maize",359
"2879","1985M11","Flaked maize",357
"2880","1985M12","Flaked maize",356
"2881","1986M01","Flaked maize",357
"2882","1986M02","Flaked maize",356
"2883","1986M03","Flaked maize",356
"2884","1986M04","Flaked maize",359
"2885","1986M05","Flaked maize",363
"2886","1986M06","Flaked maize",361
"2887","1986M07","Flaked maize",362
"2888","1986M08","Flaked maize",363
