"","Statistic","Liveweight","Month","value"
"1726","Pig Price per Kg (Euro)","Pigs 35-44 kg","1993M12",1.05
"1727","Pig Price per Head (Euro)","Pigs 45-54 kg","1993M12",44.53
"1728","Pig Price per Kg (Euro)","Pigs 45-54 kg","1993M12",0.88
"1729","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M01",22.16
"1730","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M01",1.04
"1731","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M01",31.02
"1732","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M01",1.04
"1733","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M01",37.25
"1734","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M01",0.99
"1735","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M01",46.93
"1736","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M01",0.99
"1737","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M02",26.5
"1738","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M02",1.23
"1739","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M02",34.59
"1740","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M02",1.14
"1741","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M02",38.55
"1742","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M02",1.03
"1743","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M02",51.58
"1744","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M02",1.03
"1745","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M03",26.65
"1746","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M03",1.24
"1747","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M03",36.56
"1748","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M03",1.21
"1749","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M03",42.89
"1750","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M03",1.13
"1751","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M03",NA
"1752","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M03",NA
"1753","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M04",27.88
"1754","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M04",1.33
"1755","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M04",38.36
"1756","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M04",1.26
"1757","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M04",43.23
"1758","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M04",1.16
"1759","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M04",50.8
"1760","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M04",1.04
"1761","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M05",29.48
"1762","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M05",1.37
"1763","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M05",37.62
"1764","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M05",1.26
"1765","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M05",44.67
"1766","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M05",1.18
"1767","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M05",NA
"1768","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M05",NA
"1769","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M06",29.95
"1770","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M06",1.57
"1771","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M06",37.66
"1772","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M06",1.23
"1773","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M06",46.29
"1774","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M06",1.19
"1775","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M06",50.54
"1776","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M06",1.07
"1777","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M07",24.77
"1778","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M07",1.13
"1779","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M07",33.15
"1780","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M07",1.1
"1781","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M07",39.06
"1782","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M07",1.05
"1783","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M07",46.69
"1784","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M07",1.02
"1785","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M08",23.36
"1786","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M08",1.05
"1787","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M08",31.59
"1788","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M08",1.04
"1789","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M08",39.7
"1790","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M08",1.05
"1791","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M08",51.04
"1792","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M08",1.04
"1793","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M09",28.38
"1794","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M09",1.32
"1795","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M09",36.82
"1796","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M09",1.24
"1797","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M09",43.06
"1798","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M09",1.13
"1799","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M09",50.75
"1800","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M09",1.08
"1801","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M10",26.41
"1802","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M10",1.22
"1803","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M10",33.58
"1804","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M10",1.12
"1805","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M10",40.59
"1806","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M10",1.07
"1807","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M10",47.6
"1808","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M10",0.98
"1809","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M11",21.67
"1810","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M11",1.02
"1811","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M11",29.71
"1812","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M11",0.98
"1813","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M11",35.37
"1814","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M11",0.98
"1815","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M11",43.53
"1816","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M11",0.93
"1817","Pig Price per Head (Euro)","Pigs 15-24 kg","1994M12",25.93
"1818","Pig Price per Kg (Euro)","Pigs 15-24 kg","1994M12",1.18
"1819","Pig Price per Head (Euro)","Pigs 25-34 kg","1994M12",31.76
"1820","Pig Price per Kg (Euro)","Pigs 25-34 kg","1994M12",1.08
"1821","Pig Price per Head (Euro)","Pigs 35-44 kg","1994M12",39.31
"1822","Pig Price per Kg (Euro)","Pigs 35-44 kg","1994M12",1.02
"1823","Pig Price per Head (Euro)","Pigs 45-54 kg","1994M12",42.94
"1824","Pig Price per Kg (Euro)","Pigs 45-54 kg","1994M12",0.84
"1825","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M01",23.56
"1826","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M01",1.22
"1827","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M01",32.76
"1828","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M01",1.08
"1829","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M01",38.29
"1830","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M01",1.01
"1831","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M01",47.13
"1832","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M01",1
"1833","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M02",31.17
"1834","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M02",1.39
"1835","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M02",40.97
"1836","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M02",1.34
"1837","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M02",47.78
"1838","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M02",1.26
"1839","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M02",54.33
"1840","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M02",1.16
"1841","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M03",34.49
"1842","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M03",1.58
"1843","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M03",44.55
"1844","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M03",1.47
"1845","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M03",52.7
"1846","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M03",1.4
"1847","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M03",61.33
"1848","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M03",1.29
"1849","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M04",38.12
"1850","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M04",1.78
"1851","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M04",46.29
"1852","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M04",1.55
"1853","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M04",54.92
"1854","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M04",1.45
"1855","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M04",63.58
"1856","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M04",1.3
"1857","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M05",35.47
"1858","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M05",1.61
"1859","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M05",45.81
"1860","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M05",1.53
"1861","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M05",53.88
"1862","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M05",1.44
"1863","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M05",62.45
"1864","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M05",1.3
"1865","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M06",36.65
"1866","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M06",1.69
"1867","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M06",46.11
"1868","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M06",1.51
"1869","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M06",53.23
"1870","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M06",1.4
"1871","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M06",58.78
"1872","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M06",1.16
"1873","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M07",32.2
"1874","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M07",1.55
"1875","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M07",43.99
"1876","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M07",1.49
"1877","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M07",51.34
"1878","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M07",1.41
"1879","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M07",59.98
"1880","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M07",1.27
"1881","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M08",34.17
"1882","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M08",1.59
"1883","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M08",45.88
"1884","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M08",1.49
"1885","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M08",52.56
"1886","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M08",1.4
"1887","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M08",61.9
"1888","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M08",1.3
"1889","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M09",32.46
"1890","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M09",1.49
"1891","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M09",42.12
"1892","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M09",1.39
"1893","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M09",51.28
"1894","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M09",1.34
"1895","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M09",59.02
"1896","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M09",1.26
"1897","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M10",25.28
"1898","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M10",1.2
"1899","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M10",39.31
"1900","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M10",1.3
"1901","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M10",46.43
"1902","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M10",1.24
"1903","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M10",57.89
"1904","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M10",1.2
"1905","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M11",25.72
"1906","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M11",1.25
"1907","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M11",38.29
"1908","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M11",1.25
"1909","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M11",45.84
"1910","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M11",1.2
"1911","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M11",52.88
"1912","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M11",1.12
"1913","Pig Price per Head (Euro)","Pigs 15-24 kg","1995M12",27.63
"1914","Pig Price per Kg (Euro)","Pigs 15-24 kg","1995M12",1.31
"1915","Pig Price per Head (Euro)","Pigs 25-34 kg","1995M12",38.88
"1916","Pig Price per Kg (Euro)","Pigs 25-34 kg","1995M12",1.27
"1917","Pig Price per Head (Euro)","Pigs 35-44 kg","1995M12",45.59
"1918","Pig Price per Kg (Euro)","Pigs 35-44 kg","1995M12",1.21
"1919","Pig Price per Head (Euro)","Pigs 45-54 kg","1995M12",55.87
"1920","Pig Price per Kg (Euro)","Pigs 45-54 kg","1995M12",1.2
"1921","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M01",34.1
"1922","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M01",1.65
"1923","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M01",46.15
"1924","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M01",1.53
"1925","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M01",53.62
"1926","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M01",1.39
"1927","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M01",62.51
"1928","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M01",1.31
"1929","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M02",42.55
"1930","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M02",2.01
"1931","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M02",52.9
"1932","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M02",1.77
"1933","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M02",61.65
"1934","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M02",1.6
"1935","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M02",66.69
"1936","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M02",1.44
"1937","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M03",36.79
"1938","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M03",1.7
"1939","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M03",48.07
"1940","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M03",1.6
"1941","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M03",57.26
"1942","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M03",1.53
"1943","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M03",67.83
"1944","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M03",1.45
"1945","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M04",34.86
"1946","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M04",1.54
"1947","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M04",44.99
"1948","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M04",1.49
"1949","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M04",53.82
"1950","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M04",1.39
"1951","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M04",58.88
"1952","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M04",1.25
"1953","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M05",39.26
"1954","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M05",1.85
"1955","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M05",48.82
"1956","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M05",1.63
"1957","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M05",60.84
"1958","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M05",1.6
"1959","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M05",63.43
"1960","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M05",1.34
"1961","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M06",39.84
"1962","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M06",1.88
"1963","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M06",51.7
"1964","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M06",1.73
"1965","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M06",59.44
"1966","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M06",1.59
"1967","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M06",66.79
"1968","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M06",1.41
"1969","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M07",40.06
"1970","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M07",1.81
"1971","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M07",47.07
"1972","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M07",1.64
"1973","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M07",57.54
"1974","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M07",1.54
"1975","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M07",66
"1976","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M07",1.35
"1977","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M08",33.05
"1978","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M08",1.55
"1979","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M08",41.56
"1980","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M08",1.41
"1981","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M08",52.47
"1982","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M08",1.37
"1983","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M08",61.07
"1984","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M08",1.4
"1985","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M09",34.6
"1986","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M09",1.53
"1987","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M09",43.7
"1988","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M09",1.45
"1989","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M09",53.51
"1990","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M09",1.4
"1991","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M09",58.41
"1992","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M09",1.21
"1993","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M10",34.64
"1994","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M10",1.54
"1995","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M10",43.35
"1996","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M10",1.41
"1997","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M10",51.43
"1998","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M10",1.36
"1999","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M10",60.87
"2000","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M10",1.3
"2001","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M11",26.71
"2002","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M11",1.17
"2003","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M11",35.54
"2004","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M11",1.17
"2005","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M11",44.48
"2006","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M11",1.19
"2007","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M11",54.2
"2008","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M11",1.12
"2009","Pig Price per Head (Euro)","Pigs 15-24 kg","1996M12",20.77
"2010","Pig Price per Kg (Euro)","Pigs 15-24 kg","1996M12",1.01
"2011","Pig Price per Head (Euro)","Pigs 25-34 kg","1996M12",34.75
"2012","Pig Price per Kg (Euro)","Pigs 25-34 kg","1996M12",1.15
"2013","Pig Price per Head (Euro)","Pigs 35-44 kg","1996M12",46.51
"2014","Pig Price per Kg (Euro)","Pigs 35-44 kg","1996M12",1.2
"2015","Pig Price per Head (Euro)","Pigs 45-54 kg","1996M12",64.12
"2016","Pig Price per Kg (Euro)","Pigs 45-54 kg","1996M12",1.19
"2017","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M01",24.37
"2018","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M01",1.12
"2019","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M01",32.74
"2020","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M01",1.07
"2021","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M01",42.16
"2022","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M01",1.08
"2023","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M01",49.98
"2024","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M01",1.06
"2025","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M02",24.34
"2026","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M02",1.06
"2027","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M02",35.53
"2028","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M02",1.12
"2029","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M02",42.86
"2030","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M02",1.12
"2031","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M02",53.19
"2032","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M02",1.1
"2033","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M03",22.56
"2034","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M03",1.12
"2035","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M03",36.03
"2036","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M03",1.17
"2037","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M03",44.11
"2038","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M03",1.16
"2039","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M03",52.31
"2040","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M03",1.08
"2041","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M04",34.12
"2042","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M04",1.52
"2043","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M04",42.27
"2044","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M04",1.35
"2045","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M04",50.08
"2046","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M04",1.3
"2047","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M04",54.65
"2048","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M04",1.18
"2049","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M05",37.63
"2050","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M05",1.79
"2051","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M05",48.42
"2052","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M05",1.62
"2053","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M05",57.77
"2054","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M05",1.5
"2055","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M05",64.23
"2056","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M05",1.32
"2057","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M06",37.69
"2058","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M06",1.76
"2059","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M06",48.14
"2060","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M06",1.57
"2061","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M06",56
"2062","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M06",1.47
"2063","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M06",62.86
"2064","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M06",1.34
"2065","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M07",30.92
"2066","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M07",1.42
"2067","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M07",41.28
"2068","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M07",1.39
"2069","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M07",49.99
"2070","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M07",1.37
"2071","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M07",57.91
"2072","Pig Price per Kg (Euro)","Pigs 45-54 kg","1997M07",1.21
"2073","Pig Price per Head (Euro)","Pigs 15-24 kg","1997M08",28.98
"2074","Pig Price per Kg (Euro)","Pigs 15-24 kg","1997M08",1.3
"2075","Pig Price per Head (Euro)","Pigs 25-34 kg","1997M08",40.01
"2076","Pig Price per Kg (Euro)","Pigs 25-34 kg","1997M08",1.34
"2077","Pig Price per Head (Euro)","Pigs 35-44 kg","1997M08",47.9
"2078","Pig Price per Kg (Euro)","Pigs 35-44 kg","1997M08",1.27
"2079","Pig Price per Head (Euro)","Pigs 45-54 kg","1997M08",55.68
