"","Statistic","Year","Liveweight","value"
"225","Pig Price per Head (Euro)","1983","Pigs 45-54 kg",52.88
"226","Pig Price per Kg (Euro)","1983","Pigs 45-54 kg",1.1
"227","Pig Price per Head (Euro)","1984","Pigs 45-54 kg",56.67
"228","Pig Price per Kg (Euro)","1984","Pigs 45-54 kg",1.19
"229","Pig Price per Head (Euro)","1985","Pigs 45-54 kg",56.35
"230","Pig Price per Kg (Euro)","1985","Pigs 45-54 kg",1.17
"231","Pig Price per Head (Euro)","1986","Pigs 45-54 kg",53.1
"232","Pig Price per Kg (Euro)","1986","Pigs 45-54 kg",1.1
"233","Pig Price per Head (Euro)","1987","Pigs 45-54 kg",53.54
"234","Pig Price per Kg (Euro)","1987","Pigs 45-54 kg",1.13
"235","Pig Price per Head (Euro)","1988","Pigs 45-54 kg",50.85
"236","Pig Price per Kg (Euro)","1988","Pigs 45-54 kg",1.05
"237","Pig Price per Head (Euro)","1989","Pigs 45-54 kg",58.2
"238","Pig Price per Kg (Euro)","1989","Pigs 45-54 kg",1.22
"239","Pig Price per Head (Euro)","1990","Pigs 45-54 kg",53.86
"240","Pig Price per Kg (Euro)","1990","Pigs 45-54 kg",1.12
"241","Pig Price per Head (Euro)","1991","Pigs 45-54 kg",49.91
"242","Pig Price per Kg (Euro)","1991","Pigs 45-54 kg",1.05
"243","Pig Price per Head (Euro)","1992","Pigs 45-54 kg",53.52
"244","Pig Price per Kg (Euro)","1992","Pigs 45-54 kg",1.13
"245","Pig Price per Head (Euro)","1993","Pigs 45-54 kg",45.88
"246","Pig Price per Kg (Euro)","1993","Pigs 45-54 kg",0.97
"247","Pig Price per Head (Euro)","1994","Pigs 45-54 kg",47.74
"248","Pig Price per Kg (Euro)","1994","Pigs 45-54 kg",1
"249","Pig Price per Head (Euro)","1995","Pigs 45-54 kg",56.61
"250","Pig Price per Kg (Euro)","1995","Pigs 45-54 kg",1.19
"251","Pig Price per Head (Euro)","1996","Pigs 45-54 kg",62.95
"252","Pig Price per Kg (Euro)","1996","Pigs 45-54 kg",1.34
"253","Pig Price per Head (Euro)","1997","Pigs 45-54 kg",53.53
"254","Pig Price per Kg (Euro)","1997","Pigs 45-54 kg",1.13
"255","Pig Price per Head (Euro)","1998","Pigs 45-54 kg",43.66
"256","Pig Price per Kg (Euro)","1998","Pigs 45-54 kg",0.91
"257","Pig Price per Head (Euro)","1999","Pigs 45-54 kg",33.02
"258","Pig Price per Kg (Euro)","1999","Pigs 45-54 kg",0.67
"259","Pig Price per Head (Euro)","2000","Pigs 45-54 kg",49.17
"260","Pig Price per Kg (Euro)","2000","Pigs 45-54 kg",1.03
"261","Pig Price per Head (Euro)","2001","Pigs 45-54 kg",51.99
"262","Pig Price per Kg (Euro)","2001","Pigs 45-54 kg",1.1
"263","Pig Price per Head (Euro)","2002","Pigs 45-54 kg",NA
"264","Pig Price per Kg (Euro)","2002","Pigs 45-54 kg",NA
"265","Pig Price per Head (Euro)","2003","Pigs 45-54 kg",NA
"266","Pig Price per Kg (Euro)","2003","Pigs 45-54 kg",NA
"267","Pig Price per Head (Euro)","2004","Pigs 45-54 kg",NA
"268","Pig Price per Kg (Euro)","2004","Pigs 45-54 kg",NA
"269","Pig Price per Head (Euro)","2005","Pigs 45-54 kg",NA
"270","Pig Price per Kg (Euro)","2005","Pigs 45-54 kg",NA
"271","Pig Price per Head (Euro)","2006","Pigs 45-54 kg",NA
"272","Pig Price per Kg (Euro)","2006","Pigs 45-54 kg",NA
"273","Pig Price per Head (Euro)","2007","Pigs 45-54 kg",NA
"274","Pig Price per Kg (Euro)","2007","Pigs 45-54 kg",NA
"275","Pig Price per Head (Euro)","2008","Pigs 45-54 kg",NA
"276","Pig Price per Kg (Euro)","2008","Pigs 45-54 kg",NA
"277","Pig Price per Head (Euro)","2009","Pigs 45-54 kg",NA
"278","Pig Price per Kg (Euro)","2009","Pigs 45-54 kg",NA
"279","Pig Price per Head (Euro)","2010","Pigs 45-54 kg",NA
"280","Pig Price per Kg (Euro)","2010","Pigs 45-54 kg",NA
