"","Statistic","Month","Type.of.Cattle","value"
"136","Cattle Price per 100 Kg (Euro)","1981M08","Bullocks 200-249kg",133.7
"137","Cattle Price per Head (Euro)","1981M09","Bullocks 200-249kg",300.7
"138","Cattle Price per 100 Kg (Euro)","1981M09","Bullocks 200-249kg",130.53
"139","Cattle Price per Head (Euro)","1981M10","Bullocks 200-249kg",307.25
"140","Cattle Price per 100 Kg (Euro)","1981M10","Bullocks 200-249kg",136.5
"141","Cattle Price per Head (Euro)","1981M11","Bullocks 200-249kg",319.49
"142","Cattle Price per 100 Kg (Euro)","1981M11","Bullocks 200-249kg",141.37
"143","Cattle Price per Head (Euro)","1981M12","Bullocks 200-249kg",331.73
"144","Cattle Price per 100 Kg (Euro)","1981M12","Bullocks 200-249kg",147.85
"145","Cattle Price per Head (Euro)","1982M01","Bullocks 200-249kg",344.02
"146","Cattle Price per 100 Kg (Euro)","1982M01","Bullocks 200-249kg",152.98
"147","Cattle Price per Head (Euro)","1982M02","Bullocks 200-249kg",358.1
"148","Cattle Price per 100 Kg (Euro)","1982M02","Bullocks 200-249kg",162.07
"149","Cattle Price per Head (Euro)","1982M03","Bullocks 200-249kg",371.49
"150","Cattle Price per 100 Kg (Euro)","1982M03","Bullocks 200-249kg",164.29
"151","Cattle Price per Head (Euro)","1982M04","Bullocks 200-249kg",380.53
"152","Cattle Price per 100 Kg (Euro)","1982M04","Bullocks 200-249kg",169.19
"153","Cattle Price per Head (Euro)","1982M05","Bullocks 200-249kg",373.85
"154","Cattle Price per 100 Kg (Euro)","1982M05","Bullocks 200-249kg",164.65
"155","Cattle Price per Head (Euro)","1982M06","Bullocks 200-249kg",385.24
"156","Cattle Price per 100 Kg (Euro)","1982M06","Bullocks 200-249kg",171.78
"157","Cattle Price per Head (Euro)","1982M07","Bullocks 200-249kg",362.22
"158","Cattle Price per 100 Kg (Euro)","1982M07","Bullocks 200-249kg",157.78
"159","Cattle Price per Head (Euro)","1982M08","Bullocks 200-249kg",356.16
"160","Cattle Price per 100 Kg (Euro)","1982M08","Bullocks 200-249kg",157.76
"161","Cattle Price per Head (Euro)","1982M09","Bullocks 200-249kg",354.33
"162","Cattle Price per 100 Kg (Euro)","1982M09","Bullocks 200-249kg",156.06
"163","Cattle Price per Head (Euro)","1982M10","Bullocks 200-249kg",352.82
"164","Cattle Price per 100 Kg (Euro)","1982M10","Bullocks 200-249kg",157.57
"165","Cattle Price per Head (Euro)","1982M11","Bullocks 200-249kg",346.42
"166","Cattle Price per 100 Kg (Euro)","1982M11","Bullocks 200-249kg",151.04
"167","Cattle Price per Head (Euro)","1982M12","Bullocks 200-249kg",360.82
"168","Cattle Price per 100 Kg (Euro)","1982M12","Bullocks 200-249kg",158.67
"169","Cattle Price per Head (Euro)","1983M01","Bullocks 200-249kg",382.34
"170","Cattle Price per 100 Kg (Euro)","1983M01","Bullocks 200-249kg",169
"171","Cattle Price per Head (Euro)","1983M02","Bullocks 200-249kg",388.48
"172","Cattle Price per 100 Kg (Euro)","1983M02","Bullocks 200-249kg",174.02
"173","Cattle Price per Head (Euro)","1983M03","Bullocks 200-249kg",407.19
"174","Cattle Price per 100 Kg (Euro)","1983M03","Bullocks 200-249kg",180.85
"175","Cattle Price per Head (Euro)","1983M04","Bullocks 200-249kg",404.74
"176","Cattle Price per 100 Kg (Euro)","1983M04","Bullocks 200-249kg",179.6
"177","Cattle Price per Head (Euro)","1983M05","Bullocks 200-249kg",405.82
"178","Cattle Price per 100 Kg (Euro)","1983M05","Bullocks 200-249kg",179.99
"179","Cattle Price per Head (Euro)","1983M06","Bullocks 200-249kg",417.38
"180","Cattle Price per 100 Kg (Euro)","1983M06","Bullocks 200-249kg",183.21
"181","Cattle Price per Head (Euro)","1983M07","Bullocks 200-249kg",408.49
"182","Cattle Price per 100 Kg (Euro)","1983M07","Bullocks 200-249kg",177.64
"183","Cattle Price per Head (Euro)","1983M08","Bullocks 200-249kg",393.48
"184","Cattle Price per 100 Kg (Euro)","1983M08","Bullocks 200-249kg",169.93
"185","Cattle Price per Head (Euro)","1983M09","Bullocks 200-249kg",384.4
"186","Cattle Price per 100 Kg (Euro)","1983M09","Bullocks 200-249kg",171.43
"187","Cattle Price per Head (Euro)","1983M10","Bullocks 200-249kg",373.75
"188","Cattle Price per 100 Kg (Euro)","1983M10","Bullocks 200-249kg",166.37
"189","Cattle Price per Head (Euro)","1983M11","Bullocks 200-249kg",376.36
"190","Cattle Price per 100 Kg (Euro)","1983M11","Bullocks 200-249kg",167.16
"191","Cattle Price per Head (Euro)","1983M12","Bullocks 200-249kg",377.75
"192","Cattle Price per 100 Kg (Euro)","1983M12","Bullocks 200-249kg",170.86
"193","Cattle Price per Head (Euro)","1984M01","Bullocks 200-249kg",383.89
"194","Cattle Price per 100 Kg (Euro)","1984M01","Bullocks 200-249kg",171.78
