"","Statistic","Month","Type.of.Cattle","value"
"10312","Cattle Price per 100 Kg (Euro)","1983M12","Heifers 350-399kg",122.82
"10313","Cattle Price per Head (Euro)","1984M01","Heifers 350-399kg",475.4
"10314","Cattle Price per 100 Kg (Euro)","1984M01","Heifers 350-399kg",128.22
"10315","Cattle Price per Head (Euro)","1984M02","Heifers 350-399kg",499.81
"10316","Cattle Price per 100 Kg (Euro)","1984M02","Heifers 350-399kg",134.47
"10317","Cattle Price per Head (Euro)","1984M03","Heifers 350-399kg",535.22
"10318","Cattle Price per 100 Kg (Euro)","1984M03","Heifers 350-399kg",144.05
"10319","Cattle Price per Head (Euro)","1984M04","Heifers 350-399kg",546.5
"10320","Cattle Price per 100 Kg (Euro)","1984M04","Heifers 350-399kg",147.15
"10321","Cattle Price per Head (Euro)","1984M05","Heifers 350-399kg",548.4
"10322","Cattle Price per 100 Kg (Euro)","1984M05","Heifers 350-399kg",147.73
"10323","Cattle Price per Head (Euro)","1984M06","Heifers 350-399kg",514.85
"10324","Cattle Price per 100 Kg (Euro)","1984M06","Heifers 350-399kg",138.43
"10325","Cattle Price per Head (Euro)","1984M07","Heifers 350-399kg",482.93
"10326","Cattle Price per 100 Kg (Euro)","1984M07","Heifers 350-399kg",130.31
"10327","Cattle Price per Head (Euro)","1984M08","Heifers 350-399kg",490.64
"10328","Cattle Price per 100 Kg (Euro)","1984M08","Heifers 350-399kg",132.78
"10329","Cattle Price per Head (Euro)","1984M09","Heifers 350-399kg",467.85
"10330","Cattle Price per 100 Kg (Euro)","1984M09","Heifers 350-399kg",126.38
"10331","Cattle Price per Head (Euro)","1984M10","Heifers 350-399kg",464.99
"10332","Cattle Price per 100 Kg (Euro)","1984M10","Heifers 350-399kg",125.51
"10333","Cattle Price per Head (Euro)","1984M11","Heifers 350-399kg",466.95
"10334","Cattle Price per 100 Kg (Euro)","1984M11","Heifers 350-399kg",125.53
"10335","Cattle Price per Head (Euro)","1984M12","Heifers 350-399kg",481.87
"10336","Cattle Price per 100 Kg (Euro)","1984M12","Heifers 350-399kg",129.77
"10337","Cattle Price per Head (Euro)","1985M01","Heifers 350-399kg",513.56
"10338","Cattle Price per 100 Kg (Euro)","1985M01","Heifers 350-399kg",137.93
"10339","Cattle Price per Head (Euro)","1985M02","Heifers 350-399kg",508.96
"10340","Cattle Price per 100 Kg (Euro)","1985M02","Heifers 350-399kg",136.97
"10341","Cattle Price per Head (Euro)","1985M03","Heifers 350-399kg",525.73
"10342","Cattle Price per 100 Kg (Euro)","1985M03","Heifers 350-399kg",141.28
"10343","Cattle Price per Head (Euro)","1985M04","Heifers 350-399kg",539.11
"10344","Cattle Price per 100 Kg (Euro)","1985M04","Heifers 350-399kg",145.37
"10345","Cattle Price per Head (Euro)","1985M05","Heifers 350-399kg",532.17
"10346","Cattle Price per 100 Kg (Euro)","1985M05","Heifers 350-399kg",143.52
"10347","Cattle Price per Head (Euro)","1985M06","Heifers 350-399kg",512.31
"10348","Cattle Price per 100 Kg (Euro)","1985M06","Heifers 350-399kg",137.61
"10349","Cattle Price per Head (Euro)","1985M07","Heifers 350-399kg",501.42
"10350","Cattle Price per 100 Kg (Euro)","1985M07","Heifers 350-399kg",135.21
"10351","Cattle Price per Head (Euro)","1985M08","Heifers 350-399kg",470.91
"10352","Cattle Price per 100 Kg (Euro)","1985M08","Heifers 350-399kg",127.06
"10353","Cattle Price per Head (Euro)","1985M09","Heifers 350-399kg",449.11
"10354","Cattle Price per 100 Kg (Euro)","1985M09","Heifers 350-399kg",120.84
"10355","Cattle Price per Head (Euro)","1985M10","Heifers 350-399kg",459.75
"10356","Cattle Price per 100 Kg (Euro)","1985M10","Heifers 350-399kg",123.84
"10357","Cattle Price per Head (Euro)","1985M11","Heifers 350-399kg",485.41
"10358","Cattle Price per 100 Kg (Euro)","1985M11","Heifers 350-399kg",125.49
"10359","Cattle Price per Head (Euro)","1985M12","Heifers 350-399kg",466.63
"10360","Cattle Price per 100 Kg (Euro)","1985M12","Heifers 350-399kg",124.97
"10361","Cattle Price per Head (Euro)","1986M01","Heifers 350-399kg",484.33
"10362","Cattle Price per 100 Kg (Euro)","1986M01","Heifers 350-399kg",129.6
"10363","Cattle Price per Head (Euro)","1986M02","Heifers 350-399kg",492.19
"10364","Cattle Price per 100 Kg (Euro)","1986M02","Heifers 350-399kg",131.77
"10365","Cattle Price per Head (Euro)","1986M03","Heifers 350-399kg",513.49
"10366","Cattle Price per 100 Kg (Euro)","1986M03","Heifers 350-399kg",137.92
"10367","Cattle Price per Head (Euro)","1986M04","Heifers 350-399kg",509.28
"10368","Cattle Price per 100 Kg (Euro)","1986M04","Heifers 350-399kg",137.49
"10369","Cattle Price per Head (Euro)","1986M05","Heifers 350-399kg",520.99
"10370","Cattle Price per 100 Kg (Euro)","1986M05","Heifers 350-399kg",140.48
"10371","Cattle Price per Head (Euro)","1986M06","Heifers 350-399kg",497.91
"10372","Cattle Price per 100 Kg (Euro)","1986M06","Heifers 350-399kg",134.15
"10373","Cattle Price per Head (Euro)","1986M07","Heifers 350-399kg",485.47
"10374","Cattle Price per 100 Kg (Euro)","1986M07","Heifers 350-399kg",130.69
"10375","Cattle Price per Head (Euro)","1986M08","Heifers 350-399kg",459.86
"10376","Cattle Price per 100 Kg (Euro)","1986M08","Heifers 350-399kg",123.95
"10377","Cattle Price per Head (Euro)","1986M09","Heifers 350-399kg",447.25
"10378","Cattle Price per 100 Kg (Euro)","1986M09","Heifers 350-399kg",120.13
"10379","Cattle Price per Head (Euro)","1986M10","Heifers 350-399kg",451.96
"10380","Cattle Price per 100 Kg (Euro)","1986M10","Heifers 350-399kg",121.4
"10381","Cattle Price per Head (Euro)","1986M11","Heifers 350-399kg",457.23
"10382","Cattle Price per 100 Kg (Euro)","1986M11","Heifers 350-399kg",122.81
"10383","Cattle Price per Head (Euro)","1986M12","Heifers 350-399kg",470.43
"10384","Cattle Price per 100 Kg (Euro)","1986M12","Heifers 350-399kg",126.33
"10385","Cattle Price per Head (Euro)","1987M01","Heifers 350-399kg",493.06
"10386","Cattle Price per 100 Kg (Euro)","1987M01","Heifers 350-399kg",132.15
"10387","Cattle Price per Head (Euro)","1987M02","Heifers 350-399kg",497.66
"10388","Cattle Price per 100 Kg (Euro)","1987M02","Heifers 350-399kg",133.58
"10389","Cattle Price per Head (Euro)","1987M03","Heifers 350-399kg",514.8
"10390","Cattle Price per 100 Kg (Euro)","1987M03","Heifers 350-399kg",138.52
"10391","Cattle Price per Head (Euro)","1987M04","Heifers 350-399kg",529.1
"10392","Cattle Price per 100 Kg (Euro)","1987M04","Heifers 350-399kg",142.4
"10393","Cattle Price per Head (Euro)","1987M05","Heifers 350-399kg",531.08
"10394","Cattle Price per 100 Kg (Euro)","1987M05","Heifers 350-399kg",143.02
"10395","Cattle Price per Head (Euro)","1987M06","Heifers 350-399kg",516.2
"10396","Cattle Price per 100 Kg (Euro)","1987M06","Heifers 350-399kg",139.3
"10397","Cattle Price per Head (Euro)","1987M07","Heifers 350-399kg",515.77
"10398","Cattle Price per 100 Kg (Euro)","1987M07","Heifers 350-399kg",139.14
"10399","Cattle Price per Head (Euro)","1987M08","Heifers 350-399kg",525.15
"10400","Cattle Price per 100 Kg (Euro)","1987M08","Heifers 350-399kg",141.41
"10401","Cattle Price per Head (Euro)","1987M09","Heifers 350-399kg",506.73
"10402","Cattle Price per 100 Kg (Euro)","1987M09","Heifers 350-399kg",136.47
"10403","Cattle Price per Head (Euro)","1987M10","Heifers 350-399kg",500.39
"10404","Cattle Price per 100 Kg (Euro)","1987M10","Heifers 350-399kg",134.16
"10405","Cattle Price per Head (Euro)","1987M11","Heifers 350-399kg",501.65
"10406","Cattle Price per 100 Kg (Euro)","1987M11","Heifers 350-399kg",134.67
"10407","Cattle Price per Head (Euro)","1987M12","Heifers 350-399kg",522.15
"10408","Cattle Price per 100 Kg (Euro)","1987M12","Heifers 350-399kg",140.03
"10409","Cattle Price per Head (Euro)","1988M01","Heifers 350-399kg",566.13
"10410","Cattle Price per 100 Kg (Euro)","1988M01","Heifers 350-399kg",151.58
"10411","Cattle Price per Head (Euro)","1988M02","Heifers 350-399kg",591.67
"10412","Cattle Price per 100 Kg (Euro)","1988M02","Heifers 350-399kg",158.51
"10413","Cattle Price per Head (Euro)","1988M03","Heifers 350-399kg",621.55
"10414","Cattle Price per 100 Kg (Euro)","1988M03","Heifers 350-399kg",167.01
"10415","Cattle Price per Head (Euro)","1988M04","Heifers 350-399kg",653.24
"10416","Cattle Price per 100 Kg (Euro)","1988M04","Heifers 350-399kg",175.55
"10417","Cattle Price per Head (Euro)","1988M05","Heifers 350-399kg",657.48
"10418","Cattle Price per 100 Kg (Euro)","1988M05","Heifers 350-399kg",176.95
"10419","Cattle Price per Head (Euro)","1988M06","Heifers 350-399kg",661.03
"10420","Cattle Price per 100 Kg (Euro)","1988M06","Heifers 350-399kg",178.18
"10421","Cattle Price per Head (Euro)","1988M07","Heifers 350-399kg",660.71
"10422","Cattle Price per 100 Kg (Euro)","1988M07","Heifers 350-399kg",178.35
"10423","Cattle Price per Head (Euro)","1988M08","Heifers 350-399kg",652.61
"10424","Cattle Price per 100 Kg (Euro)","1988M08","Heifers 350-399kg",175.88
"10425","Cattle Price per Head (Euro)","1988M09","Heifers 350-399kg",615.94
"10426","Cattle Price per 100 Kg (Euro)","1988M09","Heifers 350-399kg",165.76
"10427","Cattle Price per Head (Euro)","1988M10","Heifers 350-399kg",612.9
"10428","Cattle Price per 100 Kg (Euro)","1988M10","Heifers 350-399kg",164.57
"10429","Cattle Price per Head (Euro)","1988M11","Heifers 350-399kg",625.98
"10430","Cattle Price per 100 Kg (Euro)","1988M11","Heifers 350-399kg",165.47
"10431","Cattle Price per Head (Euro)","1988M12","Heifers 350-399kg",626.96
"10432","Cattle Price per 100 Kg (Euro)","1988M12","Heifers 350-399kg",168.19
"10433","Cattle Price per Head (Euro)","1989M01","Heifers 350-399kg",653.65
"10434","Cattle Price per 100 Kg (Euro)","1989M01","Heifers 350-399kg",175.22
"10435","Cattle Price per Head (Euro)","1989M02","Heifers 350-399kg",653.43
"10436","Cattle Price per 100 Kg (Euro)","1989M02","Heifers 350-399kg",175.13
"10437","Cattle Price per Head (Euro)","1989M03","Heifers 350-399kg",671.64
"10438","Cattle Price per 100 Kg (Euro)","1989M03","Heifers 350-399kg",180.58
"10439","Cattle Price per Head (Euro)","1989M04","Heifers 350-399kg",681.95
"10440","Cattle Price per 100 Kg (Euro)","1989M04","Heifers 350-399kg",183.3
"10441","Cattle Price per Head (Euro)","1989M05","Heifers 350-399kg",694.05
"10442","Cattle Price per 100 Kg (Euro)","1989M05","Heifers 350-399kg",186.96
"10443","Cattle Price per Head (Euro)","1989M06","Heifers 350-399kg",676.64
"10444","Cattle Price per 100 Kg (Euro)","1989M06","Heifers 350-399kg",183.27
"10445","Cattle Price per Head (Euro)","1989M07","Heifers 350-399kg",622.6
"10446","Cattle Price per 100 Kg (Euro)","1989M07","Heifers 350-399kg",167.76
"10447","Cattle Price per Head (Euro)","1989M08","Heifers 350-399kg",599.8
"10448","Cattle Price per 100 Kg (Euro)","1989M08","Heifers 350-399kg",161.36
"10449","Cattle Price per Head (Euro)","1989M09","Heifers 350-399kg",587.89
"10450","Cattle Price per 100 Kg (Euro)","1989M09","Heifers 350-399kg",157.55
"10451","Cattle Price per Head (Euro)","1989M10","Heifers 350-399kg",562.93
"10452","Cattle Price per 100 Kg (Euro)","1989M10","Heifers 350-399kg",150.73
"10453","Cattle Price per Head (Euro)","1989M11","Heifers 350-399kg",550.9
"10454","Cattle Price per 100 Kg (Euro)","1989M11","Heifers 350-399kg",147.33
"10455","Cattle Price per Head (Euro)","1989M12","Heifers 350-399kg",541.11
"10456","Cattle Price per 100 Kg (Euro)","1989M12","Heifers 350-399kg",144.32
"10457","Cattle Price per Head (Euro)","1990M01","Heifers 350-399kg",544.95
"10458","Cattle Price per 100 Kg (Euro)","1990M01","Heifers 350-399kg",145.68
"10459","Cattle Price per Head (Euro)","1990M02","Heifers 350-399kg",558.34
"10460","Cattle Price per 100 Kg (Euro)","1990M02","Heifers 350-399kg",148.9
"10461","Cattle Price per Head (Euro)","1990M03","Heifers 350-399kg",604.26
"10462","Cattle Price per 100 Kg (Euro)","1990M03","Heifers 350-399kg",161.75
"10463","Cattle Price per Head (Euro)","1990M04","Heifers 350-399kg",618.81
"10464","Cattle Price per 100 Kg (Euro)","1990M04","Heifers 350-399kg",165.94
"10465","Cattle Price per Head (Euro)","1990M05","Heifers 350-399kg",583.71
"10466","Cattle Price per 100 Kg (Euro)","1990M05","Heifers 350-399kg",156.76
"10467","Cattle Price per Head (Euro)","1990M06","Heifers 350-399kg",540.44
"10468","Cattle Price per 100 Kg (Euro)","1990M06","Heifers 350-399kg",146.1
"10469","Cattle Price per Head (Euro)","1990M07","Heifers 350-399kg",515.86
"10470","Cattle Price per 100 Kg (Euro)","1990M07","Heifers 350-399kg",138.44
"10471","Cattle Price per Head (Euro)","1990M08","Heifers 350-399kg",506.55
"10472","Cattle Price per 100 Kg (Euro)","1990M08","Heifers 350-399kg",135.98
"10473","Cattle Price per Head (Euro)","1990M09","Heifers 350-399kg",507.84
"10474","Cattle Price per 100 Kg (Euro)","1990M09","Heifers 350-399kg",136.15
"10475","Cattle Price per Head (Euro)","1990M10","Heifers 350-399kg",510.93
"10476","Cattle Price per 100 Kg (Euro)","1990M10","Heifers 350-399kg",136.22
"10477","Cattle Price per Head (Euro)","1990M11","Heifers 350-399kg",491.01
"10478","Cattle Price per 100 Kg (Euro)","1990M11","Heifers 350-399kg",133.16
"10479","Cattle Price per Head (Euro)","1990M12","Heifers 350-399kg",444.76
"10480","Cattle Price per 100 Kg (Euro)","1990M12","Heifers 350-399kg",134.44
"10481","Cattle Price per Head (Euro)","1991M01","Heifers 350-399kg",521.48
"10482","Cattle Price per 100 Kg (Euro)","1991M01","Heifers 350-399kg",138.54
"10483","Cattle Price per Head (Euro)","1991M02","Heifers 350-399kg",514.8
"10484","Cattle Price per 100 Kg (Euro)","1991M02","Heifers 350-399kg",137.78
"10485","Cattle Price per Head (Euro)","1991M03","Heifers 350-399kg",518.29
"10486","Cattle Price per 100 Kg (Euro)","1991M03","Heifers 350-399kg",138.86
"10487","Cattle Price per Head (Euro)","1991M04","Heifers 350-399kg",518.81
"10488","Cattle Price per 100 Kg (Euro)","1991M04","Heifers 350-399kg",139.32
"10489","Cattle Price per Head (Euro)","1991M05","Heifers 350-399kg",530.09
"10490","Cattle Price per 100 Kg (Euro)","1991M05","Heifers 350-399kg",142.45
"10491","Cattle Price per Head (Euro)","1991M06","Heifers 350-399kg",504.58
"10492","Cattle Price per 100 Kg (Euro)","1991M06","Heifers 350-399kg",135.82
"10493","Cattle Price per Head (Euro)","1991M07","Heifers 350-399kg",494.88
"10494","Cattle Price per 100 Kg (Euro)","1991M07","Heifers 350-399kg",132.73
"10495","Cattle Price per Head (Euro)","1991M08","Heifers 350-399kg",498.69
"10496","Cattle Price per 100 Kg (Euro)","1991M08","Heifers 350-399kg",133.21
"10497","Cattle Price per Head (Euro)","1991M09","Heifers 350-399kg",502.59
"10498","Cattle Price per 100 Kg (Euro)","1991M09","Heifers 350-399kg",134.2
"10499","Cattle Price per Head (Euro)","1991M10","Heifers 350-399kg",489.98
"10500","Cattle Price per 100 Kg (Euro)","1991M10","Heifers 350-399kg",131.01
"10501","Cattle Price per Head (Euro)","1991M11","Heifers 350-399kg",508.54
"10502","Cattle Price per 100 Kg (Euro)","1991M11","Heifers 350-399kg",135.25
"10503","Cattle Price per Head (Euro)","1991M12","Heifers 350-399kg",511.03
"10504","Cattle Price per 100 Kg (Euro)","1991M12","Heifers 350-399kg",136.01
"10505","Cattle Price per Head (Euro)","1992M01","Heifers 350-399kg",516.63
"10506","Cattle Price per 100 Kg (Euro)","1992M01","Heifers 350-399kg",137.84
"10507","Cattle Price per Head (Euro)","1992M02","Heifers 350-399kg",517.18
"10508","Cattle Price per 100 Kg (Euro)","1992M02","Heifers 350-399kg",138.49
"10509","Cattle Price per Head (Euro)","1992M03","Heifers 350-399kg",517.01
"10510","Cattle Price per 100 Kg (Euro)","1992M03","Heifers 350-399kg",138.48
"10511","Cattle Price per Head (Euro)","1992M04","Heifers 350-399kg",529.07
"10512","Cattle Price per 100 Kg (Euro)","1992M04","Heifers 350-399kg",142.32
"10513","Cattle Price per Head (Euro)","1992M05","Heifers 350-399kg",525.72
"10514","Cattle Price per 100 Kg (Euro)","1992M05","Heifers 350-399kg",141.87
"10515","Cattle Price per Head (Euro)","1992M06","Heifers 350-399kg",514.83
"10516","Cattle Price per 100 Kg (Euro)","1992M06","Heifers 350-399kg",138.97
"10517","Cattle Price per Head (Euro)","1992M07","Heifers 350-399kg",511.83
"10518","Cattle Price per 100 Kg (Euro)","1992M07","Heifers 350-399kg",137.67
"10519","Cattle Price per Head (Euro)","1992M08","Heifers 350-399kg",513.15
"10520","Cattle Price per 100 Kg (Euro)","1992M08","Heifers 350-399kg",137.68
"10521","Cattle Price per Head (Euro)","1992M09","Heifers 350-399kg",498.88
"10522","Cattle Price per 100 Kg (Euro)","1992M09","Heifers 350-399kg",133.34
"10523","Cattle Price per Head (Euro)","1992M10","Heifers 350-399kg",495.11
"10524","Cattle Price per 100 Kg (Euro)","1992M10","Heifers 350-399kg",132.01
"10525","Cattle Price per Head (Euro)","1992M11","Heifers 350-399kg",491.52
"10526","Cattle Price per 100 Kg (Euro)","1992M11","Heifers 350-399kg",131.33
"10527","Cattle Price per Head (Euro)","1992M12","Heifers 350-399kg",493.83
"10528","Cattle Price per 100 Kg (Euro)","1992M12","Heifers 350-399kg",131.52
"10529","Cattle Price per Head (Euro)","1993M01","Heifers 350-399kg",506.13
"10530","Cattle Price per 100 Kg (Euro)","1993M01","Heifers 350-399kg",134.97
"10531","Cattle Price per Head (Euro)","1993M02","Heifers 350-399kg",544.69
"10532","Cattle Price per 100 Kg (Euro)","1993M02","Heifers 350-399kg",145.77
"10533","Cattle Price per Head (Euro)","1993M03","Heifers 350-399kg",580.46
"10534","Cattle Price per 100 Kg (Euro)","1993M03","Heifers 350-399kg",155.87
"10535","Cattle Price per Head (Euro)","1993M04","Heifers 350-399kg",574.3
"10536","Cattle Price per 100 Kg (Euro)","1993M04","Heifers 350-399kg",154.73
"10537","Cattle Price per Head (Euro)","1993M05","Heifers 350-399kg",597.21
"10538","Cattle Price per 100 Kg (Euro)","1993M05","Heifers 350-399kg",160.75
"10539","Cattle Price per Head (Euro)","1993M06","Heifers 350-399kg",584.57
"10540","Cattle Price per 100 Kg (Euro)","1993M06","Heifers 350-399kg",157.42
"10541","Cattle Price per Head (Euro)","1993M07","Heifers 350-399kg",568.31
"10542","Cattle Price per 100 Kg (Euro)","1993M07","Heifers 350-399kg",153.23
"10543","Cattle Price per Head (Euro)","1993M08","Heifers 350-399kg",562.18
"10544","Cattle Price per 100 Kg (Euro)","1993M08","Heifers 350-399kg",150.72
"10545","Cattle Price per Head (Euro)","1993M09","Heifers 350-399kg",532.57
"10546","Cattle Price per 100 Kg (Euro)","1993M09","Heifers 350-399kg",142.73
"10547","Cattle Price per Head (Euro)","1993M10","Heifers 350-399kg",526.92
"10548","Cattle Price per 100 Kg (Euro)","1993M10","Heifers 350-399kg",140.47
"10549","Cattle Price per Head (Euro)","1993M11","Heifers 350-399kg",550.13
"10550","Cattle Price per 100 Kg (Euro)","1993M11","Heifers 350-399kg",146.88
"10551","Cattle Price per Head (Euro)","1993M12","Heifers 350-399kg",557.19
"10552","Cattle Price per 100 Kg (Euro)","1993M12","Heifers 350-399kg",148.39
"10553","Cattle Price per Head (Euro)","1994M01","Heifers 350-399kg",593.98
"10554","Cattle Price per 100 Kg (Euro)","1994M01","Heifers 350-399kg",158.59
"10555","Cattle Price per Head (Euro)","1994M02","Heifers 350-399kg",611.79
"10556","Cattle Price per 100 Kg (Euro)","1994M02","Heifers 350-399kg",163.45
"10557","Cattle Price per Head (Euro)","1994M03","Heifers 350-399kg",634.11
"10558","Cattle Price per 100 Kg (Euro)","1994M03","Heifers 350-399kg",167.1
"10559","Cattle Price per Head (Euro)","1994M04","Heifers 350-399kg",622.59
"10560","Cattle Price per 100 Kg (Euro)","1994M04","Heifers 350-399kg",167.81
"10561","Cattle Price per Head (Euro)","1994M05","Heifers 350-399kg",644.58
"10562","Cattle Price per 100 Kg (Euro)","1994M05","Heifers 350-399kg",173.52
"10563","Cattle Price per Head (Euro)","1994M06","Heifers 350-399kg",597.82
"10564","Cattle Price per 100 Kg (Euro)","1994M06","Heifers 350-399kg",160.61
"10565","Cattle Price per Head (Euro)","1994M07","Heifers 350-399kg",588.59
"10566","Cattle Price per 100 Kg (Euro)","1994M07","Heifers 350-399kg",162.41
"10567","Cattle Price per Head (Euro)","1994M08","Heifers 350-399kg",562.86
"10568","Cattle Price per 100 Kg (Euro)","1994M08","Heifers 350-399kg",151.3
"10569","Cattle Price per Head (Euro)","1994M09","Heifers 350-399kg",546.46
"10570","Cattle Price per 100 Kg (Euro)","1994M09","Heifers 350-399kg",146.15
"10571","Cattle Price per Head (Euro)","1994M10","Heifers 350-399kg",532.4
"10572","Cattle Price per 100 Kg (Euro)","1994M10","Heifers 350-399kg",142.59
"10573","Cattle Price per Head (Euro)","1994M11","Heifers 350-399kg",539.35
"10574","Cattle Price per 100 Kg (Euro)","1994M11","Heifers 350-399kg",143.46
"10575","Cattle Price per Head (Euro)","1994M12","Heifers 350-399kg",532.67
"10576","Cattle Price per 100 Kg (Euro)","1994M12","Heifers 350-399kg",141.68
"10577","Cattle Price per Head (Euro)","1995M01","Heifers 350-399kg",560.97
"10578","Cattle Price per 100 Kg (Euro)","1995M01","Heifers 350-399kg",148.99
"10579","Cattle Price per Head (Euro)","1995M02","Heifers 350-399kg",586.42
"10580","Cattle Price per 100 Kg (Euro)","1995M02","Heifers 350-399kg",156.25
"10581","Cattle Price per Head (Euro)","1995M03","Heifers 350-399kg",603.28
"10582","Cattle Price per 100 Kg (Euro)","1995M03","Heifers 350-399kg",161.24
"10583","Cattle Price per Head (Euro)","1995M04","Heifers 350-399kg",623.96
"10584","Cattle Price per 100 Kg (Euro)","1995M04","Heifers 350-399kg",167.44
"10585","Cattle Price per Head (Euro)","1995M05","Heifers 350-399kg",598.16
"10586","Cattle Price per 100 Kg (Euro)","1995M05","Heifers 350-399kg",160.95
"10587","Cattle Price per Head (Euro)","1995M06","Heifers 350-399kg",585.78
"10588","Cattle Price per 100 Kg (Euro)","1995M06","Heifers 350-399kg",157.97
"10589","Cattle Price per Head (Euro)","1995M07","Heifers 350-399kg",552.33
"10590","Cattle Price per 100 Kg (Euro)","1995M07","Heifers 350-399kg",148.13
"10591","Cattle Price per Head (Euro)","1995M08","Heifers 350-399kg",552.23
"10592","Cattle Price per 100 Kg (Euro)","1995M08","Heifers 350-399kg",147.23
"10593","Cattle Price per Head (Euro)","1995M09","Heifers 350-399kg",524.7
"10594","Cattle Price per 100 Kg (Euro)","1995M09","Heifers 350-399kg",140.03
"10595","Cattle Price per Head (Euro)","1995M10","Heifers 350-399kg",535.57
"10596","Cattle Price per 100 Kg (Euro)","1995M10","Heifers 350-399kg",142.85
"10597","Cattle Price per Head (Euro)","1995M11","Heifers 350-399kg",541.44
"10598","Cattle Price per 100 Kg (Euro)","1995M11","Heifers 350-399kg",144.06
"10599","Cattle Price per Head (Euro)","1995M12","Heifers 350-399kg",526.71
"10600","Cattle Price per 100 Kg (Euro)","1995M12","Heifers 350-399kg",140.58
"10601","Cattle Price per Head (Euro)","1996M01","Heifers 350-399kg",540.61
"10602","Cattle Price per 100 Kg (Euro)","1996M01","Heifers 350-399kg",144.08
"10603","Cattle Price per Head (Euro)","1996M02","Heifers 350-399kg",568.17
"10604","Cattle Price per 100 Kg (Euro)","1996M02","Heifers 350-399kg",151.29
"10605","Cattle Price per Head (Euro)","1996M03","Heifers 350-399kg",564.97
"10606","Cattle Price per 100 Kg (Euro)","1996M03","Heifers 350-399kg",150.93
"10607","Cattle Price per Head (Euro)","1996M04","Heifers 350-399kg",544.94
"10608","Cattle Price per 100 Kg (Euro)","1996M04","Heifers 350-399kg",146.55
"10609","Cattle Price per Head (Euro)","1996M05","Heifers 350-399kg",530.87
"10610","Cattle Price per 100 Kg (Euro)","1996M05","Heifers 350-399kg",143.04
"10611","Cattle Price per Head (Euro)","1996M06","Heifers 350-399kg",519.06
"10612","Cattle Price per 100 Kg (Euro)","1996M06","Heifers 350-399kg",139.34
"10613","Cattle Price per Head (Euro)","1996M07","Heifers 350-399kg",477.89
"10614","Cattle Price per 100 Kg (Euro)","1996M07","Heifers 350-399kg",127.83
"10615","Cattle Price per Head (Euro)","1996M08","Heifers 350-399kg",431.86
"10616","Cattle Price per 100 Kg (Euro)","1996M08","Heifers 350-399kg",115.63
"10617","Cattle Price per Head (Euro)","1996M09","Heifers 350-399kg",435.53
"10618","Cattle Price per 100 Kg (Euro)","1996M09","Heifers 350-399kg",116.32
"10619","Cattle Price per Head (Euro)","1996M10","Heifers 350-399kg",417.74
"10620","Cattle Price per 100 Kg (Euro)","1996M10","Heifers 350-399kg",111.34
"10621","Cattle Price per Head (Euro)","1996M11","Heifers 350-399kg",450.77
"10622","Cattle Price per 100 Kg (Euro)","1996M11","Heifers 350-399kg",120.49
"10623","Cattle Price per Head (Euro)","1996M12","Heifers 350-399kg",451.95
"10624","Cattle Price per 100 Kg (Euro)","1996M12","Heifers 350-399kg",120.36
"10625","Cattle Price per Head (Euro)","1997M01","Heifers 350-399kg",469.55
"10626","Cattle Price per 100 Kg (Euro)","1997M01","Heifers 350-399kg",125.2
"10627","Cattle Price per Head (Euro)","1997M02","Heifers 350-399kg",466.25
"10628","Cattle Price per 100 Kg (Euro)","1997M02","Heifers 350-399kg",124.79
"10629","Cattle Price per Head (Euro)","1997M03","Heifers 350-399kg",503.66
"10630","Cattle Price per 100 Kg (Euro)","1997M03","Heifers 350-399kg",134.87
"10631","Cattle Price per Head (Euro)","1997M04","Heifers 350-399kg",498.42
"10632","Cattle Price per 100 Kg (Euro)","1997M04","Heifers 350-399kg",134
"10633","Cattle Price per Head (Euro)","1997M05","Heifers 350-399kg",495.95
"10634","Cattle Price per 100 Kg (Euro)","1997M05","Heifers 350-399kg",132.8
"10635","Cattle Price per Head (Euro)","1997M06","Heifers 350-399kg",505.18
"10636","Cattle Price per 100 Kg (Euro)","1997M06","Heifers 350-399kg",135.42
"10637","Cattle Price per Head (Euro)","1997M07","Heifers 350-399kg",486.36
"10638","Cattle Price per 100 Kg (Euro)","1997M07","Heifers 350-399kg",129.92
"10639","Cattle Price per Head (Euro)","1997M08","Heifers 350-399kg",472.37
"10640","Cattle Price per 100 Kg (Euro)","1997M08","Heifers 350-399kg",126.52
"10641","Cattle Price per Head (Euro)","1997M09","Heifers 350-399kg",449.57
"10642","Cattle Price per 100 Kg (Euro)","1997M09","Heifers 350-399kg",120.11
"10643","Cattle Price per Head (Euro)","1997M10","Heifers 350-399kg",457.66
"10644","Cattle Price per 100 Kg (Euro)","1997M10","Heifers 350-399kg",122.71
"10645","Cattle Price per Head (Euro)","1997M11","Heifers 350-399kg",446.3
"10646","Cattle Price per 100 Kg (Euro)","1997M11","Heifers 350-399kg",118.81
"10647","Cattle Price per Head (Euro)","1997M12","Heifers 350-399kg",428.55
"10648","Cattle Price per 100 Kg (Euro)","1997M12","Heifers 350-399kg",114.32
"10649","Cattle Price per Head (Euro)","1998M01","Heifers 350-399kg",447.19
"10650","Cattle Price per 100 Kg (Euro)","1998M01","Heifers 350-399kg",118.85
"10651","Cattle Price per Head (Euro)","1998M02","Heifers 350-399kg",458.13
