"","Statistic","Year","Type.of.Cattle","value"
"158","Cattle Price per 100 Kg (Euro)","1978","Bullocks 300-349kg",102.35
"159","Cattle Price per Head (Euro)","1979","Bullocks 300-349kg",360.36
"160","Cattle Price per 100 Kg (Euro)","1979","Bullocks 300-349kg",111.2
"161","Cattle Price per Head (Euro)","1980","Bullocks 300-349kg",331.33
"162","Cattle Price per 100 Kg (Euro)","1980","Bullocks 300-349kg",102.01
"163","Cattle Price per Head (Euro)","1981","Bullocks 300-349kg",412.39
"164","Cattle Price per 100 Kg (Euro)","1981","Bullocks 300-349kg",127.09
"165","Cattle Price per Head (Euro)","1982","Bullocks 300-349kg",464.32
"166","Cattle Price per 100 Kg (Euro)","1982","Bullocks 300-349kg",143.19
"167","Cattle Price per Head (Euro)","1983","Bullocks 300-349kg",507.67
"168","Cattle Price per 100 Kg (Euro)","1983","Bullocks 300-349kg",156.5
"169","Cattle Price per Head (Euro)","1984","Bullocks 300-349kg",530.15
"170","Cattle Price per 100 Kg (Euro)","1984","Bullocks 300-349kg",163.22
"171","Cattle Price per Head (Euro)","1985","Bullocks 300-349kg",535.26
"172","Cattle Price per 100 Kg (Euro)","1985","Bullocks 300-349kg",164.72
"173","Cattle Price per Head (Euro)","1986","Bullocks 300-349kg",483.94
"174","Cattle Price per 100 Kg (Euro)","1986","Bullocks 300-349kg",148.71
"175","Cattle Price per Head (Euro)","1987","Bullocks 300-349kg",545.36
"176","Cattle Price per 100 Kg (Euro)","1987","Bullocks 300-349kg",167.83
"177","Cattle Price per Head (Euro)","1988","Bullocks 300-349kg",660.1
"178","Cattle Price per 100 Kg (Euro)","1988","Bullocks 300-349kg",203.12
"179","Cattle Price per Head (Euro)","1989","Bullocks 300-349kg",656.68
"180","Cattle Price per 100 Kg (Euro)","1989","Bullocks 300-349kg",202.09
"181","Cattle Price per Head (Euro)","1990","Bullocks 300-349kg",551.17
"182","Cattle Price per 100 Kg (Euro)","1990","Bullocks 300-349kg",169.47
"183","Cattle Price per Head (Euro)","1991","Bullocks 300-349kg",506.12
"184","Cattle Price per 100 Kg (Euro)","1991","Bullocks 300-349kg",155.61
"185","Cattle Price per Head (Euro)","1992","Bullocks 300-349kg",520.49
"186","Cattle Price per 100 Kg (Euro)","1992","Bullocks 300-349kg",160.41
"187","Cattle Price per Head (Euro)","1993","Bullocks 300-349kg",570.58
"188","Cattle Price per 100 Kg (Euro)","1993","Bullocks 300-349kg",175.81
"189","Cattle Price per Head (Euro)","1994","Bullocks 300-349kg",579.46
"190","Cattle Price per 100 Kg (Euro)","1994","Bullocks 300-349kg",182.28
"191","Cattle Price per Head (Euro)","1995","Bullocks 300-349kg",587.07
"192","Cattle Price per 100 Kg (Euro)","1995","Bullocks 300-349kg",180.34
"193","Cattle Price per Head (Euro)","1996","Bullocks 300-349kg",518.37
"194","Cattle Price per 100 Kg (Euro)","1996","Bullocks 300-349kg",158.66
"195","Cattle Price per Head (Euro)","1997","Bullocks 300-349kg",507.27
