"","Year","Statistic","value"
"448","1996","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",106.8
"449","1997","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",104
"450","1998","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",104.8
"451","1999","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",103.8
"452","2000","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",100
"453","2001","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",106.3
"454","2002","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",94.3
"455","2003","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",96.8
"456","2004","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",94.8
"457","2005","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",96.3
"458","2006","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",94.6
"459","2007","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",91.9
"460","2008","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",86.7
"461","2009","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",83.8
"462","2010","Intermediate Consumption - Maintenance and Repairs (Base 2000=100)",85.1
"463","1990","Intermediate Consumption - Other Goods and Services (Base 2000=100)",88
"464","1991","Intermediate Consumption - Other Goods and Services (Base 2000=100)",83.8
"465","1992","Intermediate Consumption - Other Goods and Services (Base 2000=100)",80
"466","1993","Intermediate Consumption - Other Goods and Services (Base 2000=100)",82.9
"467","1994","Intermediate Consumption - Other Goods and Services (Base 2000=100)",83.3
"468","1995","Intermediate Consumption - Other Goods and Services (Base 2000=100)",87.9
"469","1996","Intermediate Consumption - Other Goods and Services (Base 2000=100)",100.6
"470","1997","Intermediate Consumption - Other Goods and Services (Base 2000=100)",96.2
"471","1998","Intermediate Consumption - Other Goods and Services (Base 2000=100)",96.7
"472","1999","Intermediate Consumption - Other Goods and Services (Base 2000=100)",97.1
"473","2000","Intermediate Consumption - Other Goods and Services (Base 2000=100)",100
"474","2001","Intermediate Consumption - Other Goods and Services (Base 2000=100)",103.3
"475","2002","Intermediate Consumption - Other Goods and Services (Base 2000=100)",95.8
"476","2003","Intermediate Consumption - Other Goods and Services (Base 2000=100)",94.7
"477","2004","Intermediate Consumption - Other Goods and Services (Base 2000=100)",95.6
"478","2005","Intermediate Consumption - Other Goods and Services (Base 2000=100)",102.8
"479","2006","Intermediate Consumption - Other Goods and Services (Base 2000=100)",105.9
"480","2007","Intermediate Consumption - Other Goods and Services (Base 2000=100)",108.2
"481","2008","Intermediate Consumption - Other Goods and Services (Base 2000=100)",109
"482","2009","Intermediate Consumption - Other Goods and Services (Base 2000=100)",107.7
"483","2010","Intermediate Consumption - Other Goods and Services (Base 2000=100)",108.7
"484","1990","Intermediate Consumption - Crop Protection Products (Base 2000=100)",81.5
"485","1991","Intermediate Consumption - Crop Protection Products (Base 2000=100)",84.2
"486","1992","Intermediate Consumption - Crop Protection Products (Base 2000=100)",91.3
"487","1993","Intermediate Consumption - Crop Protection Products (Base 2000=100)",92.1
"488","1994","Intermediate Consumption - Crop Protection Products (Base 2000=100)",89.8
"489","1995","Intermediate Consumption - Crop Protection Products (Base 2000=100)",91.7
"490","1996","Intermediate Consumption - Crop Protection Products (Base 2000=100)",98.7
"491","1997","Intermediate Consumption - Crop Protection Products (Base 2000=100)",102.8
"492","1998","Intermediate Consumption - Crop Protection Products (Base 2000=100)",106.5
"493","1999","Intermediate Consumption - Crop Protection Products (Base 2000=100)",103.2
"494","2000","Intermediate Consumption - Crop Protection Products (Base 2000=100)",100
"495","2001","Intermediate Consumption - Crop Protection Products (Base 2000=100)",89.1
"496","2002","Intermediate Consumption - Crop Protection Products (Base 2000=100)",106.7
"497","2003","Intermediate Consumption - Crop Protection Products (Base 2000=100)",95.2
"498","2004","Intermediate Consumption - Crop Protection Products (Base 2000=100)",92.9
"499","2005","Intermediate Consumption - Crop Protection Products (Base 2000=100)",80.8
"500","2006","Intermediate Consumption - Crop Protection Products (Base 2000=100)",67.8
"501","2007","Intermediate Consumption - Crop Protection Products (Base 2000=100)",74.4
"502","2008","Intermediate Consumption - Crop Protection Products (Base 2000=100)",81.6
"503","2009","Intermediate Consumption - Crop Protection Products (Base 2000=100)",67.3
"504","2010","Intermediate Consumption - Crop Protection Products (Base 2000=100)",69.2
"505","1990","Intermediate Consumption - Veterinary Expenses (Euro Million)",82.9
"506","1991","Intermediate Consumption - Veterinary Expenses (Euro Million)",86.4
"507","1992","Intermediate Consumption - Veterinary Expenses (Euro Million)",85
"508","1993","Intermediate Consumption - Veterinary Expenses (Euro Million)",87.9
"509","1994","Intermediate Consumption - Veterinary Expenses (Euro Million)",89.6
"510","1995","Intermediate Consumption - Veterinary Expenses (Euro Million)",89.9
"511","1996","Intermediate Consumption - Veterinary Expenses (Euro Million)",104.6
"512","1997","Intermediate Consumption - Veterinary Expenses (Euro Million)",104.9
"513","1998","Intermediate Consumption - Veterinary Expenses (Euro Million)",104
"514","1999","Intermediate Consumption - Veterinary Expenses (Euro Million)",98.9
"515","2000","Intermediate Consumption - Veterinary Expenses (Euro Million)",100
"516","2001","Intermediate Consumption - Veterinary Expenses (Euro Million)",106.2
"517","2002","Intermediate Consumption - Veterinary Expenses (Euro Million)",103.8
"518","2003","Intermediate Consumption - Veterinary Expenses (Euro Million)",98.7
"519","2004","Intermediate Consumption - Veterinary Expenses (Euro Million)",100.6
"520","2005","Intermediate Consumption - Veterinary Expenses (Euro Million)",103.1
"521","2006","Intermediate Consumption - Veterinary Expenses (Euro Million)",101.2
"522","2007","Intermediate Consumption - Veterinary Expenses (Euro Million)",96.7
"523","2008","Intermediate Consumption - Veterinary Expenses (Euro Million)",94.4
"524","2009","Intermediate Consumption - Veterinary Expenses (Euro Million)",95.8
"525","2010","Intermediate Consumption - Veterinary Expenses (Euro Million)",96
"526","1990","Gross Value Added at Basic Prices (Base 2000=100)",101.9
"527","1991","Gross Value Added at Basic Prices (Base 2000=100)",104.1
"528","1992","Gross Value Added at Basic Prices (Base 2000=100)",107.3
"529","1993","Gross Value Added at Basic Prices (Base 2000=100)",101.8
"530","1994","Gross Value Added at Basic Prices (Base 2000=100)",96.2
"531","1995","Gross Value Added at Basic Prices (Base 2000=100)",105.1
"532","1996","Gross Value Added at Basic Prices (Base 2000=100)",110.2
"533","1997","Gross Value Added at Basic Prices (Base 2000=100)",111.8
"534","1998","Gross Value Added at Basic Prices (Base 2000=100)",110.4
"535","1999","Gross Value Added at Basic Prices (Base 2000=100)",102.6
"536","2000","Gross Value Added at Basic Prices (Base 2000=100)",100
"537","2001","Gross Value Added at Basic Prices (Base 2000=100)",94.5
"538","2002","Gross Value Added at Basic Prices (Base 2000=100)",89.9
"539","2003","Gross Value Added at Basic Prices (Base 2000=100)",96.2
"540","2004","Gross Value Added at Basic Prices (Base 2000=100)",108.2
"541","2005","Gross Value Added at Basic Prices (Base 2000=100)",87.4
"542","2006","Gross Value Added at Basic Prices (Base 2000=100)",60.4
"543","2007","Gross Value Added at Basic Prices (Base 2000=100)",62.9
"544","2008","Gross Value Added at Basic Prices (Base 2000=100)",64.4
"545","2009","Gross Value Added at Basic Prices (Base 2000=100)",60.9
"546","2010","Gross Value Added at Basic Prices (Base 2000=100)",61.5
