"","Region","Year","Type.of.Animal","value"
"1369","State","1988","Other cattle male: 2 years and over",792.7
"1370","Midlands and East","1988","Other cattle male: 2 years and over",224.9
"1371","South-East (IRL)","1988","Other cattle male: 2 years and over",175.6
"1372","South-West (IRL)","1988","Other cattle male: 2 years and over",120.6
"1373","West","1988","Other cattle male: 2 years and over",171.1
"1374","North West","1988","Other cattle male: 2 years and over",100.5
"1375","State","1989","Other cattle male: 2 years and over",813.4
"1376","Midlands and East","1989","Other cattle male: 2 years and over",234.5
"1377","South-East (IRL)","1989","Other cattle male: 2 years and over",179
"1378","South-West (IRL)","1989","Other cattle male: 2 years and over",133.8
"1379","West","1989","Other cattle male: 2 years and over",165.6
"1380","North West","1989","Other cattle male: 2 years and over",100.5
"1381","State","1990","Other cattle male: 2 years and over",826.4
"1382","Midlands and East","1990","Other cattle male: 2 years and over",237.3
"1383","South-East (IRL)","1990","Other cattle male: 2 years and over",185
"1384","South-West (IRL)","1990","Other cattle male: 2 years and over",131.4
"1385","West","1990","Other cattle male: 2 years and over",171.3
"1386","North West","1990","Other cattle male: 2 years and over",101.5
"1387","State","1991","Other cattle male: 2 years and over",797.5
"1388","Midlands and East","1991","Other cattle male: 2 years and over",224.6
"1389","South-East (IRL)","1991","Other cattle male: 2 years and over",185.2
"1390","South-West (IRL)","1991","Other cattle male: 2 years and over",129.3
"1391","West","1991","Other cattle male: 2 years and over",164.6
"1392","North West","1991","Other cattle male: 2 years and over",93.7
"1393","State","1992","Other cattle male: 2 years and over",829.6
"1394","Midlands and East","1992","Other cattle male: 2 years and over",228.4
"1395","South-East (IRL)","1992","Other cattle male: 2 years and over",198
"1396","South-West (IRL)","1992","Other cattle male: 2 years and over",138
"1397","West","1992","Other cattle male: 2 years and over",170.6
"1398","North West","1992","Other cattle male: 2 years and over",94.5
"1399","State","1993","Other cattle male: 2 years and over",773.2
"1400","Midlands and East","1993","Other cattle male: 2 years and over",216.3
"1401","South-East (IRL)","1993","Other cattle male: 2 years and over",181.6
"1402","South-West (IRL)","1993","Other cattle male: 2 years and over",124.8
"1403","West","1993","Other cattle male: 2 years and over",160.9
"1404","North West","1993","Other cattle male: 2 years and over",89.7
"1405","State","1994","Other cattle male: 2 years and over",739.8
"1406","Midlands and East","1994","Other cattle male: 2 years and over",205.9
"1407","South-East (IRL)","1994","Other cattle male: 2 years and over",172.8
"1408","South-West (IRL)","1994","Other cattle male: 2 years and over",122.2
"1409","West","1994","Other cattle male: 2 years and over",149.2
"1410","North West","1994","Other cattle male: 2 years and over",89.6
"1411","State","1995","Other cattle male: 2 years and over",711.6
"1412","Midlands and East","1995","Other cattle male: 2 years and over",197.9
"1413","South-East (IRL)","1995","Other cattle male: 2 years and over",166.3
"1414","South-West (IRL)","1995","Other cattle male: 2 years and over",118.8
"1415","West","1995","Other cattle male: 2 years and over",150.1
"1416","North West","1995","Other cattle male: 2 years and over",78.5
"1417","State","1996","Other cattle male: 2 years and over",732.2
"1418","Midlands and East","1996","Other cattle male: 2 years and over",196.6
"1419","South-East (IRL)","1996","Other cattle male: 2 years and over",176.6
"1420","South-West (IRL)","1996","Other cattle male: 2 years and over",120.2
"1421","West","1996","Other cattle male: 2 years and over",157.4
"1422","North West","1996","Other cattle male: 2 years and over",81.4
"1423","State","1997","Other cattle male: 2 years and over",690.2
"1424","Midlands and East","1997","Other cattle male: 2 years and over",181.1
"1425","South-East (IRL)","1997","Other cattle male: 2 years and over",163.3
"1426","South-West (IRL)","1997","Other cattle male: 2 years and over",122.4
"1427","West","1997","Other cattle male: 2 years and over",147.3
"1428","North West","1997","Other cattle male: 2 years and over",76.1
"1429","State","1998","Other cattle male: 2 years and over",708.1
"1430","Midlands and East","1998","Other cattle male: 2 years and over",184.3
"1431","South-East (IRL)","1998","Other cattle male: 2 years and over",163.6
"1432","South-West (IRL)","1998","Other cattle male: 2 years and over",131
"1433","West","1998","Other cattle male: 2 years and over",146.5
"1434","North West","1998","Other cattle male: 2 years and over",82.7
"1435","State","1999","Other cattle male: 2 years and over",736.7
"1436","Midlands and East","1999","Other cattle male: 2 years and over",195.4
"1437","South-East (IRL)","1999","Other cattle male: 2 years and over",177.9
"1438","South-West (IRL)","1999","Other cattle male: 2 years and over",141.2
"1439","West","1999","Other cattle male: 2 years and over",144.8
"1440","North West","1999","Other cattle male: 2 years and over",77.4
"1441","State","1980","Other cattle female: 2 years and over",388.7
"1442","Midlands and East","1980","Other cattle female: 2 years and over",90.8
"1443","South-East (IRL)","1980","Other cattle female: 2 years and over",78.3
"1444","South-West (IRL)","1980","Other cattle female: 2 years and over",82.3
"1445","West","1980","Other cattle female: 2 years and over",88.9
"1446","North West","1980","Other cattle female: 2 years and over",48.5
"1447","State","1981","Other cattle female: 2 years and over",368.6
"1448","Midlands and East","1981","Other cattle female: 2 years and over",84.7
"1449","South-East (IRL)","1981","Other cattle female: 2 years and over",73.9
"1450","South-West (IRL)","1981","Other cattle female: 2 years and over",80
"1451","West","1981","Other cattle female: 2 years and over",85.5
"1452","North West","1981","Other cattle female: 2 years and over",44.5
"1453","State","1982","Other cattle female: 2 years and over",352
"1454","Midlands and East","1982","Other cattle female: 2 years and over",82.3
"1455","South-East (IRL)","1982","Other cattle female: 2 years and over",70.9
"1456","South-West (IRL)","1982","Other cattle female: 2 years and over",79.2
"1457","West","1982","Other cattle female: 2 years and over",78.5
"1458","North West","1982","Other cattle female: 2 years and over",41.2
"1459","State","1983","Other cattle female: 2 years and over",349.3
"1460","Midlands and East","1983","Other cattle female: 2 years and over",82.3
"1461","South-East (IRL)","1983","Other cattle female: 2 years and over",72.3
"1462","South-West (IRL)","1983","Other cattle female: 2 years and over",78.9
"1463","West","1983","Other cattle female: 2 years and over",75.6
"1464","North West","1983","Other cattle female: 2 years and over",40.1
"1465","State","1984","Other cattle female: 2 years and over",336.8
"1466","Midlands and East","1984","Other cattle female: 2 years and over",77.9
"1467","South-East (IRL)","1984","Other cattle female: 2 years and over",69.5
"1468","South-West (IRL)","1984","Other cattle female: 2 years and over",75.1
"1469","West","1984","Other cattle female: 2 years and over",74.6
"1470","North West","1984","Other cattle female: 2 years and over",39.6
"1471","State","1985","Other cattle female: 2 years and over",328.3
"1472","Midlands and East","1985","Other cattle female: 2 years and over",76.7
"1473","South-East (IRL)","1985","Other cattle female: 2 years and over",67.6
"1474","South-West (IRL)","1985","Other cattle female: 2 years and over",73.1
"1475","West","1985","Other cattle female: 2 years and over",74.8
"1476","North West","1985","Other cattle female: 2 years and over",36.1
"1477","State","1986","Other cattle female: 2 years and over",303.4
"1478","Midlands and East","1986","Other cattle female: 2 years and over",68.1
"1479","South-East (IRL)","1986","Other cattle female: 2 years and over",63.6
"1480","South-West (IRL)","1986","Other cattle female: 2 years and over",69.7
"1481","West","1986","Other cattle female: 2 years and over",67.7
"1482","North West","1986","Other cattle female: 2 years and over",34.3
"1483","State","1987","Other cattle female: 2 years and over",285.4
"1484","Midlands and East","1987","Other cattle female: 2 years and over",67.1
"1485","South-East (IRL)","1987","Other cattle female: 2 years and over",58.1
"1486","South-West (IRL)","1987","Other cattle female: 2 years and over",64.4
"1487","West","1987","Other cattle female: 2 years and over",63.2
"1488","North West","1987","Other cattle female: 2 years and over",32.6
"1489","State","1988","Other cattle female: 2 years and over",265.5
"1490","Midlands and East","1988","Other cattle female: 2 years and over",62
"1491","South-East (IRL)","1988","Other cattle female: 2 years and over",54.2
"1492","South-West (IRL)","1988","Other cattle female: 2 years and over",56.2
"1493","West","1988","Other cattle female: 2 years and over",59.8
"1494","North West","1988","Other cattle female: 2 years and over",33.3
"1495","State","1989","Other cattle female: 2 years and over",248.2
"1496","Midlands and East","1989","Other cattle female: 2 years and over",61.6
"1497","South-East (IRL)","1989","Other cattle female: 2 years and over",50.3
"1498","South-West (IRL)","1989","Other cattle female: 2 years and over",53.9
"1499","West","1989","Other cattle female: 2 years and over",53.2
"1500","North West","1989","Other cattle female: 2 years and over",29.2
"1501","State","1990","Other cattle female: 2 years and over",266.2
"1502","Midlands and East","1990","Other cattle female: 2 years and over",67.4
"1503","South-East (IRL)","1990","Other cattle female: 2 years and over",52.1
"1504","South-West (IRL)","1990","Other cattle female: 2 years and over",56.1
"1505","West","1990","Other cattle female: 2 years and over",54.5
"1506","North West","1990","Other cattle female: 2 years and over",36.1
"1507","State","1991","Other cattle female: 2 years and over",301.3
"1508","Midlands and East","1991","Other cattle female: 2 years and over",83.7
"1509","South-East (IRL)","1991","Other cattle female: 2 years and over",60.9
"1510","South-West (IRL)","1991","Other cattle female: 2 years and over",65.1
"1511","West","1991","Other cattle female: 2 years and over",53.6
"1512","North West","1991","Other cattle female: 2 years and over",38
"1513","State","1992","Other cattle female: 2 years and over",322.2
"1514","Midlands and East","1992","Other cattle female: 2 years and over",85.7
"1515","South-East (IRL)","1992","Other cattle female: 2 years and over",65.7
"1516","South-West (IRL)","1992","Other cattle female: 2 years and over",68.4
"1517","West","1992","Other cattle female: 2 years and over",59.8
"1518","North West","1992","Other cattle female: 2 years and over",42.6
"1519","State","1993","Other cattle female: 2 years and over",304.7
"1520","Midlands and East","1993","Other cattle female: 2 years and over",81.3
"1521","South-East (IRL)","1993","Other cattle female: 2 years and over",62.5
"1522","South-West (IRL)","1993","Other cattle female: 2 years and over",60.6
"1523","West","1993","Other cattle female: 2 years and over",58.4
"1524","North West","1993","Other cattle female: 2 years and over",41.9
"1525","State","1994","Other cattle female: 2 years and over",318
"1526","Midlands and East","1994","Other cattle female: 2 years and over",87.2
"1527","South-East (IRL)","1994","Other cattle female: 2 years and over",68.2
"1528","South-West (IRL)","1994","Other cattle female: 2 years and over",63.3
"1529","West","1994","Other cattle female: 2 years and over",58.3
"1530","North West","1994","Other cattle female: 2 years and over",41.1
"1531","State","1995","Other cattle female: 2 years and over",311.3
"1532","Midlands and East","1995","Other cattle female: 2 years and over",90
"1533","South-East (IRL)","1995","Other cattle female: 2 years and over",62.8
"1534","South-West (IRL)","1995","Other cattle female: 2 years and over",58
"1535","West","1995","Other cattle female: 2 years and over",58.8
"1536","North West","1995","Other cattle female: 2 years and over",41.7
"1537","State","1996","Other cattle female: 2 years and over",304
"1538","Midlands and East","1996","Other cattle female: 2 years and over",85.9
"1539","South-East (IRL)","1996","Other cattle female: 2 years and over",60.3
"1540","South-West (IRL)","1996","Other cattle female: 2 years and over",62.3
"1541","West","1996","Other cattle female: 2 years and over",56.4
"1542","North West","1996","Other cattle female: 2 years and over",39.2
"1543","State","1997","Other cattle female: 2 years and over",295.6
"1544","Midlands and East","1997","Other cattle female: 2 years and over",82
"1545","South-East (IRL)","1997","Other cattle female: 2 years and over",56.9
"1546","South-West (IRL)","1997","Other cattle female: 2 years and over",59
"1547","West","1997","Other cattle female: 2 years and over",55.6
"1548","North West","1997","Other cattle female: 2 years and over",42
"1549","State","1998","Other cattle female: 2 years and over",294
"1550","Midlands and East","1998","Other cattle female: 2 years and over",79.7
"1551","South-East (IRL)","1998","Other cattle female: 2 years and over",57.4
"1552","South-West (IRL)","1998","Other cattle female: 2 years and over",58
"1553","West","1998","Other cattle female: 2 years and over",52.6
"1554","North West","1998","Other cattle female: 2 years and over",46.3
"1555","State","1999","Other cattle female: 2 years and over",321
"1556","Midlands and East","1999","Other cattle female: 2 years and over",88.7
"1557","South-East (IRL)","1999","Other cattle female: 2 years and over",67.1
"1558","South-West (IRL)","1999","Other cattle female: 2 years and over",60.8
"1559","West","1999","Other cattle female: 2 years and over",58.8
"1560","North West","1999","Other cattle female: 2 years and over",45.6
"1561","State","1980","Other cattle: 1-2 years",1562.5
"1562","Midlands and East","1980","Other cattle: 1-2 years",294.7
"1563","South-East (IRL)","1980","Other cattle: 1-2 years",346.7
"1564","South-West (IRL)","1980","Other cattle: 1-2 years",285.4
"1565","West","1980","Other cattle: 1-2 years",388
"1566","North West","1980","Other cattle: 1-2 years",247.8
"1567","State","1981","Other cattle: 1-2 years",1547.7
"1568","Midlands and East","1981","Other cattle: 1-2 years",289.3
"1569","South-East (IRL)","1981","Other cattle: 1-2 years",343.8
"1570","South-West (IRL)","1981","Other cattle: 1-2 years",286.1
"1571","West","1981","Other cattle: 1-2 years",387
"1572","North West","1981","Other cattle: 1-2 years",241.4
"1573","State","1982","Other cattle: 1-2 years",1537.2
"1574","Midlands and East","1982","Other cattle: 1-2 years",295.1
"1575","South-East (IRL)","1982","Other cattle: 1-2 years",337.2
"1576","South-West (IRL)","1982","Other cattle: 1-2 years",281.2
"1577","West","1982","Other cattle: 1-2 years",386.4
"1578","North West","1982","Other cattle: 1-2 years",237.3
"1579","State","1983","Other cattle: 1-2 years",1547.4
"1580","Midlands and East","1983","Other cattle: 1-2 years",292.3
"1581","South-East (IRL)","1983","Other cattle: 1-2 years",349.6
"1582","South-West (IRL)","1983","Other cattle: 1-2 years",284.3
"1583","West","1983","Other cattle: 1-2 years",385.7
"1584","North West","1983","Other cattle: 1-2 years",235.4
"1585","State","1984","Other cattle: 1-2 years",1551.6
"1586","Midlands and East","1984","Other cattle: 1-2 years",298.3
"1587","South-East (IRL)","1984","Other cattle: 1-2 years",343.8
"1588","South-West (IRL)","1984","Other cattle: 1-2 years",289
"1589","West","1984","Other cattle: 1-2 years",386
"1590","North West","1984","Other cattle: 1-2 years",234.5
"1591","State","1985","Other cattle: 1-2 years",1583.9
"1592","Midlands and East","1985","Other cattle: 1-2 years",300.9
"1593","South-East (IRL)","1985","Other cattle: 1-2 years",356.3
"1594","South-West (IRL)","1985","Other cattle: 1-2 years",297.7
"1595","West","1985","Other cattle: 1-2 years",391.3
"1596","North West","1985","Other cattle: 1-2 years",237.8
"1597","State","1986","Other cattle: 1-2 years",1574.2
"1598","Midlands and East","1986","Other cattle: 1-2 years",303.1
"1599","South-East (IRL)","1986","Other cattle: 1-2 years",358.9
"1600","South-West (IRL)","1986","Other cattle: 1-2 years",302.2
"1601","West","1986","Other cattle: 1-2 years",380.6
"1602","North West","1986","Other cattle: 1-2 years",229.4
"1603","State","1987","Other cattle: 1-2 years",1580.5
"1604","Midlands and East","1987","Other cattle: 1-2 years",308
"1605","South-East (IRL)","1987","Other cattle: 1-2 years",364.2
"1606","South-West (IRL)","1987","Other cattle: 1-2 years",312.1
"1607","West","1987","Other cattle: 1-2 years",378.3
"1608","North West","1987","Other cattle: 1-2 years",217.9
"1609","State","1988","Other cattle: 1-2 years",1562.8
"1610","Midlands and East","1988","Other cattle: 1-2 years",308.7
"1611","South-East (IRL)","1988","Other cattle: 1-2 years",366.4
"1612","South-West (IRL)","1988","Other cattle: 1-2 years",306.8
"1613","West","1988","Other cattle: 1-2 years",372.6
"1614","North West","1988","Other cattle: 1-2 years",208.4
"1615","State","1989","Other cattle: 1-2 years",1599.6
"1616","Midlands and East","1989","Other cattle: 1-2 years",312.5
"1617","South-East (IRL)","1989","Other cattle: 1-2 years",381.8
"1618","South-West (IRL)","1989","Other cattle: 1-2 years",314
"1619","West","1989","Other cattle: 1-2 years",375.7
"1620","North West","1989","Other cattle: 1-2 years",215.5
"1621","State","1990","Other cattle: 1-2 years",1663.1
"1622","Midlands and East","1990","Other cattle: 1-2 years",308.7
"1623","South-East (IRL)","1990","Other cattle: 1-2 years",409.6
"1624","South-West (IRL)","1990","Other cattle: 1-2 years",347.6
"1625","West","1990","Other cattle: 1-2 years",372.8
"1626","North West","1990","Other cattle: 1-2 years",224.4
"1627","State","1991","Other cattle: 1-2 years",1692
"1628","Midlands and East","1991","Other cattle: 1-2 years",318.5
"1629","South-East (IRL)","1991","Other cattle: 1-2 years",431.4
"1630","South-West (IRL)","1991","Other cattle: 1-2 years",369.2
"1631","West","1991","Other cattle: 1-2 years",350.6
"1632","North West","1991","Other cattle: 1-2 years",222.2
"1633","State","1992","Other cattle: 1-2 years",1637.6
"1634","Midlands and East","1992","Other cattle: 1-2 years",306.2
"1635","South-East (IRL)","1992","Other cattle: 1-2 years",410
"1636","South-West (IRL)","1992","Other cattle: 1-2 years",362.4
"1637","West","1992","Other cattle: 1-2 years",337.7
"1638","North West","1992","Other cattle: 1-2 years",221.3
"1639","State","1993","Other cattle: 1-2 years",1587
"1640","Midlands and East","1993","Other cattle: 1-2 years",301
"1641","South-East (IRL)","1993","Other cattle: 1-2 years",407.6
"1642","South-West (IRL)","1993","Other cattle: 1-2 years",355.9
"1643","West","1993","Other cattle: 1-2 years",318.2
"1644","North West","1993","Other cattle: 1-2 years",204.4
"1645","State","1994","Other cattle: 1-2 years",1585.7
"1646","Midlands and East","1994","Other cattle: 1-2 years",304.1
"1647","South-East (IRL)","1994","Other cattle: 1-2 years",412.9
"1648","South-West (IRL)","1994","Other cattle: 1-2 years",341.8
"1649","West","1994","Other cattle: 1-2 years",319
"1650","North West","1994","Other cattle: 1-2 years",207.9
"1651","State","1995","Other cattle: 1-2 years",1586.1
"1652","Midlands and East","1995","Other cattle: 1-2 years",307
"1653","South-East (IRL)","1995","Other cattle: 1-2 years",410.2
"1654","South-West (IRL)","1995","Other cattle: 1-2 years",340.6
"1655","West","1995","Other cattle: 1-2 years",319.8
"1656","North West","1995","Other cattle: 1-2 years",208.4
"1657","State","1996","Other cattle: 1-2 years",1639.4
"1658","Midlands and East","1996","Other cattle: 1-2 years",315.6
"1659","South-East (IRL)","1996","Other cattle: 1-2 years",420.7
"1660","South-West (IRL)","1996","Other cattle: 1-2 years",361.8
"1661","West","1996","Other cattle: 1-2 years",329.5
"1662","North West","1996","Other cattle: 1-2 years",211.6
"1663","State","1997","Other cattle: 1-2 years",1717
"1664","Midlands and East","1997","Other cattle: 1-2 years",331
"1665","South-East (IRL)","1997","Other cattle: 1-2 years",434.1
"1666","South-West (IRL)","1997","Other cattle: 1-2 years",380.5
"1667","West","1997","Other cattle: 1-2 years",343.4
"1668","North West","1997","Other cattle: 1-2 years",227.9
"1669","State","1998","Other cattle: 1-2 years",1782.6
"1670","Midlands and East","1998","Other cattle: 1-2 years",349.6
"1671","South-East (IRL)","1998","Other cattle: 1-2 years",455.5
"1672","South-West (IRL)","1998","Other cattle: 1-2 years",396.9
"1673","West","1998","Other cattle: 1-2 years",350.3
"1674","North West","1998","Other cattle: 1-2 years",230.4
"1675","State","1999","Other cattle: 1-2 years",1706
"1676","Midlands and East","1999","Other cattle: 1-2 years",324.1
"1677","South-East (IRL)","1999","Other cattle: 1-2 years",443.1
"1678","South-West (IRL)","1999","Other cattle: 1-2 years",391.6
"1679","West","1999","Other cattle: 1-2 years",324.6
"1680","North West","1999","Other cattle: 1-2 years",222.7
"1681","State","1980","Other cattle male: 1-2 years",932.2
"1682","Midlands and East","1980","Other cattle male: 1-2 years",178.7
"1683","South-East (IRL)","1980","Other cattle male: 1-2 years",209.9
"1684","South-West (IRL)","1980","Other cattle male: 1-2 years",142.9
"1685","West","1980","Other cattle male: 1-2 years",248.1
"1686","North West","1980","Other cattle male: 1-2 years",152.6
"1687","State","1981","Other cattle male: 1-2 years",921.7
"1688","Midlands and East","1981","Other cattle male: 1-2 years",174.9
"1689","South-East (IRL)","1981","Other cattle male: 1-2 years",208.1
"1690","South-West (IRL)","1981","Other cattle male: 1-2 years",142.7
"1691","West","1981","Other cattle male: 1-2 years",247.6
"1692","North West","1981","Other cattle male: 1-2 years",148.5
"1693","State","1982","Other cattle male: 1-2 years",924.4
"1694","Midlands and East","1982","Other cattle male: 1-2 years",179.1
"1695","South-East (IRL)","1982","Other cattle male: 1-2 years",207.9
"1696","South-West (IRL)","1982","Other cattle male: 1-2 years",145.1
"1697","West","1982","Other cattle male: 1-2 years",247.9
"1698","North West","1982","Other cattle male: 1-2 years",144.4
"1699","State","1983","Other cattle male: 1-2 years",927.4
"1700","Midlands and East","1983","Other cattle male: 1-2 years",176.2
"1701","South-East (IRL)","1983","Other cattle male: 1-2 years",212.8
"1702","South-West (IRL)","1983","Other cattle male: 1-2 years",147.6
"1703","West","1983","Other cattle male: 1-2 years",247.4
"1704","North West","1983","Other cattle male: 1-2 years",143.4
"1705","State","1984","Other cattle male: 1-2 years",932.6
"1706","Midlands and East","1984","Other cattle male: 1-2 years",178.5
"1707","South-East (IRL)","1984","Other cattle male: 1-2 years",212.6
"1708","South-West (IRL)","1984","Other cattle male: 1-2 years",152.6
"1709","West","1984","Other cattle male: 1-2 years",245
"1710","North West","1984","Other cattle male: 1-2 years",143.9
"1711","State","1985","Other cattle male: 1-2 years",949.4
"1712","Midlands and East","1985","Other cattle male: 1-2 years",178.8
"1713","South-East (IRL)","1985","Other cattle male: 1-2 years",220.6
"1714","South-West (IRL)","1985","Other cattle male: 1-2 years",157.1
"1715","West","1985","Other cattle male: 1-2 years",246.4
"1716","North West","1985","Other cattle male: 1-2 years",146.5
"1717","State","1986","Other cattle male: 1-2 years",942.4
"1718","Midlands and East","1986","Other cattle male: 1-2 years",177.8
"1719","South-East (IRL)","1986","Other cattle male: 1-2 years",221.4
"1720","South-West (IRL)","1986","Other cattle male: 1-2 years",164.7
"1721","West","1986","Other cattle male: 1-2 years",240.5
"1722","North West","1986","Other cattle male: 1-2 years",138
"1723","State","1987","Other cattle male: 1-2 years",948.5
"1724","Midlands and East","1987","Other cattle male: 1-2 years",178.4
"1725","South-East (IRL)","1987","Other cattle male: 1-2 years",227.6
"1726","South-West (IRL)","1987","Other cattle male: 1-2 years",174.8
"1727","West","1987","Other cattle male: 1-2 years",236.9
"1728","North West","1987","Other cattle male: 1-2 years",130.8
"1729","State","1988","Other cattle male: 1-2 years",936
"1730","Midlands and East","1988","Other cattle male: 1-2 years",177
"1731","South-East (IRL)","1988","Other cattle male: 1-2 years",231
"1732","South-West (IRL)","1988","Other cattle male: 1-2 years",173.6
"1733","West","1988","Other cattle male: 1-2 years",229.9
"1734","North West","1988","Other cattle male: 1-2 years",124.6
"1735","State","1989","Other cattle male: 1-2 years",954.3
"1736","Midlands and East","1989","Other cattle male: 1-2 years",186.1
"1737","South-East (IRL)","1989","Other cattle male: 1-2 years",240.4
"1738","South-West (IRL)","1989","Other cattle male: 1-2 years",176.1
"1739","West","1989","Other cattle male: 1-2 years",227.5
"1740","North West","1989","Other cattle male: 1-2 years",124.1
"1741","State","1990","Other cattle male: 1-2 years",985.8
"1742","Midlands and East","1990","Other cattle male: 1-2 years",179.7
"1743","South-East (IRL)","1990","Other cattle male: 1-2 years",254.9
"1744","South-West (IRL)","1990","Other cattle male: 1-2 years",199.8
"1745","West","1990","Other cattle male: 1-2 years",223.4
"1746","North West","1990","Other cattle male: 1-2 years",128
"1747","State","1991","Other cattle male: 1-2 years",981.1
"1748","Midlands and East","1991","Other cattle male: 1-2 years",177.4
"1749","South-East (IRL)","1991","Other cattle male: 1-2 years",259.4
"1750","South-West (IRL)","1991","Other cattle male: 1-2 years",205
"1751","West","1991","Other cattle male: 1-2 years",213.5
"1752","North West","1991","Other cattle male: 1-2 years",125.7
"1753","State","1992","Other cattle male: 1-2 years",981.6
"1754","Midlands and East","1992","Other cattle male: 1-2 years",173.6
"1755","South-East (IRL)","1992","Other cattle male: 1-2 years",256.9
"1756","South-West (IRL)","1992","Other cattle male: 1-2 years",210.4
"1757","West","1992","Other cattle male: 1-2 years",212.6
"1758","North West","1992","Other cattle male: 1-2 years",128.1
"1759","State","1993","Other cattle male: 1-2 years",957.5
"1760","Midlands and East","1993","Other cattle male: 1-2 years",169.8
"1761","South-East (IRL)","1993","Other cattle male: 1-2 years",252.9
"1762","South-West (IRL)","1993","Other cattle male: 1-2 years",215.2
"1763","West","1993","Other cattle male: 1-2 years",199
"1764","North West","1993","Other cattle male: 1-2 years",120.5
"1765","State","1994","Other cattle male: 1-2 years",952
"1766","Midlands and East","1994","Other cattle male: 1-2 years",172.7
"1767","South-East (IRL)","1994","Other cattle male: 1-2 years",255.6
"1768","South-West (IRL)","1994","Other cattle male: 1-2 years",204.7
"1769","West","1994","Other cattle male: 1-2 years",199.3
"1770","North West","1994","Other cattle male: 1-2 years",119.6
"1771","State","1995","Other cattle male: 1-2 years",964.4
"1772","Midlands and East","1995","Other cattle male: 1-2 years",174.4
"1773","South-East (IRL)","1995","Other cattle male: 1-2 years",257.7
"1774","South-West (IRL)","1995","Other cattle male: 1-2 years",206
"1775","West","1995","Other cattle male: 1-2 years",202.2
"1776","North West","1995","Other cattle male: 1-2 years",124.2
"1777","State","1996","Other cattle male: 1-2 years",996.2
"1778","Midlands and East","1996","Other cattle male: 1-2 years",179.9
"1779","South-East (IRL)","1996","Other cattle male: 1-2 years",266.1
"1780","South-West (IRL)","1996","Other cattle male: 1-2 years",218.7
"1781","West","1996","Other cattle male: 1-2 years",204.1
"1782","North West","1996","Other cattle male: 1-2 years",127.4
"1783","State","1997","Other cattle male: 1-2 years",1054.7
"1784","Midlands and East","1997","Other cattle male: 1-2 years",191.8
"1785","South-East (IRL)","1997","Other cattle male: 1-2 years",275.5
"1786","South-West (IRL)","1997","Other cattle male: 1-2 years",234.4
"1787","West","1997","Other cattle male: 1-2 years",214.2
"1788","North West","1997","Other cattle male: 1-2 years",138.8
"1789","State","1998","Other cattle male: 1-2 years",1085.6
"1790","Midlands and East","1998","Other cattle male: 1-2 years",200.4
"1791","South-East (IRL)","1998","Other cattle male: 1-2 years",284.1
"1792","South-West (IRL)","1998","Other cattle male: 1-2 years",243.4
"1793","West","1998","Other cattle male: 1-2 years",216.8
"1794","North West","1998","Other cattle male: 1-2 years",140.8
"1795","State","1999","Other cattle male: 1-2 years",1039
"1796","Midlands and East","1999","Other cattle male: 1-2 years",187.9
"1797","South-East (IRL)","1999","Other cattle male: 1-2 years",276.2
"1798","South-West (IRL)","1999","Other cattle male: 1-2 years",238.8
"1799","West","1999","Other cattle male: 1-2 years",202.2
"1800","North West","1999","Other cattle male: 1-2 years",133.9
"1801","State","1980","Other cattle female: 1-2 years",630.3
"1802","Midlands and East","1980","Other cattle female: 1-2 years",116
"1803","South-East (IRL)","1980","Other cattle female: 1-2 years",136.8
"1804","South-West (IRL)","1980","Other cattle female: 1-2 years",142.5
"1805","West","1980","Other cattle female: 1-2 years",139.9
"1806","North West","1980","Other cattle female: 1-2 years",95.2
"1807","State","1981","Other cattle female: 1-2 years",625.9
"1808","Midlands and East","1981","Other cattle female: 1-2 years",114.4
"1809","South-East (IRL)","1981","Other cattle female: 1-2 years",135.7
"1810","South-West (IRL)","1981","Other cattle female: 1-2 years",143.5
"1811","West","1981","Other cattle female: 1-2 years",139.4
"1812","North West","1981","Other cattle female: 1-2 years",92.9
"1813","State","1982","Other cattle female: 1-2 years",612.9
"1814","Midlands and East","1982","Other cattle female: 1-2 years",116
"1815","South-East (IRL)","1982","Other cattle female: 1-2 years",129.3
"1816","South-West (IRL)","1982","Other cattle female: 1-2 years",136.1
"1817","West","1982","Other cattle female: 1-2 years",138.5
"1818","North West","1982","Other cattle female: 1-2 years",92.9
"1819","State","1983","Other cattle female: 1-2 years",620
"1820","Midlands and East","1983","Other cattle female: 1-2 years",116.2
"1821","South-East (IRL)","1983","Other cattle female: 1-2 years",136.8
"1822","South-West (IRL)","1983","Other cattle female: 1-2 years",136.6
"1823","West","1983","Other cattle female: 1-2 years",138.3
"1824","North West","1983","Other cattle female: 1-2 years",92.1
"1825","State","1984","Other cattle female: 1-2 years",619
"1826","Midlands and East","1984","Other cattle female: 1-2 years",119.8
"1827","South-East (IRL)","1984","Other cattle female: 1-2 years",131.2
"1828","South-West (IRL)","1984","Other cattle female: 1-2 years",136.4
"1829","West","1984","Other cattle female: 1-2 years",141
"1830","North West","1984","Other cattle female: 1-2 years",90.6
"1831","State","1985","Other cattle female: 1-2 years",634.5
"1832","Midlands and East","1985","Other cattle female: 1-2 years",122.1
"1833","South-East (IRL)","1985","Other cattle female: 1-2 years",135.7
"1834","South-West (IRL)","1985","Other cattle female: 1-2 years",140.6
"1835","West","1985","Other cattle female: 1-2 years",144.9
