"","Year","Region","Type.of.Animal","value"
"1","2005","State","Total cattle",6991.8
"2","2006","State","Total cattle",6977.8
"3","2007","State","Total cattle",6890.9
"4","2008","State","Total cattle",6902.1
"5","2009","State","Total cattle",6890.7
"6","2010","State","Total cattle",6606.6
"7","2011","State","Total cattle",6493
"8","2012","State","Total cattle",6754.1
"9","2013","State","Total cattle",6902.6
"10","2005","Dublin plus Mid East","Total cattle",597.1
"11","2006","Dublin plus Mid East","Total cattle",592.6
"12","2007","Dublin plus Mid East","Total cattle",581.9
"13","2008","Dublin plus Mid East","Total cattle",574.5
"14","2009","Dublin plus Mid East","Total cattle",576.3
"15","2010","Dublin plus Mid East","Total cattle",563
"16","2011","Dublin plus Mid East","Total cattle",546.6
"17","2012","Dublin plus Mid East","Total cattle",560.6
"18","2013","Dublin plus Mid East","Total cattle",580.5
"19","2005","Border","Total cattle",933.5
"20","2006","Border","Total cattle",925.3
"21","2007","Border","Total cattle",921.1
"22","2008","Border","Total cattle",918.3
"23","2009","Border","Total cattle",908.7
"24","2010","Border","Total cattle",875.8
"25","2011","Border","Total cattle",856.1
"26","2012","Border","Total cattle",883.7
"27","2013","Border","Total cattle",893.7
"28","2005","Midland","Total cattle",801.6
"29","2006","Midland","Total cattle",814
"30","2007","Midland","Total cattle",801
"31","2008","Midland","Total cattle",799
"32","2009","Midland","Total cattle",798.9
"33","2010","Midland","Total cattle",768.1
"34","2011","Midland","Total cattle",747.7
"35","2012","Midland","Total cattle",783.2
"36","2013","Midland","Total cattle",801
"37","2005","West","Total cattle",978.7
"38","2006","West","Total cattle",979.4
"39","2007","West","Total cattle",981.2
"40","2008","West","Total cattle",985.2
"41","2009","West","Total cattle",968.2
"42","2010","West","Total cattle",908
"43","2011","West","Total cattle",885.7
"44","2012","West","Total cattle",914.6
"45","2013","West","Total cattle",928.4
"46","2005","Mid-West","Total cattle",1048.7
"47","2006","Mid-West","Total cattle",1041.5
"48","2007","Mid-West","Total cattle",1016.5
"49","2008","Mid-West","Total cattle",1024.9
"50","2009","Mid-West","Total cattle",1017
"51","2010","Mid-West","Total cattle",959.2
"52","2011","Mid-West","Total cattle",942.1
"53","2012","Mid-West","Total cattle",989.3
"54","2013","Mid-West","Total cattle",1009.1
"55","2005","South-East","Total cattle",1242.5
"56","2006","South-East","Total cattle",1253.1
"57","2007","South-East","Total cattle",1243.4
"58","2008","South-East","Total cattle",1241.5
"59","2009","South-East","Total cattle",1256.6
"60","2010","South-East","Total cattle",1217.9
"61","2011","South-East","Total cattle",1207.3
"62","2012","South-East","Total cattle",1265.1
"63","2013","South-East","Total cattle",1313.2
"64","2005","South-West","Total cattle",1389.7
"65","2006","South-West","Total cattle",1371.8
"66","2007","South-West","Total cattle",1345.8
"67","2008","South-West","Total cattle",1358.6
"68","2009","South-West","Total cattle",1365.1
"69","2010","South-West","Total cattle",1314.6
"70","2011","South-West","Total cattle",1307.5
"71","2012","South-West","Total cattle",1357.6
"72","2013","South-West","Total cattle",1376.8
"73","2005","State","Cows",2183.9
"74","2006","State","Cows",2267.2
"75","2007","State","Cows",2296.9
"76","2008","State","Cows",2315.3
"77","2009","State","Cows",2300.4
"78","2010","State","Cows",2229.2
"79","2011","State","Cows",2240.2
"80","2012","State","Cows",2289.4
"81","2013","State","Cows",2313.5
"82","2005","Dublin plus Mid East","Cows",165.9
"83","2006","Dublin plus Mid East","Cows",170.9
"84","2007","Dublin plus Mid East","Cows",172.3
"85","2008","Dublin plus Mid East","Cows",172.5
"86","2009","Dublin plus Mid East","Cows",172.6
"87","2010","Dublin plus Mid East","Cows",168.9
"88","2011","Dublin plus Mid East","Cows",167.4
"89","2012","Dublin plus Mid East","Cows",169.7
"90","2013","Dublin plus Mid East","Cows",172.6
"91","2005","Border","Cows",308.4
"92","2006","Border","Cows",317
"93","2007","Border","Cows",319.7
"94","2008","Border","Cows",322
"95","2009","Border","Cows",316
"96","2010","Border","Cows",302.9
"97","2011","Border","Cows",299.5
"98","2012","Border","Cows",306.2
"99","2013","Border","Cows",306
"100","2005","Midland","Cows",211.7
"101","2006","Midland","Cows",223.6
"102","2007","Midland","Cows",228.1
"103","2008","Midland","Cows",229.2
"104","2009","Midland","Cows",227.7
"105","2010","Midland","Cows",219.2
"106","2011","Midland","Cows",217.6
"107","2012","Midland","Cows",225
"108","2013","Midland","Cows",227.5
"109","2005","West","Cows",305.4
"110","2006","West","Cows",316.6
"111","2007","West","Cows",323
"112","2008","West","Cows",322.7
"113","2009","West","Cows",313.6
"114","2010","West","Cows",295.4
"115","2011","West","Cows",291.6
"116","2012","West","Cows",299.6
"117","2013","West","Cows",301
"118","2005","Mid-West","Cows",335.9
"119","2006","Mid-West","Cows",346.1
"120","2007","Mid-West","Cows",347.1
"121","2008","Mid-West","Cows",348.3
"122","2009","Mid-West","Cows",342.6
"123","2010","Mid-West","Cows",327.8
"124","2011","Mid-West","Cows",332.2
"125","2012","Mid-West","Cows",341.6
"126","2013","Mid-West","Cows",343.6
"127","2005","South-East","Cows",366.3
"128","2006","South-East","Cows",386.2
"129","2007","South-East","Cows",395.8
"130","2008","South-East","Cows",403.8
"131","2009","South-East","Cows",409.7
"132","2010","South-East","Cows",403.8
"133","2011","South-East","Cows",408.2
"134","2012","South-East","Cows",416.5
"135","2013","South-East","Cows",428.7
"136","2005","South-West","Cows",490.3
"137","2006","South-West","Cows",506.7
"138","2007","South-West","Cows",510.9
"139","2008","South-West","Cows",516.8
"140","2009","South-West","Cows",518.2
"141","2010","South-West","Cows",511.2
"142","2011","South-West","Cows",523.7
"143","2012","South-West","Cows",530.8
"144","2013","South-West","Cows",534
"145","2005","State","Dairy cows",1055.1
"146","2006","State","Dairy cows",1084.7
"147","2007","State","Dairy cows",1089.8
"148","2008","State","Dairy cows",1095.2
"149","2009","State","Dairy cows",1096.7
"150","2010","State","Dairy cows",1070.8
"151","2011","State","Dairy cows",1116.9
"152","2012","State","Dairy cows",1140.8
"153","2013","State","Dairy cows",1163.2
"154","2005","Dublin plus Mid East","Dairy cows",77.2
"155","2006","Dublin plus Mid East","Dairy cows",78.6
"156","2007","Dublin plus Mid East","Dairy cows",78.6
"157","2008","Dublin plus Mid East","Dairy cows",77.7
"158","2009","Dublin plus Mid East","Dairy cows",78
"159","2010","Dublin plus Mid East","Dairy cows",76
"160","2011","Dublin plus Mid East","Dairy cows",78
"161","2012","Dublin plus Mid East","Dairy cows",78.7
"162","2013","Dublin plus Mid East","Dairy cows",79.7
"163","2005","Border","Dairy cows",105.4
"164","2006","Border","Dairy cows",106.5
"165","2007","Border","Dairy cows",105.6
"166","2008","Border","Dairy cows",105
"167","2009","Border","Dairy cows",103.4
"168","2010","Border","Dairy cows",97.6
"169","2011","Border","Dairy cows",100.5
"170","2012","Border","Dairy cows",103.3
"171","2013","Border","Dairy cows",103.3
"172","2005","Midland","Dairy cows",73
"173","2006","Midland","Dairy cows",75.7
"174","2007","Midland","Dairy cows",76.4
"175","2008","Midland","Dairy cows",76.2
"176","2009","Midland","Dairy cows",75.8
"177","2010","Midland","Dairy cows",73.1
"178","2011","Midland","Dairy cows",75.7
"179","2012","Midland","Dairy cows",79
"180","2013","Midland","Dairy cows",81.4
"181","2005","West","Dairy cows",55.6
"182","2006","West","Dairy cows",55.2
"183","2007","West","Dairy cows",54.2
"184","2008","West","Dairy cows",52.7
"185","2009","West","Dairy cows",50.4
"186","2010","West","Dairy cows",45.1
"187","2011","West","Dairy cows",47
"188","2012","West","Dairy cows",48.6
"189","2013","West","Dairy cows",49.3
"190","2005","Mid-West","Dairy cows",173.7
"191","2006","Mid-West","Dairy cows",177.4
"192","2007","Mid-West","Dairy cows",176.6
"193","2008","Mid-West","Dairy cows",176.4
"194","2009","Mid-West","Dairy cows",174.3
"195","2010","Mid-West","Dairy cows",167.5
"196","2011","Mid-West","Dairy cows",177
"197","2012","Mid-West","Dairy cows",182.1
"198","2013","Mid-West","Dairy cows",184.4
"199","2005","South-East","Dairy cows",219.5
"200","2006","South-East","Dairy cows",229.2
"201","2007","South-East","Dairy cows",233.1
"202","2008","South-East","Dairy cows",237.8
"203","2009","South-East","Dairy cows",242.9
"204","2010","South-East","Dairy cows",243
"205","2011","South-East","Dairy cows",254.4
"206","2012","South-East","Dairy cows",259.2
"207","2013","South-East","Dairy cows",269.9
"208","2005","South-West","Dairy cows",350.7
"209","2006","South-West","Dairy cows",362.1
"210","2007","South-West","Dairy cows",365.3
"211","2008","South-West","Dairy cows",369.4
"212","2009","South-West","Dairy cows",371.8
"213","2010","South-West","Dairy cows",368.5
"214","2011","South-West","Dairy cows",384.4
"215","2012","South-West","Dairy cows",390
"216","2013","South-West","Dairy cows",395.2
"217","2005","State","Other cows",1128.7
"218","2006","State","Other cows",1182.4
"219","2007","State","Other cows",1207.1
"220","2008","State","Other cows",1220.1
"221","2009","State","Other cows",1203.7
"222","2010","State","Other cows",1158.4
"223","2011","State","Other cows",1123.3
"224","2012","State","Other cows",1148.6
"225","2013","State","Other cows",1150.3
"226","2005","Dublin plus Mid East","Other cows",88.7
"227","2006","Dublin plus Mid East","Other cows",92.3
"228","2007","Dublin plus Mid East","Other cows",93.7
"229","2008","Dublin plus Mid East","Other cows",94.7
"230","2009","Dublin plus Mid East","Other cows",94.6
"231","2010","Dublin plus Mid East","Other cows",92.9
"232","2011","Dublin plus Mid East","Other cows",89.4
"233","2012","Dublin plus Mid East","Other cows",91
"234","2013","Dublin plus Mid East","Other cows",92.8
"235","2005","Border","Other cows",203
"236","2006","Border","Other cows",210.5
"237","2007","Border","Other cows",214.2
"238","2008","Border","Other cows",217
"239","2009","Border","Other cows",212.6
"240","2010","Border","Other cows",205.4
"241","2011","Border","Other cows",199
"242","2012","Border","Other cows",202.9
"243","2013","Border","Other cows",202.7
"244","2005","Midland","Other cows",138.6
"245","2006","Midland","Other cows",147.9
"246","2007","Midland","Other cows",151.6
"247","2008","Midland","Other cows",153
"248","2009","Midland","Other cows",151.9
"249","2010","Midland","Other cows",146.1
"250","2011","Midland","Other cows",141.8
"251","2012","Midland","Other cows",146.1
"252","2013","Midland","Other cows",146.1
"253","2005","West","Other cows",249.8
"254","2006","West","Other cows",261.4
"255","2007","West","Other cows",268.7
"256","2008","West","Other cows",270
"257","2009","West","Other cows",263.2
"258","2010","West","Other cows",250.3
"259","2011","West","Other cows",244.7
"260","2012","West","Other cows",251.1
"261","2013","West","Other cows",251.7
"262","2005","Mid-West","Other cows",162.2
"263","2006","Mid-West","Other cows",168.7
"264","2007","Mid-West","Other cows",170.5
"265","2008","Mid-West","Other cows",171.9
"266","2009","Mid-West","Other cows",168.2
"267","2010","Mid-West","Other cows",160.3
"268","2011","Mid-West","Other cows",155.2
"269","2012","Mid-West","Other cows",159.5
"270","2013","Mid-West","Other cows",159.2
"271","2005","South-East","Other cows",146.8
"272","2006","South-East","Other cows",157
"273","2007","South-East","Other cows",162.7
"274","2008","South-East","Other cows",166
"275","2009","South-East","Other cows",166.8
"276","2010","South-East","Other cows",160.8
"277","2011","South-East","Other cows",153.8
"278","2012","South-East","Other cows",157.3
"279","2013","South-East","Other cows",158.9
"280","2005","South-West","Other cows",139.6
"281","2006","South-West","Other cows",144.6
"282","2007","South-West","Other cows",145.7
"283","2008","South-West","Other cows",147.5
"284","2009","South-West","Other cows",146.4
"285","2010","South-West","Other cows",142.7
"286","2011","South-West","Other cows",139.3
"287","2012","South-West","Other cows",140.8
"288","2013","South-West","Other cows",138.9
"289","2005","State","Bulls",62.7
"290","2006","State","Bulls",70.7
"291","2007","State","Bulls",61.1
"292","2008","State","Bulls",57.5
"293","2009","State","Bulls",55.2
"294","2010","State","Bulls",52
"295","2011","State","Bulls",41.8
"296","2012","State","Bulls",36.1
"297","2013","State","Bulls",41.4
"298","2005","Dublin plus Mid East","Bulls",5.3
"299","2006","Dublin plus Mid East","Bulls",6.2
"300","2007","Dublin plus Mid East","Bulls",5
"301","2008","Dublin plus Mid East","Bulls",4.6
"302","2009","Dublin plus Mid East","Bulls",4.5
"303","2010","Dublin plus Mid East","Bulls",4.1
"304","2011","Dublin plus Mid East","Bulls",3.2
"305","2012","Dublin plus Mid East","Bulls",2.7
"306","2013","Dublin plus Mid East","Bulls",3.1
"307","2005","Border","Bulls",10
"308","2006","Border","Bulls",11.5
"309","2007","Border","Bulls",10
"310","2008","Border","Bulls",9.4
"311","2009","Border","Bulls",9.2
"312","2010","Border","Bulls",8.3
"313","2011","Border","Bulls",6.3
"314","2012","Border","Bulls",5.5
"315","2013","Border","Bulls",6.2
"316","2005","Midland","Bulls",7.1
"317","2006","Midland","Bulls",7.9
"318","2007","Midland","Bulls",6.5
"319","2008","Midland","Bulls",5.9
"320","2009","Midland","Bulls",5.9
"321","2010","Midland","Bulls",5.5
"322","2011","Midland","Bulls",4.5
"323","2012","Midland","Bulls",4
"324","2013","Midland","Bulls",4.5
"325","2005","West","Bulls",9.2
"326","2006","West","Bulls",10.2
"327","2007","West","Bulls",9.1
"328","2008","West","Bulls",8.9
"329","2009","West","Bulls",8.6
"330","2010","West","Bulls",7.9
"331","2011","West","Bulls",6.6
"332","2012","West","Bulls",5.8
"333","2013","West","Bulls",6.9
"334","2005","Mid-West","Bulls",9.7
"335","2006","Mid-West","Bulls",10.6
"336","2007","Mid-West","Bulls",9.2
"337","2008","Mid-West","Bulls",8.8
"338","2009","Mid-West","Bulls",8.3
"339","2010","Mid-West","Bulls",7.9
"340","2011","Mid-West","Bulls",6.4
"341","2012","Mid-West","Bulls",5.4
"342","2013","Mid-West","Bulls",6.3
"343","2005","South-East","Bulls",9.4
"344","2006","South-East","Bulls",10.6
"345","2007","South-East","Bulls",9.5
"346","2008","South-East","Bulls",8.9
"347","2009","South-East","Bulls",8.5
"348","2010","South-East","Bulls",8.2
"349","2011","South-East","Bulls",6.8
"350","2012","South-East","Bulls",5.8
"351","2013","South-East","Bulls",6.4
"352","2005","South-West","Bulls",12
"353","2006","South-West","Bulls",13.7
"354","2007","South-West","Bulls",11.8
"355","2008","South-West","Bulls",11
"356","2009","South-West","Bulls",10.2
"357","2010","South-West","Bulls",10.2
"358","2011","South-West","Bulls",8
"359","2012","South-West","Bulls",6.9
"360","2013","South-West","Bulls",8
"361","2005","State","Cattle: 2 years and over",910.3
"362","2006","State","Cattle: 2 years and over",966
"363","2007","State","Cattle: 2 years and over",906.1
"364","2008","State","Cattle: 2 years and over",866.1
"365","2009","State","Cattle: 2 years and over",910.5
"366","2010","State","Cattle: 2 years and over",932.4
"367","2011","State","Cattle: 2 years and over",837.4
"368","2012","State","Cattle: 2 years and over",732.6
"369","2013","State","Cattle: 2 years and over",768.3
"370","2005","Dublin plus Mid East","Cattle: 2 years and over",118.1
"371","2006","Dublin plus Mid East","Cattle: 2 years and over",122.4
"372","2007","Dublin plus Mid East","Cattle: 2 years and over",112.8
"373","2008","Dublin plus Mid East","Cattle: 2 years and over",106.1
"374","2009","Dublin plus Mid East","Cattle: 2 years and over",109.5
"375","2010","Dublin plus Mid East","Cattle: 2 years and over",110.5
"376","2011","Dublin plus Mid East","Cattle: 2 years and over",98.3
"377","2012","Dublin plus Mid East","Cattle: 2 years and over",85.7
"378","2013","Dublin plus Mid East","Cattle: 2 years and over",90.2
"379","2005","Border","Cattle: 2 years and over",109.6
"380","2006","Border","Cattle: 2 years and over",113.1
"381","2007","Border","Cattle: 2 years and over",105.7
"382","2008","Border","Cattle: 2 years and over",101.9
"383","2009","Border","Cattle: 2 years and over",105
"384","2010","Border","Cattle: 2 years and over",105.9
"385","2011","Border","Cattle: 2 years and over",98.1
"386","2012","Border","Cattle: 2 years and over",90.7
"387","2013","Border","Cattle: 2 years and over",90
"388","2005","Midland","Cattle: 2 years and over",131.3
"389","2006","Midland","Cattle: 2 years and over",144.2
"390","2007","Midland","Cattle: 2 years and over",135.3
"391","2008","Midland","Cattle: 2 years and over",128.7
"392","2009","Midland","Cattle: 2 years and over",134.1
"393","2010","Midland","Cattle: 2 years and over",137.9
"394","2011","Midland","Cattle: 2 years and over",123.2
"395","2012","Midland","Cattle: 2 years and over",107.4
"396","2013","Midland","Cattle: 2 years and over",113.5
"397","2005","West","Cattle: 2 years and over",128.2
"398","2006","West","Cattle: 2 years and over",139.4
"399","2007","West","Cattle: 2 years and over",133.5
"400","2008","West","Cattle: 2 years and over",131.5
"401","2009","West","Cattle: 2 years and over",138.1
"402","2010","West","Cattle: 2 years and over",139
"403","2011","West","Cattle: 2 years and over",122.5
"404","2012","West","Cattle: 2 years and over",110.3
"405","2013","West","Cattle: 2 years and over",117.4
"406","2005","Mid-West","Cattle: 2 years and over",131.4
"407","2006","Mid-West","Cattle: 2 years and over",140
"408","2007","Mid-West","Cattle: 2 years and over",129.6
"409","2008","Mid-West","Cattle: 2 years and over",125.9
"410","2009","Mid-West","Cattle: 2 years and over",133.7
"411","2010","Mid-West","Cattle: 2 years and over",137.4
"412","2011","Mid-West","Cattle: 2 years and over",121.9
"413","2012","Mid-West","Cattle: 2 years and over",104.6
"414","2013","Mid-West","Cattle: 2 years and over",111.1
"415","2005","South-East","Cattle: 2 years and over",156.6
"416","2006","South-East","Cattle: 2 years and over",166.3
"417","2007","South-East","Cattle: 2 years and over",158.1
"418","2008","South-East","Cattle: 2 years and over",148.3
"419","2009","South-East","Cattle: 2 years and over",156.9
"420","2010","South-East","Cattle: 2 years and over",161.4
"421","2011","South-East","Cattle: 2 years and over",147.8
"422","2012","South-East","Cattle: 2 years and over",127.3
"423","2013","South-East","Cattle: 2 years and over",135.5
"424","2005","South-West","Cattle: 2 years and over",135.2
"425","2006","South-West","Cattle: 2 years and over",140.6
"426","2007","South-West","Cattle: 2 years and over",131.1
"427","2008","South-West","Cattle: 2 years and over",123.7
"428","2009","South-West","Cattle: 2 years and over",133.2
"429","2010","South-West","Cattle: 2 years and over",140.2
"430","2011","South-West","Cattle: 2 years and over",125.7
"431","2012","South-West","Cattle: 2 years and over",106.5
"432","2013","South-West","Cattle: 2 years and over",110.6
"433","2005","State","Cattle male: 2 years and over",536.8
"434","2006","State","Cattle male: 2 years and over",565.1
"435","2007","State","Cattle male: 2 years and over",509.7
"436","2008","State","Cattle male: 2 years and over",475.8
"437","2009","State","Cattle male: 2 years and over",501.2
"438","2010","State","Cattle male: 2 years and over",506.2
"439","2011","State","Cattle male: 2 years and over",425.5
"440","2012","State","Cattle male: 2 years and over",360.6
"441","2013","State","Cattle male: 2 years and over",388.2
"442","2005","Dublin plus Mid East","Cattle male: 2 years and over",76
"443","2006","Dublin plus Mid East","Cattle male: 2 years and over",76
"444","2007","Dublin plus Mid East","Cattle male: 2 years and over",68
"445","2008","Dublin plus Mid East","Cattle male: 2 years and over",61.8
"446","2009","Dublin plus Mid East","Cattle male: 2 years and over",62.7
"447","2010","Dublin plus Mid East","Cattle male: 2 years and over",61.6
"448","2011","Dublin plus Mid East","Cattle male: 2 years and over",52
"449","2012","Dublin plus Mid East","Cattle male: 2 years and over",43.8
"450","2013","Dublin plus Mid East","Cattle male: 2 years and over",45.5
"451","2005","Border","Cattle male: 2 years and over",55.2
"452","2006","Border","Cattle male: 2 years and over",56.8
"453","2007","Border","Cattle male: 2 years and over",48.5
"454","2008","Border","Cattle male: 2 years and over",44.8
"455","2009","Border","Cattle male: 2 years and over",47.2
"456","2010","Border","Cattle male: 2 years and over",45.5
"457","2011","Border","Cattle male: 2 years and over",38.9
"458","2012","Border","Cattle male: 2 years and over",35.4
"459","2013","Border","Cattle male: 2 years and over",36.1
"460","2005","Midland","Cattle male: 2 years and over",79.9
"461","2006","Midland","Cattle male: 2 years and over",87.1
"462","2007","Midland","Cattle male: 2 years and over",78
"463","2008","Midland","Cattle male: 2 years and over",72.7
"464","2009","Midland","Cattle male: 2 years and over",75.3
"465","2010","Midland","Cattle male: 2 years and over",76.6
"466","2011","Midland","Cattle male: 2 years and over",65.3
"467","2012","Midland","Cattle male: 2 years and over",54.4
"468","2013","Midland","Cattle male: 2 years and over",58.3
"469","2005","West","Cattle male: 2 years and over",71
"470","2006","West","Cattle male: 2 years and over",78.3
"471","2007","West","Cattle male: 2 years and over",71.9
"472","2008","West","Cattle male: 2 years and over",70.3
"473","2009","West","Cattle male: 2 years and over",74.6
"474","2010","West","Cattle male: 2 years and over",73
"475","2011","West","Cattle male: 2 years and over",57.6
"476","2012","West","Cattle male: 2 years and over",50.9
"477","2013","West","Cattle male: 2 years and over",55.5
"478","2005","Mid-West","Cattle male: 2 years and over",81.1
"479","2006","Mid-West","Cattle male: 2 years and over",86
"480","2007","Mid-West","Cattle male: 2 years and over",76.4
"481","2008","Mid-West","Cattle male: 2 years and over",72.6
"482","2009","Mid-West","Cattle male: 2 years and over",77.6
"483","2010","Mid-West","Cattle male: 2 years and over",79.6
"484","2011","Mid-West","Cattle male: 2 years and over",66.4
"485","2012","Mid-West","Cattle male: 2 years and over",55.8
"486","2013","Mid-West","Cattle male: 2 years and over",61.9
"487","2005","South-East","Cattle male: 2 years and over",98.8
"488","2006","South-East","Cattle male: 2 years and over",103.3
"489","2007","South-East","Cattle male: 2 years and over",96.4
"490","2008","South-East","Cattle male: 2 years and over",87.6
"491","2009","South-East","Cattle male: 2 years and over",92.3
"492","2010","South-East","Cattle male: 2 years and over",95
"493","2011","South-East","Cattle male: 2 years and over",82.7
"494","2012","South-East","Cattle male: 2 years and over",69.9
"495","2013","South-East","Cattle male: 2 years and over",77.1
"496","2005","South-West","Cattle male: 2 years and over",74.9
"497","2006","South-West","Cattle male: 2 years and over",77.7
"498","2007","South-West","Cattle male: 2 years and over",70.5
"499","2008","South-West","Cattle male: 2 years and over",66
"500","2009","South-West","Cattle male: 2 years and over",71.5
"501","2010","South-West","Cattle male: 2 years and over",74.9
"502","2011","South-West","Cattle male: 2 years and over",62.6
"503","2012","South-West","Cattle male: 2 years and over",50.4
"504","2013","South-West","Cattle male: 2 years and over",53.6
"505","2005","State","Cattle female: 2 years and over",373.5
"506","2006","State","Cattle female: 2 years and over",400.8
"507","2007","State","Cattle female: 2 years and over",396.4
"508","2008","State","Cattle female: 2 years and over",390.3
"509","2009","State","Cattle female: 2 years and over",409.3
"510","2010","State","Cattle female: 2 years and over",426.2
"511","2011","State","Cattle female: 2 years and over",411.9
"512","2012","State","Cattle female: 2 years and over",372
"513","2013","State","Cattle female: 2 years and over",380.1
"514","2005","Dublin plus Mid East","Cattle female: 2 years and over",42.1
"515","2006","Dublin plus Mid East","Cattle female: 2 years and over",46.4
"516","2007","Dublin plus Mid East","Cattle female: 2 years and over",44.9
"517","2008","Dublin plus Mid East","Cattle female: 2 years and over",44.3
"518","2009","Dublin plus Mid East","Cattle female: 2 years and over",46.9
"519","2010","Dublin plus Mid East","Cattle female: 2 years and over",48.9
"520","2011","Dublin plus Mid East","Cattle female: 2 years and over",46.3
"521","2012","Dublin plus Mid East","Cattle female: 2 years and over",41.9
"522","2013","Dublin plus Mid East","Cattle female: 2 years and over",44.7
"523","2005","Border","Cattle female: 2 years and over",54.3
"524","2006","Border","Cattle female: 2 years and over",56.3
"525","2007","Border","Cattle female: 2 years and over",57.2
"526","2008","Border","Cattle female: 2 years and over",57.2
"527","2009","Border","Cattle female: 2 years and over",57.7
"528","2010","Border","Cattle female: 2 years and over",60.5
"529","2011","Border","Cattle female: 2 years and over",59.2
"530","2012","Border","Cattle female: 2 years and over",55.3
"531","2013","Border","Cattle female: 2 years and over",53.9
"532","2005","Midland","Cattle female: 2 years and over",51.4
"533","2006","Midland","Cattle female: 2 years and over",57.2
"534","2007","Midland","Cattle female: 2 years and over",57.3
"535","2008","Midland","Cattle female: 2 years and over",56
"536","2009","Midland","Cattle female: 2 years and over",58.7
"537","2010","Midland","Cattle female: 2 years and over",61.3
"538","2011","Midland","Cattle female: 2 years and over",57.9
"539","2012","Midland","Cattle female: 2 years and over",53
"540","2013","Midland","Cattle female: 2 years and over",55.2
"541","2005","West","Cattle female: 2 years and over",57.2
"542","2006","West","Cattle female: 2 years and over",61.1
"543","2007","West","Cattle female: 2 years and over",61.6
"544","2008","West","Cattle female: 2 years and over",61.1
"545","2009","West","Cattle female: 2 years and over",63.6
"546","2010","West","Cattle female: 2 years and over",66
"547","2011","West","Cattle female: 2 years and over",64.8
"548","2012","West","Cattle female: 2 years and over",59.4
"549","2013","West","Cattle female: 2 years and over",61.9
"550","2005","Mid-West","Cattle female: 2 years and over",50.3
"551","2006","Mid-West","Cattle female: 2 years and over",54
"552","2007","Mid-West","Cattle female: 2 years and over",53.2
"553","2008","Mid-West","Cattle female: 2 years and over",53.3
"554","2009","Mid-West","Cattle female: 2 years and over",56
"555","2010","Mid-West","Cattle female: 2 years and over",57.9
"556","2011","Mid-West","Cattle female: 2 years and over",55.5
"557","2012","Mid-West","Cattle female: 2 years and over",48.8
"558","2013","Mid-West","Cattle female: 2 years and over",49.2
"559","2005","South-East","Cattle female: 2 years and over",57.7
"560","2006","South-East","Cattle female: 2 years and over",63
"561","2007","South-East","Cattle female: 2 years and over",61.7
"562","2008","South-East","Cattle female: 2 years and over",60.7
"563","2009","South-East","Cattle female: 2 years and over",64.7
"564","2010","South-East","Cattle female: 2 years and over",66.4
"565","2011","South-East","Cattle female: 2 years and over",65
"566","2012","South-East","Cattle female: 2 years and over",57.4
"567","2013","South-East","Cattle female: 2 years and over",58.4
"568","2005","South-West","Cattle female: 2 years and over",60.4
"569","2006","South-West","Cattle female: 2 years and over",63
"570","2007","South-West","Cattle female: 2 years and over",60.5
"571","2008","South-West","Cattle female: 2 years and over",57.7
"572","2009","South-West","Cattle female: 2 years and over",61.7
"573","2010","South-West","Cattle female: 2 years and over",65.3
"574","2011","South-West","Cattle female: 2 years and over",63.2
"575","2012","South-West","Cattle female: 2 years and over",56.1
"576","2013","South-West","Cattle female: 2 years and over",57
"577","2005","State","Cattle: 1-2 years",1872.6
"578","2006","State","Cattle: 1-2 years",1721.2
"579","2007","State","Cattle: 1-2 years",1685.7
"580","2008","State","Cattle: 1-2 years",1703.9
"581","2009","State","Cattle: 1-2 years",1735.6
"582","2010","State","Cattle: 1-2 years",1631.7
"583","2011","State","Cattle: 1-2 years",1528.1
"584","2012","State","Cattle: 1-2 years",1660
"585","2013","State","Cattle: 1-2 years",1811
"586","2005","Dublin plus Mid East","Cattle: 1-2 years",166.8
"587","2006","Dublin plus Mid East","Cattle: 1-2 years",151.9
"588","2007","Dublin plus Mid East","Cattle: 1-2 years",150
"589","2008","Dublin plus Mid East","Cattle: 1-2 years",150.3
"590","2009","Dublin plus Mid East","Cattle: 1-2 years",151.7
"591","2010","Dublin plus Mid East","Cattle: 1-2 years",146.2
"592","2011","Dublin plus Mid East","Cattle: 1-2 years",139.8
"593","2012","Dublin plus Mid East","Cattle: 1-2 years",148.9
"594","2013","Dublin plus Mid East","Cattle: 1-2 years",165.5
"595","2005","Border","Cattle: 1-2 years",236.5
"596","2006","Border","Cattle: 1-2 years",214.7
"597","2007","Border","Cattle: 1-2 years",218.8
"598","2008","Border","Cattle: 1-2 years",215.3
"599","2009","Border","Cattle: 1-2 years",220.5
"600","2010","Border","Cattle: 1-2 years",210.2
"601","2011","Border","Cattle: 1-2 years",202.1
"602","2012","Border","Cattle: 1-2 years",210
"603","2013","Border","Cattle: 1-2 years",226.6
"604","2005","Midland","Cattle: 1-2 years",238.4
"605","2006","Midland","Cattle: 1-2 years",219.3
"606","2007","Midland","Cattle: 1-2 years",214.5
"607","2008","Midland","Cattle: 1-2 years",216.7
"608","2009","Midland","Cattle: 1-2 years",221
"609","2010","Midland","Cattle: 1-2 years",209.2
"610","2011","Midland","Cattle: 1-2 years",195.4
"611","2012","Midland","Cattle: 1-2 years",215.1
"612","2013","Midland","Cattle: 1-2 years",234.9
"613","2005","West","Cattle: 1-2 years",249.7
"614","2006","West","Cattle: 1-2 years",224.1
