"","Statistic","Type.of.Pig","Year","value"
"232","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1979",31.1
"233","Pig Population Estimated from December Survey (Thousand)","Boars","1979",4.2
"234","Pig Population Estimated from April Survey (Thousand)","Boars","1979",4.1
"235","Pig Population Estimated from August Survey (Thousand)","Boars","1979",4.1
"236","Pig Population Estimated from June Survey (Thousand)","Boars","1979",4.1
"237","Pig Population Estimated from December Survey (Thousand)","Other pigs","1979",935.7
"238","Pig Population Estimated from April Survey (Thousand)","Other pigs","1979",978.3
"239","Pig Population Estimated from August Survey (Thousand)","Other pigs","1979",975.3
"240","Pig Population Estimated from June Survey (Thousand)","Other pigs","1979",976.8
"241","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1979",227.9
"242","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1979",257.1
"243","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1979",240.4
"244","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1979",248.7
"245","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1979",307.3
"246","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1979",315.4
"247","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1979",300.1
"248","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1979",307.8
"249","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1979",306.9
"250","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1979",304.1
"251","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1979",320.8
"252","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1979",312.5
"253","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1979",76.1
"254","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1979",85.17
"255","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1979",97.3
"256","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1979",91.2
"257","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1979",17.5
"258","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1979",16.57
"259","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1979",16.7
"260","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1979",16.6
"261","Pig Population Estimated from December Survey (Thousand)","Total pigs","1980",1030.8
"262","Pig Population Estimated from April Survey (Thousand)","Total pigs","1980",1039
"263","Pig Population Estimated from August Survey (Thousand)","Total pigs","1980",1000
"264","Pig Population Estimated from June Survey (Thousand)","Total pigs","1980",1030.5
"265","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1980",115
"266","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1980",118.1
"267","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1980",119.3
"268","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1980",120.2
"269","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1980",12.2
"270","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1980",12.6
"271","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1980",13
"272","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1980",13.1
"273","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1980",7.7
"274","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1980",8.6
"275","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1980",8.3
"276","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1980",8.4
"277","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1980",64.4
"278","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1980",63.7
"279","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1980",66.3
"280","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1980",66
"281","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1980",26.6
"282","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1980",29
"283","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1980",27.6
"284","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1980",28.6
"285","Pig Population Estimated from December Survey (Thousand)","Boars","1980",4.1
"286","Pig Population Estimated from April Survey (Thousand)","Boars","1980",4.2
"287","Pig Population Estimated from August Survey (Thousand)","Boars","1980",4.1
"288","Pig Population Estimated from June Survey (Thousand)","Boars","1980",4.1
"289","Pig Population Estimated from December Survey (Thousand)","Other pigs","1980",915.8
"290","Pig Population Estimated from April Survey (Thousand)","Other pigs","1980",920.9
"291","Pig Population Estimated from August Survey (Thousand)","Other pigs","1980",880.6
"292","Pig Population Estimated from June Survey (Thousand)","Other pigs","1980",910.3
"293","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1980",224.6
"294","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1980",240
"295","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1980",227.8
"296","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1980",230
"297","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1980",292.7
"298","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1980",292.1
"299","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1980",277.7
"300","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1980",285.3
"301","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1980",311.1
"302","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1980",283.6
"303","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1980",279.6
"304","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1980",294.6
"305","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1980",67.2
"306","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1980",81.43
"307","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1980",74.12
"308","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1980",79.6
"309","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1980",20.2
"310","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1980",23.76
"311","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1980",21.41
"312","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1980",20.8
"313","Pig Population Estimated from December Survey (Thousand)","Total pigs","1981",1027
