"","Statistic","Type.of.Pig","Year","value"
"1018","Pig Population Estimated from April Survey (Thousand)","Other pigs","1994",1347.9
"1019","Pig Population Estimated from August Survey (Thousand)","Other pigs","1994",1361.4
"1020","Pig Population Estimated from June Survey (Thousand)","Other pigs","1994",1354.6
"1021","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1994",414.1
"1022","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1994",440.5
"1023","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1994",432.5
"1024","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1994",436.5
"1025","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1994",448.5
"1026","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1994",455.5
"1027","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1994",467.2
"1028","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1994",461.3
"1029","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1994",339
"1030","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1994",332.8
"1031","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1994",339.6
"1032","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1994",336.2
"1033","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1994",124.9
"1034","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1994",108.29
"1035","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1994",113.07
"1036","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1994",110.7
"1037","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1994",4.8
"1038","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1994",10.77
"1039","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1994",9.04
"1040","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1994",9.9
"1041","Pig Population Estimated from December Survey (Thousand)","Total pigs","1995",1542.3
"1042","Pig Population Estimated from April Survey (Thousand)","Total pigs","1995",1554.2
"1043","Pig Population Estimated from August Survey (Thousand)","Total pigs","1995",1547.2
"1044","Pig Population Estimated from June Survey (Thousand)","Total pigs","1995",1550.4
"1045","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1995",180.9
"1046","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1995",175
"1047","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1995",174.2
"1048","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1995",174.8
"1049","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1995",24.2
"1050","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1995",22.6
"1051","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1995",23.8
"1052","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1995",23.2
"1053","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1995",17.9
"1054","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1995",17.5
"1055","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1995",16.9
"1056","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1995",17.2
"1057","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1995",102.4
"1058","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1995",98.9
"1059","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1995",97.4
"1060","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1995",98.2
"1061","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1995",31
"1062","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1995",30.6
"1063","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1995",30.9
"1064","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1995",30.8
"1065","Pig Population Estimated from December Survey (Thousand)","Boars","1995",5.3
"1066","Pig Population Estimated from April Survey (Thousand)","Boars","1995",5.4
"1067","Pig Population Estimated from August Survey (Thousand)","Boars","1995",5.3
"1068","Pig Population Estimated from June Survey (Thousand)","Boars","1995",5.3
"1069","Pig Population Estimated from December Survey (Thousand)","Other pigs","1995",1361.5
"1070","Pig Population Estimated from April Survey (Thousand)","Other pigs","1995",1379.2
"1071","Pig Population Estimated from August Survey (Thousand)","Other pigs","1995",1373
"1072","Pig Population Estimated from June Survey (Thousand)","Other pigs","1995",1375.6
"1073","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1995",410.4
"1074","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1995",428.1
"1075","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1995",412.6
"1076","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1995",422.9
"1077","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1995",464.8
"1078","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1995",481.9
"1079","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1995",488.2
"1080","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1995",483.5
"1081","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1995",344.7
"1082","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1995",349.8
"1083","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1995",356.81
"1084","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1995",352.1
"1085","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1995",135.6
"1086","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1995",113.63
"1087","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1995",113.9
"1088","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1995",113.5
"1089","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1995",5.9
"1090","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1995",5.86
"1091","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1995",1.5
"1092","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1995",3.7
"1093","Pig Population Estimated from December Survey (Thousand)","Total pigs","1996",1664.5
"1094","Pig Population Estimated from April Survey (Thousand)","Total pigs","1996",1599.2
"1095","Pig Population Estimated from August Survey (Thousand)","Total pigs","1996",1642.4
"1096","Pig Population Estimated from June Survey (Thousand)","Total pigs","1996",1620.8
"1097","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1996",187.4
"1098","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1996",184
"1099","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1996",182.7
"1100","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1996",183.4
"1101","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1996",24.7
"1102","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1996",25.1
"1103","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1996",23.5
"1104","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1996",24.3
"1105","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1996",17.5
"1106","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1996",15.6
"1107","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1996",16.7
"1108","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1996",16.2
"1109","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1996",103.7
"1110","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1996",104.6
"1111","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1996",100.7
"1112","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1996",102.7
"1113","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1996",36.5
"1114","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1996",33.5
"1115","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1996",36.7
"1116","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1996",35.1
"1117","Pig Population Estimated from December Survey (Thousand)","Boars","1996",5
"1118","Pig Population Estimated from April Survey (Thousand)","Boars","1996",5.2
"1119","Pig Population Estimated from August Survey (Thousand)","Boars","1996",5.1
"1120","Pig Population Estimated from June Survey (Thousand)","Boars","1996",5.2
"1121","Pig Population Estimated from December Survey (Thousand)","Other pigs","1996",1477.2
"1122","Pig Population Estimated from April Survey (Thousand)","Other pigs","1996",1415.2
"1123","Pig Population Estimated from August Survey (Thousand)","Other pigs","1996",1459.7
"1124","Pig Population Estimated from June Survey (Thousand)","Other pigs","1996",1437.5
"1125","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1996",450.3
"1126","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1996",425.9
"1127","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1996",439.6
"1128","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1996",432.8
"1129","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1996",501.8
"1130","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1996",501.5
"1131","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1996",507.8
"1132","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1996",504.6
"1133","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1996",371.4
"1134","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1996",352.8
"1135","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1996",377.7
"1136","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1996",365.3
"1137","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1996",151
"1138","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1996",128.99
"1139","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1996",131.23
"1140","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1996",130.1
"1141","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1996",2.7
"1142","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1996",6.02
"1143","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1996",3.38
"1144","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1996",4.7
"1145","Pig Population Estimated from December Survey (Thousand)","Total pigs","1997",1717
"1146","Pig Population Estimated from April Survey (Thousand)","Total pigs","1997",1684.6
"1147","Pig Population Estimated from August Survey (Thousand)","Total pigs","1997",1714.4
"1148","Pig Population Estimated from June Survey (Thousand)","Total pigs","1997",1699.5
"1149","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1997",197.6
"1150","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1997",188.1
"1151","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1997",195.3
"1152","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1997",191.7
"1153","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1997",26.5
"1154","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1997",26
"1155","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1997",28.3
"1156","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1997",27.2
"1157","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1997",17.7
"1158","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1997",16.6
"1159","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1997",18.8
"1160","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1997",17.7
"1161","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1997",111.5
"1162","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1997",106.1
"1163","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1997",102.8
"1164","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1997",104.4
"1165","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1997",36.7
"1166","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1997",34.4
"1167","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1997",40.3
"1168","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1997",37.4
"1169","Pig Population Estimated from December Survey (Thousand)","Boars","1997",5.2
"1170","Pig Population Estimated from April Survey (Thousand)","Boars","1997",5
"1171","Pig Population Estimated from August Survey (Thousand)","Boars","1997",5.1
"1172","Pig Population Estimated from June Survey (Thousand)","Boars","1997",5
"1173","Pig Population Estimated from December Survey (Thousand)","Other pigs","1997",1519.4
"1174","Pig Population Estimated from April Survey (Thousand)","Other pigs","1997",1496.6
"1175","Pig Population Estimated from August Survey (Thousand)","Other pigs","1997",1519.1
"1176","Pig Population Estimated from June Survey (Thousand)","Other pigs","1997",1507.8
"1177","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1997",453
"1178","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1997",448.9
"1179","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1997",444.2
"1180","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1997",446.5
"1181","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1997",521.9
"1182","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1997",528.6
"1183","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1997",531.3
"1184","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1997",530
"1185","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1997",407.8
"1186","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1997",375.4
"1187","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1997",406.5
"1188","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1997",391
"1189","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1997",132.8
"1190","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1997",137.8
"1191","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1997",134.47
"1192","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1997",136.1
"1193","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1997",4
"1194","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1997",5.85
"1195","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1997",2.59
"1196","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1997",4.2
