"","Region","Year","Type.of.Animal","value"
"3400","South-West","1995","Other pigs",308.5
"3401","State","1996","Other pigs",1437.5
"3402","Dublin plus Mid East","1996","Other pigs",74.6
"3403","Border","1996","Other pigs",389.6
"3404","Midland","1996","Other pigs",205.6
"3405","West","1996","Other pigs",48.4
"3406","Mid-West","1996","Other pigs",71.7
"3407","South-East","1996","Other pigs",314.8
"3408","South-West","1996","Other pigs",332.8
"3409","State","1997","Other pigs",1507.8
"3410","Dublin plus Mid East","1997","Other pigs",79.3
"3411","Border","1997","Other pigs",366.7
"3412","Midland","1997","Other pigs",215.1
"3413","West","1997","Other pigs",54.5
"3414","Mid-West","1997","Other pigs",87
"3415","South-East","1997","Other pigs",331
"3416","South-West","1997","Other pigs",374.2
"3417","State","1998","Other pigs",1618.7
"3418","Dublin plus Mid East","1998","Other pigs",76.5
"3419","Border","1998","Other pigs",451.6
"3420","Midland","1998","Other pigs",225.3
"3421","West","1998","Other pigs",47.9
"3422","Mid-West","1998","Other pigs",97.4
"3423","South-East","1998","Other pigs",337.2
"3424","South-West","1998","Other pigs",382.7
"3425","State","1999","Other pigs",1594.2
"3426","Dublin plus Mid East","1999","Other pigs",74.4
"3427","Border","1999","Other pigs",425.7
"3428","Midland","1999","Other pigs",229.5
"3429","West","1999","Other pigs",52.7
"3430","Mid-West","1999","Other pigs",98.8
"3431","South-East","1999","Other pigs",334.3
"3432","South-West","1999","Other pigs",378.9
"3433","State","2000","Other pigs",1541.3
"3434","Dublin plus Mid East","2000","Other pigs",82.1
"3435","Border","2000","Other pigs",431.1
"3436","Midland","2000","Other pigs",203.7
"3437","West","2000","Other pigs",51.4
"3438","Mid-West","2000","Other pigs",103.7
"3439","South-East","2000","Other pigs",299.3
"3440","South-West","2000","Other pigs",370
"3441","State","2001","Other pigs",1556.2
"3442","Dublin plus Mid East","2001","Other pigs",75
"3443","Border","2001","Other pigs",476.4
"3444","Midland","2001","Other pigs",220.5
"3445","West","2001","Other pigs",52.6
"3446","Mid-West","2001","Other pigs",90
"3447","South-East","2001","Other pigs",293
"3448","South-West","2001","Other pigs",348.6
"3449","State","2002","Other pigs",1599.5
"3450","Dublin plus Mid East","2002","Other pigs",70.2
"3451","Border","2002","Other pigs",488.9
"3452","Midland","2002","Other pigs",213
"3453","West","2002","Other pigs",55.2
"3454","Mid-West","2002","Other pigs",76.7
"3455","South-East","2002","Other pigs",327.1
"3456","South-West","2002","Other pigs",368.1
"3457","State","2003","Other pigs",1550.5
"3458","Dublin plus Mid East","2003","Other pigs",70.3
"3459","Border","2003","Other pigs",480.2
"3460","Midland","2003","Other pigs",216.6
"3461","West","2003","Other pigs",57.5
"3462","Mid-West","2003","Other pigs",98.6
"3463","South-East","2003","Other pigs",303.2
"3464","South-West","2003","Other pigs",324.1
"3465","State","2004","Other pigs",1482.9
"3466","Dublin plus Mid East","2004","Other pigs",70.7
"3467","Border","2004","Other pigs",339.9
"3468","Midland","2004","Other pigs",290.4
"3469","West","2004","Other pigs",54.4
"3470","Mid-West","2004","Other pigs",101
"3471","South-East","2004","Other pigs",294.9
"3472","South-West","2004","Other pigs",331.5
"3473","State","1991","Other pigs: 20kg and over",791.6
"3474","Dublin plus Mid East","1991","Other pigs: 20kg and over",58.4
"3475","Border","1991","Other pigs: 20kg and over",187
"3476","Midland","1991","Other pigs: 20kg and over",138.9
"3477","West","1991","Other pigs: 20kg and over",23.2
"3478","Mid-West","1991","Other pigs: 20kg and over",48.6
"3479","South-East","1991","Other pigs: 20kg and over",169
"3480","South-West","1991","Other pigs: 20kg and over",166.6
"3481","State","1992","Other pigs: 20kg and over",825.9
"3482","Dublin plus Mid East","1992","Other pigs: 20kg and over",56
"3483","Border","1992","Other pigs: 20kg and over",200.7
"3484","Midland","1992","Other pigs: 20kg and over",142.7
"3485","West","1992","Other pigs: 20kg and over",25.5
"3486","Mid-West","1992","Other pigs: 20kg and over",47.4
"3487","South-East","1992","Other pigs: 20kg and over",181.3
"3488","South-West","1992","Other pigs: 20kg and over",172.4
"3489","State","1993","Other pigs: 20kg and over",924.9
"3490","Dublin plus Mid East","1993","Other pigs: 20kg and over",39.7
"3491","Border","1993","Other pigs: 20kg and over",263.1
"3492","Midland","1993","Other pigs: 20kg and over",110.1
"3493","West","1993","Other pigs: 20kg and over",27.9
"3494","Mid-West","1993","Other pigs: 20kg and over",58.7
"3495","South-East","1993","Other pigs: 20kg and over",196.5
"3496","South-West","1993","Other pigs: 20kg and over",228.8
"3497","State","1994","Other pigs: 20kg and over",918.1
"3498","Dublin plus Mid East","1994","Other pigs: 20kg and over",40.7
"3499","Border","1994","Other pigs: 20kg and over",269.2
"3500","Midland","1994","Other pigs: 20kg and over",108.9
"3501","West","1994","Other pigs: 20kg and over",32.7
"3502","Mid-West","1994","Other pigs: 20kg and over",54.3
"3503","South-East","1994","Other pigs: 20kg and over",189.6
"3504","South-West","1994","Other pigs: 20kg and over",222.7
"3505","State","1995","Other pigs: 20kg and over",952.8
"3506","Dublin plus Mid East","1995","Other pigs: 20kg and over",50
"3507","Border","1995","Other pigs: 20kg and over",269.2
"3508","Midland","1995","Other pigs: 20kg and over",131.8
"3509","West","1995","Other pigs: 20kg and over",25.1
"3510","Mid-West","1995","Other pigs: 20kg and over",53.4
"3511","South-East","1995","Other pigs: 20kg and over",202.3
"3512","South-West","1995","Other pigs: 20kg and over",220.9
"3513","State","1996","Other pigs: 20kg and over",1004.7
"3514","Dublin plus Mid East","1996","Other pigs: 20kg and over",54.4
"3515","Border","1996","Other pigs: 20kg and over",275
"3516","Midland","1996","Other pigs: 20kg and over",135.2
"3517","West","1996","Other pigs: 20kg and over",32.7
"3518","Mid-West","1996","Other pigs: 20kg and over",48.8
"3519","South-East","1996","Other pigs: 20kg and over",219.6
"3520","South-West","1996","Other pigs: 20kg and over",239
"3521","State","1997","Other pigs: 20kg and over",1061.3
"3522","Dublin plus Mid East","1997","Other pigs: 20kg and over",58.5
"3523","Border","1997","Other pigs: 20kg and over",257.5
"3524","Midland","1997","Other pigs: 20kg and over",142.3
"3525","West","1997","Other pigs: 20kg and over",36
"3526","Mid-West","1997","Other pigs: 20kg and over",62.5
"3527","South-East","1997","Other pigs: 20kg and over",229.7
"3528","South-West","1997","Other pigs: 20kg and over",274.8
"3529","State","1998","Other pigs: 20kg and over",1149.5
"3530","Dublin plus Mid East","1998","Other pigs: 20kg and over",57.8
"3531","Border","1998","Other pigs: 20kg and over",336.5
"3532","Midland","1998","Other pigs: 20kg and over",148.9
"3533","West","1998","Other pigs: 20kg and over",31.7
"3534","Mid-West","1998","Other pigs: 20kg and over",65.2
"3535","South-East","1998","Other pigs: 20kg and over",237.3
"3536","South-West","1998","Other pigs: 20kg and over",272
"3537","State","1999","Other pigs: 20kg and over",1101.4
"3538","Dublin plus Mid East","1999","Other pigs: 20kg and over",54.8
"3539","Border","1999","Other pigs: 20kg and over",288.7
"3540","Midland","1999","Other pigs: 20kg and over",151.5
"3541","West","1999","Other pigs: 20kg and over",34.2
"3542","Mid-West","1999","Other pigs: 20kg and over",68.3
"3543","South-East","1999","Other pigs: 20kg and over",231.4
"3544","South-West","1999","Other pigs: 20kg and over",272.6
"3545","State","2000","Other pigs: 20kg and over",1014.8
"3546","Dublin plus Mid East","2000","Other pigs: 20kg and over",56.9
"3547","Border","2000","Other pigs: 20kg and over",278.6
"3548","Midland","2000","Other pigs: 20kg and over",126.6
"3549","West","2000","Other pigs: 20kg and over",31.6
"3550","Mid-West","2000","Other pigs: 20kg and over",68
"3551","South-East","2000","Other pigs: 20kg and over",196
"3552","South-West","2000","Other pigs: 20kg and over",257.1
"3553","State","2001","Other pigs: 20kg and over",1008.3
"3554","Dublin plus Mid East","2001","Other pigs: 20kg and over",51.8
"3555","Border","2001","Other pigs: 20kg and over",301.4
"3556","Midland","2001","Other pigs: 20kg and over",140.5
"3557","West","2001","Other pigs: 20kg and over",32.4
"3558","Mid-West","2001","Other pigs: 20kg and over",58.2
"3559","South-East","2001","Other pigs: 20kg and over",195.2
"3560","South-West","2001","Other pigs: 20kg and over",228.7
"3561","State","2002","Other pigs: 20kg and over",1051.3
"3562","Dublin plus Mid East","2002","Other pigs: 20kg and over",48.1
"3563","Border","2002","Other pigs: 20kg and over",326.8
"3564","Midland","2002","Other pigs: 20kg and over",136
"3565","West","2002","Other pigs: 20kg and over",33.2
"3566","Mid-West","2002","Other pigs: 20kg and over",49.4
"3567","South-East","2002","Other pigs: 20kg and over",212.6
"3568","South-West","2002","Other pigs: 20kg and over",245
"3569","State","2003","Other pigs: 20kg and over",1030
"3570","Dublin plus Mid East","2003","Other pigs: 20kg and over",50
"3571","Border","2003","Other pigs: 20kg and over",323.4
"3572","Midland","2003","Other pigs: 20kg and over",138.4
"3573","West","2003","Other pigs: 20kg and over",37.4
"3574","Mid-West","2003","Other pigs: 20kg and over",59
"3575","South-East","2003","Other pigs: 20kg and over",202.7
"3576","South-West","2003","Other pigs: 20kg and over",219.2
"3577","State","2004","Other pigs: 20kg and over",987.7
"3578","Dublin plus Mid East","2004","Other pigs: 20kg and over",47.1
"3579","Border","2004","Other pigs: 20kg and over",227
"3580","Midland","2004","Other pigs: 20kg and over",191.8
"3581","West","2004","Other pigs: 20kg and over",35.4
"3582","Mid-West","2004","Other pigs: 20kg and over",63.3
"3583","South-East","2004","Other pigs: 20kg and over",195.1
"3584","South-West","2004","Other pigs: 20kg and over",227.9
"3585","State","1991","Other pigs: under 20kg",351
"3586","Dublin plus Mid East","1991","Other pigs: under 20kg",27.1
"3587","Border","1991","Other pigs: under 20kg",78.7
"3588","Midland","1991","Other pigs: under 20kg",61.9
"3589","West","1991","Other pigs: under 20kg",16
"3590","Mid-West","1991","Other pigs: under 20kg",29.8
"3591","South-East","1991","Other pigs: under 20kg",72.2
"3592","South-West","1991","Other pigs: under 20kg",65.4
"3593","State","1992","Other pigs: under 20kg",386.3
"3594","Dublin plus Mid East","1992","Other pigs: under 20kg",27.3
"3595","Border","1992","Other pigs: under 20kg",87
"3596","Midland","1992","Other pigs: under 20kg",65.1
"3597","West","1992","Other pigs: under 20kg",22.7
"3598","Mid-West","1992","Other pigs: under 20kg",26
"3599","South-East","1992","Other pigs: under 20kg",85.3
"3600","South-West","1992","Other pigs: under 20kg",72.8
"3601","State","1993","Other pigs: under 20kg",417
"3602","Dublin plus Mid East","1993","Other pigs: under 20kg",19
"3603","Border","1993","Other pigs: under 20kg",124.1
"3604","Midland","1993","Other pigs: under 20kg",58.7
"3605","West","1993","Other pigs: under 20kg",15.2
"3606","Mid-West","1993","Other pigs: under 20kg",24.8
"3607","South-East","1993","Other pigs: under 20kg",89.9
"3608","South-West","1993","Other pigs: under 20kg",85.3
"3609","State","1994","Other pigs: under 20kg",436.5
"3610","Dublin plus Mid East","1994","Other pigs: under 20kg",20.9
"3611","Border","1994","Other pigs: under 20kg",130
"3612","Midland","1994","Other pigs: under 20kg",66.5
"3613","West","1994","Other pigs: under 20kg",16.3
"3614","Mid-West","1994","Other pigs: under 20kg",22.4
"3615","South-East","1994","Other pigs: under 20kg",92.3
"3616","South-West","1994","Other pigs: under 20kg",88.3
"3617","State","1995","Other pigs: under 20kg",422.9
"3618","Dublin plus Mid East","1995","Other pigs: under 20kg",23
"3619","Border","1995","Other pigs: under 20kg",122.8
"3620","Midland","1995","Other pigs: under 20kg",65.9
"3621","West","1995","Other pigs: under 20kg",11
"3622","Mid-West","1995","Other pigs: under 20kg",22.5
"3623","South-East","1995","Other pigs: under 20kg",90.1
"3624","South-West","1995","Other pigs: under 20kg",87.6
"3625","State","1996","Other pigs: under 20kg",432.8
"3626","Dublin plus Mid East","1996","Other pigs: under 20kg",20.2
"3627","Border","1996","Other pigs: under 20kg",114.6
"3628","Midland","1996","Other pigs: under 20kg",70.4
"3629","West","1996","Other pigs: under 20kg",15.7
"3630","Mid-West","1996","Other pigs: under 20kg",22.9
"3631","South-East","1996","Other pigs: under 20kg",95.2
"3632","South-West","1996","Other pigs: under 20kg",93.8
"3633","State","1997","Other pigs: under 20kg",446.5
"3634","Dublin plus Mid East","1997","Other pigs: under 20kg",20.8
"3635","Border","1997","Other pigs: under 20kg",109.2
"3636","Midland","1997","Other pigs: under 20kg",72.8
"3637","West","1997","Other pigs: under 20kg",18.5
"3638","Mid-West","1997","Other pigs: under 20kg",24.5
"3639","South-East","1997","Other pigs: under 20kg",101.3
"3640","South-West","1997","Other pigs: under 20kg",99.4
"3641","State","1998","Other pigs: under 20kg",469.2
"3642","Dublin plus Mid East","1998","Other pigs: under 20kg",18.7
"3643","Border","1998","Other pigs: under 20kg",115.1
"3644","Midland","1998","Other pigs: under 20kg",76.4
"3645","West","1998","Other pigs: under 20kg",16.2
"3646","Mid-West","1998","Other pigs: under 20kg",32.2
"3647","South-East","1998","Other pigs: under 20kg",99.9
"3648","South-West","1998","Other pigs: under 20kg",110.7
"3649","State","1999","Other pigs: under 20kg",492.8
"3650","Dublin plus Mid East","1999","Other pigs: under 20kg",19.6
"3651","Border","1999","Other pigs: under 20kg",137
"3652","Midland","1999","Other pigs: under 20kg",78
"3653","West","1999","Other pigs: under 20kg",18.5
"3654","Mid-West","1999","Other pigs: under 20kg",30.5
"3655","South-East","1999","Other pigs: under 20kg",102.9
"3656","South-West","1999","Other pigs: under 20kg",106.3
"3657","State","2000","Other pigs: under 20kg",526.5
"3658","Dublin plus Mid East","2000","Other pigs: under 20kg",25.2
"3659","Border","2000","Other pigs: under 20kg",152.5
"3660","Midland","2000","Other pigs: under 20kg",77.1
"3661","West","2000","Other pigs: under 20kg",19.8
"3662","Mid-West","2000","Other pigs: under 20kg",35.7
"3663","South-East","2000","Other pigs: under 20kg",103.3
"3664","South-West","2000","Other pigs: under 20kg",112.9
"3665","State","2001","Other pigs: under 20kg",547.9
"3666","Dublin plus Mid East","2001","Other pigs: under 20kg",23.2
"3667","Border","2001","Other pigs: under 20kg",175
"3668","Midland","2001","Other pigs: under 20kg",80
"3669","West","2001","Other pigs: under 20kg",20.2
"3670","Mid-West","2001","Other pigs: under 20kg",31.8
"3671","South-East","2001","Other pigs: under 20kg",97.8
"3672","South-West","2001","Other pigs: under 20kg",119.9
"3673","State","2002","Other pigs: under 20kg",548.2
"3674","Dublin plus Mid East","2002","Other pigs: under 20kg",22.1
"3675","Border","2002","Other pigs: under 20kg",162.1
"3676","Midland","2002","Other pigs: under 20kg",77
"3677","West","2002","Other pigs: under 20kg",22
"3678","Mid-West","2002","Other pigs: under 20kg",27.3
"3679","South-East","2002","Other pigs: under 20kg",114.5
"3680","South-West","2002","Other pigs: under 20kg",123.1
"3681","State","2003","Other pigs: under 20kg",520.5
"3682","Dublin plus Mid East","2003","Other pigs: under 20kg",20.3
"3683","Border","2003","Other pigs: under 20kg",156.8
"3684","Midland","2003","Other pigs: under 20kg",78.2
"3685","West","2003","Other pigs: under 20kg",20.1
"3686","Mid-West","2003","Other pigs: under 20kg",39.6
"3687","South-East","2003","Other pigs: under 20kg",100.5
"3688","South-West","2003","Other pigs: under 20kg",104.9
"3689","State","2004","Other pigs: under 20kg",495.2
"3690","Dublin plus Mid East","2004","Other pigs: under 20kg",23.6
"3691","Border","2004","Other pigs: under 20kg",112.9
"3692","Midland","2004","Other pigs: under 20kg",98.6
"3693","West","2004","Other pigs: under 20kg",19
"3694","Mid-West","2004","Other pigs: under 20kg",37.7
"3695","South-East","2004","Other pigs: under 20kg",99.8
"3696","South-West","2004","Other pigs: under 20kg",103.6
"3697","State","1991","Total poultry",12052.8
"3698","Dublin plus Mid East","1991","Total poultry",685.3
"3699","Border","1991","Total poultry",6915.9
"3700","Midland","1991","Total poultry",281.8
"3701","West","1991","Total poultry",613.7
"3702","Mid-West","1991","Total poultry",1430.8
"3703","South-East","1991","Total poultry",1212.6
"3704","South-West","1991","Total poultry",912.8
"3705","State","1992","Total poultry",12039.2
"3706","Dublin plus Mid East","1992","Total poultry",690.9
"3707","Border","1992","Total poultry",7189.4
"3708","Midland","1992","Total poultry",211.4
"3709","West","1992","Total poultry",551.3
"3710","Mid-West","1992","Total poultry",1427.8
"3711","South-East","1992","Total poultry",1152.9
"3712","South-West","1992","Total poultry",815.4
"3713","State","1993","Total poultry",12900
"3714","Dublin plus Mid East","1993","Total poultry",895.7
"3715","Border","1993","Total poultry",6903.5
"3716","Midland","1993","Total poultry",121.9
"3717","West","1993","Total poultry",704.4
"3718","Mid-West","1993","Total poultry",1697.9
"3719","South-East","1993","Total poultry",1436.4
"3720","South-West","1993","Total poultry",1140.1
"3721","State","1994","Total poultry",14615.8
"3722","Dublin plus Mid East","1994","Total poultry",875.8
"3723","Border","1994","Total poultry",8487
"3724","Midland","1994","Total poultry",107.4
"3725","West","1994","Total poultry",683.1
"3726","Mid-West","1994","Total poultry",1747.4
"3727","South-East","1994","Total poultry",1559.8
"3728","South-West","1994","Total poultry",1155.2
"3729","State","1995","Total poultry",13248.4
"3730","Dublin plus Mid East","1995","Total poultry",953.3
"3731","Border","1995","Total poultry",7535.7
"3732","Midland","1995","Total poultry",118.9
"3733","West","1995","Total poultry",548.6
"3734","Mid-West","1995","Total poultry",1580.9
"3735","South-East","1995","Total poultry",1373
"3736","South-West","1995","Total poultry",1138
"3737","State","1996","Total poultry",13170.5
"3738","Dublin plus Mid East","1996","Total poultry",874.1
"3739","Border","1996","Total poultry",7149
"3740","Midland","1996","Total poultry",104.2
"3741","West","1996","Total poultry",609.8
"3742","Mid-West","1996","Total poultry",1662.7
"3743","South-East","1996","Total poultry",1538.2
"3744","South-West","1996","Total poultry",1232.5
"3745","State","1997","Total poultry",13432.5
"3746","Dublin plus Mid East","1997","Total poultry",729.8
"3747","Border","1997","Total poultry",7448.1
"3748","Midland","1997","Total poultry",83.4
"3749","West","1997","Total poultry",485.9
"3750","Mid-West","1997","Total poultry",2036.4
"3751","South-East","1997","Total poultry",1473.4
"3752","South-West","1997","Total poultry",1175.5
"3753","State","1998","Total poultry",13146.9
"3754","Dublin plus Mid East","1998","Total poultry",848.5
"3755","Border","1998","Total poultry",7267.2
"3756","Midland","1998","Total poultry",105
"3757","West","1998","Total poultry",569
"3758","Mid-West","1998","Total poultry",1717.2
"3759","South-East","1998","Total poultry",1393.9
"3760","South-West","1998","Total poultry",1246
"3761","State","1999","Total poultry",12697.4
"3762","Dublin plus Mid East","1999","Total poultry",749.4
"3763","Border","1999","Total poultry",7219
"3764","Midland","1999","Total poultry",94.7
"3765","West","1999","Total poultry",571.3
"3766","Mid-West","1999","Total poultry",1585.1
"3767","South-East","1999","Total poultry",1231
"3768","South-West","1999","Total poultry",1246.9
"3769","State","2000","Total poultry",13960.8
"3770","Dublin plus Mid East","2000","Total poultry",582.5
"3771","Border","2000","Total poultry",7681.8
"3772","Midland","2000","Total poultry",86
"3773","West","2000","Total poultry",579.2
"3774","Mid-West","2000","Total poultry",2372.7
"3775","South-East","2000","Total poultry",1349.9
"3776","South-West","2000","Total poultry",1308.6
"3777","State","2001","Total poultry",12602.6
"3778","Dublin plus Mid East","2001","Total poultry",NA
"3779","Border","2001","Total poultry",NA
"3780","Midland","2001","Total poultry",NA
"3781","West","2001","Total poultry",NA
"3782","Mid-West","2001","Total poultry",NA
"3783","South-East","2001","Total poultry",NA
"3784","South-West","2001","Total poultry",NA
"3785","State","2002","Total poultry",12708.6
"3786","Dublin plus Mid East","2002","Total poultry",NA
"3787","Border","2002","Total poultry",NA
"3788","Midland","2002","Total poultry",NA
"3789","West","2002","Total poultry",NA
"3790","Mid-West","2002","Total poultry",NA
"3791","South-East","2002","Total poultry",NA
"3792","South-West","2002","Total poultry",NA
"3793","State","2003","Total poultry",12737.8
"3794","Dublin plus Mid East","2003","Total poultry",NA
"3795","Border","2003","Total poultry",NA
"3796","Midland","2003","Total poultry",NA
"3797","West","2003","Total poultry",NA
"3798","Mid-West","2003","Total poultry",NA
"3799","South-East","2003","Total poultry",NA
"3800","South-West","2003","Total poultry",NA
"3801","State","2004","Total poultry",NA
"3802","Dublin plus Mid East","2004","Total poultry",NA
"3803","Border","2004","Total poultry",NA
"3804","Midland","2004","Total poultry",NA
"3805","West","2004","Total poultry",NA
"3806","Mid-West","2004","Total poultry",NA
"3807","South-East","2004","Total poultry",NA
"3808","South-West","2004","Total poultry",NA
"3809","State","1991","Ordinary fowl",10853.6
"3810","Dublin plus Mid East","1991","Ordinary fowl",603.8
"3811","Border","1991","Ordinary fowl",5939.2
"3812","Midland","1991","Ordinary fowl",271.2
"3813","West","1991","Ordinary fowl",597.3
"3814","Mid-West","1991","Ordinary fowl",1367.8
"3815","South-East","1991","Ordinary fowl",1188.5
"3816","South-West","1991","Ordinary fowl",885.9
"3817","State","1992","Ordinary fowl",10830
"3818","Dublin plus Mid East","1992","Ordinary fowl",617.5
"3819","Border","1992","Ordinary fowl",6202.8
"3820","Midland","1992","Ordinary fowl",200.9
"3821","West","1992","Ordinary fowl",533
"3822","Mid-West","1992","Ordinary fowl",1361.4
"3823","South-East","1992","Ordinary fowl",1124.5
"3824","South-West","1992","Ordinary fowl",789.9
"3825","State","1993","Ordinary fowl",11630.8
"3826","Dublin plus Mid East","1993","Ordinary fowl",689.5
"3827","Border","1993","Ordinary fowl",6006.6
"3828","Midland","1993","Ordinary fowl",110.6
"3829","West","1993","Ordinary fowl",693.6
"3830","Mid-West","1993","Ordinary fowl",1597.6
"3831","South-East","1993","Ordinary fowl",1410.3
"3832","South-West","1993","Ordinary fowl",1122.6
"3833","State","1994","Ordinary fowl",12410.7
"3834","Dublin plus Mid East","1994","Ordinary fowl",721.9
"3835","Border","1994","Ordinary fowl",7370.2
"3836","Midland","1994","Ordinary fowl",102.5
"3837","West","1994","Ordinary fowl",673.5
"3838","Mid-West","1994","Ordinary fowl",1735.8
"3839","South-East","1994","Ordinary fowl",1548.4
"3840","South-West","1994","Ordinary fowl",1148.5
"3841","State","1995","Ordinary fowl",11571.2
"3842","Dublin plus Mid East","1995","Ordinary fowl",684.8
"3843","Border","1995","Ordinary fowl",6254
"3844","Midland","1995","Ordinary fowl",95.1
"3845","West","1995","Ordinary fowl",535.6
"3846","Mid-West","1995","Ordinary fowl",1525.9
"3847","South-East","1995","Ordinary fowl",1352
"3848","South-West","1995","Ordinary fowl",1123.8
"3849","State","1996","Ordinary fowl",12013.4
"3850","Dublin plus Mid East","1996","Ordinary fowl",723.6
"3851","Border","1996","Ordinary fowl",6235.4
"3852","Midland","1996","Ordinary fowl",94.3
"3853","West","1996","Ordinary fowl",601.1
"3854","Mid-West","1996","Ordinary fowl",1629
"3855","South-East","1996","Ordinary fowl",1520.3
"3856","South-West","1996","Ordinary fowl",1209.7
"3857","State","1997","Ordinary fowl",12255.5
"3858","Dublin plus Mid East","1997","Ordinary fowl",574.3
"3859","Border","1997","Ordinary fowl",6482.2
"3860","Midland","1997","Ordinary fowl",77
"3861","West","1997","Ordinary fowl",480.2
"3862","Mid-West","1997","Ordinary fowl",2024.7
"3863","South-East","1997","Ordinary fowl",1454.6
"3864","South-West","1997","Ordinary fowl",1162.5
"3865","State","1998","Ordinary fowl",11586.6
"3866","Dublin plus Mid East","1998","Ordinary fowl",641
"3867","Border","1998","Ordinary fowl",6063.7
"3868","Midland","1998","Ordinary fowl",90.7
"3869","West","1998","Ordinary fowl",565.5
"3870","Mid-West","1998","Ordinary fowl",1699.9
"3871","South-East","1998","Ordinary fowl",1380.8
"3872","South-West","1998","Ordinary fowl",1145
"3873","State","1999","Ordinary fowl",11419.7
"3874","Dublin plus Mid East","1999","Ordinary fowl",608.9
"3875","Border","1999","Ordinary fowl",6198
"3876","Midland","1999","Ordinary fowl",82.8
"3877","West","1999","Ordinary fowl",567.3
"3878","Mid-West","1999","Ordinary fowl",1575.5
"3879","South-East","1999","Ordinary fowl",1224.1
"3880","South-West","1999","Ordinary fowl",1163.2
"3881","State","2000","Ordinary fowl",12724.9
"3882","Dublin plus Mid East","2000","Ordinary fowl",557.8
"3883","Border","2000","Ordinary fowl",6623
"3884","Midland","2000","Ordinary fowl",75.7
"3885","West","2000","Ordinary fowl",571.1
"3886","Mid-West","2000","Ordinary fowl",2356.2
"3887","South-East","2000","Ordinary fowl",1334.2
"3888","South-West","2000","Ordinary fowl",1206.9
"3889","State","2001","Ordinary fowl",11450.3
"3890","Dublin plus Mid East","2001","Ordinary fowl",NA
"3891","Border","2001","Ordinary fowl",NA
"3892","Midland","2001","Ordinary fowl",NA
"3893","West","2001","Ordinary fowl",NA
"3894","Mid-West","2001","Ordinary fowl",NA
"3895","South-East","2001","Ordinary fowl",NA
"3896","South-West","2001","Ordinary fowl",NA
"3897","State","2002","Ordinary fowl",11599.1
"3898","Dublin plus Mid East","2002","Ordinary fowl",NA
"3899","Border","2002","Ordinary fowl",NA
"3900","Midland","2002","Ordinary fowl",NA
"3901","West","2002","Ordinary fowl",NA
"3902","Mid-West","2002","Ordinary fowl",NA
"3903","South-East","2002","Ordinary fowl",NA
"3904","South-West","2002","Ordinary fowl",NA
"3905","State","2003","Ordinary fowl",11365.2
"3906","Dublin plus Mid East","2003","Ordinary fowl",NA
"3907","Border","2003","Ordinary fowl",NA
"3908","Midland","2003","Ordinary fowl",NA
"3909","West","2003","Ordinary fowl",NA
"3910","Mid-West","2003","Ordinary fowl",NA
"3911","South-East","2003","Ordinary fowl",NA
"3912","South-West","2003","Ordinary fowl",NA
"3913","State","2004","Ordinary fowl",NA
"3914","Dublin plus Mid East","2004","Ordinary fowl",NA
"3915","Border","2004","Ordinary fowl",NA
"3916","Midland","2004","Ordinary fowl",NA
"3917","West","2004","Ordinary fowl",NA
"3918","Mid-West","2004","Ordinary fowl",NA
"3919","South-East","2004","Ordinary fowl",NA
"3920","South-West","2004","Ordinary fowl",NA
"3921","State","1991","Other fowl",1199.2
"3922","Dublin plus Mid East","1991","Other fowl",81.5
"3923","Border","1991","Other fowl",976.8
"3924","Midland","1991","Other fowl",10.5
"3925","West","1991","Other fowl",16.4
"3926","Mid-West","1991","Other fowl",63
"3927","South-East","1991","Other fowl",24.1
"3928","South-West","1991","Other fowl",26.9
"3929","State","1992","Other fowl",1209.2
"3930","Dublin plus Mid East","1992","Other fowl",73.4
"3931","Border","1992","Other fowl",986.7
"3932","Midland","1992","Other fowl",10.5
"3933","West","1992","Other fowl",18.3
"3934","Mid-West","1992","Other fowl",66.4
"3935","South-East","1992","Other fowl",28.4
"3936","South-West","1992","Other fowl",25.5
"3937","State","1993","Other fowl",1269.2
"3938","Dublin plus Mid East","1993","Other fowl",206.2
"3939","Border","1993","Other fowl",896.9
"3940","Midland","1993","Other fowl",11.3
"3941","West","1993","Other fowl",10.8
"3942","Mid-West","1993","Other fowl",100.3
"3943","South-East","1993","Other fowl",26.1
"3944","South-West","1993","Other fowl",17.5
"3945","State","1994","Other fowl",1315.1
"3946","Dublin plus Mid East","1994","Other fowl",154
"3947","Border","1994","Other fowl",1116.8
"3948","Midland","1994","Other fowl",5
"3949","West","1994","Other fowl",9.6
"3950","Mid-West","1994","Other fowl",11.7
"3951","South-East","1994","Other fowl",11.4
"3952","South-West","1994","Other fowl",6.7
"3953","State","1995","Other fowl",1677.3
"3954","Dublin plus Mid East","1995","Other fowl",268.5
"3955","Border","1995","Other fowl",1281.7
"3956","Midland","1995","Other fowl",23.8
"3957","West","1995","Other fowl",13
"3958","Mid-West","1995","Other fowl",55
"3959","South-East","1995","Other fowl",20.9
"3960","South-West","1995","Other fowl",14.3
"3961","State","1996","Other fowl",1157.1
"3962","Dublin plus Mid East","1996","Other fowl",150.5
"3963","Border","1996","Other fowl",913.6
"3964","Midland","1996","Other fowl",9.9
"3965","West","1996","Other fowl",8.7
"3966","Mid-West","1996","Other fowl",33.7
"3967","South-East","1996","Other fowl",17.9
"3968","South-West","1996","Other fowl",22.8
