"","Region","Year","Type.of.Animal","value"
"226","Dublin plus Mid East","1991","Cows",159.3
"227","Border","1991","Cows",301.6
"228","Midland","1991","Cows",169.7
"229","West","1991","Cows",268.8
"230","Mid-West","1991","Cows",337.5
"231","South-East","1991","Cows",376.3
"232","South-West","1991","Cows",535.1
"233","State","1992","Cows",2167
"234","Dublin plus Mid East","1992","Cows",161
"235","Border","1992","Cows",306.4
"236","Midland","1992","Cows",172.1
"237","West","1992","Cows",277.9
"238","Mid-West","1992","Cows",342.6
"239","South-East","1992","Cows",371.9
"240","South-West","1992","Cows",534.9
"241","State","1993","Cows",2243.3
"242","Dublin plus Mid East","1993","Cows",164.4
"243","Border","1993","Cows",321.1
"244","Midland","1993","Cows",183.8
"245","West","1993","Cows",294.4
"246","Mid-West","1993","Cows",348.3
"247","South-East","1993","Cows",384.8
"248","South-West","1993","Cows",545.7
"249","State","1994","Cows",2271.7
"250","Dublin plus Mid East","1994","Cows",167.6
"251","Border","1994","Cows",323.7
"252","Midland","1994","Cows",188.8
"253","West","1994","Cows",298.5
"254","Mid-West","1994","Cows",353.8
"255","South-East","1994","Cows",391
"256","South-West","1994","Cows",548.2
"257","State","1995","Cows",2295.3
"258","Dublin plus Mid East","1995","Cows",169.6
"259","Border","1995","Cows",329.7
"260","Midland","1995","Cows",190.6
"261","West","1995","Cows",304.9
"262","Mid-West","1995","Cows",356.5
"263","South-East","1995","Cows",391.3
"264","South-West","1995","Cows",552.7
"265","State","1996","Cows",2379.1
"266","Dublin plus Mid East","1996","Cows",174.6
"267","Border","1996","Cows",345.6
"268","Midland","1996","Cows",201.5
"269","West","1996","Cows",322
"270","Mid-West","1996","Cows",367.4
"271","South-East","1996","Cows",403.6
"272","South-West","1996","Cows",564.4
"273","State","1997","Cows",2453.6
"274","Dublin plus Mid East","1997","Cows",178.5
"275","Border","1997","Cows",361.5
"276","Midland","1997","Cows",209.2
"277","West","1997","Cows",345.2
"278","Mid-West","1997","Cows",376.5
"279","South-East","1997","Cows",409.3
"280","South-West","1997","Cows",573.3
"281","State","1998","Cows",2481.7
"282","Dublin plus Mid East","1998","Cows",181.7
"283","Border","1998","Cows",366.9
"284","Midland","1998","Cows",215.3
"285","West","1998","Cows",356.7
"286","Mid-West","1998","Cows",381.4
"287","South-East","1998","Cows",410.2
"288","South-West","1998","Cows",569.5
"289","State","1999","Cows",2417.9
"290","Dublin plus Mid East","1999","Cows",179.9
"291","Border","1999","Cows",357.9
"292","Midland","1999","Cows",208.9
"293","West","1999","Cows",348.8
"294","Mid-West","1999","Cows",365.7
"295","South-East","1999","Cows",405.2
"296","South-West","1999","Cows",551.5
"297","State","2000","Cows",2364.4
"298","Dublin plus Mid East","2000","Cows",172.9
"299","Border","2000","Cows",350.7
"300","Midland","2000","Cows",219.9
"301","West","2000","Cows",333.5
"302","Mid-West","2000","Cows",357.4
"303","South-East","2000","Cows",396.4
"304","South-West","2000","Cows",533.6
"305","State","2001","Cows",2379.3
"306","Dublin plus Mid East","2001","Cows",169.4
"307","Border","2001","Cows",354.3
"308","Midland","2001","Cows",220.9
"309","West","2001","Cows",334.9
"310","Mid-West","2001","Cows",356.4
"311","South-East","2001","Cows",400.9
"312","South-West","2001","Cows",542.6
