"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"323","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","1-2",NA
"324","Number of Pigs (Thousand)","1989","Female Breeding Pigs","1-2",NA
"325","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","1-2",NA
"326","Number of Pigs (Thousand)","1991","Female Breeding Pigs","1-2",NA
"327","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","1-2",NA
"328","Number of Pigs (Thousand)","1993","Female Breeding Pigs","1-2",NA
"329","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","1-2",NA
"330","Number of Pigs (Thousand)","1995","Female Breeding Pigs","1-2",NA
"331","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","1-2",NA
"332","Number of Pigs (Thousand)","1997","Female Breeding Pigs","1-2",NA
"333","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","1-2",NA
"334","Number of Pigs (Thousand)","1999","Female Breeding Pigs","1-2",NA
"335","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","1-2",NA
"336","Number of Pigs (Thousand)","2001","Female Breeding Pigs","1-2",NA
"337","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","1-2",NA
"338","Number of Pigs (Thousand)","2003","Female Breeding Pigs","1-2",NA
"339","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","1-2",NA
"340","Number of Pigs (Thousand)","2005","Female Breeding Pigs","1-2",NA
"341","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","1-2",2.8
"342","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","1-2",4.7
"343","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","1-2",2.1
"344","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","1-2",3.3
"345","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","1-2",1.4
"346","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","1-2",2.4
"347","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","1-2",1.2
"348","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","1-2",1.9
"349","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","1-2",0.7
"350","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","1-2",1
"351","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","1-2",0.7
"352","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","1-2",1.2
"353","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","1-2",0.7
"354","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","1-2",1
"355","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","1-2",0.4
"356","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","1-2",0.6
"357","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","1-2",0.1
"358","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"359","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","1-2",0.1
"360","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","1-2",0.2
"361","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","1-2",0.1
"362","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","1-2",0.1
"363","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","1-2",0.4
"364","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","1-2",0.6
"365","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"366","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"367","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","1-2",0.2
"368","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"369","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"370","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","1-2",0.3
"371","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","1-2",0
"372","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","1-2",0
"373","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","1-2",0
"374","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","1-2",0
"375","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","1-2",4.6
"376","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","1-2",7
"377","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","1-2",3.7
"378","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","1-2",5.6
"379","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","1-2",3.6
"380","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","1-2",5.4
"381","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","1-2",2.4
"382","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","1-2",3.6
"383","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","1-2",1.8
"384","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","1-2",2.5
"385","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","1-2",2.1
"386","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","1-2",3.2
"387","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","1-2",1.4
"388","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","1-2",2.1
"389","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","1-2",1.1
"390","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","1-2",1.7
"391","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","1-2",0.5
"392","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","1-2",0.7
"393","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","1-2",0.3
"394","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","1-2",0.4
"395","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","1-2",0.4
"396","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","1-2",0.5
"397","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","1-2",0.5
"398","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","1-2",0.6
"399","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","1-2",0.4
"400","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","1-2",0.5
"401","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","1-2",0.2
"402","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","1-2",0.3
"403","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","1-2",0.3
"404","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","1-2",0.3
"405","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","1-2",0.1
"406","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","1-2",0.1
"407","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","1-2",0
"408","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","1-2",0
"409","Number of Farms with Pigs (Thousand)","1973","Pigs","3-9",8.3
"410","Number of Pigs (Thousand)","1973","Pigs","3-9",43
"411","Number of Farms with Pigs (Thousand)","1975","Pigs","3-9",5.5
"412","Number of Pigs (Thousand)","1975","Pigs","3-9",28
"413","Number of Farms with Pigs (Thousand)","1977","Pigs","3-9",3.9
"414","Number of Pigs (Thousand)","1977","Pigs","3-9",20.6
"415","Number of Farms with Pigs (Thousand)","1979","Pigs","3-9",2.8
"416","Number of Pigs (Thousand)","1979","Pigs","3-9",14.7
"417","Number of Farms with Pigs (Thousand)","1981","Pigs","3-9",2
"418","Number of Pigs (Thousand)","1981","Pigs","3-9",10.6
"419","Number of Farms with Pigs (Thousand)","1983","Pigs","3-9",1.7
"420","Number of Pigs (Thousand)","1983","Pigs","3-9",8.7
"421","Number of Farms with Pigs (Thousand)","1985","Pigs","3-9",1.4
"422","Number of Pigs (Thousand)","1985","Pigs","3-9",7.2
"423","Number of Farms with Pigs (Thousand)","1987","Pigs","3-9",0.8
"424","Number of Pigs (Thousand)","1987","Pigs","3-9",4.3
"425","Number of Farms with Pigs (Thousand)","1989","Pigs","3-9",0.5
"426","Number of Pigs (Thousand)","1989","Pigs","3-9",2.4
"427","Number of Farms with Pigs (Thousand)","1991","Pigs","3-9",0.4
"428","Number of Pigs (Thousand)","1991","Pigs","3-9",2
"429","Number of Farms with Pigs (Thousand)","1993","Pigs","3-9",0.5
"430","Number of Pigs (Thousand)","1993","Pigs","3-9",2
"431","Number of Farms with Pigs (Thousand)","1995","Pigs","3-9",0.3
"432","Number of Pigs (Thousand)","1995","Pigs","3-9",1.4
"433","Number of Farms with Pigs (Thousand)","1997","Pigs","3-9",0.2
"434","Number of Pigs (Thousand)","1997","Pigs","3-9",1.1
"435","Number of Farms with Pigs (Thousand)","1999","Pigs","3-9",0.2
"436","Number of Pigs (Thousand)","1999","Pigs","3-9",1.2
"437","Number of Farms with Pigs (Thousand)","2001","Pigs","3-9",0.2
"438","Number of Pigs (Thousand)","2001","Pigs","3-9",0.9
"439","Number of Farms with Pigs (Thousand)","2003","Pigs","3-9",0.1
"440","Number of Pigs (Thousand)","2003","Pigs","3-9",0.3
"441","Number of Farms with Pigs (Thousand)","2005","Pigs","3-9",0
"442","Number of Pigs (Thousand)","2005","Pigs","3-9",0.2
"443","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","3-9",NA
"444","Number of Pigs (Thousand)","1973","Female Breeding Pigs","3-9",NA
"445","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","3-9",NA
"446","Number of Pigs (Thousand)","1975","Female Breeding Pigs","3-9",NA
"447","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","3-9",NA
"448","Number of Pigs (Thousand)","1977","Female Breeding Pigs","3-9",NA
"449","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","3-9",NA
"450","Number of Pigs (Thousand)","1979","Female Breeding Pigs","3-9",NA
"451","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","3-9",NA
"452","Number of Pigs (Thousand)","1981","Female Breeding Pigs","3-9",NA
"453","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","3-9",NA
"454","Number of Pigs (Thousand)","1983","Female Breeding Pigs","3-9",NA
"455","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","3-9",NA
"456","Number of Pigs (Thousand)","1985","Female Breeding Pigs","3-9",NA
"457","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","3-9",NA
"458","Number of Pigs (Thousand)","1987","Female Breeding Pigs","3-9",NA
"459","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","3-9",NA
"460","Number of Pigs (Thousand)","1989","Female Breeding Pigs","3-9",NA
"461","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","3-9",NA
"462","Number of Pigs (Thousand)","1991","Female Breeding Pigs","3-9",NA
"463","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","3-9",NA
"464","Number of Pigs (Thousand)","1993","Female Breeding Pigs","3-9",NA
"465","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","3-9",NA
"466","Number of Pigs (Thousand)","1995","Female Breeding Pigs","3-9",NA
"467","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","3-9",NA
"468","Number of Pigs (Thousand)","1997","Female Breeding Pigs","3-9",NA
"469","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","3-9",NA
"470","Number of Pigs (Thousand)","1999","Female Breeding Pigs","3-9",NA
"471","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","3-9",NA
"472","Number of Pigs (Thousand)","2001","Female Breeding Pigs","3-9",NA
"473","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","3-9",NA
"474","Number of Pigs (Thousand)","2003","Female Breeding Pigs","3-9",NA
"475","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","3-9",NA
"476","Number of Pigs (Thousand)","2005","Female Breeding Pigs","3-9",NA
"477","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","3-9",5.4
"478","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","3-9",32.7
"479","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","3-9",3.5
"480","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","3-9",21.6
"481","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","3-9",2.5
"482","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","3-9",15.6
"483","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","3-9",1.6
"484","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","3-9",9.8
"485","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","3-9",1.2
"486","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","3-9",7.2
"487","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","3-9",1.1
"488","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","3-9",6.6
"489","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","3-9",0.9
"490","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","3-9",5.3
"491","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","3-9",0.5
"492","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","3-9",2.8
"493","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","3-9",0.2
"494","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","3-9",1.2
"495","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","3-9",0.1
"496","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","3-9",0.7
"497","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","3-9",0.1
"498","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","3-9",0.2
"499","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","3-9",0.4
"500","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","3-9",2.2
"501","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","3-9",0.4
"502","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","3-9",1.9
"503","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","3-9",0.1
"504","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","3-9",0.5
"505","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","3-9",0.1
"506","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","3-9",0.7
"507","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","3-9",0
"508","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","3-9",0.3
"509","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","3-9",0
"510","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","3-9",0.1
"511","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","3-9",3.2
"512","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","3-9",15.9
"513","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","3-9",2.1
"514","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","3-9",10.1
"515","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","3-9",1.6
"516","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","3-9",8.2
"517","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","3-9",1.4
"518","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","3-9",7.2
"519","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","3-9",1.1
"520","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","3-9",5.5
"521","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","3-9",0.8
"522","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","3-9",4
"523","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","3-9",0.8
"524","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","3-9",3.8
"525","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","3-9",0.4
"526","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","3-9",1.9
"527","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","3-9",0.2
"528","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","3-9",1.6
"529","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","3-9",0.2
"530","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","3-9",1
"531","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","3-9",0.3
"532","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","3-9",1.7
"533","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","3-9",0.4
"534","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","3-9",2.4
"535","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","3-9",0.3
"536","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","3-9",1.7
"537","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","3-9",0.1
"538","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","3-9",0.7
"539","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","3-9",0.1
"540","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","3-9",0.6
"541","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","3-9",0
"542","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","3-9",0.1
"543","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","3-9",0
"544","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","3-9",0.1
"545","Number of Farms with Pigs (Thousand)","1973","Pigs","10-19",7.4
"546","Number of Pigs (Thousand)","1973","Pigs","10-19",99.8
"547","Number of Farms with Pigs (Thousand)","1975","Pigs","10-19",5.3
"548","Number of Pigs (Thousand)","1975","Pigs","10-19",72.1
"549","Number of Farms with Pigs (Thousand)","1977","Pigs","10-19",4.2
"550","Number of Pigs (Thousand)","1977","Pigs","10-19",55.1
"551","Number of Farms with Pigs (Thousand)","1979","Pigs","10-19",2.8
"552","Number of Pigs (Thousand)","1979","Pigs","10-19",37.4
"553","Number of Farms with Pigs (Thousand)","1981","Pigs","10-19",2.1
"554","Number of Pigs (Thousand)","1981","Pigs","10-19",27
"555","Number of Farms with Pigs (Thousand)","1983","Pigs","10-19",1.8
"556","Number of Pigs (Thousand)","1983","Pigs","10-19",23.3
"557","Number of Farms with Pigs (Thousand)","1985","Pigs","10-19",1.3
"558","Number of Pigs (Thousand)","1985","Pigs","10-19",16.6
"559","Number of Farms with Pigs (Thousand)","1987","Pigs","10-19",0.5
"560","Number of Pigs (Thousand)","1987","Pigs","10-19",7
"561","Number of Farms with Pigs (Thousand)","1989","Pigs","10-19",0.3
"562","Number of Pigs (Thousand)","1989","Pigs","10-19",3.8
"563","Number of Farms with Pigs (Thousand)","1991","Pigs","10-19",0.3
"564","Number of Pigs (Thousand)","1991","Pigs","10-19",4.1
"565","Number of Farms with Pigs (Thousand)","1993","Pigs","10-19",0.3
"566","Number of Pigs (Thousand)","1993","Pigs","10-19",4.4
"567","Number of Farms with Pigs (Thousand)","1995","Pigs","10-19",0.4
"568","Number of Pigs (Thousand)","1995","Pigs","10-19",4.8
"569","Number of Farms with Pigs (Thousand)","1997","Pigs","10-19",0.2
"570","Number of Pigs (Thousand)","1997","Pigs","10-19",3
"571","Number of Farms with Pigs (Thousand)","1999","Pigs","10-19",0.1
"572","Number of Pigs (Thousand)","1999","Pigs","10-19",1.6
"573","Number of Farms with Pigs (Thousand)","2001","Pigs","10-19",0.1
"574","Number of Pigs (Thousand)","2001","Pigs","10-19",1.5
"575","Number of Farms with Pigs (Thousand)","2003","Pigs","10-19",0
"576","Number of Pigs (Thousand)","2003","Pigs","10-19",0.5
"577","Number of Farms with Pigs (Thousand)","2005","Pigs","10-19",0
"578","Number of Pigs (Thousand)","2005","Pigs","10-19",0.3
"579","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","10-19",1.3
"580","Number of Pigs (Thousand)","1973","Female Breeding Pigs","10-19",17.2
"581","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","10-19",0.8
"582","Number of Pigs (Thousand)","1975","Female Breeding Pigs","10-19",9.8
"583","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","10-19",0.7
"584","Number of Pigs (Thousand)","1977","Female Breeding Pigs","10-19",8.3
"585","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","10-19",0.5
"586","Number of Pigs (Thousand)","1979","Female Breeding Pigs","10-19",6.8
"587","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","10-19",0.4
"588","Number of Pigs (Thousand)","1981","Female Breeding Pigs","10-19",5.3
"589","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","10-19",0.4
"590","Number of Pigs (Thousand)","1983","Female Breeding Pigs","10-19",5
"591","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","10-19",0.3
"592","Number of Pigs (Thousand)","1985","Female Breeding Pigs","10-19",3.4
"593","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","10-19",0.2
"594","Number of Pigs (Thousand)","1987","Female Breeding Pigs","10-19",2.9
"595","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","10-19",0.1
"596","Number of Pigs (Thousand)","1989","Female Breeding Pigs","10-19",0.8
"597","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","10-19",0.1
"598","Number of Pigs (Thousand)","1991","Female Breeding Pigs","10-19",1.6
"599","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","10-19",0.1
"600","Number of Pigs (Thousand)","1993","Female Breeding Pigs","10-19",0.8
"601","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","10-19",0.1
"602","Number of Pigs (Thousand)","1995","Female Breeding Pigs","10-19",0.8
"603","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","10-19",0
"604","Number of Pigs (Thousand)","1997","Female Breeding Pigs","10-19",0.6
"605","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","10-19",0
"606","Number of Pigs (Thousand)","1999","Female Breeding Pigs","10-19",0.6
"607","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","10-19",0
"608","Number of Pigs (Thousand)","2001","Female Breeding Pigs","10-19",0.5
"609","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","10-19",0
"610","Number of Pigs (Thousand)","2003","Female Breeding Pigs","10-19",0.3
"611","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","10-19",0
"612","Number of Pigs (Thousand)","2005","Female Breeding Pigs","10-19",0.1
"613","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","10-19",6.4
"614","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","10-19",80.4
"615","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","10-19",4.5
"616","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","10-19",57.3
"617","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","10-19",3.6
"618","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","10-19",45.1
"619","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","10-19",2.4
"620","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","10-19",30.2
"621","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","10-19",1.7
"622","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","10-19",20.7
"623","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","10-19",1.4
"624","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","10-19",17.5
"625","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","10-19",1
"626","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","10-19",12.8
"627","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","10-19",0.5
"628","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","10-19",6.4
"629","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","10-19",0.2
"630","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","10-19",3.1
"631","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"632","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","10-19",1.5
"633","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"634","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","10-19",1.9
"635","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"636","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","10-19",1.6
