"","Year","Type.of.Animal","value"
"706","1990","Ewes: under 2 years",NA
"707","1991","Ewes: under 2 years",NA
"708","1992","Ewes: under 2 years",849.3
"709","1993","Ewes: under 2 years",907.4
"710","1994","Ewes: under 2 years",892.6
"711","1995","Ewes: under 2 years",881.3
"712","1996","Ewes: under 2 years",851.4
"713","1997","Ewes: under 2 years",893.6
"714","1998","Ewes: under 2 years",890.9
"715","1999","Ewes: under 2 years",783.2
"716","2000","Ewes: under 2 years",700.7
"717","2001","Ewes: under 2 years",664.4
"718","2002","Ewes: under 2 years",682.7
"719","2003","Ewes: under 2 years",721.7
"720","2004","Ewes: under 2 years",601.5
"721","1975","Rams",56.7
"722","1976","Rams",55.9
"723","1977","Rams",55.5
"724","1978","Rams",55.7
"725","1979","Rams",53.1
"726","1980","Rams",53.5
"727","1981","Rams",56.1
"728","1982","Rams",60.9
"729","1983","Rams",64.1
"730","1984","Rams",68.1
"731","1985","Rams",75.2
"732","1986","Rams",81.4
"733","1987","Rams",93.3
"734","1988","Rams",109
"735","1989","Rams",122.7
"736","1990","Rams",127.8
"737","1991","Rams",129.4
"738","1992","Rams",130
"739","1993","Rams",128.7
"740","1994","Rams",124.3
"741","1995","Rams",122.3
"742","1996","Rams",116.1
"743","1997","Rams",118.9
"744","1998","Rams",117.3
"745","1999","Rams",114.8
"746","2000","Rams",111.8
"747","2001","Rams",108.2
"748","2002","Rams",104
"749","2003","Rams",102.2
"750","2004","Rams",100.4
"751","1975","Other sheep",865.6
"752","1976","Other sheep",834.9
"753","1977","Other sheep",839
"754","1978","Other sheep",723.3
"755","1979","Other sheep",726.2
"756","1980","Other sheep",683.1
"757","1981","Other sheep",703.5
"758","1982","Other sheep",721.3
"759","1983","Other sheep",787.8
"760","1984","Other sheep",867
"761","1985","Other sheep",822.6
"762","1986","Other sheep",927.1
"763","1987","Other sheep",1087.3
"764","1988","Other sheep",1282.1
"765","1989","Other sheep",1442.8
"766","1990","Other sheep",1247.8
"767","1991","Other sheep",1233.7
"768","1992","Other sheep",1189.6
"769","1993","Other sheep",1187.4
"770","1994","Other sheep",1105.5
"771","1995","Other sheep",1091.7
"772","1996","Other sheep",966.6
"773","1997","Other sheep",1147.5
"774","1998","Other sheep",1172.4
"775","1999","Other sheep",1101.9
"776","2000","Other sheep",1010.5
"777","2001","Other sheep",886.8
"778","2002","Other sheep",993.6
"779","2003","Other sheep",1070.9
"780","2004","Other sheep",987.3
"781","1975","Total pigs",880.2
"782","1976","Total pigs",972
"783","1977","Total pigs",968.6
"784","1978","Total pigs",1099.5
"785","1979","Total pigs",1057
"786","1980","Total pigs",1030.8
"787","1981","Total pigs",1027
"788","1982","Total pigs",1081.1
"789","1983","Total pigs",1053.4
"790","1984","Total pigs",1019.5
"791","1985","Total pigs",994.1
"792","1986","Total pigs",980
"793","1987","Total pigs",960.3
"794","1988","Total pigs",1014.5
"795","1989","Total pigs",1110.1
"796","1990","Total pigs",1249.1
"797","1991","Total pigs",1345.5
"798","1992","Total pigs",1422.7
"799","1993","Total pigs",1487.2
"800","1994","Total pigs",1498.3
"801","1995","Total pigs",1542.3
"802","1996","Total pigs",1664.5
"803","1997","Total pigs",1717
"804","1998","Total pigs",1800.9
"805","1999","Total pigs",1762.9
"806","2000","Total pigs",1731.5
"807","2001","Total pigs",1777.8
"808","2002","Total pigs",1796.9
"809","2003","Total pigs",1731
"810","2004","Total pigs",1754.3
"811","1975","Breeding pigs",112.8
"812","1976","Breeding pigs",117.3
"813","1977","Breeding pigs",117.1
"814","1978","Breeding pigs",129.2
"815","1979","Breeding pigs",121.3
"816","1980","Breeding pigs",115
"817","1981","Breeding pigs",121.5
"818","1982","Breeding pigs",124.8
"819","1983","Breeding pigs",122.8
"820","1984","Breeding pigs",119.5
"821","1985","Breeding pigs",117.5
"822","1986","Breeding pigs",113.4
"823","1987","Breeding pigs",112.8
"824","1988","Breeding pigs",119.6
"825","1989","Breeding pigs",138.2
"826","1990","Breeding pigs",155.1
"827","1991","Breeding pigs",166.6
"828","1992","Breeding pigs",178
"829","1993","Breeding pigs",175
"830","1994","Breeding pigs",167
"831","1995","Breeding pigs",180.8
"832","1996","Breeding pigs",187.4
"833","1997","Breeding pigs",197.6
"834","1998","Breeding pigs",192.4
"835","1999","Breeding pigs",190.4
"836","2000","Breeding pigs",188.7
"837","2001","Breeding pigs",190.9
"838","2002","Breeding pigs",186.3
"839","2003","Breeding pigs",178.4
"840","2004","Breeding pigs",181.5
"841","1975","Gilts in pig",14.8
"842","1976","Gilts in pig",13
"843","1977","Gilts in pig",14.6
"844","1978","Gilts in pig",15.7
"845","1979","Gilts in pig",12.4
"846","1980","Gilts in pig",12.2
"847","1981","Gilts in pig",14.6
"848","1982","Gilts in pig",14.1
"849","1983","Gilts in pig",14.9
"850","1984","Gilts in pig",14.1
"851","1985","Gilts in pig",14.8
"852","1986","Gilts in pig",14.7
"853","1987","Gilts in pig",14.4
"854","1988","Gilts in pig",15.1
"855","1989","Gilts in pig",20
"856","1990","Gilts in pig",20.1
"857","1991","Gilts in pig",22.1
"858","1992","Gilts in pig",26.6
"859","1993","Gilts in pig",22.7
"860","1994","Gilts in pig",21.2
"861","1995","Gilts in pig",24.2
"862","1996","Gilts in pig",24.7
"863","1997","Gilts in pig",26.5
"864","1998","Gilts in pig",25.7
"865","1999","Gilts in pig",24.2
"866","2000","Gilts in pig",22.9
"867","2001","Gilts in pig",24.3
"868","2002","Gilts in pig",20.9
"869","2003","Gilts in pig",21.2
"870","2004","Gilts in pig",23.6
"871","1975","Sows in pig",51.4
"872","1976","Sows in pig",56.2
"873","1977","Sows in pig",58.6
"874","1978","Sows in pig",66.9
"875","1979","Sows in pig",65.5
"876","1980","Sows in pig",64.4
"877","1981","Sows in pig",65.2
"878","1982","Sows in pig",67.3
"879","1983","Sows in pig",65.5
"880","1984","Sows in pig",65.3
"881","1985","Sows in pig",62.3
"882","1986","Sows in pig",61.1
"883","1987","Sows in pig",61.8
"884","1988","Sows in pig",66.1
"885","1989","Sows in pig",74.5
"886","1990","Sows in pig",85.4
"887","1991","Sows in pig",92.6
"888","1992","Sows in pig",96.5
"889","1993","Sows in pig",100.2
"890","1994","Sows in pig",96.3
"891","1995","Sows in pig",102.4
"892","1996","Sows in pig",103.7
"893","1997","Sows in pig",111.5
"894","1998","Sows in pig",107.1
"895","1999","Sows in pig",107.7
"896","2000","Sows in pig",109.8
"897","2001","Sows in pig",107.8
"898","2002","Sows in pig",110.4
"899","2003","Sows in pig",103.6
"900","2004","Sows in pig",102.2
"901","1975","Other sows for breeding",34.7
"902","1976","Other sows for breeding",38
"903","1977","Other sows for breeding",32
"904","1978","Other sows for breeding",32.6
"905","1979","Other sows for breeding",30.1
"906","1980","Other sows for breeding",26.6
"907","1981","Other sows for breeding",27.2
"908","1982","Other sows for breeding",28.2
"909","1983","Other sows for breeding",27.6
"910","1984","Other sows for breeding",25.4
"911","1985","Other sows for breeding",26
"912","1986","Other sows for breeding",24.1
"913","1987","Other sows for breeding",23.1
"914","1988","Other sows for breeding",24.5
"915","1989","Other sows for breeding",26.6
"916","1990","Other sows for breeding",30.9
"917","1991","Other sows for breeding",31.3
"918","1992","Other sows for breeding",33.5
"919","1993","Other sows for breeding",31.4
"920","1994","Other sows for breeding",28.9
"921","1995","Other sows for breeding",31
"922","1996","Other sows for breeding",36.5
"923","1997","Other sows for breeding",36.7
"924","1998","Other sows for breeding",37.4
"925","1999","Other sows for breeding",38.9
"926","2000","Other sows for breeding",33.9
"927","2001","Other sows for breeding",37.3
"928","2002","Other sows for breeding",33.8
"929","2003","Other sows for breeding",33.4
"930","2004","Other sows for breeding",32.2
"931","1975","Gilts not yet served",9.1
"932","1976","Gilts not yet served",6.9
"933","1977","Gilts not yet served",8.5
"934","1978","Gilts not yet served",9.9
"935","1979","Gilts not yet served",9
"936","1980","Gilts not yet served",7.7
"937","1981","Gilts not yet served",10.1
"938","1982","Gilts not yet served",10.3
"939","1983","Gilts not yet served",9.9
"940","1984","Gilts not yet served",9.9
"941","1985","Gilts not yet served",9.5
"942","1986","Gilts not yet served",8.7
"943","1987","Gilts not yet served",8.5
"944","1988","Gilts not yet served",8.9
"945","1989","Gilts not yet served",11.5
"946","1990","Gilts not yet served",12.3
"947","1991","Gilts not yet served",14
"948","1992","Gilts not yet served",14.9
"949","1993","Gilts not yet served",14.4
"950","1994","Gilts not yet served",15.3
"951","1995","Gilts not yet served",17.9
"952","1996","Gilts not yet served",17.5
"953","1997","Gilts not yet served",17.7
"954","1998","Gilts not yet served",17.6
"955","1999","Gilts not yet served",15.6
"956","2000","Gilts not yet served",18.1
"957","2001","Gilts not yet served",17.9
"958","2002","Gilts not yet served",18.1
"959","2003","Gilts not yet served",17.3
"960","2004","Gilts not yet served",21
"961","1975","Boars",2.7
"962","1976","Boars",3.1
"963","1977","Boars",3.4
"964","1978","Boars",4.1
"965","1979","Boars",4.2
"966","1980","Boars",4.1
"967","1981","Boars",4.5
"968","1982","Boars",4.9
"969","1983","Boars",4.9
"970","1984","Boars",4.9
"971","1985","Boars",5
"972","1986","Boars",4.9
"973","1987","Boars",4.9
"974","1988","Boars",5
"975","1989","Boars",5.6
"976","1990","Boars",6.4
"977","1991","Boars",6.6
"978","1992","Boars",6.5
"979","1993","Boars",6.4
"980","1994","Boars",5.3
"981","1995","Boars",5.3
"982","1996","Boars",5
"983","1997","Boars",5.2
"984","1998","Boars",4.6
"985","1999","Boars",4.1
"986","2000","Boars",4
"987","2001","Boars",3.7
"988","2002","Boars",3.1
"989","2003","Boars",2.9
"990","2004","Boars",2.6
"991","1975","Other pigs",767.4
"992","1976","Other pigs",854.7
"993","1977","Other pigs",851.6
"994","1978","Other pigs",970.3
"995","1979","Other pigs",935.7
"996","1980","Other pigs",915.8
"997","1981","Other pigs",905.5
"998","1982","Other pigs",956.3
"999","1983","Other pigs",930.6
"1000","1984","Other pigs",900
"1001","1985","Other pigs",876.6
"1002","1986","Other pigs",866.5
"1003","1987","Other pigs",847.5
"1004","1988","Other pigs",894.9
"1005","1989","Other pigs",971.8
"1006","1990","Other pigs",1093.9
"1007","1991","Other pigs",1178.9
"1008","1992","Other pigs",1244.7
"1009","1993","Other pigs",1312.2
"1010","1994","Other pigs",1331.4
"1011","1995","Other pigs",1361.5
"1012","1996","Other pigs",1477.1
"1013","1997","Other pigs",1519.4
"1014","1998","Other pigs",1608.5
"1015","1999","Other pigs",1572.6
"1016","2000","Other pigs",1542.8
"1017","2001","Other pigs",1586.9
"1018","2002","Other pigs",1610.5
"1019","2003","Other pigs",1552.6
"1020","2004","Other pigs",1572.8
"1021","1975","Other pigs: 20kg and under 50kg",237.1
"1022","1976","Other pigs: 20kg and under 50kg",273.9
"1023","1977","Other pigs: 20kg and under 50kg",283.4
"1024","1978","Other pigs: 20kg and under 50kg",315.7
"1025","1979","Other pigs: 20kg and under 50kg",307.3
"1026","1980","Other pigs: 20kg and under 50kg",292.7
"1027","1981","Other pigs: 20kg and under 50kg",297
"1028","1982","Other pigs: 20kg and under 50kg",315.4
"1029","1983","Other pigs: 20kg and under 50kg",311.3
"1030","1984","Other pigs: 20kg and under 50kg",307.6
"1031","1985","Other pigs: 20kg and under 50kg",285
"1032","1986","Other pigs: 20kg and under 50kg",301.7
"1033","1987","Other pigs: 20kg and under 50kg",295.1
"1034","1988","Other pigs: 20kg and under 50kg",322.1
"1035","1989","Other pigs: 20kg and under 50kg",341.4
"1036","1990","Other pigs: 20kg and under 50kg",376.9
"1037","1991","Other pigs: 20kg and under 50kg",402.6
"1038","1992","Other pigs: 20kg and under 50kg",423.5
"1039","1993","Other pigs: 20kg and under 50kg",430.6
"1040","1994","Other pigs: 20kg and under 50kg",448.5
"1041","1995","Other pigs: 20kg and under 50kg",464.8
"1042","1996","Other pigs: 20kg and under 50kg",501.8
"1043","1997","Other pigs: 20kg and under 50kg",521.9
"1044","1998","Other pigs: 20kg and under 50kg",535.9
"1045","1999","Other pigs: 20kg and under 50kg",520.3
"1046","2000","Other pigs: 20kg and under 50kg",510
"1047","2001","Other pigs: 20kg and under 50kg",494.3
"1048","2002","Other pigs: 20kg and under 50kg",497.3
"1049","2003","Other pigs: 20kg and under 50kg",475.6
"1050","2004","Other pigs: 20kg and under 50kg",506.4
"1051","1975","Other pigs: 50kg and under 80kg",241.3
"1052","1976","Other pigs: 50kg and under 80kg",271.8
"1053","1977","Other pigs: 50kg and under 80kg",272.3
"1054","1978","Other pigs: 50kg and under 80kg",307
"1055","1979","Other pigs: 50kg and under 80kg",306.9
"1056","1980","Other pigs: 50kg and under 80kg",311.1
"1057","1981","Other pigs: 50kg and under 80kg",278.4
"1058","1982","Other pigs: 50kg and under 80kg",299.3
"1059","1983","Other pigs: 50kg and under 80kg",279
"1060","1984","Other pigs: 50kg and under 80kg",263.1
"1061","1985","Other pigs: 50kg and under 80kg",265.3
"1062","1986","Other pigs: 50kg and under 80kg",264.7
"1063","1987","Other pigs: 50kg and under 80kg",258.6
"1064","1988","Other pigs: 50kg and under 80kg",250.7
"1065","1989","Other pigs: 50kg and under 80kg",265.5
"1066","1990","Other pigs: 50kg and under 80kg",282.3
"1067","1991","Other pigs: 50kg and under 80kg",309.7
"1068","1992","Other pigs: 50kg and under 80kg",314.6
"1069","1993","Other pigs: 50kg and under 80kg",334.4
"1070","1994","Other pigs: 50kg and under 80kg",339
"1071","1995","Other pigs: 50kg and under 80kg",344.7
"1072","1996","Other pigs: 50kg and under 80kg",371.4
"1073","1997","Other pigs: 50kg and under 80kg",407.8
"1074","1998","Other pigs: 50kg and under 80kg",433.7
"1075","1999","Other pigs: 50kg and under 80kg",407.7
"1076","2000","Other pigs: 50kg and under 80kg",395.6
"1077","2001","Other pigs: 50kg and under 80kg",397.1
"1078","2002","Other pigs: 50kg and under 80kg",393.1
"1079","2003","Other pigs: 50kg and under 80kg",385.1
"1080","2004","Other pigs: 50kg and under 80kg",393.8
"1081","1975","Other pigs: 80kg and over",66.4
"1082","1976","Other pigs: 80kg and over",71.4
"1083","1977","Other pigs: 80kg and over",78.1
"1084","1978","Other pigs: 80kg and over",91.9
"1085","1979","Other pigs: 80kg and over",93.6
"1086","1980","Other pigs: 80kg and over",87.4
"1087","1981","Other pigs: 80kg and over",93.8
"1088","1982","Other pigs: 80kg and over",101.9
"1089","1983","Other pigs: 80kg and over",99.6
"1090","1984","Other pigs: 80kg and over",90.5
"1091","1985","Other pigs: 80kg and over",85.8
"1092","1986","Other pigs: 80kg and over",80.7
"1093","1987","Other pigs: 80kg and over",76.6
"1094","1988","Other pigs: 80kg and over",77.4
"1095","1989","Other pigs: 80kg and over",85
"1096","1990","Other pigs: 80kg and over",100.8
"1097","1991","Other pigs: 80kg and over",101.4
"1098","1992","Other pigs: 80kg and over",109
"1099","1993","Other pigs: 80kg and over",120
"1100","1994","Other pigs: 80kg and over",129.7
"1101","1995","Other pigs: 80kg and over",141.6
"1102","1996","Other pigs: 80kg and over",153.6
"1103","1997","Other pigs: 80kg and over",136.8
"1104","1998","Other pigs: 80kg and over",169.6
"1105","1999","Other pigs: 80kg and over",158.8
"1106","2000","Other pigs: 80kg and over",155.4
"1107","2001","Other pigs: 80kg and over",172.9
"1108","2002","Other pigs: 80kg and over",182.2
"1109","2003","Other pigs: 80kg and over",195.7
"1110","2004","Other pigs: 80kg and over",167.8
"1111","1975","Other pigs: under 20kg",222.7
"1112","1976","Other pigs: under 20kg",237.6
"1113","1977","Other pigs: under 20kg",217.7
"1114","1978","Other pigs: under 20kg",255.7
"1115","1979","Other pigs: under 20kg",227.9
"1116","1980","Other pigs: under 20kg",224.6
"1117","1981","Other pigs: under 20kg",236.3
"1118","1982","Other pigs: under 20kg",239.7
"1119","1983","Other pigs: under 20kg",240.7
"1120","1984","Other pigs: under 20kg",238.8
"1121","1985","Other pigs: under 20kg",240.5
"1122","1986","Other pigs: under 20kg",219.4
"1123","1987","Other pigs: under 20kg",217.2
"1124","1988","Other pigs: under 20kg",244.7
"1125","1989","Other pigs: under 20kg",279.9
"1126","1990","Other pigs: under 20kg",333.9
"1127","1991","Other pigs: under 20kg",365.2
"1128","1992","Other pigs: under 20kg",397.6
"1129","1993","Other pigs: under 20kg",427.2
"1130","1994","Other pigs: under 20kg",414.1
"1131","1995","Other pigs: under 20kg",410.4
"1132","1996","Other pigs: under 20kg",450.3
"1133","1997","Other pigs: under 20kg",453
"1134","1998","Other pigs: under 20kg",469.3
"1135","1999","Other pigs: under 20kg",485.7
"1136","2000","Other pigs: under 20kg",481.8
"1137","2001","Other pigs: under 20kg",522.6
"1138","2002","Other pigs: under 20kg",538
"1139","2003","Other pigs: under 20kg",496.3
"1140","2004","Other pigs: under 20kg",504.8
"1141","1975","Total poultry",9066.8
"1142","1976","Total poultry",9241.3
"1143","1977","Total poultry",9281.4
"1144","1978","Total poultry",9380.8
"1145","1979","Total poultry",9416.1
"1146","1980","Total poultry",9132.7
"1147","1981","Total poultry",9095.4
"1148","1982","Total poultry",9062.7
"1149","1983","Total poultry",8433.7
"1150","1984","Total poultry",8449.1
"1151","1985","Total poultry",8638.9
"1152","1986","Total poultry",8622.8
"1153","1987","Total poultry",8986.1
"1154","1988","Total poultry",9252.4
"1155","1989","Total poultry",9374.4
"1156","1990","Total poultry",10876.8
"1157","1991","Total poultry",11359.1
"1158","1992","Total poultry",11491.1
"1159","1993","Total poultry",12198.5
"1160","1994","Total poultry",13506
"1161","1995","Total poultry",12981.6
"1162","1996","Total poultry",13400.1
"1163","1997","Total poultry",13106
"1164","1998","Total poultry",12880
"1165","1999","Total poultry",13637.7
"1166","2000","Total poultry",13586.7
"1167","2001","Total poultry",13211
"1168","2002","Total poultry",13208.4
"1169","2003","Total poultry",NA
"1170","2004","Total poultry",NA
"1171","1975","Ordinary fowl",8294.3
"1172","1976","Ordinary fowl",8344.5
"1173","1977","Ordinary fowl",8349
"1174","1978","Ordinary fowl",8434.3
"1175","1979","Ordinary fowl",8567
"1176","1980","Ordinary fowl",8165.8
"1177","1981","Ordinary fowl",8117
"1178","1982","Ordinary fowl",7990.3
"1179","1983","Ordinary fowl",7501.8
"1180","1984","Ordinary fowl",7634.5
"1181","1985","Ordinary fowl",7722.2
"1182","1986","Ordinary fowl",7740.5
"1183","1987","Ordinary fowl",7940.8
"1184","1988","Ordinary fowl",8275.5
"1185","1989","Ordinary fowl",8186.5
"1186","1990","Ordinary fowl",9627.5
"1187","1991","Ordinary fowl",9919.8
"1188","1992","Ordinary fowl",10062.2
"1189","1993","Ordinary fowl",10966.4
"1190","1994","Ordinary fowl",11905.8
"1191","1995","Ordinary fowl",11220.9
"1192","1996","Ordinary fowl",11491
"1193","1997","Ordinary fowl",11233.3
"1194","1998","Ordinary fowl",10991.1
"1195","1999","Ordinary fowl",11636.2
"1196","2000","Ordinary fowl",11752.8
"1197","2001","Ordinary fowl",11266.7
"1198","2002","Ordinary fowl",11341.5
"1199","2003","Ordinary fowl",NA
"1200","2004","Ordinary fowl",NA
"1201","1975","Other fowl",772.6
"1202","1976","Other fowl",896.8
"1203","1977","Other fowl",932.4
"1204","1978","Other fowl",946.5
"1205","1979","Other fowl",849.2
"1206","1980","Other fowl",966.9
"1207","1981","Other fowl",978.3
"1208","1982","Other fowl",1072.4
"1209","1983","Other fowl",931.8
"1210","1984","Other fowl",814.6
"1211","1985","Other fowl",916.7
"1212","1986","Other fowl",882.3
"1213","1987","Other fowl",1045.2
"1214","1988","Other fowl",976.9
"1215","1989","Other fowl",1187.9
"1216","1990","Other fowl",1249.4
"1217","1991","Other fowl",1439.3
"1218","1992","Other fowl",1428.9
"1219","1993","Other fowl",1232
"1220","1994","Other fowl",1600.2
"1221","1995","Other fowl",1760.7
"1222","1996","Other fowl",1909.2
"1223","1997","Other fowl",1872.7
"1224","1998","Other fowl",1889
"1225","1999","Other fowl",2001.5
"1226","2000","Other fowl",1833.9
"1227","2001","Other fowl",1944.3
"1228","2002","Other fowl",1867
"1229","2003","Other fowl",NA
"1230","2004","Other fowl",NA
"1231","1975","Turkeys",552.4
"1232","1976","Turkeys",612.1
"1233","1977","Turkeys",652.9
"1234","1978","Turkeys",672.1
"1235","1979","Turkeys",NA
"1236","1980","Turkeys",NA
"1237","1981","Turkeys",NA
"1238","1982","Turkeys",NA
"1239","1983","Turkeys",NA
"1240","1984","Turkeys",NA
"1241","1985","Turkeys",NA
"1242","1986","Turkeys",NA
"1243","1987","Turkeys",NA
"1244","1988","Turkeys",NA
"1245","1989","Turkeys",NA
"1246","1990","Turkeys",NA
"1247","1991","Turkeys",NA
"1248","1992","Turkeys",NA
"1249","1993","Turkeys",NA
"1250","1994","Turkeys",NA
"1251","1995","Turkeys",NA
"1252","1996","Turkeys",NA
"1253","1997","Turkeys",NA
"1254","1998","Turkeys",NA
"1255","1999","Turkeys",NA
"1256","2000","Turkeys",NA
"1257","2001","Turkeys",NA
"1258","2002","Turkeys",NA
"1259","2003","Turkeys",NA
"1260","2004","Turkeys",NA
"1261","1975","Geese",84
"1262","1976","Geese",84.1
"1263","1977","Geese",80.7
"1264","1978","Geese",73.6
"1265","1979","Geese",NA
"1266","1980","Geese",NA
"1267","1981","Geese",NA
"1268","1982","Geese",NA
"1269","1983","Geese",NA
"1270","1984","Geese",NA
"1271","1985","Geese",NA
"1272","1986","Geese",NA
"1273","1987","Geese",NA
"1274","1988","Geese",NA
"1275","1989","Geese",NA
"1276","1990","Geese",NA
"1277","1991","Geese",NA
"1278","1992","Geese",NA
"1279","1993","Geese",NA
"1280","1994","Geese",NA
"1281","1995","Geese",NA
"1282","1996","Geese",NA
"1283","1997","Geese",NA
"1284","1998","Geese",NA
"1285","1999","Geese",NA
"1286","2000","Geese",NA
"1287","2001","Geese",NA
"1288","2002","Geese",NA
"1289","2003","Geese",NA
"1290","2004","Geese",NA
"1291","1975","Ducks",136.1
"1292","1976","Ducks",200.6
"1293","1977","Ducks",198.8
"1294","1978","Ducks",200.8
"1295","1979","Ducks",NA
"1296","1980","Ducks",NA
"1297","1981","Ducks",NA
"1298","1982","Ducks",NA
"1299","1983","Ducks",NA
"1300","1984","Ducks",NA
"1301","1985","Ducks",NA
"1302","1986","Ducks",NA
"1303","1987","Ducks",NA
"1304","1988","Ducks",NA
"1305","1989","Ducks",NA
"1306","1990","Ducks",NA
"1307","1991","Ducks",NA
"1308","1992","Ducks",NA
"1309","1993","Ducks",NA
"1310","1994","Ducks",NA
"1311","1995","Ducks",NA
"1312","1996","Ducks",NA
"1313","1997","Ducks",NA
"1314","1998","Ducks",NA
"1315","1999","Ducks",NA
"1316","2000","Ducks",NA
"1317","2001","Ducks",NA
"1318","2002","Ducks",NA
"1319","2003","Ducks",NA
"1320","2004","Ducks",NA
