"","Year","Type.of.Livestock","Rural.District","value"
"53362","1933","Horses and ponies","Waterford No.1",2954
"53363","1955","Horses and ponies","Waterford No.1",1523
"53364","1960","Horses and ponies","Waterford No.1",1052
"53365","1965","Horses and ponies","Waterford No.1",758
"53366","1970","Horses and ponies","Waterford No.1",778
"53367","1975","Horses and ponies","Waterford No.1",745
"53368","1980","Horses and ponies","Waterford No.1",522
"53369","1926","Working horses and ponies","Waterford No.1",NA
"53370","1933","Working horses and ponies","Waterford No.1",NA
"53371","1955","Working horses and ponies","Waterford No.1",NA
"53372","1960","Working horses and ponies","Waterford No.1",769
"53373","1965","Working horses and ponies","Waterford No.1",433
"53374","1970","Working horses and ponies","Waterford No.1",293
"53375","1975","Working horses and ponies","Waterford No.1",121
"53376","1980","Working horses and ponies","Waterford No.1",76
"53377","1926","Thoroughbreds","Waterford No.1",NA
"53378","1933","Thoroughbreds","Waterford No.1",NA
"53379","1955","Thoroughbreds","Waterford No.1",NA
"53380","1960","Thoroughbreds","Waterford No.1",115
"53381","1965","Thoroughbreds","Waterford No.1",122
"53382","1970","Thoroughbreds","Waterford No.1",87
"53383","1975","Thoroughbreds","Waterford No.1",104
"53384","1980","Thoroughbreds","Waterford No.1",82
"53385","1926","Other horses and ponies","Waterford No.1",NA
"53386","1933","Other horses and ponies","Waterford No.1",NA
"53387","1955","Other horses and ponies","Waterford No.1",NA
"53388","1960","Other horses and ponies","Waterford No.1",168
"53389","1965","Other horses and ponies","Waterford No.1",203
"53390","1970","Other horses and ponies","Waterford No.1",398
"53391","1975","Other horses and ponies","Waterford No.1",520
"53392","1980","Other horses and ponies","Waterford No.1",364
"53393","1926","Mules, jennets and asses","Waterford No.1",NA
"53394","1933","Mules, jennets and asses","Waterford No.1",NA
"53395","1955","Mules, jennets and asses","Waterford No.1",NA
"53396","1960","Mules, jennets and asses","Waterford No.1",NA
"53397","1965","Mules, jennets and asses","Waterford No.1",NA
"53398","1970","Mules, jennets and asses","Waterford No.1",NA
"53399","1975","Mules, jennets and asses","Waterford No.1",81
"53400","1980","Mules, jennets and asses","Waterford No.1",45
"53401","1926","Goats","Waterford No.1",NA
"53402","1933","Goats","Waterford No.1",NA
"53403","1955","Goats","Waterford No.1",NA
"53404","1960","Goats","Waterford No.1",NA
"53405","1965","Goats","Waterford No.1",NA
"53406","1970","Goats","Waterford No.1",NA
"53407","1975","Goats","Waterford No.1",NA
"53408","1980","Goats","Waterford No.1",53
"53409","1926","Poultry","Waterford No.1",84235
"53410","1933","Poultry","Waterford No.1",80792
"53411","1955","Poultry","Waterford No.1",49862
"53412","1960","Poultry","Waterford No.1",43224
"53413","1965","Poultry","Waterford No.1",68951
"53414","1970","Poultry","Waterford No.1",70415
"53415","1975","Poultry","Waterford No.1",64058
"53416","1980","Poultry","Waterford No.1",NA
"53417","1926","Turkeys","Waterford No.1",6896
"53418","1933","Turkeys","Waterford No.1",7228
"53419","1955","Turkeys","Waterford No.1",5561
"53420","1960","Turkeys","Waterford No.1",3824
"53421","1965","Turkeys","Waterford No.1",1316
"53422","1970","Turkeys","Waterford No.1",1604
"53423","1975","Turkeys","Waterford No.1",369
"53424","1980","Turkeys","Waterford No.1",NA
"53425","1926","Geese","Waterford No.1",2640
"53426","1933","Geese","Waterford No.1",1495
"53427","1955","Geese","Waterford No.1",529
"53428","1960","Geese","Waterford No.1",240
"53429","1965","Geese","Waterford No.1",67
"53430","1970","Geese","Waterford No.1",44
"53431","1975","Geese","Waterford No.1",39
"53432","1980","Geese","Waterford No.1",58
"53433","1926","Ducks","Waterford No.1",7125
"53434","1933","Ducks","Waterford No.1",4828
"53435","1955","Ducks","Waterford No.1",1792
"53436","1960","Ducks","Waterford No.1",1025
"53437","1965","Ducks","Waterford No.1",524
"53438","1970","Ducks","Waterford No.1",182
"53439","1975","Ducks","Waterford No.1",180
"53440","1980","Ducks","Waterford No.1",164
"53441","1926","Ordinary fowl","Waterford No.1",67574
"53442","1933","Ordinary fowl","Waterford No.1",67241
"53443","1955","Ordinary fowl","Waterford No.1",41980
"53444","1960","Ordinary fowl","Waterford No.1",38135
"53445","1965","Ordinary fowl","Waterford No.1",67044
"53446","1970","Ordinary fowl","Waterford No.1",68585
"53447","1975","Ordinary fowl","Waterford No.1",63470
"53448","1980","Ordinary fowl","Waterford No.1",NA
"53449","1926","Cattle","Youghal No.2",9796
"53450","1933","Cattle","Youghal No.2",10425
"53451","1955","Cattle","Youghal No.2",10524
"53452","1960","Cattle","Youghal No.2",11274
"53453","1965","Cattle","Youghal No.2",13667
"53454","1970","Cattle","Youghal No.2",14896
"53455","1975","Cattle","Youghal No.2",19897
"53456","1980","Cattle","Youghal No.2",19000
"53457","1926","Bulls","Youghal No.2",83
"53458","1933","Bulls","Youghal No.2",59
"53459","1955","Bulls","Youghal No.2",58
"53460","1960","Bulls","Youghal No.2",43
"53461","1965","Bulls","Youghal No.2",39
"53462","1970","Bulls","Youghal No.2",54
"53463","1975","Bulls","Youghal No.2",73
"53464","1980","Bulls","Youghal No.2",60
"53465","1926","Cows","Youghal No.2",2813
"53466","1933","Cows","Youghal No.2",2872
"53467","1955","Cows","Youghal No.2",2807
"53468","1960","Cows","Youghal No.2",3020
"53469","1965","Cows","Youghal No.2",4230
"53470","1970","Cows","Youghal No.2",5144
"53471","1975","Cows","Youghal No.2",6155
"53472","1980","Cows","Youghal No.2",6443
"53473","1926","Dairy cows","Youghal No.2",NA
"53474","1933","Dairy cows","Youghal No.2",NA
"53475","1955","Dairy cows","Youghal No.2",NA
"53476","1960","Dairy cows","Youghal No.2",NA
"53477","1965","Dairy cows","Youghal No.2",NA
"53478","1970","Dairy cows","Youghal No.2",NA
"53479","1975","Dairy cows","Youghal No.2",5314
"53480","1980","Dairy cows","Youghal No.2",5947
"53481","1926","Other cows","Youghal No.2",NA
"53482","1933","Other cows","Youghal No.2",NA
"53483","1955","Other cows","Youghal No.2",NA
"53484","1960","Other cows","Youghal No.2",NA
"53485","1965","Other cows","Youghal No.2",NA
"53486","1970","Other cows","Youghal No.2",NA
"53487","1975","Other cows","Youghal No.2",841
"53488","1980","Other cows","Youghal No.2",496
"53489","1926","Cows : friesian and friesian cross","Youghal No.2",NA
"53490","1933","Cows : friesian and friesian cross","Youghal No.2",NA
"53491","1955","Cows : friesian and friesian cross","Youghal No.2",NA
"53492","1960","Cows : friesian and friesian cross","Youghal No.2",325
"53493","1965","Cows : friesian and friesian cross","Youghal No.2",1143
"53494","1970","Cows : friesian and friesian cross","Youghal No.2",3637
"53495","1975","Cows : friesian and friesian cross","Youghal No.2",5531
"53496","1980","Cows : friesian and friesian cross","Youghal No.2",6172
"53497","1926","Cows : shorthorn","Youghal No.2",NA
"53498","1933","Cows : shorthorn","Youghal No.2",NA
"53499","1955","Cows : shorthorn","Youghal No.2",NA
"53500","1960","Cows : shorthorn","Youghal No.2",2497
"53501","1965","Cows : shorthorn","Youghal No.2",2799
"53502","1970","Cows : shorthorn","Youghal No.2",1254
"53503","1975","Cows : shorthorn","Youghal No.2",345
"53504","1980","Cows : shorthorn","Youghal No.2",77
"53505","1926","Cows : other breeds","Youghal No.2",NA
"53506","1933","Cows : other breeds","Youghal No.2",NA
"53507","1955","Cows : other breeds","Youghal No.2",NA
"53508","1960","Cows : other breeds","Youghal No.2",198
"53509","1965","Cows : other breeds","Youghal No.2",288
"53510","1970","Cows : other breeds","Youghal No.2",253
"53511","1975","Cows : other breeds","Youghal No.2",279
"53512","1980","Cows : other breeds","Youghal No.2",194
"53513","1926","Heifers in calf","Youghal No.2",85
"53514","1933","Heifers in calf","Youghal No.2",62
"53515","1955","Heifers in calf","Youghal No.2",147
"53516","1960","Heifers in calf","Youghal No.2",224
"53517","1965","Heifers in calf","Youghal No.2",290
"53518","1970","Heifers in calf","Youghal No.2",712
"53519","1975","Heifers in calf","Youghal No.2",832
"53520","1980","Heifers in calf","Youghal No.2",1197
"53521","1926","Dairy heifers","Youghal No.2",NA
"53522","1933","Dairy heifers","Youghal No.2",NA
"53523","1955","Dairy heifers","Youghal No.2",NA
"53524","1960","Dairy heifers","Youghal No.2",NA
"53525","1965","Dairy heifers","Youghal No.2",NA
"53526","1970","Dairy heifers","Youghal No.2",NA
"53527","1975","Dairy heifers","Youghal No.2",NA
"53528","1980","Dairy heifers","Youghal No.2",1167
"53529","1926","Other heifers","Youghal No.2",NA
"53530","1933","Other heifers","Youghal No.2",NA
"53531","1955","Other heifers","Youghal No.2",NA
"53532","1960","Other heifers","Youghal No.2",NA
"53533","1965","Other heifers","Youghal No.2",NA
"53534","1970","Other heifers","Youghal No.2",NA
"53535","1975","Other heifers","Youghal No.2",NA
"53536","1980","Other heifers","Youghal No.2",30
"53537","1926","Other cattle","Youghal No.2",6815
"53538","1933","Other cattle","Youghal No.2",7432
"53539","1955","Other cattle","Youghal No.2",7512
"53540","1960","Other cattle","Youghal No.2",7987
"53541","1965","Other cattle","Youghal No.2",9108
"53542","1970","Other cattle","Youghal No.2",8986
"53543","1975","Other cattle","Youghal No.2",12837
"53544","1980","Other cattle","Youghal No.2",11300
"53545","1926","Other cattle : 3 years and over","Youghal No.2",320
"53546","1933","Other cattle : 3 years and over","Youghal No.2",326
"53547","1955","Other cattle : 3 years and over","Youghal No.2",548
"53548","1960","Other cattle : 3 years and over","Youghal No.2",422
"53549","1965","Other cattle : 3 years and over","Youghal No.2",229
"53550","1970","Other cattle : 3 years and over","Youghal No.2",188
"53551","1975","Other cattle : 3 years and over","Youghal No.2",546
"53552","1980","Other cattle : 3 years and over","Youghal No.2",420
"53553","1926","Other cattle : 3 years and over male","Youghal No.2",NA
"53554","1933","Other cattle : 3 years and over male","Youghal No.2",NA
"53555","1955","Other cattle : 3 years and over male","Youghal No.2",NA
"53556","1960","Other cattle : 3 years and over male","Youghal No.2",NA
"53557","1965","Other cattle : 3 years and over male","Youghal No.2",NA
"53558","1970","Other cattle : 3 years and over male","Youghal No.2",152
"53559","1975","Other cattle : 3 years and over male","Youghal No.2",514
"53560","1980","Other cattle : 3 years and over male","Youghal No.2",400
"53561","1926","Other cattle : 3 years and over female","Youghal No.2",NA
"53562","1933","Other cattle : 3 years and over female","Youghal No.2",NA
"53563","1955","Other cattle : 3 years and over female","Youghal No.2",NA
"53564","1960","Other cattle : 3 years and over female","Youghal No.2",NA
"53565","1965","Other cattle : 3 years and over female","Youghal No.2",NA
"53566","1970","Other cattle : 3 years and over female","Youghal No.2",36
"53567","1975","Other cattle : 3 years and over female","Youghal No.2",32
"53568","1980","Other cattle : 3 years and over female","Youghal No.2",20
"53569","1926","Other cattle : 2 - 3 years","Youghal No.2",1442
"53570","1933","Other cattle : 2 - 3 years","Youghal No.2",1714
"53571","1955","Other cattle : 2 - 3 years","Youghal No.2",1989
"53572","1960","Other cattle : 2 - 3 years","Youghal No.2",2191
"53573","1965","Other cattle : 2 - 3 years","Youghal No.2",2155
"53574","1970","Other cattle : 2 - 3 years","Youghal No.2",1592
"53575","1975","Other cattle : 2 - 3 years","Youghal No.2",2427
"53576","1980","Other cattle : 2 - 3 years","Youghal No.2",2383
"53577","1926","Other cattle : 2 - 3 years male","Youghal No.2",NA
"53578","1933","Other cattle : 2 - 3 years male","Youghal No.2",NA
"53579","1955","Other cattle : 2 - 3 years male","Youghal No.2",NA
"53580","1960","Other cattle : 2 - 3 years male","Youghal No.2",NA
"53581","1965","Other cattle : 2 - 3 years male","Youghal No.2",NA
"53582","1970","Other cattle : 2 - 3 years male","Youghal No.2",1130
"53583","1975","Other cattle : 2 - 3 years male","Youghal No.2",1874
"53584","1980","Other cattle : 2 - 3 years male","Youghal No.2",2021
"53585","1926","Other cattle : 2 - 3 years female","Youghal No.2",NA
"53586","1933","Other cattle : 2 - 3 years female","Youghal No.2",NA
"53587","1955","Other cattle : 2 - 3 years female","Youghal No.2",NA
"53588","1960","Other cattle : 2 - 3 years female","Youghal No.2",NA
"53589","1965","Other cattle : 2 - 3 years female","Youghal No.2",NA
"53590","1970","Other cattle : 2 - 3 years female","Youghal No.2",462
"53591","1975","Other cattle : 2 - 3 years female","Youghal No.2",553
"53592","1980","Other cattle : 2 - 3 years female","Youghal No.2",362
"53593","1926","Other cattle : 1 - 2 years","Youghal No.2",2317
"53594","1933","Other cattle : 1 - 2 years","Youghal No.2",2724
"53595","1955","Other cattle : 1 - 2 years","Youghal No.2",2391
"53596","1960","Other cattle : 1 - 2 years","Youghal No.2",2751
"53597","1965","Other cattle : 1 - 2 years","Youghal No.2",3119
"53598","1970","Other cattle : 1 - 2 years","Youghal No.2",3121
"53599","1975","Other cattle : 1 - 2 years","Youghal No.2",5076
"53600","1980","Other cattle : 1 - 2 years","Youghal No.2",3721
"53601","1926","Other cattle : 1 - 2 years male","Youghal No.2",NA
"53602","1933","Other cattle : 1 - 2 years male","Youghal No.2",NA
"53603","1955","Other cattle : 1 - 2 years male","Youghal No.2",NA
"53604","1960","Other cattle : 1 - 2 years male","Youghal No.2",NA
"53605","1965","Other cattle : 1 - 2 years male","Youghal No.2",NA
"53606","1970","Other cattle : 1 - 2 years male","Youghal No.2",1965
"53607","1975","Other cattle : 1 - 2 years male","Youghal No.2",3003
"53608","1980","Other cattle : 1 - 2 years male","Youghal No.2",2462
"53609","1926","Other cattle : 1 - 2 years female","Youghal No.2",NA
"53610","1933","Other cattle : 1 - 2 years female","Youghal No.2",NA
"53611","1955","Other cattle : 1 - 2 years female","Youghal No.2",NA
"53612","1960","Other cattle : 1 - 2 years female","Youghal No.2",NA
"53613","1965","Other cattle : 1 - 2 years female","Youghal No.2",NA
"53614","1970","Other cattle : 1 - 2 years female","Youghal No.2",1156
"53615","1975","Other cattle : 1 - 2 years female","Youghal No.2",2073
"53616","1980","Other cattle : 1 - 2 years female","Youghal No.2",1259
"53617","1926","Other cattle : less than 1","Youghal No.2",2736
"53618","1933","Other cattle : less than 1","Youghal No.2",2668
"53619","1955","Other cattle : less than 1","Youghal No.2",2584
"53620","1960","Other cattle : less than 1","Youghal No.2",2623
"53621","1965","Other cattle : less than 1","Youghal No.2",3605
"53622","1970","Other cattle : less than 1","Youghal No.2",4085
"53623","1975","Other cattle : less than 1","Youghal No.2",4788
"53624","1980","Other cattle : less than 1","Youghal No.2",4776
"53625","1926","Other cattle : less than 1 male","Youghal No.2",NA
"53626","1933","Other cattle : less than 1 male","Youghal No.2",NA
"53627","1955","Other cattle : less than 1 male","Youghal No.2",NA
"53628","1960","Other cattle : less than 1 male","Youghal No.2",NA
"53629","1965","Other cattle : less than 1 male","Youghal No.2",NA
"53630","1970","Other cattle : less than 1 male","Youghal No.2",2184
"53631","1975","Other cattle : less than 1 male","Youghal No.2",2567
"53632","1980","Other cattle : less than 1 male","Youghal No.2",2648
"53633","1926","Other cattle : less than 1 female","Youghal No.2",NA
"53634","1933","Other cattle : less than 1 female","Youghal No.2",NA
"53635","1955","Other cattle : less than 1 female","Youghal No.2",NA
"53636","1960","Other cattle : less than 1 female","Youghal No.2",NA
"53637","1965","Other cattle : less than 1 female","Youghal No.2",NA
"53638","1970","Other cattle : less than 1 female","Youghal No.2",1901
"53639","1975","Other cattle : less than 1 female","Youghal No.2",2221
"53640","1980","Other cattle : less than 1 female","Youghal No.2",2128
"53641","1926","Sheep","Youghal No.2",4057
"53642","1933","Sheep","Youghal No.2",4807
"53643","1955","Sheep","Youghal No.2",4076
"53644","1960","Sheep","Youghal No.2",5600
"53645","1965","Sheep","Youghal No.2",7350
"53646","1970","Sheep","Youghal No.2",4096
"53647","1975","Sheep","Youghal No.2",3345
"53648","1980","Sheep","Youghal No.2",2480
"53649","1926","Sheep for breeding","Youghal No.2",1695
"53650","1933","Sheep for breeding","Youghal No.2",2016
"53651","1955","Sheep for breeding","Youghal No.2",1697
"53652","1960","Sheep for breeding","Youghal No.2",2106
"53653","1965","Sheep for breeding","Youghal No.2",3022
"53654","1970","Sheep for breeding","Youghal No.2",1798
"53655","1975","Sheep for breeding","Youghal No.2",1497
"53656","1980","Sheep for breeding","Youghal No.2",1055
"53657","1926","Rams for breeding","Youghal No.2",91
"53658","1933","Rams for breeding","Youghal No.2",65
"53659","1955","Rams for breeding","Youghal No.2",45
"53660","1960","Rams for breeding","Youghal No.2",36
"53661","1965","Rams for breeding","Youghal No.2",75
"53662","1970","Rams for breeding","Youghal No.2",72
"53663","1975","Rams for breeding","Youghal No.2",45
"53664","1980","Rams for breeding","Youghal No.2",27
"53665","1926","Ewes for breeding","Youghal No.2",1604
"53666","1933","Ewes for breeding","Youghal No.2",1951
"53667","1955","Ewes for breeding","Youghal No.2",1652
"53668","1960","Ewes for breeding","Youghal No.2",2070
"53669","1965","Ewes for breeding","Youghal No.2",2947
"53670","1970","Ewes for breeding","Youghal No.2",1726
"53671","1975","Ewes for breeding","Youghal No.2",1452
"53672","1980","Ewes for breeding","Youghal No.2",1028
"53673","1926","Ewes : cheviot type","Youghal No.2",NA
"53674","1933","Ewes : cheviot type","Youghal No.2",NA
"53675","1955","Ewes : cheviot type","Youghal No.2",NA
"53676","1960","Ewes : cheviot type","Youghal No.2",NA
"53677","1965","Ewes : cheviot type","Youghal No.2",668
"53678","1970","Ewes : cheviot type","Youghal No.2",21
"53679","1975","Ewes : cheviot type","Youghal No.2",20
"53680","1980","Ewes : cheviot type","Youghal No.2",24
"53681","1926","Ewes : blackface moutain type","Youghal No.2",NA
"53682","1933","Ewes : blackface moutain type","Youghal No.2",NA
"53683","1955","Ewes : blackface moutain type","Youghal No.2",NA
"53684","1960","Ewes : blackface moutain type","Youghal No.2",NA
"53685","1965","Ewes : blackface moutain type","Youghal No.2",263
"53686","1970","Ewes : blackface moutain type","Youghal No.2",279
"53687","1975","Ewes : blackface moutain type","Youghal No.2",164
"53688","1980","Ewes : blackface moutain type","Youghal No.2",177
"53689","1926","Ewes : long woolled galway type","Youghal No.2",NA
"53690","1933","Ewes : long woolled galway type","Youghal No.2",NA
"53691","1955","Ewes : long woolled galway type","Youghal No.2",NA
"53692","1960","Ewes : long woolled galway type","Youghal No.2",NA
"53693","1965","Ewes : long woolled galway type","Youghal No.2",13
"53694","1970","Ewes : long woolled galway type","Youghal No.2",65
"53695","1975","Ewes : long woolled galway type","Youghal No.2",23
"53696","1980","Ewes : long woolled galway type","Youghal No.2",75
"53697","1926","Ewes : other breeds","Youghal No.2",NA
"53698","1933","Ewes : other breeds","Youghal No.2",NA
"53699","1955","Ewes : other breeds","Youghal No.2",NA
"53700","1960","Ewes : other breeds","Youghal No.2",NA
"53701","1965","Ewes : other breeds","Youghal No.2",2003
"53702","1970","Ewes : other breeds","Youghal No.2",1361
"53703","1975","Ewes : other breeds","Youghal No.2",1245
"53704","1980","Ewes : other breeds","Youghal No.2",752
"53705","1926","Other sheep","Youghal No.2",2362
"53706","1933","Other sheep","Youghal No.2",2791
"53707","1955","Other sheep","Youghal No.2",2379
"53708","1960","Other sheep","Youghal No.2",3494
"53709","1965","Other sheep","Youghal No.2",4328
"53710","1970","Other sheep","Youghal No.2",2298
"53711","1975","Other sheep","Youghal No.2",1848
"53712","1980","Other sheep","Youghal No.2",1425
"53713","1926","Other sheep : one year and over","Youghal No.2",199
"53714","1933","Other sheep : one year and over","Youghal No.2",237
"53715","1955","Other sheep : one year and over","Youghal No.2",61
"53716","1960","Other sheep : one year and over","Youghal No.2",476
"53717","1965","Other sheep : one year and over","Youghal No.2",82
"53718","1970","Other sheep : one year and over","Youghal No.2",395
"53719","1975","Other sheep : one year and over","Youghal No.2",45
"53720","1980","Other sheep : one year and over","Youghal No.2",203
"53721","1926","Other sheep : less than one year","Youghal No.2",2163
"53722","1933","Other sheep : less than one year","Youghal No.2",2554
"53723","1955","Other sheep : less than one year","Youghal No.2",2318
"53724","1960","Other sheep : less than one year","Youghal No.2",3018
"53725","1965","Other sheep : less than one year","Youghal No.2",4246
"53726","1970","Other sheep : less than one year","Youghal No.2",1903
"53727","1975","Other sheep : less than one year","Youghal No.2",1803
"53728","1980","Other sheep : less than one year","Youghal No.2",1222
"53729","1926","Pigs","Youghal No.2",2556
"53730","1933","Pigs","Youghal No.2",2405
"53731","1955","Pigs","Youghal No.2",1926
"53732","1960","Pigs","Youghal No.2",2069
"53733","1965","Pigs","Youghal No.2",2144
"53734","1970","Pigs","Youghal No.2",1285
"53735","1975","Pigs","Youghal No.2",3458
"53736","1980","Pigs","Youghal No.2",5109
"53737","1926","Pigs for breeding","Youghal No.2",263
"53738","1933","Pigs for breeding","Youghal No.2",266
"53739","1955","Pigs for breeding","Youghal No.2",185
"53740","1960","Pigs for breeding","Youghal No.2",293
"53741","1965","Pigs for breeding","Youghal No.2",207
"53742","1970","Pigs for breeding","Youghal No.2",206
"53743","1975","Pigs for breeding","Youghal No.2",518
"53744","1980","Pigs for breeding","Youghal No.2",666
"53745","1926","Boars for breeding","Youghal No.2",3
"53746","1933","Boars for breeding","Youghal No.2",3
"53747","1955","Boars for breeding","Youghal No.2",5
"53748","1960","Boars for breeding","Youghal No.2",7
"53749","1965","Boars for breeding","Youghal No.2",9
"53750","1970","Boars for breeding","Youghal No.2",3
"53751","1975","Boars for breeding","Youghal No.2",15
"53752","1980","Boars for breeding","Youghal No.2",26
"53753","1926","Sows for breeding","Youghal No.2",260
"53754","1933","Sows for breeding","Youghal No.2",263
"53755","1955","Sows for breeding","Youghal No.2",180
"53756","1960","Sows for breeding","Youghal No.2",286
"53757","1965","Sows for breeding","Youghal No.2",198
"53758","1970","Sows for breeding","Youghal No.2",203
"53759","1975","Sows for breeding","Youghal No.2",503
"53760","1980","Sows for breeding","Youghal No.2",640
"53761","1926","Other pigs","Youghal No.2",2293
"53762","1933","Other pigs","Youghal No.2",2139
"53763","1955","Other pigs","Youghal No.2",1741
"53764","1960","Other pigs","Youghal No.2",1776
"53765","1965","Other pigs","Youghal No.2",1937
"53766","1970","Other pigs","Youghal No.2",1079
"53767","1975","Other pigs","Youghal No.2",2940
"53768","1980","Other pigs","Youghal No.2",4443
"53769","1926","Horses and ponies","Youghal No.2",1244
"53770","1933","Horses and ponies","Youghal No.2",1430
"53771","1955","Horses and ponies","Youghal No.2",770
"53772","1960","Horses and ponies","Youghal No.2",617
"53773","1965","Horses and ponies","Youghal No.2",555
"53774","1970","Horses and ponies","Youghal No.2",462
"53775","1975","Horses and ponies","Youghal No.2",307
"53776","1980","Horses and ponies","Youghal No.2",187
"53777","1926","Working horses and ponies","Youghal No.2",NA
"53778","1933","Working horses and ponies","Youghal No.2",NA
"53779","1955","Working horses and ponies","Youghal No.2",NA
"53780","1960","Working horses and ponies","Youghal No.2",486
"53781","1965","Working horses and ponies","Youghal No.2",324
"53782","1970","Working horses and ponies","Youghal No.2",229
"53783","1975","Working horses and ponies","Youghal No.2",77
"53784","1980","Working horses and ponies","Youghal No.2",31
"53785","1926","Thoroughbreds","Youghal No.2",NA
"53786","1933","Thoroughbreds","Youghal No.2",NA
"53787","1955","Thoroughbreds","Youghal No.2",NA
"53788","1960","Thoroughbreds","Youghal No.2",44
"53789","1965","Thoroughbreds","Youghal No.2",29
"53790","1970","Thoroughbreds","Youghal No.2",38
"53791","1975","Thoroughbreds","Youghal No.2",34
"53792","1980","Thoroughbreds","Youghal No.2",50
"53793","1926","Other horses and ponies","Youghal No.2",NA
"53794","1933","Other horses and ponies","Youghal No.2",NA
"53795","1955","Other horses and ponies","Youghal No.2",NA
"53796","1960","Other horses and ponies","Youghal No.2",87
"53797","1965","Other horses and ponies","Youghal No.2",202
"53798","1970","Other horses and ponies","Youghal No.2",195
"53799","1975","Other horses and ponies","Youghal No.2",196
"53800","1980","Other horses and ponies","Youghal No.2",106
"53801","1926","Mules, jennets and asses","Youghal No.2",NA
"53802","1933","Mules, jennets and asses","Youghal No.2",NA
"53803","1955","Mules, jennets and asses","Youghal No.2",NA
"53804","1960","Mules, jennets and asses","Youghal No.2",NA
"53805","1965","Mules, jennets and asses","Youghal No.2",NA
"53806","1970","Mules, jennets and asses","Youghal No.2",NA
"53807","1975","Mules, jennets and asses","Youghal No.2",19
"53808","1980","Mules, jennets and asses","Youghal No.2",23
"53809","1926","Goats","Youghal No.2",NA
"53810","1933","Goats","Youghal No.2",NA
"53811","1955","Goats","Youghal No.2",NA
"53812","1960","Goats","Youghal No.2",NA
"53813","1965","Goats","Youghal No.2",NA
"53814","1970","Goats","Youghal No.2",NA
"53815","1975","Goats","Youghal No.2",NA
"53816","1980","Goats","Youghal No.2",6
"53817","1926","Poultry","Youghal No.2",36709
"53818","1933","Poultry","Youghal No.2",42828
"53819","1955","Poultry","Youghal No.2",22975
"53820","1960","Poultry","Youghal No.2",21077
"53821","1965","Poultry","Youghal No.2",13554
"53822","1970","Poultry","Youghal No.2",6857
"53823","1975","Poultry","Youghal No.2",3540
"53824","1980","Poultry","Youghal No.2",NA
"53825","1926","Turkeys","Youghal No.2",1841
"53826","1933","Turkeys","Youghal No.2",2498
"53827","1955","Turkeys","Youghal No.2",1991
"53828","1960","Turkeys","Youghal No.2",1640
"53829","1965","Turkeys","Youghal No.2",836
"53830","1970","Turkeys","Youghal No.2",627
"53831","1975","Turkeys","Youghal No.2",269
"53832","1980","Turkeys","Youghal No.2",NA
"53833","1926","Geese","Youghal No.2",1888
"53834","1933","Geese","Youghal No.2",1766
"53835","1955","Geese","Youghal No.2",554
"53836","1960","Geese","Youghal No.2",514
"53837","1965","Geese","Youghal No.2",232
"53838","1970","Geese","Youghal No.2",61
"53839","1975","Geese","Youghal No.2",23
"53840","1980","Geese","Youghal No.2",64
"53841","1926","Ducks","Youghal No.2",3479
"53842","1933","Ducks","Youghal No.2",2461
"53843","1955","Ducks","Youghal No.2",403
"53844","1960","Ducks","Youghal No.2",291
"53845","1965","Ducks","Youghal No.2",179
"53846","1970","Ducks","Youghal No.2",62
"53847","1975","Ducks","Youghal No.2",90
"53848","1980","Ducks","Youghal No.2",20
"53849","1926","Ordinary fowl","Youghal No.2",29501
"53850","1933","Ordinary fowl","Youghal No.2",36103
"53851","1955","Ordinary fowl","Youghal No.2",20027
"53852","1960","Ordinary fowl","Youghal No.2",18632
"53853","1965","Ordinary fowl","Youghal No.2",12307
"53854","1970","Ordinary fowl","Youghal No.2",6107
"53855","1975","Ordinary fowl","Youghal No.2",3158
"53856","1980","Ordinary fowl","Youghal No.2",NA
"53857","1926","Cattle","Connacht",725523
"53858","1933","Cattle","Connacht",762141
"53859","1955","Cattle","Connacht",877704
"53860","1960","Cattle","Connacht",919361
"53861","1965","Cattle","Connacht",1021721
"53862","1970","Cattle","Connacht",1148345
"53863","1975","Cattle","Connacht",1400517
"53864","1980","Cattle","Connacht",1373215
"53865","1926","Bulls","Connacht",1619
"53866","1933","Bulls","Connacht",2050
"53867","1955","Bulls","Connacht",1549
"53868","1960","Bulls","Connacht",1695
"53869","1965","Bulls","Connacht",1523
"53870","1970","Bulls","Connacht",1292
"53871","1975","Bulls","Connacht",1709
"53872","1980","Bulls","Connacht",1188
"53873","1926","Cows","Connacht",209812
"53874","1933","Cows","Connacht",229378
"53875","1955","Cows","Connacht",204756
"53876","1960","Cows","Connacht",215345
"53877","1965","Cows","Connacht",258612
"53878","1970","Cows","Connacht",281440
"53879","1975","Cows","Connacht",359466
"53880","1980","Cows","Connacht",315669
"53881","1926","Dairy cows","Connacht",NA
"53882","1933","Dairy cows","Connacht",NA
"53883","1955","Dairy cows","Connacht",NA
"53884","1960","Dairy cows","Connacht",NA
"53885","1965","Dairy cows","Connacht",NA
"53886","1970","Dairy cows","Connacht",NA
"53887","1975","Dairy cows","Connacht",163565
"53888","1980","Dairy cows","Connacht",157026
"53889","1926","Other cows","Connacht",NA
"53890","1933","Other cows","Connacht",NA
"53891","1955","Other cows","Connacht",NA
"53892","1960","Other cows","Connacht",NA
"53893","1965","Other cows","Connacht",NA
