"","Year","Type.of.Livestock","Rural.District","value"
"312","1980","Sows for breeding","State",116038
"313","1926","Other pigs","State",789034
"314","1933","Other pigs","State",830908
"315","1955","Other pigs","State",717078
"316","1960","Other pigs","State",839053
"317","1965","Other pigs","State",1123034
"318","1970","Other pigs","State",1050880
"319","1975","Other pigs","State",696349
"320","1980","Other pigs","State",910281
"321","1926","Horses and ponies","State",424304
"322","1933","Horses and ponies","State",441313
"323","1955","Horses and ponies","State",296274
"324","1960","Horses and ponies","State",223774
"325","1965","Horses and ponies","State",172111
"326","1970","Horses and ponies","State",124323
"327","1975","Horses and ponies","State",89182
"328","1980","Horses and ponies","State",68466
"329","1926","Working horses and ponies","State",NA
"330","1933","Working horses and ponies","State",NA
"331","1955","Working horses and ponies","State",NA
"332","1960","Working horses and ponies","State",176091
"333","1965","Working horses and ponies","State",118927
"334","1970","Working horses and ponies","State",85220
"335","1975","Working horses and ponies","State",39520
"336","1980","Working horses and ponies","State",18789
"337","1926","Thoroughbreds","State",NA
"338","1933","Thoroughbreds","State",NA
"339","1955","Thoroughbreds","State",NA
"340","1960","Thoroughbreds","State",13281
"341","1965","Thoroughbreds","State",17099
"342","1970","Thoroughbreds","State",17395
"343","1975","Thoroughbreds","State",17456
"344","1980","Thoroughbreds","State",15420
"345","1926","Other horses and ponies","State",NA
"346","1933","Other horses and ponies","State",NA
"347","1955","Other horses and ponies","State",NA
"348","1960","Other horses and ponies","State",34402
"349","1965","Other horses and ponies","State",36085
"350","1970","Other horses and ponies","State",21708
"351","1975","Other horses and ponies","State",32206
"352","1980","Other horses and ponies","State",34257
"353","1926","Mules, jennets and asses","State",NA
"354","1933","Mules, jennets and asses","State",NA
"355","1955","Mules, jennets and asses","State",NA
"356","1960","Mules, jennets and asses","State",NA
"357","1965","Mules, jennets and asses","State",NA
"358","1970","Mules, jennets and asses","State",NA
"359","1975","Mules, jennets and asses","State",37682
"360","1980","Mules, jennets and asses","State",22122
"361","1926","Goats","State",NA
"362","1933","Goats","State",NA
"363","1955","Goats","State",NA
"364","1960","Goats","State",NA
"365","1965","Goats","State",NA
"366","1970","Goats","State",NA
"367","1975","Goats","State",NA
"368","1980","Goats","State",9047
"369","1926","Poultry","State",21366801
"370","1933","Poultry","State",22505495
"371","1955","Poultry","State",16076435
"372","1960","Poultry","State",13046500
"373","1965","Poultry","State",11404875
"374","1970","Poultry","State",11230625
"375","1975","Poultry","State",9536001
"376","1980","Poultry","State",9903269
"377","1926","Turkeys","State",879378
"378","1933","Turkeys","State",1237417
"379","1955","Turkeys","State",1255762
"380","1960","Turkeys","State",978356
"381","1965","Turkeys","State",601539
"382","1970","Turkeys","State",534492
"383","1975","Turkeys","State",419310
"384","1980","Turkeys","State",561868
"385","1926","Geese","State",1300417
"386","1933","Geese","State",1144248
"387","1955","Geese","State",523113
"388","1960","Geese","State",438826
"389","1965","Geese","State",270386
"390","1970","Geese","State",153186
"391","1975","Geese","State",91664
"392","1980","Geese","State",57209
"393","1926","Ducks","State",2654688
"394","1933","Ducks","State",2169407
"395","1955","Ducks","State",786198
"396","1960","Ducks","State",457797
"397","1965","Ducks","State",304852
"398","1970","Ducks","State",204854
"399","1975","Ducks","State",182989
"400","1980","Ducks","State",254316
"401","1926","Ordinary fowl","State",16532318
"402","1933","Ordinary fowl","State",17954423
"403","1955","Ordinary fowl","State",13511362
"404","1960","Ordinary fowl","State",11171521
"405","1965","Ordinary fowl","State",10228098
"406","1970","Ordinary fowl","State",10338093
"407","1975","Ordinary fowl","State",8842038
"408","1980","Ordinary fowl","State",9029876
"409","1926","Cattle","Leinster",1229103
"410","1933","Cattle","Leinster",1259643
"411","1955","Cattle","Leinster",1402206
"412","1960","Cattle","Leinster",1479863
"413","1965","Cattle","Leinster",1717048
"414","1970","Cattle","Leinster",1887639
"415","1975","Cattle","Leinster",2275785
"416","1980","Cattle","Leinster",2114894
"417","1926","Bulls","Leinster",4392
"418","1933","Bulls","Leinster",5328
"419","1955","Bulls","Leinster",4332
"420","1960","Bulls","Leinster",4692
"421","1965","Bulls","Leinster",4554
"422","1970","Bulls","Leinster",4555
"423","1975","Bulls","Leinster",4452
"424","1980","Bulls","Leinster",3413
"425","1926","Cows","Leinster",237239
"426","1933","Cows","Leinster",259739
"427","1955","Cows","Leinster",269958
"428","1960","Cows","Leinster",307250
"429","1965","Cows","Leinster",386063
"430","1970","Cows","Leinster",426046
"431","1975","Cows","Leinster",543053
"432","1980","Cows","Leinster",495513
"433","1926","Dairy cows","Leinster",NA
"434","1933","Dairy cows","Leinster",NA
"435","1955","Dairy cows","Leinster",NA
"436","1960","Dairy cows","Leinster",NA
"437","1965","Dairy cows","Leinster",NA
"438","1970","Dairy cows","Leinster",NA
"439","1975","Dairy cows","Leinster",319849
"440","1980","Dairy cows","Leinster",364525
"441","1926","Other cows","Leinster",NA
"442","1933","Other cows","Leinster",NA
"443","1955","Other cows","Leinster",NA
"444","1960","Other cows","Leinster",NA
"445","1965","Other cows","Leinster",NA
"446","1970","Other cows","Leinster",NA
"447","1975","Other cows","Leinster",223204
"448","1980","Other cows","Leinster",130988
"449","1926","Cows : friesian and friesian cross","Leinster",NA
"450","1933","Cows : friesian and friesian cross","Leinster",NA
"451","1955","Cows : friesian and friesian cross","Leinster",NA
"452","1960","Cows : friesian and friesian cross","Leinster",19464
"453","1965","Cows : friesian and friesian cross","Leinster",82765
"454","1970","Cows : friesian and friesian cross","Leinster",212726
"455","1975","Cows : friesian and friesian cross","Leinster",346915
"456","1980","Cows : friesian and friesian cross","Leinster",402737
"457","1926","Cows : shorthorn","Leinster",NA
"458","1933","Cows : shorthorn","Leinster",NA
"459","1955","Cows : shorthorn","Leinster",NA
"460","1960","Cows : shorthorn","Leinster",234029
"461","1965","Cows : shorthorn","Leinster",228481
"462","1970","Cows : shorthorn","Leinster",145586
"463","1975","Cows : shorthorn","Leinster",85558
"464","1980","Cows : shorthorn","Leinster",36112
"465","1926","Cows : other breeds","Leinster",NA
"466","1933","Cows : other breeds","Leinster",NA
"467","1955","Cows : other breeds","Leinster",NA
"468","1960","Cows : other breeds","Leinster",53757
"469","1965","Cows : other breeds","Leinster",74817
"470","1970","Cows : other breeds","Leinster",67734
"471","1975","Cows : other breeds","Leinster",110580
"472","1980","Cows : other breeds","Leinster",56664
"473","1926","Heifers in calf","Leinster",38658
"474","1933","Heifers in calf","Leinster",32740
"475","1955","Heifers in calf","Leinster",31518
"476","1960","Heifers in calf","Leinster",45941
"477","1965","Heifers in calf","Leinster",77087
"478","1970","Heifers in calf","Leinster",73378
"479","1975","Heifers in calf","Leinster",86675
"480","1980","Heifers in calf","Leinster",81827
"481","1926","Dairy heifers","Leinster",NA
"482","1933","Dairy heifers","Leinster",NA
"483","1955","Dairy heifers","Leinster",NA
"484","1960","Dairy heifers","Leinster",NA
"485","1965","Dairy heifers","Leinster",NA
"486","1970","Dairy heifers","Leinster",NA
"487","1975","Dairy heifers","Leinster",NA
"488","1980","Dairy heifers","Leinster",64573
"489","1926","Other heifers","Leinster",NA
"490","1933","Other heifers","Leinster",NA
"491","1955","Other heifers","Leinster",NA
"492","1960","Other heifers","Leinster",NA
"493","1965","Other heifers","Leinster",NA
"494","1970","Other heifers","Leinster",NA
"495","1975","Other heifers","Leinster",NA
"496","1980","Other heifers","Leinster",17254
"497","1926","Other cattle","Leinster",948814
"498","1933","Other cattle","Leinster",961836
"499","1955","Other cattle","Leinster",1096398
"500","1960","Other cattle","Leinster",1121980
"501","1965","Other cattle","Leinster",1249344
"502","1970","Other cattle","Leinster",1383660
"503","1975","Other cattle","Leinster",1641605
"504","1980","Other cattle","Leinster",1534141
"505","1926","Other cattle : 3 years and over","Leinster",188049
"506","1933","Other cattle : 3 years and over","Leinster",140556
"507","1955","Other cattle : 3 years and over","Leinster",177027
"508","1960","Other cattle : 3 years and over","Leinster",138289
"509","1965","Other cattle : 3 years and over","Leinster",109789
"510","1970","Other cattle : 3 years and over","Leinster",104569
"511","1975","Other cattle : 3 years and over","Leinster",122724
"512","1980","Other cattle : 3 years and over","Leinster",131612
"513","1926","Other cattle : 3 years and over male","Leinster",NA
"514","1933","Other cattle : 3 years and over male","Leinster",NA
"515","1955","Other cattle : 3 years and over male","Leinster",NA
