"","Region.and.County","Year","Type.of.Cattle","value"
"427","Wexford","2013","Dairy cows",54.4
"428","Wicklow","2013","Dairy cows",17.8
"429","Clare","2013","Dairy cows",28.1
"430","Cork","2013","Dairy cows",306.4
"431","Kerry","2013","Dairy cows",88.8
"432","Limerick","2013","Dairy cows",101.9
"433","North Tipperary","2013","Dairy cows",54.5
"434","South Tipperary","2013","Dairy cows",74.8
"435","Waterford","2013","Dairy cows",63.3
"436","Galway","2013","Dairy cows",27.7
"437","Leitrim","2013","Dairy cows",1.9
"438","Mayo","2013","Dairy cows",16.2
"439","Roscommon","2013","Dairy cows",5.4
"440","Sligo","2013","Dairy cows",7.8
"441","Cavan","2013","Dairy cows",32.2
"442","Donegal","2013","Dairy cows",16.9
"443","Monaghan","2013","Dairy cows",31.4
"444","Dublin plus Mid East","2013","Dairy cows",79.7
"445","State","2010","Other cows",1158.4
"446","Carlow","2010","Other cows",17.5
"447","Border, Midland and Western","2010","Other cows",601.8
"448","Border","2010","Other cows",205.4
"449","Kildare","2010","Other cows",20.3
"450","Midland","2010","Other cows",146.1
"451","Kilkenny","2010","Other cows",41.8
"452","Laois","2010","Other cows",37.9
"453","West","2010","Other cows",250.3
"454","Longford","2010","Other cows",29.1
"455","Southern and Eastern","2010","Other cows",556.7
"456","Louth","2010","Other cows",13.2
"457","Dublin","2010","Other cows",4.4
"458","Meath","2010","Other cows",44.1
"459","Offaly","2010","Other cows",36.4
"460","Mid-West","2010","Other cows",160.3
"461","Westmeath","2010","Other cows",42.7
"462","South-East","2010","Other cows",160.8
"463","South-West","2010","Other cows",142.7
"464","Wexford","2010","Other cows",36.7
"465","Wicklow","2010","Other cows",24.1
"466","Clare","2010","Other cows",76.9
"467","Cork","2010","Other cows",93.8
"468","Kerry","2010","Other cows",48.9
"469","Limerick","2010","Other cows",44.2
"470","North Tipperary","2010","Other cows",39.2
"471","South Tipperary","2010","Other cows",35
"472","Waterford","2010","Other cows",29.8
"473","Galway","2010","Other cows",109.1
"474","Leitrim","2010","Other cows",26.8
"475","Mayo","2010","Other cows",82.3
"476","Roscommon","2010","Other cows",58.9
"477","Sligo","2010","Other cows",33.6
"478","Cavan","2010","Other cows",49.1
"479","Donegal","2010","Other cows",47.2
"480","Monaghan","2010","Other cows",35.4
"481","Dublin plus Mid East","2010","Other cows",92.9
"482","State","2011","Other cows",1123.3
"483","Carlow","2011","Other cows",17.1
"484","Border, Midland and Western","2011","Other cows",585.5
"485","Border","2011","Other cows",199
"486","Kildare","2011","Other cows",19.6
"487","Midland","2011","Other cows",141.8
"488","Kilkenny","2011","Other cows",40.1
"489","Laois","2011","Other cows",36.4
"490","West","2011","Other cows",244.7
"491","Longford","2011","Other cows",28.1
"492","Southern and Eastern","2011","Other cows",537.8
"493","Louth","2011","Other cows",13
"494","Dublin","2011","Other cows",4.2
"495","Meath","2011","Other cows",42.1
"496","Offaly","2011","Other cows",34.5
"497","Mid-West","2011","Other cows",155.2
"498","Westmeath","2011","Other cows",42.9
"499","South-East","2011","Other cows",153.8
"500","South-West","2011","Other cows",139.3
"501","Wexford","2011","Other cows",35.1
"502","Wicklow","2011","Other cows",23.5
"503","Clare","2011","Other cows",75.5
"504","Cork","2011","Other cows",90.7
"505","Kerry","2011","Other cows",48.6
"506","Limerick","2011","Other cows",42.5
"507","North Tipperary","2011","Other cows",37.2
"508","South Tipperary","2011","Other cows",33.4
"509","Waterford","2011","Other cows",28.2
"510","Galway","2011","Other cows",105.7
"511","Leitrim","2011","Other cows",25.6
"512","Mayo","2011","Other cows",80.7
"513","Roscommon","2011","Other cows",58.3
"514","Sligo","2011","Other cows",32.5
"515","Cavan","2011","Other cows",47.6
"516","Donegal","2011","Other cows",45.9
"517","Monaghan","2011","Other cows",34.4
"518","Dublin plus Mid East","2011","Other cows",89.4
"519","State","2012","Other cows",1148.6
"520","Carlow","2012","Other cows",17.6
"521","Border, Midland and Western","2012","Other cows",600
"522","Border","2012","Other cows",202.9
"523","Kildare","2012","Other cows",20.2
"524","Midland","2012","Other cows",146.1
"525","Kilkenny","2012","Other cows",41.5
"526","Laois","2012","Other cows",37.2
"527","West","2012","Other cows",251.1
"528","Longford","2012","Other cows",28.8
"529","Southern and Eastern","2012","Other cows",548.6
"530","Louth","2012","Other cows",13
"531","Dublin","2012","Other cows",4.1
"532","Meath","2012","Other cows",42.8
"533","Offaly","2012","Other cows",35.2
