"","Region.and.County","Year","Type.of.Cattle","value"
"1680","Offaly","2011","Cattle: under 1 year",59.1
"1681","Mid-West","2011","Cattle: under 1 year",271.3
"1682","Westmeath","2011","Cattle: under 1 year",54.5
"1683","South-East","2011","Cattle: under 1 year",345.6
"1684","South-West","2011","Cattle: under 1 year",369.4
"1685","Wexford","2011","Cattle: under 1 year",72.2
"1686","Wicklow","2011","Cattle: under 1 year",33.1
"1687","Clare","2011","Cattle: under 1 year",82.9
"1688","Cork","2011","Cattle: under 1 year",276.7
"1689","Kerry","2011","Cattle: under 1 year",92.7
"1690","Limerick","2011","Cattle: under 1 year",107.2
"1691","North Tipperary","2011","Cattle: under 1 year",81.3
"1692","South Tipperary","2011","Cattle: under 1 year",87.4
"1693","Waterford","2011","Cattle: under 1 year",68.2
"1694","Galway","2011","Cattle: under 1 year",121.2
"1695","Leitrim","2011","Cattle: under 1 year",21.5
"1696","Mayo","2011","Cattle: under 1 year",83.4
"1697","Roscommon","2011","Cattle: under 1 year",59.6
"1698","Sligo","2011","Cattle: under 1 year",34.4
"1699","Cavan","2011","Cattle: under 1 year",62.7
"1700","Donegal","2011","Cattle: under 1 year",56.8
"1701","Monaghan","2011","Cattle: under 1 year",55.3
"1702","Dublin plus Mid East","2011","Cattle: under 1 year",137.8
"1703","State","2012","Cattle: under 1 year",2036
"1704","Carlow","2012","Cattle: under 1 year",30.2
"1705","Border, Midland and Western","2012","Cattle: under 1 year",786.6
"1706","Border","2012","Cattle: under 1 year",271.4
"1707","Kildare","2012","Cattle: under 1 year",33.2
"1708","Midland","2012","Cattle: under 1 year",231.7
"1709","Kilkenny","2012","Cattle: under 1 year",104.4
"1710","Laois","2012","Cattle: under 1 year",70
"1711","West","2012","Cattle: under 1 year",283.5
"1712","Longford","2012","Cattle: under 1 year",34.3
"1713","Southern and Eastern","2012","Cattle: under 1 year",1249.4
"1714","Louth","2012","Cattle: under 1 year",22.4
"1715","Dublin","2012","Cattle: under 1 year",6.3
"1716","Meath","2012","Cattle: under 1 year",77.7
"1717","Offaly","2012","Cattle: under 1 year",65.9
"1718","Mid-West","2012","Cattle: under 1 year",302.4
"1719","Westmeath","2012","Cattle: under 1 year",61.5
"1720","South-East","2012","Cattle: under 1 year",388
"1721","South-West","2012","Cattle: under 1 year",405.5
"1722","Wexford","2012","Cattle: under 1 year",82.1
"1723","Wicklow","2012","Cattle: under 1 year",36.3
"1724","Clare","2012","Cattle: under 1 year",91.5
"1725","Cork","2012","Cattle: under 1 year",303.8
"1726","Kerry","2012","Cattle: under 1 year",101.7
"1727","Limerick","2012","Cattle: under 1 year",118.6
"1728","North Tipperary","2012","Cattle: under 1 year",92.3
"1729","South Tipperary","2012","Cattle: under 1 year",97.6
"1730","Waterford","2012","Cattle: under 1 year",73.6
"1731","Galway","2012","Cattle: under 1 year",131
"1732","Leitrim","2012","Cattle: under 1 year",22.8
"1733","Mayo","2012","Cattle: under 1 year",88.6
"1734","Roscommon","2012","Cattle: under 1 year",63.8
"1735","Sligo","2012","Cattle: under 1 year",36.9
"1736","Cavan","2012","Cattle: under 1 year",69
"1737","Donegal","2012","Cattle: under 1 year",59.8
"1738","Monaghan","2012","Cattle: under 1 year",60.5
"1739","Dublin plus Mid East","2012","Cattle: under 1 year",153.5
"1740","State","2013","Cattle: under 1 year",1968.5
"1741","Carlow","2013","Cattle: under 1 year",30.6
"1742","Border, Midland and Western","2013","Cattle: under 1 year",758.1
"1743","Border","2013","Cattle: under 1 year",264.8
"1744","Kildare","2013","Cattle: under 1 year",33
"1745","Midland","2013","Cattle: under 1 year",220.5
"1746","Kilkenny","2013","Cattle: under 1 year",102.9
"1747","Laois","2013","Cattle: under 1 year",67.7
"1748","West","2013","Cattle: under 1 year",272.8
"1749","Longford","2013","Cattle: under 1 year",31.8
"1750","Southern and Eastern","2013","Cattle: under 1 year",1210.3
"1751","Louth","2013","Cattle: under 1 year",21.7
"1752","Dublin","2013","Cattle: under 1 year",5.9
"1753","Meath","2013","Cattle: under 1 year",73.7
"1754","Offaly","2013","Cattle: under 1 year",62.3
"1755","Mid-West","2013","Cattle: under 1 year",292.4
"1756","Westmeath","2013","Cattle: under 1 year",58.7
"1757","South-East","2013","Cattle: under 1 year",380
"1758","South-West","2013","Cattle: under 1 year",388.8
"1759","Wexford","2013","Cattle: under 1 year",80.7
"1760","Wicklow","2013","Cattle: under 1 year",36.6
"1761","Clare","2013","Cattle: under 1 year",91.4
"1762","Cork","2013","Cattle: under 1 year",290.7
"1763","Kerry","2013","Cattle: under 1 year",98.1
"1764","Limerick","2013","Cattle: under 1 year",111.6
"1765","North Tipperary","2013","Cattle: under 1 year",89.4
"1766","South Tipperary","2013","Cattle: under 1 year",94.2
"1767","Waterford","2013","Cattle: under 1 year",71.6
"1768","Galway","2013","Cattle: under 1 year",126.3
"1769","Leitrim","2013","Cattle: under 1 year",22.7
"1770","Mayo","2013","Cattle: under 1 year",85.8
"1771","Roscommon","2013","Cattle: under 1 year",60.7
"1772","Sligo","2013","Cattle: under 1 year",36
"1773","Cavan","2013","Cattle: under 1 year",67.5
"1774","Donegal","2013","Cattle: under 1 year",58.6
"1775","Monaghan","2013","Cattle: under 1 year",58.3
"1776","Dublin plus Mid East","2013","Cattle: under 1 year",149.2
"1777","State","2010","Cattle male: under 1 year",826.7
"1778","Carlow","2010","Cattle male: under 1 year",13.9
"1779","Border, Midland and Western","2010","Cattle male: under 1 year",340.6
"1780","Border","2010","Cattle male: under 1 year",119
"1781","Kildare","2010","Cattle male: under 1 year",13.4
"1782","Midland","2010","Cattle male: under 1 year",96.1
"1783","Kilkenny","2010","Cattle male: under 1 year",43.8
"1784","Laois","2010","Cattle male: under 1 year",29.4
"1785","West","2010","Cattle male: under 1 year",125.5
"1786","Longford","2010","Cattle male: under 1 year",15.2
"1787","Southern and Eastern","2010","Cattle male: under 1 year",486.1
"1788","Louth","2010","Cattle male: under 1 year",8.9
"1789","Dublin","2010","Cattle male: under 1 year",2.5
"1790","Meath","2010","Cattle male: under 1 year",31
"1791","Offaly","2010","Cattle male: under 1 year",27.2
"1792","Mid-West","2010","Cattle male: under 1 year",120.7
"1793","Westmeath","2010","Cattle male: under 1 year",24.4
"1794","South-East","2010","Cattle male: under 1 year",157.8
"1795","South-West","2010","Cattle male: under 1 year",144.7
"1796","Wexford","2010","Cattle male: under 1 year",33.3
"1797","Wicklow","2010","Cattle male: under 1 year",15.9
"1798","Clare","2010","Cattle male: under 1 year",39.6
"1799","Cork","2010","Cattle male: under 1 year",108.8
"1800","Kerry","2010","Cattle male: under 1 year",35.9
"1801","Limerick","2010","Cattle male: under 1 year",43.4
"1802","North Tipperary","2010","Cattle male: under 1 year",37.7
"1803","South Tipperary","2010","Cattle male: under 1 year",37.9
"1804","Waterford","2010","Cattle male: under 1 year",28.9
"1805","Galway","2010","Cattle male: under 1 year",57.6
"1806","Leitrim","2010","Cattle male: under 1 year",10.9
"1807","Mayo","2010","Cattle male: under 1 year",40.1
"1808","Roscommon","2010","Cattle male: under 1 year",27.9
"1809","Sligo","2010","Cattle male: under 1 year",16.8
"1810","Cavan","2010","Cattle male: under 1 year",28.2
"1811","Donegal","2010","Cattle male: under 1 year",29.2
"1812","Monaghan","2010","Cattle male: under 1 year",24.8
"1813","Dublin plus Mid East","2010","Cattle male: under 1 year",62.8
"1814","State","2011","Cattle male: under 1 year",891.9
"1815","Carlow","2011","Cattle male: under 1 year",13.7
"1816","Border, Midland and Western","2011","Cattle male: under 1 year",355.5
"1817","Border","2011","Cattle male: under 1 year",120.6
"1818","Kildare","2011","Cattle male: under 1 year",15.7
"1819","Midland","2011","Cattle male: under 1 year",103.8
"1820","Kilkenny","2011","Cattle male: under 1 year",46.7
"1821","Laois","2011","Cattle male: under 1 year",32.1
"1822","West","2011","Cattle male: under 1 year",131.2
"1823","Longford","2011","Cattle male: under 1 year",15.5
"1824","Southern and Eastern","2011","Cattle male: under 1 year",536.4
"1825","Louth","2011","Cattle male: under 1 year",8.8
"1826","Dublin","2011","Cattle male: under 1 year",2.6
"1827","Meath","2011","Cattle male: under 1 year",33.2
"1828","Offaly","2011","Cattle male: under 1 year",30
"1829","Mid-West","2011","Cattle male: under 1 year",133
"1830","Westmeath","2011","Cattle male: under 1 year",26.2
"1831","South-East","2011","Cattle male: under 1 year",172.7
"1832","South-West","2011","Cattle male: under 1 year",163.4
"1833","Wexford","2011","Cattle male: under 1 year",35.7
"1834","Wicklow","2011","Cattle male: under 1 year",15.8
"1835","Clare","2011","Cattle male: under 1 year",40.7
"1836","Cork","2011","Cattle male: under 1 year",123.4
"1837","Kerry","2011","Cattle male: under 1 year",39.9
"1838","Limerick","2011","Cattle male: under 1 year",50.6
"1839","North Tipperary","2011","Cattle male: under 1 year",41.8
"1840","South Tipperary","2011","Cattle male: under 1 year",44.1
"1841","Waterford","2011","Cattle male: under 1 year",32.4
"1842","Galway","2011","Cattle male: under 1 year",59.6
"1843","Leitrim","2011","Cattle male: under 1 year",10.6
"1844","Mayo","2011","Cattle male: under 1 year",40.8
"1845","Roscommon","2011","Cattle male: under 1 year",30.8
"1846","Sligo","2011","Cattle male: under 1 year",16.8
"1847","Cavan","2011","Cattle male: under 1 year",29
"1848","Donegal","2011","Cattle male: under 1 year",29.1
"1849","Monaghan","2011","Cattle male: under 1 year",26.2
"1850","Dublin plus Mid East","2011","Cattle male: under 1 year",67.3
"1851","State","2012","Cattle male: under 1 year",1023.2
"1852","Carlow","2012","Cattle male: under 1 year",16.2
"1853","Border, Midland and Western","2012","Cattle male: under 1 year",397.9
"1854","Border","2012","Cattle male: under 1 year",134.1
"1855","Kildare","2012","Cattle male: under 1 year",17.8
"1856","Midland","2012","Cattle male: under 1 year",122
"1857","Kilkenny","2012","Cattle male: under 1 year",56.2
"1858","Laois","2012","Cattle male: under 1 year",38.5
"1859","West","2012","Cattle male: under 1 year",141.9
"1860","Longford","2012","Cattle male: under 1 year",17.8
"1861","Southern and Eastern","2012","Cattle male: under 1 year",625.3
"1862","Louth","2012","Cattle male: under 1 year",11
"1863","Dublin","2012","Cattle male: under 1 year",3.1
"1864","Meath","2012","Cattle male: under 1 year",38.6
"1865","Offaly","2012","Cattle male: under 1 year",35.4
"1866","Mid-West","2012","Cattle male: under 1 year",155
"1867","Westmeath","2012","Cattle male: under 1 year",30.3
"1868","South-East","2012","Cattle male: under 1 year",202.8
"1869","South-West","2012","Cattle male: under 1 year",190.3
"1870","Wexford","2012","Cattle male: under 1 year",42.2
"1871","Wicklow","2012","Cattle male: under 1 year",17.7
"1872","Clare","2012","Cattle male: under 1 year",45.7
"1873","Cork","2012","Cattle male: under 1 year",144.4
"1874","Kerry","2012","Cattle male: under 1 year",45.9
"1875","Limerick","2012","Cattle male: under 1 year",59.3
"1876","North Tipperary","2012","Cattle male: under 1 year",50
"1877","South Tipperary","2012","Cattle male: under 1 year",52.2
"1878","Waterford","2012","Cattle male: under 1 year",36.1
"1879","Galway","2012","Cattle male: under 1 year",65.5
"1880","Leitrim","2012","Cattle male: under 1 year",11.2
"1881","Mayo","2012","Cattle male: under 1 year",43.7
"1882","Roscommon","2012","Cattle male: under 1 year",32.6
"1883","Sligo","2012","Cattle male: under 1 year",18.2
"1884","Cavan","2012","Cattle male: under 1 year",32.9
"1885","Donegal","2012","Cattle male: under 1 year",31.1
"1886","Monaghan","2012","Cattle male: under 1 year",29.7
"1887","Dublin plus Mid East","2012","Cattle male: under 1 year",77.2
"1888","State","2013","Cattle male: under 1 year",959.2
"1889","Carlow","2013","Cattle male: under 1 year",16.5
"1890","Border, Midland and Western","2013","Cattle male: under 1 year",375.5
"1891","Border","2013","Cattle male: under 1 year",128.8
"1892","Kildare","2013","Cattle male: under 1 year",17.1
"1893","Midland","2013","Cattle male: under 1 year",111.9
"1894","Kilkenny","2013","Cattle male: under 1 year",53.7
"1895","Laois","2013","Cattle male: under 1 year",35.8
"1896","West","2013","Cattle male: under 1 year",134.8
"1897","Longford","2013","Cattle male: under 1 year",16
"1898","Southern and Eastern","2013","Cattle male: under 1 year",583.7
"1899","Louth","2013","Cattle male: under 1 year",10.2
"1900","Dublin","2013","Cattle male: under 1 year",2.9
"1901","Meath","2013","Cattle male: under 1 year",35.5
"1902","Offaly","2013","Cattle male: under 1 year",31.7
"1903","Mid-West","2013","Cattle male: under 1 year",144.9
"1904","Westmeath","2013","Cattle male: under 1 year",28.5
"1905","South-East","2013","Cattle male: under 1 year",192.1
"1906","South-West","2013","Cattle male: under 1 year",173.5
"1907","Wexford","2013","Cattle male: under 1 year",40.6
"1908","Wicklow","2013","Cattle male: under 1 year",17.6
"1909","Clare","2013","Cattle male: under 1 year",44.9
"1910","Cork","2013","Cattle male: under 1 year",130.8
"1911","Kerry","2013","Cattle male: under 1 year",42.8
"1912","Limerick","2013","Cattle male: under 1 year",53.3
"1913","North Tipperary","2013","Cattle male: under 1 year",46.6
"1914","South Tipperary","2013","Cattle male: under 1 year",48
"1915","Waterford","2013","Cattle male: under 1 year",33.4
"1916","Galway","2013","Cattle male: under 1 year",62
"1917","Leitrim","2013","Cattle male: under 1 year",11.1
"1918","Mayo","2013","Cattle male: under 1 year",42.2
"1919","Roscommon","2013","Cattle male: under 1 year",30.7
"1920","Sligo","2013","Cattle male: under 1 year",17.8
"1921","Cavan","2013","Cattle male: under 1 year",31.7
"1922","Donegal","2013","Cattle male: under 1 year",30.2
"1923","Monaghan","2013","Cattle male: under 1 year",27.7
"1924","Dublin plus Mid East","2013","Cattle male: under 1 year",73.2
"1925","State","2010","Cattle female: under 1 year",934.6
"1926","Carlow","2010","Cattle female: under 1 year",13.2
"1927","Border, Midland and Western","2010","Cattle female: under 1 year",359.5
"1928","Border","2010","Cattle female: under 1 year",129.5
"1929","Kildare","2010","Cattle female: under 1 year",13.8
"1930","Midland","2010","Cattle female: under 1 year",100.1
"1931","Kilkenny","2010","Cattle female: under 1 year",43.9
"1932","Laois","2010","Cattle female: under 1 year",29.6
"1933","West","2010","Cattle female: under 1 year",130
"1934","Longford","2010","Cattle female: under 1 year",15.3
"1935","Southern and Eastern","2010","Cattle female: under 1 year",575.1
"1936","Louth","2010","Cattle female: under 1 year",10.4
"1937","Dublin","2010","Cattle female: under 1 year",2.9
"1938","Meath","2010","Cattle female: under 1 year",36
"1939","Offaly","2010","Cattle female: under 1 year",28.5
"1940","Mid-West","2010","Cattle female: under 1 year",135.3
"1941","Westmeath","2010","Cattle female: under 1 year",26.7
"1942","South-East","2010","Cattle female: under 1 year",169.6
"1943","South-West","2010","Cattle female: under 1 year",199.6
"1944","Wexford","2010","Cattle female: under 1 year",35.9
"1945","Wicklow","2010","Cattle female: under 1 year",17.8
"1946","Clare","2010","Cattle female: under 1 year",42.7
"1947","Cork","2010","Cattle female: under 1 year",148.2
"1948","Kerry","2010","Cattle female: under 1 year",51.4
"1949","Limerick","2010","Cattle female: under 1 year",54.2
"1950","North Tipperary","2010","Cattle female: under 1 year",38.4
"1951","South Tipperary","2010","Cattle female: under 1 year",41.4
"1952","Waterford","2010","Cattle female: under 1 year",35.2
"1953","Galway","2010","Cattle female: under 1 year",59.8
"1954","Leitrim","2010","Cattle female: under 1 year",11.6
"1955","Mayo","2010","Cattle female: under 1 year",42.4
"1956","Roscommon","2010","Cattle female: under 1 year",27.8
"1957","Sligo","2010","Cattle female: under 1 year",17.7
"1958","Cavan","2010","Cattle female: under 1 year",33.5
"1959","Donegal","2010","Cattle female: under 1 year",28
"1960","Monaghan","2010","Cattle female: under 1 year",28.3
"1961","Dublin plus Mid East","2010","Cattle female: under 1 year",70.5
"1962","State","2011","Cattle female: under 1 year",953.6
"1963","Carlow","2011","Cattle female: under 1 year",12.8
"1964","Border, Midland and Western","2011","Cattle female: under 1 year",365.8
"1965","Border","2011","Cattle female: under 1 year",129.5
"1966","Kildare","2011","Cattle female: under 1 year",14
"1967","Midland","2011","Cattle female: under 1 year",103.3
"1968","Kilkenny","2011","Cattle female: under 1 year",44.6
"1969","Laois","2011","Cattle female: under 1 year",30.5
"1970","West","2011","Cattle female: under 1 year",133
"1971","Longford","2011","Cattle female: under 1 year",15.5
"1972","Southern and Eastern","2011","Cattle female: under 1 year",587.8
"1973","Louth","2011","Cattle female: under 1 year",10.7
"1974","Dublin","2011","Cattle female: under 1 year",3.2
"1975","Meath","2011","Cattle female: under 1 year",36
"1976","Offaly","2011","Cattle female: under 1 year",29.1
"1977","Mid-West","2011","Cattle female: under 1 year",138.3
"1978","Westmeath","2011","Cattle female: under 1 year",28.3
"1979","South-East","2011","Cattle female: under 1 year",172.9
"1980","South-West","2011","Cattle female: under 1 year",206
"1981","Wexford","2011","Cattle female: under 1 year",36.5
"1982","Wicklow","2011","Cattle female: under 1 year",17.3
"1983","Clare","2011","Cattle female: under 1 year",42.2
"1984","Cork","2011","Cattle female: under 1 year",153.3
"1985","Kerry","2011","Cattle female: under 1 year",52.8
"1986","Limerick","2011","Cattle female: under 1 year",56.6
"1987","North Tipperary","2011","Cattle female: under 1 year",39.5
"1988","South Tipperary","2011","Cattle female: under 1 year",43.3
"1989","Waterford","2011","Cattle female: under 1 year",35.8
"1990","Galway","2011","Cattle female: under 1 year",61.5
"1991","Leitrim","2011","Cattle female: under 1 year",10.8
"1992","Mayo","2011","Cattle female: under 1 year",42.6
"1993","Roscommon","2011","Cattle female: under 1 year",28.8
"1994","Sligo","2011","Cattle female: under 1 year",17.6
"1995","Cavan","2011","Cattle female: under 1 year",33.7
"1996","Donegal","2011","Cattle female: under 1 year",27.6
"1997","Monaghan","2011","Cattle female: under 1 year",29
"1998","Dublin plus Mid East","2011","Cattle female: under 1 year",70.6
"1999","State","2012","Cattle female: under 1 year",1012.8
"2000","Carlow","2012","Cattle female: under 1 year",14
"2001","Border, Midland and Western","2012","Cattle female: under 1 year",388.7
"2002","Border","2012","Cattle female: under 1 year",137.4
"2003","Kildare","2012","Cattle female: under 1 year",15.4
"2004","Midland","2012","Cattle female: under 1 year",109.8
"2005","Kilkenny","2012","Cattle female: under 1 year",48.3
"2006","Laois","2012","Cattle female: under 1 year",31.5
"2007","West","2012","Cattle female: under 1 year",141.6
"2008","Longford","2012","Cattle female: under 1 year",16.5
"2009","Southern and Eastern","2012","Cattle female: under 1 year",624.1
"2010","Louth","2012","Cattle female: under 1 year",11.4
"2011","Dublin","2012","Cattle female: under 1 year",3.2
"2012","Meath","2012","Cattle female: under 1 year",39.2
"2013","Offaly","2012","Cattle female: under 1 year",30.6
"2014","Mid-West","2012","Cattle female: under 1 year",147.4
"2015","Westmeath","2012","Cattle female: under 1 year",31.2
"2016","South-East","2012","Cattle female: under 1 year",185.1
"2017","South-West","2012","Cattle female: under 1 year",215.2
"2018","Wexford","2012","Cattle female: under 1 year",39.9
"2019","Wicklow","2012","Cattle female: under 1 year",18.6
"2020","Clare","2012","Cattle female: under 1 year",45.8
"2021","Cork","2012","Cattle female: under 1 year",159.4
"2022","Kerry","2012","Cattle female: under 1 year",55.8
"2023","Limerick","2012","Cattle female: under 1 year",59.4
"2024","North Tipperary","2012","Cattle female: under 1 year",42.2
"2025","South Tipperary","2012","Cattle female: under 1 year",45.4
"2026","Waterford","2012","Cattle female: under 1 year",37.5
"2027","Galway","2012","Cattle female: under 1 year",65.5
"2028","Leitrim","2012","Cattle female: under 1 year",11.6
"2029","Mayo","2012","Cattle female: under 1 year",44.9
"2030","Roscommon","2012","Cattle female: under 1 year",31.2
"2031","Sligo","2012","Cattle female: under 1 year",18.7
"2032","Cavan","2012","Cattle female: under 1 year",36.1
"2033","Donegal","2012","Cattle female: under 1 year",28.7
"2034","Monaghan","2012","Cattle female: under 1 year",30.8
"2035","Dublin plus Mid East","2012","Cattle female: under 1 year",76.4
"2036","State","2013","Cattle female: under 1 year",1009.3
"2037","Carlow","2013","Cattle female: under 1 year",14.1
"2038","Border, Midland and Western","2013","Cattle female: under 1 year",382.7
"2039","Border","2013","Cattle female: under 1 year",136.1
"2040","Kildare","2013","Cattle female: under 1 year",15.8
"2041","Midland","2013","Cattle female: under 1 year",108.6
"2042","Kilkenny","2013","Cattle female: under 1 year",49.3
"2043","Laois","2013","Cattle female: under 1 year",32
"2044","West","2013","Cattle female: under 1 year",138
"2045","Longford","2013","Cattle female: under 1 year",15.8
"2046","Southern and Eastern","2013","Cattle female: under 1 year",626.6
"2047","Louth","2013","Cattle female: under 1 year",11.5
"2048","Dublin","2013","Cattle female: under 1 year",2.9
"2049","Meath","2013","Cattle female: under 1 year",38.2
"2050","Offaly","2013","Cattle female: under 1 year",30.6
"2051","Mid-West","2013","Cattle female: under 1 year",147.5
"2052","Westmeath","2013","Cattle female: under 1 year",30.2
"2053","South-East","2013","Cattle female: under 1 year",187.9
"2054","South-West","2013","Cattle female: under 1 year",215.3
"2055","Wexford","2013","Cattle female: under 1 year",40.1
"2056","Wicklow","2013","Cattle female: under 1 year",19
"2057","Clare","2013","Cattle female: under 1 year",46.5
"2058","Cork","2013","Cattle female: under 1 year",160
"2059","Kerry","2013","Cattle female: under 1 year",55.3
"2060","Limerick","2013","Cattle female: under 1 year",58.3
"2061","North Tipperary","2013","Cattle female: under 1 year",42.7
"2062","South Tipperary","2013","Cattle female: under 1 year",46.2
"2063","Waterford","2013","Cattle female: under 1 year",38.3
"2064","Galway","2013","Cattle female: under 1 year",64.4
"2065","Leitrim","2013","Cattle female: under 1 year",11.7
"2066","Mayo","2013","Cattle female: under 1 year",43.6
"2067","Roscommon","2013","Cattle female: under 1 year",30
"2068","Sligo","2013","Cattle female: under 1 year",18.2
"2069","Cavan","2013","Cattle female: under 1 year",35.8
"2070","Donegal","2013","Cattle female: under 1 year",28.4
"2071","Monaghan","2013","Cattle female: under 1 year",30.5
"2072","Dublin plus Mid East","2013","Cattle female: under 1 year",75.9
"2073","State","2010","Total cattle: male",2145.1
"2074","Carlow","2010","Total cattle: male",32.8
"2075","Border, Midland and Western","2010","Total cattle: male",849.1
"2076","Border","2010","Total cattle: male",267.6
"2077","Kildare","2010","Total cattle: male",51.6
"2078","Midland","2010","Total cattle: male",279.4
"2079","Kilkenny","2010","Total cattle: male",118.4
"2080","Laois","2010","Total cattle: male",85
"2081","West","2010","Total cattle: male",302.2
"2082","Longford","2010","Total cattle: male",41.4
"2083","Southern and Eastern","2010","Total cattle: male",1296
"2084","Louth","2010","Total cattle: male",27
"2085","Dublin","2010","Total cattle: male",7.6
"2086","Meath","2010","Total cattle: male",102.4
"2087","Offaly","2010","Total cattle: male",82.4
"2088","Mid-West","2010","Total cattle: male",318.3
"2089","Westmeath","2010","Total cattle: male",70.6
"2090","South-East","2010","Total cattle: male",416.8
"2091","South-West","2010","Total cattle: male",364.3
"2092","Wexford","2010","Total cattle: male",81.5
"2093","Wicklow","2010","Total cattle: male",35.1
"2094","Clare","2010","Total cattle: male",85.8
"2095","Cork","2010","Total cattle: male",283.6
"2096","Kerry","2010","Total cattle: male",80.7
"2097","Limerick","2010","Total cattle: male",122
"2098","North Tipperary","2010","Total cattle: male",110.4
"2099","South Tipperary","2010","Total cattle: male",108
"2100","Waterford","2010","Total cattle: male",76.1
"2101","Galway","2010","Total cattle: male",141.9
"2102","Leitrim","2010","Total cattle: male",16.9
"2103","Mayo","2010","Total cattle: male",87.1
"2104","Roscommon","2010","Total cattle: male",73.2
"2105","Sligo","2010","Total cattle: male",34.3
"2106","Cavan","2010","Total cattle: male",61.8
"2107","Donegal","2010","Total cattle: male",64.4
"2108","Monaghan","2010","Total cattle: male",63.2
"2109","Dublin plus Mid East","2010","Total cattle: male",196.7
"2110","State","2011","Total cattle: male",2032.7
"2111","Carlow","2011","Total cattle: male",30.4
"2112","Border, Midland and Western","2011","Total cattle: male",802
"2113","Border","2011","Total cattle: male",254.6
"2114","Kildare","2011","Total cattle: male",49.6
"2115","Midland","2011","Total cattle: male",263.9
"2116","Kilkenny","2011","Total cattle: male",112.4
"2117","Laois","2011","Total cattle: male",79.8
"2118","West","2011","Total cattle: male",283.5
"2119","Longford","2011","Total cattle: male",37.8
"2120","Southern and Eastern","2011","Total cattle: male",1230.7
"2121","Louth","2011","Total cattle: male",24.7
"2122","Dublin","2011","Total cattle: male",6.6
"2123","Meath","2011","Total cattle: male",96
"2124","Offaly","2011","Total cattle: male",77.5
"2125","Mid-West","2011","Total cattle: male",301
"2126","Westmeath","2011","Total cattle: male",68.7
"2127","South-East","2011","Total cattle: male",402.1
"2128","South-West","2011","Total cattle: male",342.7
"2129","Wexford","2011","Total cattle: male",78.7
"2130","Wicklow","2011","Total cattle: male",32.7
"2131","Clare","2011","Total cattle: male",81.7
"2132","Cork","2011","Total cattle: male",267.6
"2133","Kerry","2011","Total cattle: male",75.1
"2134","Limerick","2011","Total cattle: male",116.7
"2135","North Tipperary","2011","Total cattle: male",102.5
"2136","South Tipperary","2011","Total cattle: male",106
"2137","Waterford","2011","Total cattle: male",74.5
"2138","Galway","2011","Total cattle: male",131.2
"2139","Leitrim","2011","Total cattle: male",15.8
"2140","Mayo","2011","Total cattle: male",81.2
"2141","Roscommon","2011","Total cattle: male",71.1
"2142","Sligo","2011","Total cattle: male",32.4
"2143","Cavan","2011","Total cattle: male",57.4
"2144","Donegal","2011","Total cattle: male",63.2
"2145","Monaghan","2011","Total cattle: male",61.1
"2146","Dublin plus Mid East","2011","Total cattle: male",184.9
"2147","State","2012","Total cattle: male",2190.1
"2148","Carlow","2012","Total cattle: male",32.6
"2149","Border, Midland and Western","2012","Total cattle: male",851.1
"2150","Border","2012","Total cattle: male",270.3
"2151","Kildare","2012","Total cattle: male",50.1
"2152","Midland","2012","Total cattle: male",284.7
"2153","Kilkenny","2012","Total cattle: male",124
"2154","Laois","2012","Total cattle: male",88.6
"2155","West","2012","Total cattle: male",296
"2156","Longford","2012","Total cattle: male",41
"2157","Southern and Eastern","2012","Total cattle: male",1339
"2158","Louth","2012","Total cattle: male",27
"2159","Dublin","2012","Total cattle: male",7.4
"2160","Meath","2012","Total cattle: male",100.5
"2161","Offaly","2012","Total cattle: male",82
"2162","Mid-West","2012","Total cattle: male",330.2
"2163","Westmeath","2012","Total cattle: male",73.1
"2164","South-East","2012","Total cattle: male",440.3
"2165","South-West","2012","Total cattle: male",375.4
"2166","Wexford","2012","Total cattle: male",86
"2167","Wicklow","2012","Total cattle: male",35.1
"2168","Clare","2012","Total cattle: male",87.5
"2169","Cork","2012","Total cattle: male",293.5
"2170","Kerry","2012","Total cattle: male",81.9
"2171","Limerick","2012","Total cattle: male",128.8
"2172","North Tipperary","2012","Total cattle: male",114
"2173","South Tipperary","2012","Total cattle: male",117.9
"2174","Waterford","2012","Total cattle: male",79.8
"2175","Galway","2012","Total cattle: male",139.1
"2176","Leitrim","2012","Total cattle: male",16
"2177","Mayo","2012","Total cattle: male",84.6
"2178","Roscommon","2012","Total cattle: male",72.4
"2179","Sligo","2012","Total cattle: male",33.8
"2180","Cavan","2012","Total cattle: male",62.5
"2181","Donegal","2012","Total cattle: male",64.9
"2182","Monaghan","2012","Total cattle: male",66.2
"2183","Dublin plus Mid East","2012","Total cattle: male",193
"2184","State","2013","Total cattle: male",2261.5
"2185","Carlow","2013","Total cattle: male",35.3
"2186","Border, Midland and Western","2013","Total cattle: male",873.6
"2187","Border","2013","Total cattle: male",276.9
"2188","Kildare","2013","Total cattle: male",53.7
"2189","Midland","2013","Total cattle: male",293.5
"2190","Kilkenny","2013","Total cattle: male",132.5
"2191","Laois","2013","Total cattle: male",92.9
"2192","West","2013","Total cattle: male",303.2
"2193","Longford","2013","Total cattle: male",40.9
"2194","Southern and Eastern","2013","Total cattle: male",1388
"2195","Louth","2013","Total cattle: male",28.7
"2196","Dublin","2013","Total cattle: male",7.9
"2197","Meath","2013","Total cattle: male",104
"2198","Offaly","2013","Total cattle: male",86.2
